ID,MEDIA_NAME,USER_1,USER_2,USER_3,USER_4,USER_5,USER_6,USER_7,USER_8,USER_9,USER_10,USER_11,USER_12,USER_13,USER_14,USER_15,USER_16,USER_17,USER_18,USER_19,USER_20,USER_21,USER_22,USER_23,USER_24,USER_27,USER_28,USER_29,USER_31,USER_32,USER_33,USER_34,USER_35,USER_36,USER_37,USER_38,USER_39,USER_40,USER_41,USER_42,USER_43,USER_44,USER_45,USER_46,USER_47,USER_48,USER_49,USER_50,USER_51
,NewMedia1,58.58481,46.71515,56.300419999999995,31.389159999999997,40.41174,66.26758000000001,38.83765,36.65381,64.32458000000001,55.643069999999994,69.95837,49.88354,34.89246,39.935790000000004,20.343629999999997,68.46387,61.45142,96.5575,39.928709999999995,65.79834,26.27686,44.68469,82.74023000000001,71.91356999999999,73.25391,48.87897,42.77588,37.49149,52.676269999999995,48.33545,42.43506,61.93311,52.977540000000005,51.34961,62.98486,64.25780999999999,36.646609999999995,54.30396,54.42383,85.09009,77.47412,51.5708,68.51831,65.61801,54.9873,61.12933,59.15356,48.63062
,NewMedia2,50.55969,21.68298,46.00525,20.65723,65.08203,36.519290000000005,25.54724,44.25659,29.41797,41.00757,38.89111,31.677120000000002,41.58398,50.55963,34.62415,40.99414,40.78601,46.98975,36.3786,43.90137,42.73535,31.89783,66.40796,50.39844,72.38965,54.377869999999994,25.50757,30.866329999999998,77.58044,17.65674,28.0127,44.43054,76.71729,44.53125,67.42664,52.85034,25.84949,69.45605,44.14844,45.66321,28.233890000000002,42.073240000000006,91.33948000000001,32.011720000000004,40.37842,67.01703,50.41223,49.56812
,NewMedia3,45.30103,32.52747,54.103390000000005,32.2124,32.08545,30.21704,39.29309,58.03564,24.75708,86.03466999999999,37.05591,27.44336,45.4823,86.48303,23.46436,58.2298,29.07715,41.68427,28.93024,48.60986,32.70068,78.51172,73.74243,44.40381,49.45508,33.92102,57.44556,30.48413,63.23352,35.51538,21.27393,35.394529999999996,71.97461,60.573730000000005,40.062870000000004,33.98438,28.75635,35.34131,60.33203,52.61597,67.09155,33.78625,30.42383,34.336290000000005,28.11328,125.13928,33.679320000000004,35.88965
,NewMedia4,71.80041999999999,60.23199,98.28601,43.0376,54.97375,69.03418,34.972409999999996,61.02271,70.01825,62.79126,48.51636,58.15576,79.47684,63.782230000000006,16.9538,103.16248,24.07434,61.64526,53.27884,29.98242,38.09424,34.48352,33.6731,86.91211,157.86719,90.61652,29.36572,49.9632,73.18698,134.64453,50.0166,33.16406,175.53833,70.20557,103.34961,49.675779999999996,53.64099,27.664309999999997,36.94287,67.52026,70.09229,67.32593,88.24486999999999,54.77319,19.82764,84.33249,54.42406999999999,35.17944
,NewMedia5,100.5238,21.20044,75.23682,33.29736,41.979,50.08423,50.19092,37.2832,29.225309999999997,86.23535,56.05896,90.63635,79.4035,95.52625,58.06879,114.34875,51.644529999999996,56.46747,31.37531,200.96483999999998,23.46387,165.41663,83.25415,42.13281,49.92969,70.77515,49.67505,36.11157,55.90416999999999,71.6792,41.12793,61.571619999999996,110.88525,58.094730000000006,184.13891999999998,77.44019,48.690670000000004,64.09045,33.9873,63.13306,67.64135999999999,39.69556,67.90845,56.427609999999994,61.81981999999999,32.72827,3.58954,75.76538000000001
,NewMedia6,90.68311,51.59839,51.61786,117.71143000000001,91.63403000000001,71.83471999999999,85.13788000000001,77.06543,57.21173,79.21509,93.62329,74.37256,127.23645,144.64551,59.241330000000005,169.3092,80.86346,81.05084000000001,40.115970000000004,104.77539,87.81543,77.58057,82.0022,83.26074,90.9375,82.5647,87.68236999999999,70.10507,120.34991000000001,94.06494,82.20752,116.49181999999999,97.11279,73.4209,126.24542,94.16553,84.65454,82.84619,36.47266,73.12573,127.15576000000001,140.01038,114.07471000000001,49.43475,118.58203,138.94433999999998,110.51636,99.20923
,NewMedia7,76.25513000000001,51.47668,57.49286,78.15039,33.32458,75.95313,28.521729999999998,50.626709999999996,32.099,79.1217,21.56897,145.20862,78.53864,52.98461999999999,33.211,64.30487,50.86133,55.79785,21.321170000000002,51.78467,41.32861,45.64954,67.07568,56.33984,84.48828,65.87256,52.930659999999996,25.55225,38.14734,193.91797,33.8335,54.16998,94.01221,173.28076000000001,53.95618,100.71045,71.83374,65.97998,30.8667,29.54675,139.74951000000001,24.7771,87.54845999999999,26.22437,85.27734,21.52832,79.51616999999999,45.64258
,NewMedia8,68.50464000000001,58.64465,34.41675,172.31689,59.5957,35.715579999999996,24.35547,104.77660999999999,29.161990000000003,78.19702,162.53723,52.7771,82.95971999999999,55.64355,38.88409,114.76453000000001,220.35754,71.25763,69.08716,69.4165,98.07764,73.07275,87.48804,42.96387,120.80663999999999,68.19672,43.28516,26.043210000000002,129.03796,119.92138999999999,46.79492,30.417240000000003,129.16724,49.62109,79.59766,48.78076,118.64818999999999,78.94043,90.46143000000001,51.25574,46.540040000000005,74.50635,131.5437,90.19452,59.9375,110.0874,142.9021,143.27123999999998
,NewMedia9,73.64233,31.1344,37.09595,158.43701000000001,80.5419,31.00732,65.10889,123.86035,44.13586,161.61303999999998,53.12555,38.48901,128.89063000000002,71.70654,54.337709999999994,120.72549,196.7464,47.40417,51.6377,63.15869,58.38965,33.51208,57.88086,57.8877,160.69433999999998,64.08459,48.1748,94.30023,104.8905,36.907959999999996,42.876459999999994,67.41272,181.40625,76.19385,165.23608000000002,27.80518,126.29858,115.99585,42.36768,68.35070999999999,62.061040000000006,35.52148,93.50341999999999,54.22436999999999,99.16356999999999,73.32025,69.05988,120.83153999999999
,NewMedia10,56.802369999999996,17.28857,15.17871,48.26245,86.87189000000001,12.31836,18.89624,50.65332,22.20532,42.05249,23.95386,43.15161,50.91479,80.30078,13.42349,133.18469,50.680240000000005,17.4162,36.63342,123.41113,47.51855,88.95483,126.7334,67.72705,112.16601999999999,35.5957,40.56543,12.79425,87.57474,90.65503000000001,51.71875,11.541260000000001,97.99121,40.9165,78.60645,66.30664,131.16748,53.88208,35.15967,12.30518,69.22754,15.822020000000002,49.863040000000005,21.200470000000003,53.272459999999995,17.83069,101.63391,206.72461
,NewMedia11,37.3974,42.09277,22.16504,85.61914,25.0387,20.75146,22.39954,22.0647,19.10432,69.73096,185.43909,46.79517,36.92188,47.87317,33.15747,267.63477,34.7583,15.365479999999998,21.76324,124.08105,16.71191,22.48605,27.791990000000002,63.9292,84.33887,34.91943,23.67847,38.09317,51.698,133.78638,31.91797,44.63165,46.73486,45.12598,76.99829,19.55273,155.69727,64.53833,34.57666,55.114259999999994,56.059569999999994,63.333980000000004,166.24841,25.7619,37.416990000000006,50.90088,108.24585,57.11035
,NewMedia12,39.72852,11.059510000000001,20.370179999999998,13.898929999999998,31.556209999999997,15.171879999999998,22.90186,19.68628,15.486720000000002,23.47852,19.612920000000003,12.72021,18.30017,40.88708,11.61487,26.392059999999997,33.43176,16.80646,17.52307,16.136229999999998,49.8291,14.334229999999998,72.00731999999999,12.15088,142.5625,29.76111,11.89648,11.71573,30.08875,20.9917,15.78711,18.38715,48.79834,39.54053,32.53418,19.28418,145.88353999999998,22.21179,16.77246,25.80237,34.0415,18.4342,19.646,16.853270000000002,12.99512,16.35718,82.2677,45.14014
