MEDIA_NAME,AVERAGE_TIME,STANDARD_DEVIATION
NewMedia1,54.27884266666667,15.20644178704559
NewMedia2,43.89239422222222,16.119175062392618
NewMedia3,45.54895177777777,20.290762985946454
NewMedia4,64.28558666666666,33.08547313730665
NewMedia5,67.28904200000001,38.07142672391383
NewMedia6,91.24055933333334,28.576546160944908
NewMedia7,63.29875666666667,38.07045050232593
NewMedia8,80.99878755555555,42.63584698019351
NewMedia9,81.41484266666669,45.07833002392284
NewMedia10,54.52923755555556,40.217114167959565
NewMedia11,59.03281133333334,50.72195374536148
NewMedia12,28.155706000000006,27.04684955721472
NewMedia13,54.087197777777774,39.826864250984485
NewMedia14,62.53744977777777,26.00801889004889
NewMedia15,42.05769422222222,15.985103642322954
NewMedia16,20.034954888888887,8.684591319951709
NewMedia17,27.07618755555556,12.29372785669418
NewMedia18,56.372127333333324,38.001711329571314
NewMedia19,60.68443244444444,43.79517709828404
NewMedia20,50.43980066666666,28.131227382166085
NewMedia21,47.111541777777774,33.78822670724617
NewMedia22,92.18905777777778,38.81121760597377
NewMedia23,111.26734155555555,41.94380553390828
NewMedia24,82.44877977777779,22.815478103514874
