USER_ID,NewMedia1,NewMedia2,NewMedia3,NewMedia4,NewMedia5,NewMedia6,NewMedia7,NewMedia8,NewMedia9,NewMedia10,NewMedia11,NewMedia12,NewMedia13,NewMedia14,NewMedia15,NewMedia16,NewMedia17,NewMedia18,NewMedia19,NewMedia20,NewMedia21,NewMedia22,NewMedia23,NewMedia24
USER_1,58.58481,50.55969,45.30103,71.80041999999999,100.5238,90.68311,76.25513000000001,68.50464000000001,73.64233,56.802369999999996,37.3974,39.72852,81.28528,41.45667,29.50592,7.2401100000000005,19.827270000000002,37.87256,60.018069999999994,40.02332,44.0686,120.16248,87.61511,74.63428
USER_2,46.71515,21.68298,32.52747,60.23199,21.20044,51.59839,51.47668,58.64465,31.1344,17.28857,42.09277,11.059510000000001,17.56995,54.478269999999995,16.41144,10.0874,18.20599,38.06763,41.58423,24.75739,33.519040000000004,40.34473,86.79199,94.72266
USER_3,56.300419999999995,46.00525,54.103390000000005,98.28601,75.23682,51.61786,57.49286,34.41675,37.09595,15.17871,22.16504,20.370179999999998,31.2749,39.83545,36.76746,14.770079999999998,30.72583,73.54883000000001,48.09473,43.80127,22.09131,103.06897,99.20416,89.87988
USER_4,31.389159999999997,20.65723,32.2124,43.0376,33.29736,117.71143000000001,78.15039,172.31689,158.43701000000001,48.26245,85.61914,13.898929999999998,29.74072,75.14941,54.284180000000006,25.253420000000002,20.0083,16.26367,40.27075,36.198240000000006,17.97168,107.10741999999999,56.146480000000004,68.25586
USER_6,66.26758000000001,36.519290000000005,30.21704,69.03418,50.08423,71.83471999999999,75.95313,35.715579999999996,31.00732,12.31836,20.75146,15.171879999999998,31.381590000000003,32.96289,29.480220000000003,15.117679999999998,10.041260000000001,19.03003,55.34911999999999,51.73877,43.740970000000004,75.46387,90.18066,78.61255
USER_7,38.83765,25.54724,39.29309,34.972409999999996,50.19092,85.13788000000001,28.521729999999998,24.35547,65.10889,18.89624,22.39954,22.90186,33.92755,37.3374,24.77063,16.12976,14.20801,30.832459999999998,54.586180000000006,26.10339,28.126829999999998,66.92419,135.1283,66.81676999999999
USER_8,36.65381,44.25659,58.03564,61.02271,37.2832,77.06543,50.626709999999996,104.77660999999999,123.86035,50.65332,22.0647,19.68628,41.001459999999994,65.87841999999999,50.43945,18.025389999999998,41.04565,56.748780000000004,81.72729,149.62305,59.88403,105.56079,152.8374,72.41699
USER_9,64.32458000000001,29.41797,24.75708,70.01825,29.225309999999997,57.21173,32.099,29.161990000000003,44.13586,22.20532,19.10432,15.486720000000002,42.09277,35.44806,30.80627,19.80719,24.19043,12.61311,30.538059999999998,118.12003,48.604,88.1983,162.23645,72.68457
USER_10,55.643069999999994,41.00757,86.03466999999999,62.79126,86.23535,79.21509,79.1217,78.19702,161.61303999999998,42.05249,69.73096,23.47852,43.59277,68.87305,43.92114,24.08105,50.7074,68.06152,89.6853,35.52832,33.78003,78.06348,157.71411,57.02563000000001
USER_11,69.95837,38.89111,37.05591,48.51636,56.05896,93.62329,21.56897,162.53723,53.12555,23.95386,185.43909,19.612920000000003,44.7522,60.0719,40.4314,30.122009999999996,30.18341,43.48657,29.164920000000002,46.895140000000005,53.94214,69.20178,154.34509,88.2583
USER_12,49.88354,31.677120000000002,27.44336,58.15576,90.63635,74.37256,145.20862,52.7771,38.48901,43.15161,46.79517,12.72021,13.89233,46.3197,43.78711,13.932620000000002,12.84106,21.113529999999997,42.54175,33.38501,21.55176,119.48682,77.94896999999999,81.81226
USER_13,34.89246,41.58398,45.4823,79.47684,79.4035,127.23645,78.53864,82.95971999999999,128.89063000000002,50.91479,36.92188,18.30017,105.92193999999999,36.73413,58.10931,21.802979999999998,32.66162,71.03687,70.24597,85.62598,54.08945,179.02893,141.01526,87.22681
USER_14,39.935790000000004,50.55963,86.48303,63.782230000000006,95.52625,144.64551,52.98461999999999,55.64355,71.70654,80.30078,47.87317,40.88708,180.06723,30.846190000000004,95.17815999999999,34.84476,25.74841,69.12085,240.68762,31.207890000000003,38.690059999999995,119.57388,97.08685,145.85797
USER_15,20.343629999999997,34.62415,23.46436,16.9538,58.06879,59.241330000000005,33.211,38.88409,54.337709999999994,13.42349,33.15747,11.61487,18.480710000000002,87.86981,57.103519999999996,11.57465,14.100220000000002,28.9837,36.1449,25.64108,9.56573,58.342769999999994,66.61578,45.69598
USER_16,68.46387,40.99414,58.2298,103.16248,114.34875,169.3092,64.30487,114.76453000000001,120.72549,133.18469,267.63477,26.392059999999997,81.29236,69.20782,68.40411,14.79004,23.20386,72.78491,42.84924,70.73510999999999,51.81836,145.94522,153.52123999999998,82.6853
USER_17,61.45142,40.78601,29.07715,24.07434,51.644529999999996,80.86346,50.86133,220.35754,196.7464,50.680240000000005,34.7583,33.43176,66.83679000000001,66.65085,32.35376,20.483520000000002,22.93542,165.00232,66.9191,36.660579999999996,38.82379,63.2196,39.54736,78.49817
USER_18,96.5575,46.98975,41.68427,61.64526,56.46747,81.05084000000001,55.79785,71.25763,47.40417,17.4162,15.365479999999998,16.80646,87.3606,91.73461999999999,59.5625,18.96997,45.9176,53.83484,56.011959999999995,30.61194,94.20013,67.86145,140.33871000000002,102.95447
USER_19,39.928709999999995,36.3786,28.93024,53.27884,31.37531,40.115970000000004,21.321170000000002,69.08716,51.6377,36.63342,21.76324,17.52307,34.336059999999996,45.42859,26.42554,10.89819,16.24353,21.49524,17.85162,19.21112,20.323,52.750119999999995,92.43786999999999,80.21325999999999
USER_20,65.79834,43.90137,48.60986,29.98242,200.96483999999998,104.77539,51.78467,69.4165,63.15869,123.41113,124.08105,16.136229999999998,41.93945,73.15966999999999,41.71045,35.80225,28.093259999999997,94.8689,128.96338,99.10938,96.5188,95.9541,167.47998,155.43555
