MEDIA_NAME,N_COGNITIVE_EFFORT,N_NOT_COGNITIVE_EFFORT
NewMedia1,41,6
NewMedia2,29,18
NewMedia3,29,18
NewMedia4,22,25
NewMedia5,27,20
NewMedia6,27,20
NewMedia7,27,20
NewMedia8,33,14
NewMedia9,25,22
NewMedia10,47,0
NewMedia11,19,28
NewMedia12,17,30
NewMedia13,18,29
NewMedia14,31,16
NewMedia15,33,14
NewMedia16,23,24
NewMedia17,25,22
NewMedia18,31,16
NewMedia19,23,24
NewMedia20,25,22
NewMedia21,27,20
NewMedia22,25,22
NewMedia23,31,16
NewMedia24,23,24
