ID,MEDIA_NAME,USER_ANSWER,CORRECT_ANSWER
,NewMedia19,b,b
,NewMedia10,c,d
,NewMedia15,a,c
,NewMedia21,b,b
,NewMedia9,b,b
,NewMedia16,b,b
,NewMedia20,a,c
,NewMedia4,a,a
,NewMedia24,b,b
,NewMedia1,a,b
,NewMedia18,b,a
,NewMedia3,a,a
,NewMedia13,d,d
,NewMedia14,a,a
,NewMedia22,d,d
,NewMedia12,d,d
,NewMedia11,b,b
,NewMedia17,b,b
,NewMedia6,b,a
,NewMedia8,a,c
,NewMedia5,c,b
,NewMedia23,d,d
,NewMedia2,b,a
,NewMedia7,b,b
