media_name,FPOGX,FPOGY,FPOGV,RPD,LPD
NewMedia4,0.32702855809923714,0.29894108122080065,1,-0.21847062295226227,0.0743208987575219
NewMedia4,0.23456296444400015,0.2883070330407438,1,-0.2165584528060378,0.08380062908751573
NewMedia4,0.23816188476790323,0.28680527814508694,1,-0.2235896354410446,0.06746960267559232
NewMedia4,0.23688226865273765,0.28736282868245033,1,-0.22658862220833154,0.06533746490689585
NewMedia4,-0.06214802225998861,0.27018984488986764,1,-0.2523055659019757,0.01840037566236874
NewMedia4,-0.07179846046186134,0.25594346736620377,1,-0.3554095172061177,-0.1946317152821243
NewMedia4,-0.07050551501216296,0.2562468090378729,1,-0.4256207030221746,-0.34124090150952946
NewMedia4,-0.07475757272818151,0.25540941512735005,1,-0.508134309091355,-0.403635989577106
NewMedia4,-0.04090106301442886,0.23460701231951697,1,-0.512472472411724,-0.4154155163787857
NewMedia4,-0.03896830950714769,0.22792067828906748,1,-0.5197003845328143,-0.4486820756815393
NewMedia4,-0.037848645406378,0.229317758945909,1,-0.5430636546320311,-0.4564878908334776
NewMedia4,-0.09875037488753369,0.23845005223030902,1,-0.5549533981225736,-0.46367984802506734
NewMedia4,-0.10094971508547423,0.23483131425983572,1,-0.5261049660540491,-0.46659350245710174
NewMedia4,-0.14745576327101872,0.22338337046776569,1,-0.5449201943323196,-0.4493627299378995
NewMedia4,-0.14574960845079798,0.22756820381142395,1,-0.5239991008097011,-0.43328619741378094
NewMedia4,-0.14415008830684117,0.22892469649811265,1,-0.5288126515771612,-0.42706612632916285
NewMedia4,-0.40049985004498645,0.22138601509445244,-1,-0.6157539354115351,-0.5961061767202884
NewMedia4,-0.07263820853743874,0.2496202888581749,-1,-0.4917384994799818,-0.3862736283547604
NewMedia4,-0.07996934253057408,0.24686030688777838,1,-0.4779320342612745,-0.359294604395597
NewMedia4,-0.08283514945516335,0.2429211375739928,1,-0.45996340022388726,-0.34326816909348756
NewMedia4,-0.0883934819554133,0.2342224947075422,1,-0.44830073009902993,-0.2912124796855764
NewMedia4,-0.08702056049851703,0.23713201130481765,1,-0.3736441659213452,-0.27980100047492173
NewMedia4,-0.06265453697224166,0.24582851796231298,-1,-0.37970029855848875,-0.27653733345178544
NewMedia4,-0.07425105801592846,0.2472854124699062,1,-0.38673097546216906,-0.2919332117195437
NewMedia4,-0.0175880569162582,0.24988731497760175,-1,-0.38508836011307157,-0.17023637205269693
