time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
5.0,USER_46,NewMedia7,-0.9775828236917558,-0.8102945723833925,-0.8501594205338565,-0.9166571636610772,-0.9178278805074249,-0.9152426143305901,-0.9390608608406045,-0.8830692767115056,-0.9430466241860933,-0.14382840830011845,-0.870725249742821,-0.7245540548618774,-0.18632567711511472,-0.03061489813957441
6.0,USER_46,NewMedia7,-0.6791141681105357,-0.9742827559205549,-0.914408352691982,-0.9806786268345844,-0.9720206680046771,-0.9493195109943173,-0.9519716954082731,-0.8660292757128928,-0.7215643236629535,-0.5054480163278494,-1.0,-0.6537847465984243,-1.0,-1.0
7.0,USER_46,NewMedia7,-0.9675891418209551,-0.5271364002484138,-0.6772588959632313,-0.8513621051502998,-0.7799717889231763,-0.67591369043012,-0.6774012802691889,-0.8311747282157301,-0.8954163679588212,-0.212265602493389,-0.8506660920401026,-0.7162922776514962,-1.0,-0.5533269487578246
8.0,USER_46,NewMedia7,-0.7255744672671218,-0.9345082859572671,-0.7694250808116762,-0.7121053271751259,-0.5505648115814408,-0.8036032220123001,-0.3627212057398811,-0.6422728267178629,-0.6855997982890086,-0.1252466877491195,-0.8503199262984947,-0.6827630618806013,-0.48969350464225736,-0.26135852095359047
9.0,USER_46,NewMedia7,-0.8030916810686163,-0.9500421917770661,-0.9008422360507282,-0.9435890455492046,-0.9518504342801386,-0.9963630226298574,-0.9846791429797,-0.9476643196300882,-0.8306713250954549,-0.08691094762742935,-0.7935698183803053,-0.7021420917763141,-0.013640904294723422,0.2311017156891504
10.0,USER_46,NewMedia7,-0.8739290353353265,-0.8960762522993939,-0.9259873889572111,-0.8610538550339165,-0.842405333389598,-0.751815826850487,-0.7404061529594113,-0.5637462236812091,-0.8039258032518473,-0.14299217710872325,-0.7792134652350137,-0.690549655184622,-0.46050992664239443,-0.1755308184250477
11.0,USER_46,NewMedia7,-0.9018567011125493,-0.8964981608525242,-0.9920026147829137,-0.9655197359909786,-0.9703725166108432,-0.9786525241317717,-0.9734897530210539,-0.9289110855388997,-0.9059112664336034,0.014748509814353827,-0.7585117945504403,-0.5281859211828681,0.11042419255255553,0.30236976992676534
12.0,USER_46,NewMedia7,-0.9739617836748994,-0.9561406881359501,-0.9409027577056419,-0.9548650237791819,-0.9540872111717703,-0.9554074948530343,-0.8082310705548967,-0.9469205507725329,-0.964505889898599,-0.1750488069245566,-0.7278066421315257,-0.6720222101592039,-0.11005443810439208,0.007280499211584024
13.0,USER_46,NewMedia7,-0.9964433178372327,-0.9925398896741953,-0.9574372289826852,-0.9028339947565596,-0.9444729947077394,-0.887728089878207,-0.8836303444300809,-0.9898898729776442,-0.9901799628719458,0.3557811085089746,-0.5086721638945986,-0.45639448925993387,-0.056881245517720225,0.17425488905994202
14.0,USER_46,NewMedia7,-0.8923657390831231,-0.8592551422080184,-0.8469212154766315,-0.8215102729767235,-0.830711306833348,-0.7926922899018722,-0.7894673243165518,-0.9250588758008027,-0.8793720836833853,0.36859089967695025,-0.40896251932752214,-0.5078691512771941,-0.16932423097605198,-0.06389501904301231
