alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9423940798184225,-0.9625411969889329,-0.9845599057992346,-0.8828030519580465,-0.9715491559086396,-0.9481102306991095,-0.9909612957333638,-0.9909612957333638
-0.996619065632684,-0.9887405583554547,-0.9297615543126287,-0.8530750456254534,-0.9384309831181727,-0.9713905055746441,-0.9827380438245272,-0.9827380438245272
-0.9257967656515983,-0.9570140678900729,-0.9747571386517515,-0.6616460344334748,-0.9864945382323734,-0.9752471776172779,-0.9837763988769419,-0.9837763988769419
-0.9749976357102327,-0.9522948486130881,-0.9726376214306741,-0.9069020866773676,-0.8871400198609731,-0.9572260009816983,-0.9880821359279207,-0.9880821359279207
-0.9771964251938717,-0.9904333217917645,-0.9833823962319694,-0.9131467270608413,-0.94493545183714,-0.9227964378374588,-0.9914702568860679,-0.9914702568860679
-0.9556695668621146,-0.9652598776593698,-0.9620841919340595,-0.9222498295916797,-0.9398709036742801,-0.9786831218007153,-0.9839547210326339,-0.9839547210326339
-0.9710492717987517,-0.9626694366431988,-0.990506329113924,-0.8892675740451637,-0.9545680238331679,-0.9646588598275015,-0.9905637859279671,-0.9905637859279671
-0.9709901645545678,-0.9855089190679542,-0.9661613188107153,-0.9658743595945382,-0.9396722939424031,-0.9784026365612509,-0.9983133696107469,-0.9983133696107469
-0.9878357291469643,-0.967504071609023,-0.9909773329408301,-0.9560676356120408,-0.9638530287984112,-0.9546315125166538,-0.990965010778274,-0.990965010778274
-0.9661433705314924,-0.9579886892624937,-0.9794083014424492,-0.9445898106818532,-0.9867428003972195,-0.9720215973634387,-0.9947970796031961,-0.9947970796031961
-0.810242103272177,-0.7056386975980713,-0.8371798645863997,0.06932870115877665,-0.5302879841112215,-0.7261762849730033,-0.8604331928117596,-0.8604331928117596
-0.9202406846983167,-0.9832006052911682,-0.9990285546070062,-0.9545724400272654,-0.9577954319761668,-0.9770002103639296,-0.9755104239516376,-0.9755104239516376
-0.9040571212407793,-0.9419587324792572,-0.9886664704150722,-0.9273510851162075,-0.9726415094339622,-0.9810672463361616,-0.9893656839444118,-0.9893656839444118
-0.994562133535086,-0.9871760345734107,-0.9332352075360613,-0.9098924778469184,-0.9683714001986097,-0.9854848888577239,-0.9904337593561084,-0.9904337593561084
-0.993640060525818,-0.9753266905192424,-0.9586841330585811,-0.8683788121990369,-0.9513406156901688,-0.9247598345137087,-0.9893768290791425,-0.9893768290791425
-0.9411764705882353,-0.9225688967542544,-0.9670886075949368,-0.9462609116295433,-0.987785501489573,-0.9676740761517425,-0.9987108794161436,-0.9987108794161436
-0.9854714393796103,-0.9983713563908232,-0.9727406535178098,-0.9777479715912839,-0.9612214498510427,-0.9727929317719655,-0.9944422928142672,-0.9944422928142672
-0.9831426139587668,-0.9957039715820926,-0.9905210479835148,-0.9360584005804877,-0.9728401191658391,-0.9749666923778136,-0.9793777857032069,-0.9793777857032069
-0.9300761301305088,-0.9783531463599174,-0.9793788637032675,-0.7302051496294993,-0.9795928500496525,-0.96718322698268,-0.9871050791165251,-0.9871050791165251
-0.956213353508606,-0.9893817566267842,-0.9927583161613188,-0.9029881923525144,-0.9802383316782523,-0.9436925881775472,-0.9917005896705033,-0.9917005896705033
-0.963649044826934,-0.988073712153272,-0.9672357962908449,-0.947844059895776,-0.8752234359483615,-0.9650094663768319,-0.9831597014218406,-0.9831597014218406
-0.9634835445432193,-0.9913694712679054,-0.954945540182514,-0.9594977901888784,-0.9275571002979146,-0.9375920342191992,-0.9871960977168263,-0.9871960977168263
-0.8580007565727256,-0.931135305659216,-0.9326906093612011,-0.9485037050067064,-0.9663853028798411,-0.9525979945305378,-0.8470664612246831,-0.8470664612246831
