alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9911998068453347,-0.9858515955401769,-0.9882341520240754,-0.9850791660718609,-0.9869505494505495,-0.9801927621272867,-0.9563498480734695,-0.9563498480734695
-0.980334856924012,-0.9994925028835063,-0.9896320745558683,-0.9968283917898173,-0.9894015298427064,-0.9973448742797971,-0.9911000275198384,-0.9911000275198384
-0.9588588888611368,-0.9813917723952326,-0.9804601495000486,-0.989045228002011,-0.9851325145442793,-0.9834320155059342,-0.9906858113954827,-0.9906858113954827
-0.8893856516055981,-0.955763168012303,-0.8844539365110183,-0.9309694197384509,-0.967436974789916,-0.9504553540610148,-0.966038533447952,-0.966038533447952
-0.5425273288874457,-0.6913264129181085,-0.5979652460926124,-0.9169609662543369,-0.9400991165697048,-0.8755542574940923,-0.4679691777809931,-0.4679691777809931
-0.9593084729958122,-0.9548096885813149,-0.8923289001067858,-0.9879032007795577,-0.9909636931695756,-0.9826089265326713,-0.9431956490284362,-0.9431956490284362
-0.8916127581986663,-0.9185005767012687,-0.9412872536646928,-0.9819199712010527,-0.9860078646843353,-0.9806706847569232,-0.9107151469757967,-0.9107151469757967
-0.9748732422509179,-0.9559323337178008,-0.9893214251043588,-0.9858736197918283,-0.9910310277957337,-0.973050473939941,-0.9574520601577994,-0.9574520601577994
-0.958022162832713,-0.9781699346405228,-0.9781768760314533,-0.9846074591756301,-0.9870717517776342,-0.9672622998698989,-0.9485790400966883,-0.9485790400966883
-0.9411294552538901,-0.9577470203767782,-0.7960586350839725,-0.92824469174575,-0.9609324499030382,-0.9592438201948862,-0.9284767911301007,-0.9284767911301007
-0.9172224026109183,-0.5959400230680507,-0.8987826424618969,-0.9715486261536648,-0.908586511527688,-0.9400472612378196,-0.6268494324387968,-0.6268494324387968
-0.9333366635861828,-0.9809457900807381,-0.9651140665954762,-0.98210617129167,-0.9778469079939668,-0.9933621856994929,-0.9156091388560259,-0.9156091388560259
-0.99261516430635,-0.9888888888888889,-0.9928550626152801,-0.9961270381151586,-0.9980203619909502,-0.998114860738656,-0.978977113140581,-0.978977113140581
-0.9414250151942787,-0.9159784698193003,-0.9663023007475002,-0.9845453924787577,-0.9832336780866192,-0.9810158511005496,-0.8351831204092228,-0.8351831204092228
-0.9410753386450866,-0.855763168012303,-0.8347422580332007,-0.9711700193027427,-0.9489064856711915,-0.9007514005788174,-0.8771338513871985,-0.8771338513871985
-0.9898219147288758,-0.9424682814302191,-0.9891816328511795,-0.9941471104849271,-0.9870717517776342,-0.9917160077529671,-0.8753464804396365,-0.8753464804396365
-0.8983939855633539,-0.7506189926951172,-0.8980448500145617,-0.9383243233178373,-0.9539700495582848,-0.972014974909062,-0.7038354710857285,-0.7038354710857285
-0.9744819375411078,-0.9774778931180316,-0.9818580720318416,-0.9788849097239894,-0.9854153199741436,-0.9677136712423333,-0.9740660986798989,-0.9740660986798989
-0.9518487066130495,-0.9534486735870819,-0.9723754975245121,-0.9738388872682585,-0.9896439344968757,-0.99437113347317,-0.9526829005342253,-0.9526829005342253
-0.9808635345638618,-0.9392695117262592,-0.9802892923017182,-0.9943395172452317,-0.9889167205343676,-0.9827947853330855,-0.9862698703163079,-0.9862698703163079
-0.984901466143817,-0.9302883506343714,-0.9900281526065431,-0.977867015895281,-0.9844457013574661,-0.9928842630698563,-0.9840115413095472,-0.9840115413095472
-0.9956998110081507,-0.9655747789311803,-0.9730589263178332,-0.9787793963393062,-0.9879740357681535,-0.9930435706130686,-0.9821021752020722,-0.9821021752020722
-0.9475901457818184,-0.9319800076893503,-0.983038539947578,-0.953965130929697,-0.9877046972635208,-0.9825027215038632,-0.9834256808322906,-0.9834256808322906
-0.9915203436820941,-0.9082506728181469,-0.9408135132511407,-0.9878659607614342,-0.9672080370609782,-0.995326978732443,-0.8530766895620374,-0.8530766895620374
