alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9472665290170935,-0.9734197169328253,-0.9897136398318431,-0.9915901705373392,-0.9744285205989233,-0.987313214005733,-0.9934344406954935,-0.9934344406954935
-0.9930571487219116,-0.9335848729693899,-0.9752745284660178,-0.9632143768438678,-0.956276503286845,-0.9874329006660563,-0.9636171778752681,-0.9636171778752681
-0.789054041544412,-0.9058691034762283,-0.9409040307385461,-0.9723749333097149,-0.8942843310526654,-0.9679957870295566,-0.9724957725374536,-0.9724957725374536
-0.9623194355562532,-0.9808885568029405,-0.9825861906240156,-0.9743466460849376,-0.9561948425405825,-0.9606829320838046,-0.9967668155401787,-0.9967668155401787
-0.8954144982834051,-0.9458122363358751,-0.9321095680433742,-0.9728072339716621,-0.9060434785144744,-0.9660568631323196,-0.9694715210159628,-0.9694715210159628
-0.9247394921455222,-0.9469291589510828,-0.9382181604403826,-0.9369726722718138,-0.9344264207511622,-0.9450997289097144,-0.9141296175630295,-0.9141296175630295
-0.9823752198569571,-0.9924569048867685,-0.9962702563175376,-0.9947132792219432,-0.9935138035825736,-0.9944704762930647,-0.9935515697669818,-0.9935515697669818
-0.9856957139464777,-0.993224209065637,-0.989624944707687,-0.9948693292169876,-0.9883691765680321,-0.9966607421769806,-0.994338761544732,-0.994338761544732
-0.9512269728765943,-0.9999195568199574,-0.9983761969577573,-0.9947870866520317,-0.9854293897025799,-0.9948774109381638,-0.9953422727788345,-0.9953422727788345
-0.9926546645898485,-0.9924476229813789,-0.9974642291427162,-0.9982560358661935,-0.9986467647762204,-0.9982406060932478,-0.9968565089733004,-0.9968565089733004
-0.9853375030689415,-0.9982395319444509,-0.9939459892178568,-0.9949621157005274,-0.9782899073150529,-0.9895393858877459,-0.9935093610925715,-0.9935093610925715
-0.9857641362489283,-0.9915225264108883,-0.998321615342892,-0.9950633373189346,-0.9782782414941583,-0.9910115318097221,-0.9954667883683446,-0.9954667883683446
-0.9792519429921476,-0.9655270033832545,-0.9954833713698962,-0.996396088627962,-0.9759684089570173,-0.9933693590180906,-0.9962740292664396,-0.9962740292664396
-0.9795980793457217,-0.9948485425088062,-0.9947806330785054,-0.9908162469132679,-0.9775666264195846,-0.9911431871360777,-0.9943271541592692,-0.9943271541592692
-0.9911735229838564,-0.9788681953964843,-0.982461107756616,-0.9966238372693781,-0.9783365705986315,-0.984680107478621,-0.9882934241523311,-0.9882934241523311
-0.982093480964513,-0.9905541142819131,-0.9875440206409474,-0.9913265725727373,-0.996383595522658,-0.9835909588696792,-0.9868002922950703,-0.9868002922950703
-0.9275246823393988,-0.9630951441711955,-0.9875167298335147,-0.9955420312226517,-0.9881241943292445,-0.9950928469267458,-0.9797968179935579,-0.9797968179935579
-0.9899137476504989,-0.9271153849128816,-0.9756338574305478,-0.9846185315695466,-0.9821629598520774,-0.9772236285404811,-0.9807676175049925,-0.9807676175049925
-0.9936769742852888,-0.9925775696568325,-0.9934502062161636,-0.9951139481281381,-0.9940970946273062,-0.9964453061883988,-0.9910338223384133,-0.9910338223384133
-0.2644039008762079,-0.7850991384844814,-0.9069656374620914,-0.9358613432530519,-0.8591935418015527,-0.9607188380819016,-0.8299665760059514,-0.8299665760059514
-0.970183975496766,-0.9509451300162898,-0.9606125421728259,-0.9795722121352067,-0.9347180662735285,-0.9752248613130824,-0.9788914419274591,-0.9788914419274591
-0.8100838374447088,-0.9398408772019387,-0.9827499354686116,-0.9758417737401599,-0.9069184150815732,-0.9137896985691459,-0.9415325442069913,-0.9415325442069913
-0.9987080259360774,-0.997292777594718,-0.99804415880066,-0.9989898925996453,-0.9944470692541457,-0.9979653267745043,-0.9979359958213412,-0.9979359958213412
-0.9791915703723381,-0.9650505322399249,-0.9967614908513254,-0.9901730678796391,-0.9731569461214062,-0.9909875944776575,-0.9930946608664913,-0.9930946608664913
-0.8984492286391609,-0.9544815359697039,-0.9790247402540547,-0.9857783626137953,-0.9612228113461774,-0.9709400788735092,-0.9538722501708132,-0.9538722501708132
-0.94743557235256,-0.9882955173037922,-0.9599439173907259,-0.9956959724339792,-0.9804947474641422,-0.9977618594519548,-0.9737092719267468,-0.9737092719267468
-0.9164805177555875,-0.9122210207311356,-0.9778398643646871,-0.9637900747985584,-0.9291534697067796,-0.926225142576734,-0.9838805072427447,-0.9838805072427447
-0.9751627042103865,-0.9023110397435719,-0.9810419857701181,-0.9848568241295468,-0.8922661440378906,-0.9776664691836772,-0.9284489103566896,-0.9284489103566896
-0.955046547289873,-0.9635344876929669,-0.9423117815552804,-0.973895366369539,-0.8962791864256509,-0.9522569911970461,-0.9086783672629521,-0.9086783672629521
-0.9699988327960171,-0.993880130379831,-0.998867431491545,-0.9943758738272527,-0.982676255971442,-0.9982047000951509,-0.998903629682195,-0.998903629682195
-0.9561614283356878,-0.9844992179994709,-0.9939550861536677,-0.9942092799136242,-0.9901540471649138,-0.9928666750447329,-0.9967900303111044,-0.9967900303111044
-0.9879214511967865,-0.9888245859109958,-0.9935411755742725,-0.9921089313316759,-0.9906556774633839,-0.9935608576746079,-0.9949919407812298,-0.9949919407812298
-0.9924212237932519,-0.9925125963191057,-0.997946366740693,-0.9964741136254842,-0.9797831323895684,-0.9920528057545346,-0.9945825166394509,-0.9945825166394509
-0.9909280076632979,-0.9891525465680928,-0.9966659730253111,-0.9938718745189337,-0.9886024929859252,-0.9955117502378772,-0.9935199132611741,-0.9935199132611741
-0.9970135677400919,-0.9785959261717245,-0.9906005910734044,-0.9935534481776945,-0.992697196119948,-0.9930701423672824,-0.9981385974585102,-0.9981385974585102
-0.98551862092837,-0.9933479678041641,-0.9953446430987802,-0.9949220488099079,-0.9879142095531407,-0.9745306786832073,-0.9946067866272368,-0.9946067866272368
-0.9956612210563599,-0.9832647245826623,-0.9909735654416505,-0.9961071852587583,-0.9900723864186514,-0.9890726079124851,-0.9852174670046878,-0.9852174670046878
-0.9339523539284463,-0.9033691769579792,-0.9711240515023021,-0.9647158308502405,-0.9311483250797651,-0.9088466394977948,-0.9425529389108579,-0.9425529389108579
-0.9428714022949645,-0.9656538560902449,-0.970432684380675,-0.9719995698081217,-0.9663207750771402,-0.9798567350675931,-0.9181552698849023,-0.9181552698849023
-0.957348756525274,-0.9670585177725284,-0.9935275301705562,-0.9903628584141525,-0.9856860377622623,-0.9805269803654034,-0.9682770155301541,-0.9682770155301541
-0.9645451728065622,-0.9807709860013397,-0.9836368867101728,-0.987370494319991,-0.9781032541807385,-0.9887255165975476,-0.9570758885585474,-0.9570758885585474
-0.9893744189135343,-0.977466627682664,-0.9942439138656632,-0.9958857629684926,-0.9767500189569589,-0.9917775264357911,-0.9792449395756445,-0.9792449395756445
-0.9864805580040007,-0.9738930941076918,-0.9894020697803204,-0.982864023517156,-0.9779166010464241,-0.9954279695756509,-0.9704982470209909,-0.9704982470209909
-0.9734682460144009,-0.9681878162615889,-0.9830296662447963,-0.9823178485345008,-0.9832012179117015,-0.9882826759543515,-0.9765488604976931,-0.9765488604976931
-0.9214350974212842,-0.9552581220539619,-0.9830592312861817,-0.9880769368651243,-0.9713837413454192,-0.9835191468734852,-0.9693280115229681,-0.9693280115229681
-1.0,-0.9989944602494667,-0.9993541175574272,-0.9983572574846006,-0.9990784001493225,-0.9990903813815432,-0.9955723100543701,-0.9955723100543701
-0.9732307803764837,-0.9462484858891833,-0.9753336585487886,-0.971687469818033,-0.8781271691135726,-0.9662004871247075,-0.8983520150684967,-0.8983520150684967
-0.8909066760042985,-0.9644781480742367,-0.9651155253992133,-0.9722167745309538,-0.9287335001545721,-0.9415809410962102,-0.9772664079626664,-0.9772664079626664
-0.9935119557911429,-0.9786949331625463,-0.9740805556408393,-0.9859765882831759,-0.9389410934373924,-0.962418388658492,-0.9545264846241713,-0.9545264846241713
-0.9800850851455182,-0.9772964594171891,-0.9894316348217057,-0.9958161731058377,-0.9640576058235778,-0.9903771925100088,-0.9901959801513709,-0.9901959801513709
-0.9953996063705188,-0.9753720110330916,-0.9938481971578899,-0.9907424394831793,-0.985324397314528,-0.98976679054236,-0.998990157464736,-0.998990157464736
-0.9285067436216328,-0.9822096813367182,-0.9918355001097318,-0.9924357928077823,-0.9847994353742687,-0.9965889301807866,-0.9650638801906777,-0.9650638801906777
-0.9897366546323911,-0.8880478451283146,-0.9712968932827089,-0.9838551518640594,-0.9528000886602388,-0.926955231204706,-0.9574251653392918,-0.9574251653392918
-0.9491984528509964,-0.8781378641407508,-0.986788974968644,-0.992553884695924,-0.9645709019429425,-0.9314913556309582,-0.9806241080119978,-0.9806241080119978
-0.9955968235952297,-0.9913647340192662,-0.9949557490928649,-0.9910882800127371,-0.9875875665680904,-0.9881270832959312,-0.9877890304931293,-0.9877890304931293
-0.9910407032202755,-0.992466186792158,-0.9959564120320622,-0.9978891074994676,-0.9902590395529658,-0.9952005649210367,-0.981812282196645,-0.981812282196645
-0.9934878067432191,-0.9701153586141497,-0.9953810308420238,-0.9928090475256586,-0.9928721834333677,-0.9903891611760411,-0.9926978993270354,-0.9926978993270354
-0.9960677300297436,-0.9922929245582199,-0.9907324966426622,-0.9963644568722099,-0.9842394759713254,-0.9818914082930887,-0.9876571283855974,-0.9876571283855974
-0.985474347673843,-0.9800160576963239,-0.9973300493395056,-0.9917230239114986,-0.984286139254904,-0.9887494539296122,-0.9899195133339841,-0.9899195133339841
-0.9914794109242243,-0.9890287878295656,-0.9970889805405172,-0.9944328109876067,-0.9732386068676687,-0.9796652364110758,-0.9928910040124621,-0.9928910040124621
-0.9869273153905908,-0.9967018296182507,-0.9955288560489506,-0.9932329130527385,-0.9851144125384242,-0.9943866956308385,-0.988520295777286,-0.988520295777286
-0.9764144298611027,-0.9924135893282839,-0.9952263829332387,-0.9941396900509692,-0.9871909286576723,-0.9843689221617804,-0.9919529162236954,-0.9919529162236954
-0.9689926224658593,-0.9777945883397611,-0.9866889086747243,-0.9968811088828297,-0.9913672925379576,-0.991334685792595,-0.9605770981008734,-0.9605770981008734
-0.9925097703023058,-0.991448271167772,-0.99770984640961,-0.9982328392453085,-0.9987050938806936,-0.9983483240875388,-0.9901062867182492,-0.9901062867182492
-0.9784268505214182,-0.9885956322447206,-0.990309489127456,-0.992621365774862,-0.9946337223884602,-0.9934172336822199,-0.9782709744136292,-0.9782709744136292
-0.13852698857347545,-0.4520179635808972,-0.4010531977435051,-0.9132699432948058,-0.7899802264335836,-0.7461565621203688,-0.6007143818143926,-0.6007143818143926
-0.9984705602981603,-0.9822839365798345,-0.9811716171054232,-0.9911473259568079,-0.9486120589590588,-0.9715624495071902,-0.8920323212924296,-0.8920323212924296
-0.8970727329075051,-0.9735775093244474,-0.9633188805765638,-0.9809323776325529,-0.9763883785092248,-0.955213251707031,-0.9629882686265561,-0.9629882686265561
-0.959147860595596,-0.9694192157099343,-0.9792589863511849,-0.9773790770697185,-0.9613161379133346,-0.9873610886698623,-0.9580276941664974,-0.9580276941664974
-0.9791714461657349,-0.9714921745802645,-0.9952036405937115,-0.9859976761203441,-0.9717337159722587,-0.9908679078173342,-0.8452366191907015,-0.8452366191907015
-0.7300941410384896,-0.9309519058072241,-0.9003498908936262,-0.9543785730704102,-0.8706143804574169,-0.9693482462912096,-0.7414328262136972,-0.7414328262136972
-0.8880490386666505,-0.8880261873490723,-0.9306904460568763,-0.962718812670416,-0.9088082780665069,-0.9392231138878416,-0.7356196365305525,-0.7356196365305525
-0.9176678459451736,-0.8903157240118251,-0.9480701419235699,-0.9897470935688423,-0.9603945380626571,-0.9255189912808268,-0.8335627550657004,-0.8335627550657004
-0.8861452887219922,-0.8941615268115573,-0.9349114242731265,-0.985586463295565,-0.9750934723899184,-0.9927589570504419,-0.9038760753319317,-0.9038760753319317
-0.8657836164809203,-0.9372512255982575,-0.9744125937979365,-0.9755170210477703,-0.9613278037342292,-0.9760626679353452,-0.8044398249395228,-0.8044398249395228
-0.9378725493747408,-0.9791961560535813,-0.9855381462946475,-0.9893316631766296,-0.9727719740318826,-0.9886537046013537,-0.9676333332453986,-0.9676333332453986
-0.8149659699666341,-0.7535220963492719,-0.5338025077977797,-0.6874866883027876,-0.7903068694186338,-0.8966745061429179,-0.11741556286586352,-0.11741556286586352
-0.9821739777909256,-0.9605642779683147,-0.9535669653872964,-0.9796523459164458,-0.9735419182109297,-0.9909516884795605,-0.951181447177163,-0.951181447177163
-0.9613092003847749,-0.9446458102252564,-0.9276384240923248,-0.9583241074045723,-0.957688067615098,-0.9822145622759615,-0.7879499510643181,-0.7879499510643181
-0.9145888423348909,-0.9837566655683079,-0.9940574266815402,-0.9921953914640653,-0.9920905734334261,-0.997438705469082,-0.9862199230219301,-0.9862199230219301
-0.9193623041411593,-0.8367158143557043,-0.9507241729463952,-0.9596231181741307,-0.8070239907606699,-0.8743529439926273,-0.8435292783108088,-0.8435292783108088
-0.9542415790257469,-0.912743901401413,-0.9747673742945611,-0.9627145951029824,-0.8816619128446521,-0.9390794898954538,-0.9166505306421786,-0.9166505306421786
-0.6643000599701356,-0.8446363736214437,-0.9146684678599573,-0.9782331344750288,-0.9259103714980664,-0.9897189158782308,-0.3264793480870237,-0.3264793480870237
-0.9620980692836185,-0.9899260386838877,-0.9959655089678731,-0.9965690088927409,-0.9935371352243629,-0.9942909463025799,-0.9592169235680048,-0.9592169235680048
-0.9001557613591085,-0.9321245198547691,-0.9850605571645761,-0.9561098845019158,-0.9043402686638552,-0.9727114414462936,-0.7697685645621246,-0.7697685645621246
-0.9646538435222192,-0.9634200108598293,-0.9900388552870822,-0.9900613023426479,-0.9833062102997533,-0.994733786945776,-0.9670709026588826,-0.9670709026588826
-0.9421388811746096,-0.9107885133326836,-0.9645765319524184,-0.9901182395030018,-0.9420092043326859,-0.9748418640000479,-0.977123953686532,-0.977123953686532
-0.8631191715266626,-0.764298388506526,-0.945802730672707,-0.9439190058350045,-0.7901085504634248,-0.9413894424396929,-0.7846228523039341,-0.7846228523039341
-0.991177547825177,-0.975430796433892,-0.9953969504796928,-0.9949115048913239,-0.9786048844792086,-0.9900420698611037,-0.9935505145501214,-0.9935505145501214
-0.9787609123510306,-0.9939946072129687,-0.9927929526038273,-0.9945994049012351,-0.9806230714939833,-0.9786598684643603,-0.990630729497796,-0.990630729497796
-0.9882273391371545,-0.9810927587215104,-0.9947692619087418,-0.9978026473670781,-0.98006311209104,-0.9918014637678557,-0.9944558906162203,-0.9944558906162203
-0.9786119932221672,-0.988533752875457,-0.9911691495615845,-0.9952446927185807,-0.9742885307481874,-0.9894915112236166,-0.9950352046725003,-0.9950352046725003
-0.9574695017648929,-0.9943875412077925,-0.9827999686155715,-0.9853523883029984,-0.9752684597033382,-0.9641538452331795,-0.9827535356359924,-0.9827535356359924
-0.9069617680322953,-0.8518329442667991,-0.9112935046741193,-0.9778577709734356,-0.8430480456833547,-0.9331190942113546,-0.5743424020428998,-0.5743424020428998
-0.8776246996462165,-0.9705949237259425,-0.9877759925041248,-0.9947617812474299,-0.9780099276135813,-0.9830284315661598,-0.9657550472341447,-0.9657550472341447
-0.9687189332560564,-0.9896785212068333,-0.9918400485776372,-0.9954893116297313,-0.9794681552254129,-0.9908559391513019,-0.9889497690394097,-0.9889497690394097
-0.9622711374604056,-0.9665232612283983,-0.9901207277093802,-0.9936251468240663,-0.9798064640313577,-0.9877799919809938,-0.9563351263226484,-0.9563351263226484
-0.9899741202703083,-0.9891185129149979,-0.9814513478816079,-0.9872123355412299,-0.9673940305994482,-0.9871935273454098,-0.9364801658800904,-0.9364801658800904
-0.9505266504868045,-0.9864329482889581,-0.9928065980075437,-0.9959933109380502,-0.9832012179117015,-0.9970317708239829,-0.99279920014562,-0.99279920014562
-0.9689322498460499,-0.9681321248292516,-0.988760735805653,-0.9935513393939778,-0.9841928126877468,-0.9874807753301855,-0.9613769524809468,-0.9613769524809468
-0.9424367194323364,-0.9694687192053452,-0.9824383654170888,-0.9854978943794588,-0.9223289644834083,-0.9516465892293975,-0.9846181038280629,-0.9846181038280629
-0.9582221470918509,-0.9827109042277532,-0.9831706687498649,-0.9947575636799962,-0.9814163473148196,-0.9862001280647266,-0.9942385159430077,-0.9942385159430077
-0.9707796520122194,-0.991120310510675,-0.9888949156088636,-0.9890996969677799,-0.9807280638820353,-0.9936207010047695,-0.9853799704011671,-0.9853799704011671
-0.996095903918988,-0.9979332290665961,-0.9986127172888403,-0.995390198795041,-0.9707421211962133,-0.9932616410237997,-0.9751264281700693,-0.9751264281700693
-0.974470431503238,-0.9975062614186774,-0.9964544692677081,-0.9942493468042437,-0.9633343249281093,-0.9961460895375905,-0.9929522065903569,-0.9929522065903569
-0.878948872440704,-0.9827449378808482,-0.9872074340159447,-0.9867062274491941,-0.9530567367199212,-0.9850152301275261,-0.9488905713735494,-0.9488905713735494
-0.9557911429341899,-0.991361640050803,-0.9948261177575598,-0.9909385563688431,-0.9846944429862168,-0.9892401692369377,-0.9761162215849885,-0.9761162215849885
-0.9975931448902627,-0.9984004183045362,-0.9987741878994834,-0.9989181939532735,-0.9962319398510274,-0.994697880947679,-0.9923961073050025,-0.9923961073050025
-0.5435548203512077,-0.8825560511061711,-0.9439333103635704,-0.9633071633274076,-0.8307289388186023,-0.9254830852827298,-0.5111623477519924,-0.5111623477519924
-0.938230760252277,-0.7908786715737006,-0.9186938619562733,-0.9855695930258305,-0.9332481728408024,-0.9466317181618523,-0.8476541210175457,-0.8476541210175457
-0.9630358573113255,-0.6635525874084766,-0.7503823555833012,-0.9044425746562156,-0.7324443977811609,-0.9456263502151367,-0.6818552822837003,-0.6818552822837003
-0.9699746837480933,-0.8724975596323746,-0.9657568593738807,-0.9930241434647739,-0.9335281525422741,-0.9862360340628236,-0.8448071459285776,-0.8448071459285776
-0.9266150682009362,-0.9682001921354415,-0.9887993977828493,-0.979764111453437,-0.9643725829877334,-0.9844167968259098,-0.7375876159749281,-0.7375876159749281
-0.9609992876030863,-0.9691407585482481,-0.9791702912270288,-0.9766852872268862,-0.9760384038823852,-0.9792463330999444,-0.9813564285130147,-0.9813564285130147
-0.5688267990034492,-0.7619748181906782,-0.9778626067042143,-0.932050771076766,-0.8963608471719133,-0.9406473851456886,-0.9559109291448259,-0.9559109291448259
-0.9672096177608198,-0.9440765200280313,-0.938957286475017,-0.9786506736509584,-0.9269252979159011,-0.9649557458573454,-0.8663008581551116,-0.8663008581551116
