alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.8897942356486153,-0.9075007745824296,-0.9526215860961005,-0.9899812435740353,-0.9937092357390653,-0.9726006761474082,-0.9652636449007356,-0.9652636449007356
-0.9848098380766279,-0.9865158642163402,-0.9824253931162066,-0.9858029294186822,-0.9981008331012129,-0.9979141982264891,-0.9919296873493959,-0.9919296873493959
-0.974942265988718,-0.9511641781872466,-0.9737597974782143,-0.9966757437694832,-0.9948378834960587,-0.9926011975978516,-0.972082308651937,-0.972082308651937
-0.9653193721489118,-0.960582076290608,-0.9810281875273843,-0.9715007440158461,-0.9962052836631855,-0.9970914653047154,-0.9678578214975173,-0.9678578214975173
-0.9499649741411961,-0.9572020802339367,-0.9394333284650211,-0.953756048208285,-0.9851177664350286,-0.981604387136397,-0.8277612696594248,-0.8277612696594248
-0.9846556572627543,-0.956054930057127,-0.9623825519692323,-0.9664946506410361,-0.9910757243060806,-0.9978041142439983,-0.9633331589194787,-0.9633331589194787
-0.9879336754359798,-0.9849846235785452,-0.9760965873131785,-0.986880356339245,-0.9972543472834678,-0.9953069460096005,-0.9648643289702331,-0.9648643289702331
-0.9691336714138716,-0.989988041983648,-0.9935494863930675,-0.9914659904279816,-0.9965344725923085,-0.9961992056571579,-0.9828307919398768,-0.9828307919398768
-0.9988503474095948,-0.9943564308265883,-0.9974636093666326,-0.9987911795525394,-0.9987809157240167,-0.9998725343360633,-0.9955717240258757,-0.9955717240258757
-0.9913725779367255,-0.9913605252309023,-0.990623630787206,-0.9754622588518177,-0.9887099049693059,-0.9981691295543627,-0.9946037271322782,-0.9946037271322782
-0.987906861381393,-0.9768623906302413,-0.9877269850542817,-0.991748486510812,-0.9964006265442036,-0.9979779310584574,-0.9835220215850915,-0.9835220215850915
-0.9881716501704368,-0.987903711082034,-0.9388247894454993,-0.9628747589749991,-0.9945629564783296,-0.9934297244134407,-0.9408021017787459,-0.9408021017787459
-0.9886174338279409,-0.9968043673646018,-0.9948347208022978,-0.9956114562016102,-0.9963282773290116,-0.9992989388483478,-0.9758524018164744,-0.9758524018164744
-0.9786459572785076,-0.983776018927978,-0.9910325690083248,-0.9905922234741106,-0.9946823326833962,-0.9967322438881663,-0.9774634350533293,-0.9774634350533293
-0.9773052545491719,-0.9884875285827318,-0.9871866024049462,-0.9882468490189831,-0.9963210424074925,-0.9852487463462257,-0.9414203529952826,-0.9414203529952826
-0.9458188509507258,-0.9748087869655061,-0.9875517258166594,-0.985060555991709,-0.9955975502555736,-0.998006900527534,-0.9660127065082988,-0.9660127065082988
-0.9935813856833059,-0.9817121728509498,-0.9915340051604109,-0.9889892224459562,-0.9939009611593238,-0.996935030171702,-0.9941052706948923,-0.9941052706948923
-0.9924317330929007,-0.9845339574376557,-0.9983739837398374,-0.9879117955253934,-0.9951887771897394,-0.9955155261869516,-0.9676967181738318,-0.9676967181738318
-0.9878532332722196,-0.9703328527934899,-0.9867338493744219,-0.9729263637826883,-0.9921175530048438,-0.9969871752160399,-0.9914009379793512,-0.9914009379793512
-0.9781130279435967,-0.969964125950944,-0.9889148532203885,-0.9874584878575957,-0.9953045359340464,-0.998157541766732,-0.9851826250753881,-0.9851826250753881
0.03424825122087749,-0.16291837053462832,-0.6266637456793729,-0.43091492597617176,-0.8903692342197318,-0.8337905681202581,-0.7182950035938434,-0.7182950035938434
-0.9784884247078106,-0.9693495812133673,-0.9459714716907648,-0.9199419240611111,-0.9886267033718352,-0.9890553345828831,-0.8922742006108156,-0.8922742006108156
-0.9687180535677775,-0.9897985573562286,-0.992979893870795,-0.9969779488813484,-0.9956879867745635,-0.999003450263767,-0.9923758196303711,-0.9923758196303711
-0.9746875324701443,-0.9678029769571329,-0.9859695243659024,-0.9869460531026939,-0.9955758454910161,-0.9939685565382643,-0.9812720828594326,-0.9812720828594326
-0.981944085992673,-0.8679753055439617,-0.97852587507911,-0.9311563615818467,-0.9883915684224616,-0.9756366765066297,-0.9532318428292498,-0.9532318428292498
-0.9704408565749738,-0.9901160721373098,-0.9963146876977752,-0.9892257307943724,-0.998046571189819,-0.9968539156582877,-0.9621186877101572,-0.9621186877101572
-0.9690465257364648,-0.9938289465935017,-0.9873326517696315,-0.9738526881473184,-0.9914085306959632,-0.9940496710516786,-0.9789312653357971,-0.9789312653357971
-0.9821284326179567,-0.9818965362722228,-0.9666617983545105,-0.984935732141156,-0.9937490278074208,-0.9964889003479234,-0.9942911591452986,-0.9942911591452986
-0.9410124316660577,-0.995047793656362,-0.996587313178521,-0.9925565567012341,-0.9978874029163969,-0.9888409605117167,-0.9448351926768213,-0.9448351926768213
-0.9958873943777631,-0.9803448108098419,-0.9933985687162261,-0.989002361798646,-0.9981406251695685,-0.9951157475136954,-0.9937032008614208,-0.9937032008614208
-0.9936115514947159,-0.994602248721619,-0.9951608977167616,-1.0,-0.999446528503782,-0.9992815571669018,-0.9947854847282311,-0.9947854847282311
-0.9803788155561738,-0.9435489446474433,-0.9933644905311328,-0.9857766507133026,-0.9974894822328415,-0.99830818300593,-0.9884873086381675,-0.9884873086381675
-0.9907927240062879,-0.9834380193223108,-0.9851321746750402,-0.9895147965535478,-0.9982382966100776,-0.9973058393758818,-0.9812087430911459,-0.9812087430911459
-0.9908094827904046,-0.9853635928333841,-0.9941142106031838,-0.9929507372819278,-0.9981731823164048,-0.9981517478729167,-0.9891496223022078,-0.9891496223022078
-0.9891905842447318,-0.9852816535350406,-0.9950197166642325,-0.9923726057635771,-0.9967334329340862,-0.9978968165450431,-0.987763032157325,-0.987763032157325
-0.9872767310986054,-0.9586513815733881,-0.9937490871914707,-0.9888381198900236,-0.9969830377264982,-0.9925374647658832,-0.9909341514261086,-0.9909341514261086
-0.9792191076952985,-0.9911249497481647,-0.996947568278078,-0.9885293451018136,-0.9948812930251739,-0.997346396632589,-0.9858366770305215,-0.9858366770305215
-0.9765108881820406,-0.9894195881013896,-0.9943284163380556,-0.9874650575339405,-0.9952358041796142,-0.9983892975193444,-0.9616271160301938,-0.9616271160301938
-0.9936785866311827,-0.9830948985104971,-0.983686285964656,-0.9917353471581223,-0.9964657408378763,-0.9970972591985306,-0.9848948422151294,-0.9848948422151294
-0.9571980653659615,-0.8457953617235932,-0.9652645927656881,-0.9403998961991138,-0.9740881285790253,-0.9846461813894337,-0.5707780602058268,-0.5707780602058268
-0.9941444808296268,-0.9871457725723563,-0.9902000876296189,-0.9939887461444212,-0.9956771343922847,-0.9965816026489682,-0.9876638916504415,-0.9876638916504415
-0.9982771969928038,-0.9733082735645899,-0.9808772698505428,-0.9830633743828611,-0.9966140567290196,-0.9953301215848617,-0.933516651474302,-0.933516651474302
-0.9299013577966891,-0.9518043289555556,-0.9709507813641011,-0.9566664148290734,-0.9827736518628114,-0.9887134948477799,-0.8907499153174837,-0.8907499153174837
-0.8000576502173614,-0.9604284401062139,-0.8793437515213476,-0.9268269448705609,-0.946031102927611,-0.9498712307099548,-0.8577540268946164,-0.8577540268946164
-0.9124353529902698,-0.8907544304834675,-0.9540090550606105,-0.9519231085080594,-0.9620781588571719,-0.9807932420022538,-0.871811324599789,-0.871811324599789
-0.9496733712975656,-0.42284518849879527,-0.849500998003992,-0.8658603483899365,-0.9164475088356479,-0.926139441642453,-0.7728498214093924,-0.7728498214093924
-0.9956393643728361,-0.9767599665073118,-0.9852684874154131,-0.9755410949679564,-0.9868867047464702,-0.9848895249296766,-0.9895695925049777,-0.9895695925049777
-0.9873035451531921,-0.9818248393861723,-0.9719439170439609,-0.9805077702846969,-0.9901207146655476,-0.9883253039621542,-0.9918732323385318,-0.9918732323385318
-0.9889291472125115,-0.9752133622510774,-0.9794800642617205,-0.9885293451018136,-0.9916834577136925,-0.9837886851047681,-0.967677440853049,-0.967677440853049
-0.9723413026938069,-0.9736206671395247,-0.9786183730100774,-0.9649573463763308,-0.9967117281695287,-0.9985573204399883,-0.9750620316643763,-0.9750620316643763
-0.9917178088895294,-0.9745885751012079,-0.9815637018645635,-0.9912623304612899,-0.9934306912605766,-0.9968944729149949,-0.9483946122642315,-0.9483946122642315
-0.9806234938042775,-0.9665329178328079,-0.9750888466968503,-0.9931346882195848,-0.9936947658960269,-0.9905269836119713,-0.9354581530674348,-0.9354581530674348
-0.9082657675020362,-0.927299357544689,-0.9859889976145271,-0.9513646860187432,-0.9917521894681247,-0.9921840372431494,-0.738029472269574,-0.738029472269574
-0.9578416026760427,-0.9864441673302896,-0.9843337714814274,-0.9791084292232343,-0.991339798941531,-0.9972710760129899,-0.9476180116269783,-0.9476180116269783
-0.9785554598442774,-0.9933526744218798,-0.984820602697045,-0.987130004040351,-0.9972471123619486,-0.9936440984846071,-0.9622536289556374,-0.9622536289556374
-0.9254770387898817,-0.92683332778536,-0.9082566574168736,-0.9824195461010613,-0.9946425406150406,-0.9952374192838168,-0.9008801473888869,-0.9008801473888869
-0.9368193838800607,-0.9314424133171845,-0.8933839637797576,-0.958505924205644,-0.9862536491135412,-0.9849358760801991,-0.948942638955059,-0.948942638955059
