alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9124807959616651,-0.9527044440091952,-0.9839199029126213,-0.9676088527400137,-0.9762423479319743,-0.9934332304980168,-0.9543009772637,-0.9543009772637
-0.9281512912429585,-0.8986533617848884,-0.8607971783980582,-0.9375535651267918,-0.8467846817816582,-0.9131115028646981,-0.640830165653201,-0.640830165653201
-0.9737874021508522,-0.9760154765463661,-0.9906705097087378,-0.9926227166551834,-0.9850562049056072,-0.9835610401057735,-0.9943758886614001,-0.9943758886614001
-0.884695295925086,-0.97295040564083,-0.9699825546116505,-0.9352933268354984,-0.9657883183260298,-0.9657558395769061,-0.9146597230350629,-0.9146597230350629
-0.855007681615334,-0.9368636627597321,-0.9126845671521036,-0.9444855227116138,-0.8465361707767626,-0.8926619656236228,-0.7140107723510934,-0.7140107723510934
-0.9774745775111566,-0.9841660911068273,-0.9821753640776699,-0.9804224713058968,-0.9693503093962011,-0.9935434111943587,-0.9796373014243527,-0.9796373014243527
-0.9863486721779209,-0.9768951381515423,-0.9916439118122977,-0.9812375014704152,-0.9646617351038362,-0.9414940502423975,-0.9797965648979466,-0.9797965648979466
-0.9772258394908186,-0.9905986165946787,-0.9733199332524272,-0.9760784445527417,-0.9846917220984269,-0.9523799030409872,-0.9904345973992082,-0.9904345973992082
-0.9976808837515546,-0.989945742747087,-0.9813915857605178,-0.9890601105752265,-0.9914677888319154,-0.9965623622741295,-0.9972618195564033,-0.9972618195564033
-0.9644085156192845,-0.9937186663505383,-0.9600462682038835,-0.9816576201119196,-0.9695822530007704,-0.9849933891582194,-0.9891432200771756,-0.9891432200771756
-0.9501719218669983,-0.9838568350737575,-0.9793562904530745,-0.9782966709798847,-0.9852384463091974,-0.9871529308065227,-0.9873606204751424,-0.9873606204751424
-0.9568805325919965,-0.996199586971387,-0.9853231189320388,-0.9871527719427966,-0.9736246986804066,-0.9915381225209343,-0.9914074477740531,-0.9914074477740531
-0.9094520447728437,-0.8507530384405249,-0.9546925566343042,-0.8438839128169795,-0.813136291718785,-0.848237108858528,-0.8747325620887693,-0.8747325620887693
-0.9595215451020558,-0.9823861508276035,-0.9603875910194175,-0.9781370258961131,-0.9802682262112841,-0.9928823270163067,-0.9536274654657305,-0.9536274654657305
-0.9223132635891433,-0.9692736950254449,-0.9815243224110033,-0.9785823516561076,-0.9697644944043605,-0.9323931247245483,-0.9819111233063864,-0.9819111233063864
-0.9772916819079669,-0.9623257428158105,-0.9181078074433657,-0.827936209185474,-0.8693660484265111,-0.8430145438519172,-0.6966913493070119,-0.6966913493070119
-0.8343843733996634,-0.9352898931692215,-0.8746713187702265,-0.9333439763389181,-0.9191842212079292,-0.9185544292639929,-0.8987851842755143,-0.8987851842755143
-0.8944107103665228,-0.9078142127200443,-0.8907324534789645,-0.9158502361066765,-0.8309793818702939,-0.869986778316439,-0.7677075078336522,-0.7677075078336522
-0.9315312019899041,-0.9438184873256569,-0.9461468446601942,-0.8872065471289092,-0.9214870898532956,-0.9400396650506831,-0.6585736516811891,-0.6585736516811891
-0.8332065257151218,-0.8921933468718752,-0.9491492212783171,-0.7591207757070597,-0.7955251451718454,-0.7667254297047157,-0.9497667653588513,-0.9497667653588513
-0.9955666105786817,-0.9782627370533398,-0.9644581816343042,-0.961559144302351,-0.9683231305759656,-0.9902159541648303,-0.9766362403074744,-0.9766362403074744
-0.9806935401272954,-0.9416743121630398,-0.9911761731391586,-0.9696338245920648,-0.9702615164141519,-0.9713970912296166,-0.7393797167412774,-0.7393797167412774
-0.9868607798668521,-0.9764140732112115,-0.9753741909385113,-0.9570554724654242,-0.9689858265890208,-0.9893345085940943,-0.9655069855262123,-0.9655069855262123
