alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.5999362920897842,-0.6245615082623039,-0.8736918333021865,-0.6174599413019305,-0.4614773088629446,1.0,-0.829291440293939,-0.829291440293939
-0.7568225130573756,-0.8191747150114692,-0.8613148632654333,-0.44893085659077236,-0.4344478262844683,-0.8155821917808219,-0.8962094837830585,-0.8962094837830585
-0.9613468730949413,-0.9873117284411339,-0.9889740235470006,-0.972145760796252,-0.8424794439649298,-0.7763127853881279,-0.9739794786370358,-0.9739794786370358
-0.9800088971391853,-0.9868340523353883,-0.9943468510558774,-0.9092367428040177,-0.7837414255212829,-0.6876141552511416,-0.9932637052060791,-0.9932637052060791
-0.6626116947951736,-0.8060585252745394,-0.9049866068647605,-0.11114351860291305,-0.7200972152818789,-0.38670091324200917,-0.9653369483271941,-0.9653369483271941
-0.935830756641275,-0.9898245037890662,-0.9569122593907681,-0.8904606522412819,-0.8492935992368146,-0.9422374429223744,-0.9249087248899065,-0.9249087248899065
-0.8955300113685667,-0.979912724594846,-0.9686429327851492,-0.8486246057932443,-0.951619497569618,-0.9131278538812786,-0.9313313794709703,-0.9313313794709703
-0.8155875681702099,-0.9614624850104243,-0.9323880271600324,-0.9731848260021511,-0.9308136101394631,-0.9132990867579909,-0.8663462889973852,-0.8663462889973852
-0.9578539221555242,-0.9720808267777263,-0.9841501588488133,-0.9288696064312667,-0.9320628719393086,-0.8780251141552511,-0.9901528589467032,-0.9901528589467032
-0.9251761578638079,-0.9986963422947361,-0.9950904815299321,-0.9504165375430665,-0.9539135965111525,-0.9402397260273972,-0.9908045336111954,-0.9908045336111954
-0.977262866526436,-0.9833559731904286,-0.9716758549803775,-0.914632590189037,-0.9494162540317085,-0.9,-0.9901505356858673,-0.9901505356858673
-0.9469466885616841,-0.9762107347753181,-0.9903795240764967,-0.9093461180888491,-0.914414209785127,-0.9218036529680366,-0.9695374039186441,-0.9695374039186441
