alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9839664793462246,-0.9870402766885846,-0.9404834526686001,-0.973862677838385,-0.9577706635622817,-0.9634428665215439,-0.9202990620659838,-0.9202990620659838
-0.9364088328849173,-0.9631718646317187,-0.9151214425197065,-0.9569101576411929,-0.9417345750873108,-0.9421581838913652,-0.8891936704239771,-0.8891936704239771
-0.9968038039111807,-0.9962096076893688,-0.9906349363223381,-0.9899829425106375,-0.9674039580908033,-0.9796828029439204,-0.9872821123603756,-0.9872821123603756
-0.9862563568180773,-0.9753172065713539,-0.8826845152693479,-0.9370634876005174,-0.8828288707799767,-0.8478283404167098,-0.9810822441075758,-0.9810822441075758
-0.944578835490036,-0.9827924232370151,-0.9904236430370342,-0.9805807044180772,-0.9309080325960419,-0.9382191354825334,-0.9704527331425786,-0.9704527331425786
-0.9538171556919655,-0.9759908306689992,-0.9765873408058453,-0.9840896736583629,-0.9727008149010478,-0.9680038699422964,-0.9871012828696688,-0.9871012828696688
-0.751800049475364,-0.8820956747300477,-0.743953433686284,-0.8709104200641061,-0.9087310826542492,-0.7368439238450641,-0.9358830291522972,-0.9358830291522972
-0.9677972298174446,-0.9931179747039071,-0.9753945561307429,-0.973532774747418,-0.9016880093131548,-0.971390069451643,-0.973237235375415,-0.973237235375415
-0.6016664003169926,-0.9736532545092598,-0.8730468150945196,-0.8494217323661175,-0.8708381839348079,-0.4787325938979303,-0.32858282024664875,-0.32858282024664875
-0.9964798059514922,-0.9216635498984537,-0.9458407598379176,-0.9934169337757034,-0.9182188591385332,-0.9042880342766317,-0.9729857056327027,-0.9729857056327027
-0.979180941914609,-0.9988437795338924,-0.9958695570679308,-0.9899229601304617,-0.9738358556461001,-0.9698006288656231,-0.9981998628143187,-0.9981998628143187
-0.9528626752161263,-0.9147362811928174,-0.9372527101771797,-0.982342686835742,-0.9786088474970897,-0.9383573477074048,-0.9669027647197584,-0.9669027647197584
-0.7199431690065303,-0.4328688343286884,-0.28674202793842507,-0.8831543234174961,-0.8366414435389988,-0.7369821360699353,-0.4810492733169771,-0.4810492733169771
-0.9102788352711184,-0.9664746335283827,-0.9173502458840409,-0.9830999643854618,-0.9584109429569266,-0.9604713036868111,-0.8120447396633172,-0.8120447396633172
-0.6121919556560631,-0.6723874444511472,-0.6491100122345628,-0.6543515342368179,-0.3587019790454016,-0.5713347845616945,-0.5154272708547049,-0.5154272708547049
-0.9905996808182262,-0.9909010476362832,-0.9851822063790124,-0.9856642111379782,-0.949708963911525,-0.9739469956117619,-0.9941237213621491,-0.9941237213621491
-0.9271223508241151,-0.9842904827974502,-0.983035193963828,-0.9902603610189507,-0.9652502910360885,-0.9656542621194845,-0.9560448375559739,-0.9560448375559739
-0.9737430302128097,-0.9872011421447386,-0.9955560250961896,-0.9832799115259893,-0.9893189755529685,-0.940430531080474,-0.9804636169025268,-0.9804636169025268
-0.9263824095377994,-0.9813647423136475,-0.8730536310069488,-0.9868938499315826,-0.960186263096624,-0.9637192909712864,-0.9470332746657204,-0.9470332746657204
-0.9932967449150928,-0.9735979570087069,-0.9876223030286507,-0.9835498322367805,-0.9865832363213038,-0.9210117134860578,-0.9835744279907737,-0.9835744279907737
-0.9956216491933984,-0.9954555508636465,-0.9832055917745569,-0.9970308721812967,-0.9740104772991851,-0.9554265574790091,-0.9895418011840933,-0.9895418011840933
-0.9847633391930262,-0.9983259938468964,-0.9955423932713312,-0.9941142289452474,-0.975407450523865,-0.9479630973359594,-0.997056422200151,-0.997056422200151
-0.9950349501853137,-0.9490760290362148,-0.8904819190883035,-0.9679694089861103,-0.9617287543655413,-0.9586745447634843,-0.8323873775577006,-0.8323873775577006
-0.9614092159906128,-0.7969324968329613,-0.8542076331403294,-0.9051603591445013,-0.7292491268917346,-0.7749904979095401,-0.9536899753160947,-0.9536899753160947
-0.9588172323131047,-0.9359252779956164,-0.9591181572499157,-0.9242047648503252,-0.8744761350407451,-0.886735081717978,-0.9552195480758314,-0.9552195480758314
-0.8620994629952736,-0.7588727353160001,-0.7697584781430729,-0.9059251344917431,-0.8804714784633294,-0.8581942572820566,-0.9068374621600694,-0.9068374621600694
-0.994943004818375,-0.9953349017715308,-0.9840303171784849,-0.9839397177079233,-0.9908905704307334,-0.923499533533741,-0.9909258945791262,-0.9909258945791262
-0.8796566497297463,-0.7954093020450022,-0.8243403048757629,-0.8595362612232657,-0.7980209545983702,-0.4866106907155938,-0.833234420961537,-0.833234420961537
-0.9973248276571663,-0.9892572037562084,-0.9483762792615641,-0.9510018931938743,-0.8065483119906869,-0.7924052382433227,-0.8761535527896348,-0.8761535527896348
-0.9923247510360272,-0.9850847559872112,-0.9996796521158297,-0.9905827663123957,-0.9648428405122235,-0.9331052831622957,-0.9919292943095135,-0.9919292943095135
-0.9572366476719214,-0.9836118316543001,-0.9795249990628121,-0.9914675064199892,-0.9934225844004656,-0.9926056459693859,-0.968590053426277,-0.968590053426277
-0.9766940386564593,-0.9577778448050511,-0.9760284359866545,-0.9891057002005661,-0.9763096623981373,-0.959711136450019,-0.9790482522421837,-0.9790482522421837
-0.9400209723003636,-0.9696366451509119,-0.9634394457300013,-0.9744699994376652,-0.9544819557625146,-0.9791990601568709,-0.9689843432932314,-0.9689843432932314
-0.9468599562602754,-0.9599545555086365,-0.8530489280273728,-0.9665973120395883,-0.9474097788125727,-0.9586054386510486,-0.900690619096274,-0.900690619096274
-0.9946978171732054,-0.9896744485331082,-0.9830965371756903,-0.9846445106749893,-0.9122235157159487,-0.9459590200753256,-0.9519251882564163,-0.9519251882564163
-0.9704680238094717,-0.9698427540166094,-0.9646117826678163,-0.98847588520872,-0.9214202561117578,-0.936353270446771,-0.9857375837780991,-0.9857375837780991
-0.9910506509513062,-0.9856678932657699,-0.9801384311814362,-0.985056889538698,-0.9651920838183935,-0.9512110846204347,-0.9888402371449607,-0.9888402371449607
-0.947766274877242,-0.9531529629406206,-0.9450910094707103,-0.9684792592176048,-0.9537834691501746,-0.9631664420718012,-0.9261304732362157,-0.9261304732362157
-0.9850260402414223,-0.9511069554201604,-0.9925638395397895,-0.9907702112504452,-0.9523573923166473,-0.9409142738675236,-0.9922284107603064,-0.9922284107603064
-0.9671273421440346,-0.9626038084896744,-0.9687081460377397,-0.9826201053440552,-0.9071594877764843,-0.965377837669742,-0.9608714893755876,-0.9608714893755876
-0.947337196498195,-0.9772073756811647,-0.9794295762888039,-0.9922547751597968,-0.969965075669383,-0.9568777858401576,-0.9944187589522494,-0.9944187589522494
-0.9670572885311289,-0.953359071806318,-0.9466723011542748,-0.9754747043056102,-0.9319266589057043,-0.9333817076120383,-0.9655852927160385,-0.9655852927160385
-0.988887745652845,-0.9912780760491444,-0.9978529875848156,-0.9909801495810605,-0.9642898719441211,-0.9570159980650288,-0.997034668276457,-0.997034668276457
-0.9953633264958088,-0.9704057831131487,-0.9884197647828621,-0.9551256818309621,-0.9734575087310826,-0.9148612694792855,-0.9868728666708815,-0.9868728666708815
-0.9897021189028729,-0.9924644587882809,-0.9962035367769595,-0.9814729423231926,-0.9458672875436555,-0.9540444352302961,-0.9827110691441666,-0.9827110691441666
-0.9449685087118235,-0.9803241438941506,-0.9807859428622061,-0.9941292245402913,-0.9699359720605355,-0.8754016792785322,-0.9756845517909938,-0.9756845517909938
-0.9428450085706217,-0.8350023124409323,-0.7811614996370526,-0.8987497422632101,-0.8419965075669383,-0.7945475277288276,-0.9527871874827923,-0.9527871874827923
-0.9385016845704728,-0.966112686252036,-0.9319976416942996,-0.9814354533355827,-0.970372526193248,-0.8883245223039978,-0.9519945288881909,-0.9519945288881909
-0.9695573268416985,-0.9002131467294042,-0.9035548391274268,-0.968419276837429,-0.9580616996507567,-0.8797553643619778,-0.8689217327815995,-0.8689217327815995
-0.9089828434323644,-0.9078391747602099,-0.8842862546901997,-0.9502746068342425,-0.9629511059371362,-0.9703534777651083,-0.9191855330968954,-0.9191855330968954
-0.9644477914503944,-0.9733516317789709,-0.8639748356513115,-0.9786237792648409,-0.9477299185098952,-0.9199751217995231,-0.9282134114299194,-0.9282134114299194
-0.823513057336693,-0.9123031911684865,-0.5640951365056861,-0.6932875967684493,-0.6821885913853318,-0.7365674993953215,-0.9323860859184813,-0.9323860859184813
