alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9353020222214938,-0.9818520820385332,-0.941542002301496,-0.8051168159436595,-0.904302432024543,-0.7666393666393666,-0.997212865952393,-0.997212865952393
-0.9779283349798902,-0.9616265648583858,-0.9639355581127733,-0.8960272351368332,-0.9074197778272595,-0.8818454818454818,-0.9865326134177372,-0.9865326134177372
-0.9918436910341469,-0.9283317055846577,-0.9394936708860759,-0.8793997749886764,-0.9196417526410846,-0.9229047229047229,-0.9882082790293552,-0.9882082790293552
-0.9660637615473576,-0.8957648939003817,-0.9359723820483314,-0.9248403734603527,-0.9392859793661397,-0.9356811356811356,-0.9858330089199574,-0.9858330089199574
-0.9928363072802783,-0.9645920269910326,-0.9581588032220943,-0.9331687146593416,-0.8143942205398451,-0.8885066885066886,-0.9742641458336859,-0.9742641458336859
-0.9828633232979207,-0.8236881825446152,-0.964994246260069,-0.9420815008547508,-0.9215715381380044,-0.9314223314223314,-0.987463538757525,-0.987463538757525
-0.9390852011218437,-0.8498978957648939,-0.7792635212888377,-0.9568095147645417,-0.9060342908038299,-0.929019929019929,-0.9703486174348211,-0.9703486174348211
-0.974866207503617,-0.9886886264760721,-0.8971691599539701,-0.9229409272219868,-0.9139018778297335,-0.9020475020475021,-0.9820331409420965,-0.9820331409420965
-0.989867822846093,-0.8809908550119862,-0.9072727272727272,-0.9422860566034978,-0.9291422350874589,-0.826044226044226,-0.9886455318404677,-0.9886455318404677
-0.9472508743919055,-0.9431767735061707,-0.9436363636363636,-0.9565465145161526,-0.9233033969172914,-0.9652743652743653,-0.9875707362208945,-0.9875707362208945
-0.9273517279482342,-0.9884755393767203,-0.941542002301496,-0.9559328472699113,-0.9152378831737549,-0.8786786786786787,-0.9829161095219557,-0.9829161095219557
-0.9755310731024408,-0.8922489567610761,-0.8907249712313003,-0.934103826653614,-0.8931195724782899,-0.8823914823914824,-0.9892858956348064,-0.9892858956348064
-0.9660263043305225,-0.9496049010032851,-0.8958342922899885,-0.9221519264768194,-0.9697172122021821,-0.8621894621894621,-0.9871616932685635,-0.9871616932685635
-0.9928269429760695,-0.957986326911125,-0.8956271576524741,-0.9045309098347482,-0.9375046389074445,-0.9556647556647556,-0.9910885056109409,-0.9910885056109409
-0.9207967150020836,-0.910521175530498,-0.8105868814729574,-0.9156353647667334,-0.9374551572280363,-0.8825006825006825,-0.9554256021394357,-0.9554256021394357
-0.9692757178909714,-0.9825801296279855,-0.9551898734177215,-0.8903288964217355,-0.885202503772978,-0.7984165984165984,-0.9532365170979954,-0.9532365170979954
-0.9694349110625208,-0.9292018112403445,-0.9286306098964326,-0.9135021405297994,-0.9757044954105742,-0.9528255528255528,-0.9906484318139503,-0.9906484318139503
-0.9475505321265867,-0.9557844268844891,-0.8837284234752589,-0.9480136175684166,-0.8902001533932061,-0.9234507234507234,-0.9820528878432434,-0.9820528878432434
-0.9527758138750896,-0.9795969102370594,-0.8808285385500575,-0.9456173930830934,-0.9589302060911947,-0.9614523614523615,-0.9935399423390486,-0.9935399423390486
-0.9898490942376754,-0.9703631359318121,-0.892036823935558,-0.891410119665113,-0.9399787228778544,-0.9385203385203386,-0.9917965730663553,-0.9917965730663553
-0.9452656418996428,-0.9176063215839474,-0.8367318757192175,-0.8447714089507752,-0.8708528167446004,-0.9095823095823096,-0.9457665464926682,-0.9457665464926682
-0.9964602930090787,-0.9743762763029389,-0.9310701956271576,-0.9012287956049736,-0.9582869442588882,-0.9463827463827463,-0.9899375433726578,-0.9899375433726578
-0.7671846687611494,-0.7395187783006304,-0.1649021864211737,-0.010972954807790702,-0.6683243029268413,-0.47081627081627087,-0.7407288299114775,-0.7407288299114775
-0.9569803864648347,-0.9502441623013407,-0.9514154200230149,-0.9265937084496135,-0.8952967663722506,-0.8754026754026754,-0.9761090705979926,-0.9761090705979926
-0.980082124947911,-0.9819941401047678,-0.8362025316455697,-0.9649040779649625,-0.8876271060639798,-0.9485667485667486,-0.9896215929543056,-0.9896215929543056
-0.9733023687007496,-0.9684986238124833,-0.9800230149597238,-0.8903873409213775,-0.9121700190504466,-0.9161343161343162,-0.9696490129370412,-0.9696490129370412
-0.9897273582829612,-0.9487525526058777,-0.9786191024165708,-0.829721950292953,-0.9508646923476582,-0.9777231777231777,-0.9802389939235964,-0.9802389939235964
-0.9802225895110429,-0.9964307910858563,-0.9558342922899885,-0.9624494089799973,-0.9579405725030308,-0.8697242697242697,-0.9853703672359416,-0.9853703672359416
-0.7961765545915525,-0.923270886975051,-0.8212197928653625,-0.8762437720080068,-0.9433929587570202,-0.9143871143871144,-0.9396845009393883,-0.9396845009393883
-0.9583007533582736,-0.9399094379827755,-0.8967318757192175,-0.9196972574918543,-0.965461787773077,-0.9726999726999727,-0.9221718206078661,-0.9221718206078661
-0.9815054991876466,-0.9643611826334014,-0.8823705408515535,-0.9060212445756198,-0.9468071946361859,-0.918973518973519,-0.9312102593614416,-0.9312102593614416
-0.9910289965679825,-0.9797567255615733,-0.9118296892980438,-0.9548808462763548,-0.9244909572230882,-0.93011193011193,-0.9945188244387648,-0.9945188244387648
-0.9743886279889689,-0.9742874900115422,-0.9588722669735328,-0.9683230811940211,-0.9137534327915089,-0.9238875238875239,-0.9813166105290477,-0.9813166105290477
-0.9803255968573396,-0.9594246648317499,-0.9358112773302647,-0.9208953697345159,-0.9464608228803285,-0.866885066885067,-0.9328887459589377,-0.9328887459589377
-0.9875642040107315,-0.9298055580218414,-0.8525201380897584,-0.9415555003579725,-0.9739726366312873,-0.9136227136227136,-0.955431244111192,-0.955431244111192
-0.9276982072039592,-0.741543105744473,-0.6873878020713464,-0.8304232842886574,-0.9114277938593236,-0.971061971061971,-0.9034038015605694,-0.9034038015605694
-0.9870304386708306,-0.9681967504217349,-0.9699424626006905,-0.9143788080244298,-0.9430465870011628,-0.9268359268359269,-0.9865382553894935,-0.9865382553894935
-0.9907293388333014,-0.9733285980644588,-0.9553049482163406,-0.9075408015663126,-0.9446300007422251,-0.8865410865410865,-0.994386238102492,-0.994386238102492
-0.9640223432298421,-0.9246204386042796,-0.887825086306099,-0.965956078958519,-0.9356738167693411,-0.9521703521703522,-0.9869980760876311,-0.9869980760876311
-0.9926583855003114,-0.989398916807245,-1.0,-0.9818237606113295,-0.9809000717484352,-0.9527163527163527,-0.9941323493734591,-0.9941323493734591
-0.9723378453672447,-0.9476160880760011,-0.940644418872267,-0.9587381832527286,-0.9246394022613127,-0.8925470925470925,-0.9866482738387412,-0.9866482738387412
-0.986225108508875,-0.966545325401758,-0.971277330264672,-0.9030697973436975,-0.9550706350973552,-0.9223587223587224,-0.9448976828421997,-0.9448976828421997
-0.8583461702336862,-0.8559708780964219,-0.8744533947065593,-0.901930129600678,-0.9010861228630099,-0.9208299208299209,-0.9860699717337215,-0.9860699717337215
-0.9628424408995351,-0.9232886442333303,-0.9148216340621403,-0.9633552987244488,-0.9096464534006284,-0.9602511602511603,-0.9770653848106836,-0.9770653848106836
-0.9893153288977746,-0.9773417384355856,-0.952313003452244,-0.8363261787525021,-0.8956926198075162,-0.9444171444171444,-0.9915708941961037,-0.9915708941961037
-0.9886879205157859,-0.9191334457959691,-0.9553049482163406,-0.9878143218246372,-0.9967342091590589,-0.9745563745563746,-0.9450020593196911,-0.9450020593196911
-0.94744752478029,-0.9617863801828997,-0.9518757192174914,-0.9684691924431262,-0.9498750587594943,-0.9735735735735735,-0.9935117324802673,-0.9935117324802673
-0.9425687222875122,-0.9419160081683388,-0.9459838895281933,-0.9669496354524335,-0.9493802419654123,-0.9281463281463281,-0.9885778281793921,-0.9885778281793921
-0.8995772016649732,-0.8281630116310041,-0.8087686996547756,-0.9122163615376748,-0.9693708404463247,-0.9079443079443079,-0.9249420287402041,-0.9249420287402041
-0.9705398989591576,-0.9803427150847909,-0.985247410817031,-0.9184699229993717,-0.9328038793636656,-0.9321867321867322,-0.9809809132095485,-0.9809809132095485
-0.9908698033964332,-0.9699724762496671,-0.9576754890678941,-0.9114565830423285,-0.900096489274846,-0.9582855582855583,-0.9836552078220296,-0.9836552078220296
-0.9477378182107624,-0.9752641392169049,-0.8526812428078251,-0.9314153796700808,-0.9187016007323289,-0.9694239694239695,-0.9808483268732757,-0.9808483268732757
-0.974117063166914,-0.9664742963686407,-0.9655696202531645,-0.8752794377639135,-0.9213241297409634,-0.8986622986622986,-0.9879346433991751,-0.9879346433991751
-0.9608010225820196,-0.9744473053360561,-0.9701726121979286,-0.9239637059657223,-0.9522501793710878,-0.9328419328419328,-0.9864620887707836,-0.9864620887707836
-0.958853247306592,-0.9482020775992187,-0.9383199079401611,-0.9500299528060665,-0.9431455503599793,-0.8724542724542724,-0.9773897981866703,-0.9773897981866703
-0.996404107183826,-0.9228091982597887,-0.9405753739930955,-0.9665405239549393,-0.9226106534055766,-0.9635271635271635,-0.9568812308525584,-0.9568812308525584
