alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9937835857352223,-0.9127452139972627,-0.8849821822501273,-0.8003546038249014,-0.9681774096306588,-0.9240909874202998,-0.9049430857658064,-0.9049430857658064
-0.9286516853932585,-0.9355558183937955,-0.8132699813337858,-0.8698294114609333,-0.9728695378646884,-0.9221954161640531,-0.967785416431872,-0.967785416431872
-0.9698461162677089,-0.9075072233580589,-0.8857627693874088,-0.9141376757957069,-0.9098796822983565,-0.9230570394623471,-0.7422066944663586,-0.7422066944663586
-0.9742794333170494,-0.9189294223003227,-0.9403699304259291,-0.9463618680391785,-0.9771684709953079,-0.9701878338790281,-0.9927420263721402,-0.9927420263721402
-0.8625671714704446,-0.7969687241268608,-0.25185813677244184,-0.2189076136539686,-0.7778447665731736,-0.8312079958642081,-0.9328885382621436,-0.9328885382621436
-0.9817171470444553,-0.9294391970667253,-0.905990157814356,-0.9070455992976778,-0.9744423182783297,-0.9330518697225573,-0.9673030542093993,-0.9673030542093993
-0.9624816805080606,-0.9482621698798641,-0.9253012048192771,-0.8661800905444718,-0.9665259901963354,-0.8965190418748923,-0.9957579172771329,-0.9957579172771329
-0.9592940889106009,-0.9342716658499907,-0.9014763278465977,-0.9178214242679841,-0.9587669401557053,-0.9299500258486989,-0.9639625831173222,-0.9639625831173222
-0.8876526624328285,-0.891151175168545,-0.8597658238588155,-0.9280119807894238,-0.9506933340323469,-0.9086679303808375,-0.9211179984221797,-0.9211179984221797
-0.9937835857352223,-0.9347785681699137,-0.8920414050568471,-0.9532129516464979,-0.9726860468164303,-0.9113389626055488,-0.9940764115857095,-0.9940764115857095
-0.9807767464582315,-0.9683017082608182,-0.9510945189207535,-0.9407157488854079,-0.970929775354531,-0.9713941064966397,-0.9868499943649273,-0.9868499943649273
-0.9892892037127504,-0.9831370494905631,-0.9660274902426608,-0.8506876904274181,-0.96720752837558,-0.9755298983284508,-0.9748134790938803,-0.9748134790938803
-0.9468490473864192,-0.9700251761485562,-0.912642117766842,-0.8841168471244384,-0.9612309628037432,-0.9361537135964156,-0.9807280513918629,-0.9807280513918629
-0.948143624816805,-0.9834073973945221,-0.9448837603936874,-0.6135506859690496,-0.9486487194946133,-0.9356367396174392,-0.975836808294827,-0.975836808294827
-0.9869565217391304,-0.8434685636077928,-0.9806210758527066,-0.8421840841409465,-0.9782956302917508,-0.9680337756332931,-0.9698320748337653,-0.9698320748337653
-0.9651196873473376,-0.9433283206326141,-0.9736976073307314,-0.987709362573804,-0.9616241579071535,-0.9104773393072548,-0.9701115744393103,-0.9701115744393103
-0.9906082071323888,-0.9549532805028471,-0.9211946377057526,-0.9361368839619231,-0.9845605389394217,-0.9541616405307599,-0.9844967880085653,-0.9844967880085653
-0.9257083536883244,-0.9135224642211446,-0.8755133208891905,-0.9660888575215603,-0.9577970589006265,-0.9603653282784766,-0.9814042601149555,-0.9814042601149555
-0.9814973131411823,-0.9554939763107649,-0.9578482945867979,-0.9194050918355051,-0.9796849196571339,-0.9125452352231604,-0.9906187309816297,-0.9906187309816297
-0.9301172447484123,-0.9699913826605613,-0.9488885117936535,-0.9056340695092352,-0.9689375868305853,-0.9548509391693951,-0.9836763214245464,-0.9836763214245464
-0.9577918905715681,-0.9105824307655914,-0.973188528762939,-0.8887301396037388,-0.9847702429945739,-0.9293468895398932,-0.9858176490476727,-0.9858176490476727
-0.968771372740596,-0.964854772485342,-0.9957237400305448,-0.9748334566987417,-0.9592387742797976,-0.9254695846975702,-0.9514617378564183,-0.9514617378564183
-0.8967269174401563,-0.4734636635520335,-0.6336670626166638,-0.5049661749264112,-0.8961964926996776,-0.5163708426675857,-0.9371441451594725,-0.9371441451594725
-0.9849291646311675,-0.9231198148116858,-0.9805531987103343,-0.8967861876646067,-0.9851110120841962,-0.9645011201102878,-0.989690071001916,-0.989690071001916
-0.9848558866634098,-0.9721879593802274,-0.9695231630748345,-0.932969548826881,-0.9769325539332617,-0.9743236257108392,-0.9848799729516511,-0.9848799729516511
-0.9733634587200781,-0.9800956355710254,-0.9418632275581198,-0.9294579381336822,-0.9686492437547511,-0.927795967602964,-0.9938960892595514,-0.9938960892595514
-0.9582315583781144,-0.9764797323555751,-0.8885457322246734,-0.9153426402492555,-0.9801305407743323,-0.9631225228330174,-0.972581990307675,-0.972581990307675
-0.9800928187591598,-0.7959549194870148,-0.9040556592567452,-0.9171673007074863,-0.9689900128443734,-0.9257280716870584,-0.9848033359630339,-0.9848033359630339
-0.970933072789448,-0.9823597992666813,-0.9065671135245206,-0.927254574561479,-0.9830401845395685,-0.9759607099775978,-0.9650805815395018,-0.9650805815395018
-0.9523204689789937,-0.9636720004055218,-0.9627693874087901,-0.8775067564078288,-0.9515845762667435,-0.9344304669998277,-0.9890364025695931,-0.9890364025695931
-0.9762457254518808,-0.949546322423669,-0.9666723230951977,-0.9701513091078099,-0.9720045086371858,-0.9445114595898673,-0.9878057026935647,-0.9878057026935647
-0.9843551538837323,-0.9379213625534359,-0.9756660444595282,-0.920265780730897,-0.9605232116176047,-0.937101499224539,-0.9908170855404035,-0.9908170855404035
-0.9777479237909136,-0.9415710592568812,-0.9095197692177159,-0.8539927357857229,-0.9862119583737451,-0.9380492848526624,-0.973023780006762,-0.973023780006762
-0.9614069369809477,-0.8036936282378386,-0.937043950449686,-0.907562012634913,-0.9680725576030826,-0.8892814061692228,-0.9804169953792404,-0.9804169953792404
-0.9776746458231559,-0.965125120389301,-0.9819786187001527,-0.9047389530580277,-0.987470182704658,-0.8384456315698776,-0.9838791840414741,-0.9838791840414741
-0.9778212017586713,-0.7271175844414781,0.08294586797895809,-0.1442342450897699,-0.8374793572570709,-0.6806824056522489,-0.9469491716443142,-0.9469491716443142
-0.9723131411822179,-0.8997685146072352,-0.9559477346003733,-0.974695746475479,-0.9114000366982097,-0.9675168016543167,-0.9812600022540291,-0.9812600022540291
-0.9630556912554958,-0.9563388135106365,-0.8854233836755473,-0.9093866730931437,-0.971008414375213,-0.8788557642598656,-0.9849611179984222,-0.9849611179984222
-0.9951758671226185,-0.9680313603568592,-0.9009672492788053,-0.9071488819651249,-0.9557262313559989,-0.913320696191625,-0.9698365828919193,-0.9698365828919193
-0.9741450903761603,-0.8599259922612912,-0.8894960122178857,-0.8945139689807722,-0.9084903929329733,-0.9030673789419266,-0.9541800969232503,-0.9541800969232503
-0.9841841719589643,-0.9321764695943092,-0.8981842864415408,-0.8998502401322018,-0.9622794830795041,-0.8592969153885921,-0.9906322551560915,-0.9906322551560915
-0.9829140205178309,-0.9361978946656979,-0.744340743254709,-0.8945483965365879,-0.8951479724239167,-0.903153541271756,-0.9572320522934746,-0.9572320522934746
-0.8464826575476307,-0.7707449774428468,-0.9619209231291362,-0.9176837140447214,-0.8264436813546883,-0.7742546958469757,-0.8538036740673954,-0.8538036740673954
-0.9603321934538349,-0.9549870739908419,-0.9658238588155439,-0.8925860258550944,-0.9397887231644342,-0.9091849043598139,-0.9946263946804914,-0.9946263946804914
-0.9842940889106009,-0.9039251136306033,-0.9207194977091464,-0.9385123853132047,-0.9419119767228499,-0.9258142340168878,-0.976017130620985,-0.976017130620985
-0.9730825598436736,-0.9100417349576737,-0.9835397929747157,-0.875888661284492,-0.9644027366379198,-0.955884887127348,-0.9945497576918743,-0.9945497576918743
-0.9474963361016121,-0.9630975111096092,-0.9311386390632954,-0.8640800096397157,-0.8700883378332329,-0.9245217990694469,-0.985069311394117,-0.985069311394117
-0.9402662432828529,-0.9502221921835662,-0.9651111488206346,-0.934036803057167,-0.9439303782536895,-0.9669136653455109,-0.9768466133213118,-0.9768466133213118
-0.9591475329750855,-0.8458003142794384,-0.9333107076192092,-0.8608438193930422,-0.943275053081339,-0.8967775288643804,-0.9905150456440888,-0.9905150456440888
-0.9625061064973132,-0.8747951269790312,-0.9664347530968946,-0.9023290241509304,-0.9530262916459147,-0.9352059279682923,-0.9764048236222247,-0.9764048236222247
