alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,delta
-0.9024231281649431,-0.9759615585909096,-0.9792597152149567,-0.9649226565818957,-0.9708161321054303,-0.9239892082287255,-0.8938967961108183,-0.8938967961108183
-0.8839014379318759,-0.9651816630124254,-0.9760501127879696,-0.9689001990853735,-0.9848205779612575,-0.9739198860868588,-0.7810709892813213,-0.7810709892813213
-0.9725357588360739,-0.9861692432440731,-0.9741717381560419,-0.9702413181284308,-0.96996930242405,-0.9816390002623,-0.9584958706729925,-0.9584958706729925
-0.9894174761696175,-0.9781136299246775,-0.9899290785338908,-0.9970886887854126,-0.9982851698952049,-0.9971521714692547,-0.987036548936918,-0.987036548936918
-0.9355893823122405,-0.9815329391125707,-0.9693280230778719,-0.9887545918749844,-0.9703821318937229,-0.9660134147712369,-0.9171850289931471,-0.9171850289931471
-0.9954650656974356,-0.9832774846165977,-0.9968807745058885,-0.9957225799465218,-0.9968032179527893,-0.9926368643909019,-0.9654556902711884,-0.9654556902711884
-0.9878108483752598,-0.9953385744132396,-0.9769734230751851,-0.9754808453214937,-0.9928866306764053,-0.9783227788811032,-0.9293445791600773,-0.9293445791600773
-0.951028166004059,-0.9990649236098414,-0.9941181715036645,-0.9890503044590125,-0.9854133587382238,-0.9764679431933151,-0.9899153634393487,-0.9899153634393487
-0.9696347346866394,-0.9541728830638126,-0.941010731650124,-0.9417362910145024,-0.9008044881973113,-0.9472964364671937,-0.9196479821941077,-0.9196479821941077
-0.9734269825559629,-0.9970300857339442,-0.9949462196183895,-0.980836991561779,-0.9848946755583783,-0.989283171581669,-0.9802597668833831,-0.9802597668833831
-0.9836366474831266,-0.9966923417243646,-0.9942232041553848,-0.9911327874451266,-0.9914999470731449,-0.972158728969161,-0.9814063140631406,-0.9814063140631406
-0.9815419686040678,-0.9945905133011127,-0.9929628123347415,-0.9942856666861032,-0.9888324335767968,-0.9890583430134522,-0.9897308615943302,-0.9897308615943302
-0.8952023972099241,-0.9229692443605821,-0.9745112623092772,-0.9648060375346733,-0.9476129988356092,-0.933263386667666,-0.923633807766649,-0.923633807766649
-0.9042722658150529,-0.9633757095066565,-0.9488197871745362,-0.9618905613541138,-0.9583359796760876,-0.903304979952786,-0.9342953786680724,-0.9342953786680724
-0.8835710182534137,-0.959953609045957,-0.9767804561103967,-0.9924780714541562,-0.9829469672912036,-0.9796717502904035,-0.9744596731681603,-0.9744596731681603
-0.9930308730203239,-0.9939903896477275,-0.9887663915055454,-0.9827737007388649,-0.9847676511061713,-0.9892269644396148,-0.9882841328413284,-0.9882841328413284
-0.9768918421200211,-0.9884273829444857,-0.967747648062453,-0.9693625103082908,-0.9441304117709326,-0.9426125079626785,-0.8924647103613893,-0.8924647103613893
-0.9921790571519946,-0.9953525307772718,-0.9962774474134488,-0.9915701088722105,-0.9779295014290251,-0.9906321429909694,-0.9941574415744158,-0.9941574415744158
-0.9726994529887066,-0.9855635370450748,-0.9911039786612733,-0.989112778948596,-0.9814967714618398,-0.9884025930228201,-0.9561983834124056,-0.9561983834124056
