,MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/04/07 09:59:21.390),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,Unnamed: 32
15,12,NewMedia13,10,0.06856,2388962474901,0.51254,0.26699,0.0,0.06856,1,1,0.50534,0.2683,1,1.36354,0.3,0,,0.34017,0.44514,24.8148,1.06965,1,0.59402,0.47316,24.30171,1.06965,1,0,0.0,10,,
30,12,NewMedia13,26,0.17456,2388963534885,0.51274,0.26724,0.0,0.17456,1,1,0.51234,0.27469,1,1.3625,0.30185,0,,0.33938,0.44508,24.78892,1.06946,1,0.59351,0.47292,23.75943,1.07718,1,0,0.0,10,,
45,12,NewMedia13,41,0.27525,2388964541891,0.51249,0.26993,0.0,0.27525,1,1,0.51492,0.27996,1,1.3625,0.30185,0,,0.33869,0.44545,23.67627,1.04762,1,0.59299,0.47337,23.08381,1.04762,1,0,0.0,10,,
60,12,NewMedia13,57,0.38213,2388965610632,0.51249,0.26394,0.0,0.38213,1,1,0.50882,0.23005,1,1.3625,0.30185,0,,0.33849,0.4458,22.50267,1.10877,1,0.59256,0.47362,22.06498,1.10106,1,0,0.0,10,,
75,12,NewMedia13,73,0.48901,2388966679457,0.34348,0.32883,0.44443,0.04459,2,1,0.35139,0.35214,1,1.3625,0.30185,0,,0.33357,0.44764,21.39229,1.0412,1,0.5871,0.47441,21.0913,1.03348,1,0,0.0,10,,
90,12,NewMedia13,89,0.59631,2388967752443,0.22364,0.39653,0.44443,0.13173,2,0,0.18178,0.4073,1,1.3625,0.30185,0,,0.32998,0.45084,22.29147,1.09261,1,0.58279,0.47695,20.29976,1.09261,1,0,0.0,10,,
105,12,NewMedia13,104,0.69688,2388968758204,0.18129,0.43494,0.60307,0.09381,3,1,0.18014,0.4399,1,1.3625,0.30185,0,,0.32979,0.45169,22.24553,1.05663,1,0.58342,0.47774,20.24309,1.04892,1,0,0.0,10,,
120,12,NewMedia13,119,0.79762,2388969765472,0.1791,0.44875,0.60307,0.19455,3,1,0.17871,0.46056,1,1.3625,0.30185,0,,0.32936,0.45082,22.10715,1.03348,1,0.58337,0.4772,21.4097,1.03348,1,0,0.0,10,,
135,12,NewMedia13,134,0.89769,2388970766206,0.48751,0.39563,0.84401,0.05368,4,1,0.47931,0.37537,1,1.3625,0.30185,0,,0.33834,0.44901,22.02996,1.07754,1,0.59193,0.47619,21.51808,1.07754,1,0,0.0,10,,
150,12,NewMedia13,149,0.99814,2388971770672,0.49576,0.37523,0.84401,0.15413,4,1,0.55679,0.34607,1,1.3625,0.30185,0,,0.34145,0.44907,22.06511,1.09531,1,0.59457,0.47663,20.73654,1.09531,1,0,0.0,10,,
165,12,NewMedia13,164,1.099,2388972779338,0.56094,0.37621,1.02504,0.07396,5,1,0.56672,0.381,1,1.3625,0.30185,0,,0.3415,0.44913,21.42694,1.06175,1,0.59483,0.47678,20.25988,1.06175,1,0,0.0,10,,
180,12,NewMedia13,179,1.19917,2388973780989,0.44486,0.72305,1.17906,0.02011,6,1,0.43462,0.73522,1,1.3625,0.30185,0,,0.33779,0.45556,19.78647,1.11649,1,0.59047,0.48262,18.84226,1.10877,1,0,0.0,10,,
195,12,NewMedia13,195,1.30634,2388974852655,0.43338,0.72388,1.17906,0.12727,6,1,0.32073,0.69423,1,1.3625,0.30185,0,,0.33368,0.45493,20.08604,1.05468,1,0.58582,0.48102,20.09265,1.05468,1,0,0.0,10,,
210,12,NewMedia13,210,1.40672,2388975856555,0.27875,0.60331,1.34023,0.0665,7,1,0.28739,0.6155,1,1.3625,0.30185,0,,0.33094,0.45412,20.14029,1.06175,1,0.58377,0.47978,20.06305,1.06175,1,0,0.0,10,,
225,12,NewMedia13,225,1.50716,2388976860917,0.28131,0.61152,1.34023,0.16693,7,1,0.26217,0.63161,1,1.3625,0.30185,0,,0.33082,0.45438,20.27715,1.06175,1,0.58394,0.47993,19.85807,1.06175,1,0,0.0,10,,
240,12,NewMedia13,240,1.6076,2388977865322,0.31778,0.57427,1.58777,0.01984,8,1,0.31728,0.57923,1,1.3625,0.30185,0,,0.3332,0.45364,19.98219,1.07718,1,0.58636,0.47908,18.87461,1.06947,1,0,0.0,10,,
255,12,NewMedia13,255,1.70821,2388978871349,0.35211,0.59351,1.58777,0.12044,8,1,0.37198,0.60106,1,1.3625,0.30185,0,,0.33496,0.45351,19.1997,1.10877,1,0.58826,0.47985,19.11238,1.10106,1,0,0.0,10,,
270,12,NewMedia13,270,1.80899,2388979879201,0.39444,0.59532,1.58777,0.21529,8,0,0.42352,0.58025,1,1.3625,0.30185,0,,0.33683,0.4534,18.8083,1.07718,1,0.59016,0.48004,18.25992,1.06947,1,0,0.0,10,,
285,12,NewMedia13,285,1.91084,2388980897805,0.42866,0.57667,1.80899,0.10185,9,1,0.42479,0.55774,1,1.3625,0.30185,0,,0.33626,0.45375,18.63879,1.07718,1,0.58957,0.48093,18.74911,1.0849,1,0,0.0,10,,
300,12,NewMedia13,300,2.00952,2388981884455,0.42718,0.56672,1.80899,0.20053,9,1,0.41756,0.58738,1,1.3625,0.30185,0,,0.33498,0.45461,19.16015,1.07718,1,0.58859,0.48116,18.40154,1.06947,1,0,0.0,10,,
315,12,NewMedia13,315,2.10999,2388982889100,0.57682,0.60173,2.09012,0.01987,10,1,0.57571,0.61623,1,1.3625,0.30185,0,,0.33865,0.45433,18.8375,1.04794,1,0.59203,0.48179,18.39289,1.04104,1,0,0.0,9,,
330,12,NewMedia13,330,2.21104,2388983899798,0.56851,0.59047,2.09012,0.12093,10,1,0.57124,0.55254,1,1.3625,0.30185,0,,0.33853,0.45489,19.4641,1.09334,1,0.59222,0.48229,18.7576,1.09334,1,0,0.0,9,,
345,12,NewMedia13,345,2.31119,2388984901127,0.57268,0.56337,2.2373,0.07388,11,1,0.61999,0.53176,1,1.3625,0.30185,0,,0.34051,0.45465,19.75067,1.08707,1,0.59411,0.48246,18.83564,1.10169,1,0,0.0,9,,
360,12,NewMedia13,360,2.412,2388985909409,0.66054,0.56325,2.36459,0.04741,12,1,0.66254,0.54965,1,1.3625,0.30185,0,,0.34363,0.45366,20.25094,1.07953,1,0.59728,0.48235,18.88879,1.08644,1,0,0.0,9,,
375,12,NewMedia13,375,2.5121,2388986910319,0.66213,0.56839,2.36459,0.14751,12,1,0.66573,0.56532,1,1.3625,0.30185,0,,0.34513,0.4535,20.13143,1.06175,1,0.59892,0.48289,18.83082,1.06175,1,0,0.0,9,,
390,12,NewMedia13,390,2.61282,2388987917552,0.66291,0.56394,2.36459,0.24823,12,1,0.64476,0.57196,1,1.3625,0.30185,0,,0.34571,0.45307,19.62581,1.06572,1,0.59942,0.48367,18.86268,1.06572,1,0,0.0,9,,
405,12,NewMedia13,405,2.71301,2388988919440,0.65699,0.56227,2.36459,0.34842,12,1,0.63335,0.55264,1,1.3625,0.30185,0,,0.34596,0.45313,19.96954,1.06965,1,0.59966,0.48452,19.20569,1.06965,1,0,0.0,9,,
420,12,NewMedia13,420,2.8134,2388989923338,0.64816,0.56278,2.36459,0.44881,12,1,0.63643,0.56792,1,1.3625,0.30185,0,,0.34598,0.45249,20.58395,1.07718,1,0.59994,0.4845,19.11321,1.0849,1,0,0.0,9,,
435,12,NewMedia13,435,2.91415,2388990930846,0.64644,0.56343,2.36459,0.54956,12,1,0.72295,0.58487,1,1.3625,0.30185,0,,0.34849,0.45305,21.48498,1.06175,1,0.60186,0.48622,19.15743,1.06175,1,0,0.0,9,,
450,12,NewMedia13,450,3.01479,2388991937162,0.71931,0.56363,2.92737,0.08742,13,1,0.73052,0.55874,1,1.3625,0.30185,0,,0.34823,0.45339,21.16092,1.04845,1,0.6016,0.4881,19.01103,1.04845,1,0,0.0,9,,
465,12,NewMedia13,465,3.11537,2388992943027,0.57743,0.3802,3.08795,0.02742,14,1,0.57957,0.40566,1,1.3625,0.30185,0,,0.34312,0.44981,20.70744,1.02674,1,0.59594,0.48572,19.94376,1.03365,1,0,0.0,9,,
480,12,NewMedia13,480,3.21527,2388993942064,0.57686,0.35621,3.08795,0.12732,14,1,0.57335,0.33705,1,1.3625,0.30185,0,,0.34091,0.44972,20.82351,1.06175,1,0.59425,0.4862,19.9467,1.06175,1,0,0.0,9,,
495,12,NewMedia13,495,3.31586,2388994947943,0.57662,0.35662,3.08795,0.22791,14,1,0.57505,0.32055,1,1.3625,0.30185,0,,0.33875,0.44862,20.92208,1.04794,1,0.59216,0.4851,19.91926,1.04104,1,0,0.0,9,,
510,12,NewMedia13,510,3.41626,2388995951920,0.58526,0.29433,3.36932,0.04694,15,1,0.57953,0.30485,1,1.3625,0.30185,0,,0.33699,0.44882,21.64239,1.02674,1,0.5905,0.4842,19.7838,1.03365,1,0,0.0,9,,
525,12,NewMedia13,525,3.51666,2388996955866,0.57525,0.28131,3.36932,0.14734,15,1,0.4947,0.18102,1,1.3625,0.30185,0,,0.33392,0.44928,22.03917,1.04794,1,0.5872,0.4826,20.17489,1.05485,1,0,0.0,9,,
540,12,NewMedia13,540,3.61714,2388997960698,0.46408,0.11425,3.5502,0.06694,16,1,0.46036,0.12538,1,1.3625,0.30185,0,,0.33273,0.44931,22.38685,1.08544,1,0.58691,0.48079,19.96127,1.08544,1,0,0.0,9,,
555,12,NewMedia13,555,3.71765,2388998965869,0.46347,0.13321,3.5502,0.16745,16,1,0.46864,0.12959,1,1.3625,0.30185,0,,0.33407,0.44961,22.21762,1.06175,1,0.58876,0.47936,20.19365,1.06175,1,0,0.0,9,,
570,12,NewMedia13,570,3.81868,2388999976123,0.54432,0.07854,3.79803,0.02065,17,1,0.55712,0.08231,1,1.3625,0.30185,0,,0.34014,0.44812,22.02402,1.03413,1,0.59459,0.47645,19.37916,1.03413,1,0,0.0,9,,
585,12,NewMedia13,585,3.91864,2389000975720,0.55246,0.09211,3.79803,0.12061,17,1,0.56194,0.06782,1,1.3625,0.30185,0,,0.34411,0.4479,21.96264,1.03348,1,0.59889,0.47606,19.61357,1.03348,1,0,0.0,9,,
600,12,NewMedia13,600,4.01915,2389001980787,0.55434,0.04399,3.97217,0.04698,18,1,0.55106,0.06613,1,1.3625,0.30185,0,,0.34765,0.44789,22.31101,1.04088,1,0.60257,0.47749,19.75049,1.03397,1,0,0.0,9,,
615,12,NewMedia13,615,4.12007,2389002990017,0.55382,0.05063,3.97217,0.1479,18,1,0.52436,0.07472,1,1.3625,0.30185,0,,0.34898,0.44808,22.16329,1.07718,1,0.60335,0.47829,20.80886,1.06946,1,0,0.0,9,,
630,12,NewMedia13,630,4.2198,2389003987327,0.52402,0.10167,4.16663,0.05318,19,1,0.52794,0.06925,1,1.3625,0.30185,0,,0.34956,0.44811,22.103,1.06175,1,0.60379,0.47967,20.93657,1.06175,1,0,0.0,9,,
645,12,NewMedia13,645,4.3309,2389005098272,0.46892,0.07739,4.16663,0.1564,19,0,0.42948,0.06712,1,1.3625,0.30185,0,,0.3443,0.44792,22.52942,1.04104,1,0.59826,0.47854,21.23237,1.03413,1,0,0.0,9,,
660,12,NewMedia13,660,4.42801,2389006069448,0.42645,0.07165,4.3309,0.09711,20,1,0.4147,0.07385,1,1.3625,0.30185,0,,0.34071,0.44768,23.05202,1.06175,1,0.59487,0.47791,21.70896,1.06175,1,0,0.0,9,,
675,12,NewMedia13,675,4.52827,2389007072031,0.4254,0.07842,4.3309,0.19737,20,1,0.42192,0.09786,1,1.3625,0.30185,0,,0.33778,0.44877,23.5906,1.04893,1,0.59216,0.47787,21.45238,1.04893,1,0,0.0,9,,
690,12,NewMedia13,690,4.62914,2389008080669,0.51211,0.11866,4.58844,0.0407,21,1,0.50962,0.12209,1,1.3625,0.30185,0,,0.34097,0.44991,23.07802,1.05468,1,0.59488,0.47906,22.26405,1.05468,1,0,0.0,9,,
705,12,NewMedia13,705,4.7292,2389009081274,0.52215,0.13699,4.58844,0.14076,21,1,0.52827,0.16742,1,1.3625,0.30185,0,,0.34289,0.44939,23.63652,1.01277,1,0.59677,0.47933,22.41564,1.01277,1,0,0.0,9,,
720,12,NewMedia13,720,4.82938,2389010082997,0.5234,0.13497,4.58844,0.24094,21,1,0.52776,0.16024,1,1.3625,0.30185,0,,0.34474,0.44923,24.30399,1.05468,1,0.59871,0.47957,22.65076,1.04778,1,0,0.0,9,,
735,12,NewMedia13,735,4.93005,2389011089782,0.52771,0.13583,4.58844,0.34161,21,1,0.54233,0.13281,1,1.3625,0.30185,0,,0.3453,0.44916,24.09481,1.06473,1,0.59946,0.47965,23.14351,1.05783,1,0,0.0,9,,
750,12,NewMedia13,750,5.0307,2389012096332,0.53005,0.13948,4.58844,0.44226,21,1,0.50642,0.13082,1,1.3625,0.30185,0,,0.34487,0.44849,24.51065,1.02658,1,0.59858,0.47902,23.09628,1.03348,1,0,0.0,9,,
765,12,NewMedia13,765,5.13103,2389013099620,0.52098,0.12876,5.1111,0.01993,22,1,0.52285,0.12593,1,1.3625,0.30185,0,,0.34509,0.44556,24.33814,1.01293,1,0.59909,0.4765,23.32489,1.01984,1,0,0.0,9,,
780,12,NewMedia13,780,5.2319,2389014108298,0.53651,0.13149,5.1111,0.1208,22,1,0.57669,0.07849,1,1.3625,0.30185,0,,0.34686,0.44519,24.81754,1.05485,1,0.6006,0.47681,23.32877,1.06175,1,0,0.0,9,,
795,12,NewMedia13,795,5.33249,2389015114172,0.57933,0.13001,5.26518,0.06731,23,1,0.5753,0.1031,1,1.3625,0.30185,0,,0.34591,0.44625,24.38852,1.04104,1,0.59989,0.47775,23.5941,1.03413,1,0,0.0,9,,
810,12,NewMedia13,810,5.43263,2389016115584,0.58006,0.13091,5.26518,0.16745,23,1,0.55618,0.1328,1,1.3625,0.30185,0,,0.3458,0.44736,24.06647,1.06175,1,0.5998,0.47868,23.3314,1.06175,1,0,0.0,9,,
825,12,NewMedia13,825,5.53328,2389017122119,0.44906,0.20617,5.47957,0.05371,24,1,0.45194,0.20909,1,1.3625,0.30185,0,,0.34342,0.448,24.16388,1.04875,1,0.59725,0.47899,23.27127,1.04104,1,0,0.0,9,,
840,12,NewMedia13,840,5.63347,2389018124066,0.44405,0.20421,5.47957,0.1539,24,1,0.44312,0.17649,1,1.3625,0.30185,0,,0.34419,0.44727,24.06489,1.06175,1,0.59826,0.4785,23.23647,1.06175,1,0,0.0,9,,
855,12,NewMedia13,855,5.73387,2389019128038,0.44332,0.20644,5.47957,0.2543,24,1,0.44928,0.206,1,1.3625,0.30185,0,,0.34336,0.44765,24.36215,1.04778,1,0.59768,0.47865,23.69571,1.04778,1,0,0.0,9,,
870,12,NewMedia13,870,5.83478,2389020137067,0.52393,0.11397,5.77415,0.06062,25,1,0.5341,0.09274,1,1.3625,0.30185,0,,0.34565,0.44667,24.75286,1.06175,1,0.59956,0.47798,24.06241,1.06175,1,0,0.0,9,,
885,12,NewMedia13,886,5.94196,2389021208937,0.53924,0.15873,5.77415,0.16115,25,0,0.55327,0.22095,1,1.3625,0.30185,0,,0.34595,0.44805,24.38251,1.04762,1,0.59942,0.4794,24.07519,1.04762,1,0,0.0,9,,
900,12,NewMedia13,901,6.04201,2389022209378,0.55412,0.21037,5.94196,0.10005,26,1,0.54716,0.20138,1,1.3625,0.30185,0,,0.34544,0.44853,24.02283,1.06175,1,0.5995,0.47962,23.35602,1.06175,1,0,0.0,9,,
915,12,NewMedia13,917,6.14949,2389023284167,0.55176,0.20926,5.94196,0.20753,26,1,0.48186,0.21637,1,1.3625,0.30185,0,,0.34328,0.44875,24.16455,1.06175,1,0.59719,0.47953,23.50369,1.06175,1,0,0.0,9,,
930,12,NewMedia13,932,6.25021,2389024291445,0.44032,0.222,6.17606,0.07416,27,1,0.43164,0.19215,1,1.3625,0.30185,0,,0.34184,0.44882,24.52974,1.06175,1,0.59591,0.47941,23.83572,1.06175,1,0,0.0,9,,
945,12,NewMedia13,947,6.35014,2389025290696,0.4401,0.21729,6.17606,0.17409,27,1,0.50845,0.28878,1,1.3625,0.30185,0,,0.34353,0.44978,24.02526,1.06175,1,0.59714,0.48033,23.55167,1.06175,1,0,0.0,9,,
960,12,NewMedia13,962,6.45068,2389026296086,0.5056,0.30354,6.37694,0.07375,28,1,0.50729,0.3314,1,1.3625,0.30185,0,,0.34273,0.45024,23.94847,1.04794,1,0.59692,0.48051,23.49497,1.04104,1,0,0.0,9,,
975,12,NewMedia13,977,6.55087,2389027298004,0.50536,0.31564,6.37694,0.17393,28,1,0.50917,0.3306,1,1.3625,0.30185,0,,0.34144,0.4506,23.7627,1.05468,1,0.59599,0.48045,23.59082,1.05468,1,0,0.0,9,,
990,12,NewMedia13,992,6.65158,2389028305152,0.43691,0.25648,6.61153,0.04005,29,1,0.42867,0.25717,1,1.3625,0.30185,0,,0.33802,0.44988,24.34552,1.04794,1,0.59216,0.47897,24.01389,1.04104,1,0,0.0,9,,
1005,12,NewMedia13,1007,6.75204,2389029309740,0.43295,0.27094,6.61153,0.14052,29,1,0.43183,0.27542,1,1.3625,0.30185,0,,0.33794,0.44992,24.31685,1.03348,1,0.59224,0.47906,24.15744,1.03348,1,0,0.0,9,,
1020,12,NewMedia13,1022,6.85262,2389030315488,0.52095,0.24694,6.8257,0.02692,30,1,0.5247,0.25101,1,1.3625,0.30185,0,,0.34254,0.44994,24.13984,1.03552,1,0.59641,0.47962,23.53048,1.0224,1,0,0.0,9,,
1035,12,NewMedia13,1037,6.95305,2389031319793,0.52851,0.25135,6.8257,0.12735,30,1,0.53258,0.27645,1,1.3625,0.30185,0,,0.34439,0.44903,24.07495,1.03413,1,0.59833,0.47986,23.21512,1.03413,1,0,0.0,9,,
1050,12,NewMedia13,1052,7.05379,2389032327171,0.53213,0.26496,6.8257,0.22809,30,1,0.54178,0.26276,1,1.3625,0.30185,0,,0.34552,0.44912,23.86101,1.02707,1,0.59946,0.4804,23.45639,1.02707,1,0,0.0,9,,
1065,12,NewMedia13,1067,7.15396,2389033328913,0.53726,0.26237,6.8257,0.32826,30,1,0.56946,0.2426,1,1.3625,0.30185,0,,0.34716,0.45041,23.59818,1.07163,1,0.60069,0.48195,23.11844,1.07854,1,0,0.0,9,,
1080,12,NewMedia13,1082,7.25493,2389034338593,0.56283,0.27279,7.1808,0.07413,31,1,0.5617,0.29329,1,1.3625,0.30185,0,,0.3469,0.45119,23.84601,1.04794,1,0.60036,0.48261,23.35474,1.04104,1,0,0.0,9,,
1095,12,NewMedia13,1097,7.35527,2389035342049,0.51378,0.34963,7.3217,0.03357,32,1,0.5082,0.35856,1,1.3625,0.30185,0,,0.3456,0.45286,22.67226,1.06175,1,0.59854,0.48378,22.80002,1.06175,1,0,0.0,9,,
1110,12,NewMedia13,1112,7.45595,2389036348848,0.52318,0.35509,7.3217,0.13425,32,1,0.57182,0.37574,1,1.3625,0.30185,0,,0.34755,0.4534,22.94134,1.08544,1,0.60031,0.48459,22.22541,1.08544,1,0,0.0,9,,
1125,12,NewMedia13,1127,7.55602,2389037349407,0.57436,0.36889,7.49065,0.06537,33,1,0.57694,0.39377,1,1.3625,0.30185,0,,0.34876,0.45346,22.60648,1.05584,1,0.6016,0.48558,21.92832,1.04894,1,0,0.0,9,,
1140,12,NewMedia13,1142,7.65637,2389038353004,0.57435,0.3697,7.49065,0.16573,33,1,0.5689,0.30615,1,1.3625,0.30185,0,,0.35025,0.45263,23.48059,1.08544,1,0.60256,0.4852,23.15527,1.08544,1,0,0.0,8,,
1155,12,NewMedia13,1157,7.75659,2389039355233,0.58755,0.22498,7.6963,0.06029,34,1,0.57486,0.24011,1,1.3625,0.30185,0,,0.35105,0.45116,23.12376,1.06711,1,0.60331,0.48381,22.97131,1.08022,1,0,0.0,8,,
1170,12,NewMedia13,1172,7.85704,2389040359687,0.49767,0.37541,7.6963,0.13426,34,0,0.4999,0.38032,1,1.3625,0.30185,0,,0.34959,0.45258,22.674,1.03413,1,0.60149,0.48522,22.23321,1.03413,1,0,0.0,8,,
1185,12,NewMedia13,1187,7.95787,2389041368023,0.48584,0.34691,7.85704,0.10083,35,1,0.48793,0.3326,1,1.3625,0.30185,0,,0.35029,0.45257,22.40736,1.06965,1,0.60279,0.48556,21.81604,1.06965,1,0,0.0,8,,
1200,12,NewMedia13,1202,8.0585,2389042374344,0.48648,0.34902,7.85704,0.20146,35,1,0.48193,0.36176,1,1.3625,0.30185,0,,0.35069,0.45287,22.47403,1.08544,1,0.60352,0.48635,21.65975,1.08544,1,0,0.0,8,,
1215,12,NewMedia13,1217,8.15918,2389043381084,0.43446,0.40529,8.09865,0.06053,36,1,0.42512,0.39356,1,1.3625,0.30185,0,,0.34885,0.45288,22.41143,1.06175,1,0.60158,0.48604,21.72801,1.06175,1,0,0.0,8,,
1230,12,NewMedia13,1233,8.26569,2389044446124,0.43289,0.39681,8.09865,0.16704,36,1,0.4285,0.39844,1,1.3625,0.30185,0,,0.34753,0.45261,22.73152,1.0637,1,0.60049,0.48506,22.00786,1.0568,1,0,0.0,8,,
1245,12,NewMedia13,1248,8.36642,2389045453590,0.43202,0.39826,8.09865,0.26778,36,1,0.42295,0.43604,1,1.3625,0.30185,0,,0.34649,0.45273,23.49836,1.06175,1,0.59974,0.48443,21.69728,1.06175,1,0,0.0,8,,
1260,12,NewMedia13,1263,8.46715,2389046460725,0.42925,0.4032,8.09865,0.3685,36,1,0.41398,0.41915,1,1.3625,0.30185,0,,0.34478,0.45293,23.49655,1.0637,1,0.59805,0.48414,22.14207,1.0637,1,0,0.0,8,,
1275,12,NewMedia13,1278,8.56761,2389047465383,0.51379,0.35823,8.09865,0.45547,36,0,0.56518,0.33835,1,1.3625,0.30185,0,,0.34762,0.45143,23.22865,1.04104,1,0.59997,0.48263,22.7421,1.04104,1,0,0.0,8,,
1290,12,NewMedia13,1293,8.66812,2389048470590,0.56803,0.31471,8.5816,0.08652,37,1,0.57746,0.31185,1,1.3625,0.30185,0,,0.3453,0.45137,22.9825,1.06175,1,0.59844,0.48171,22.74909,1.06175,1,0,0.0,8,,
1305,12,NewMedia13,1308,8.76846,2389049473958,0.56978,0.31325,8.5816,0.18686,37,1,0.57325,0.30631,1,1.3625,0.30185,0,,0.34418,0.45155,23.29902,1.06473,1,0.5975,0.48133,23.0038,1.05783,1,0,0.0,8,,
