,MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/03/30 10:25:11.234),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,Unnamed: 32
0,17,NewMedia18,0,0.0,12036234686681,0.49268,0.28743,0.0,0.0,1,0,0.49659,0.28446,1,1.36719,0.15093,0,,0.41375,0.58702,23.8032,1.0569,1,0.65601,0.60407,22.55723,1.06453,1,0,0.0,20,,
15,17,NewMedia18,15,0.09985,12036235683517,0.49625,0.26746,0.0,0.09985,2,1,0.49899,0.24807,1,1.36719,0.15093,0,,0.41414,0.58743,24.40486,1.03412,1,0.65655,0.6042,22.33187,1.03412,1,0,0.0,20,,
30,17,NewMedia18,30,0.20068,12036236692877,0.49593,0.25016,0.0,0.20068,2,1,0.49955,0.17328,1,1.36719,0.15093,0,,0.41444,0.58737,24.59333,1.11409,1,0.657,0.60469,23.38825,1.11409,1,0,0.0,20,,
45,17,NewMedia18,45,0.30103,12036237696316,0.49779,0.18163,0.20776,0.09326,3,1,0.48879,0.26755,1,1.36719,0.15093,0,,0.41412,0.58758,24.52485,1.03412,1,0.65665,0.60441,22.91239,1.03412,1,0,0.0,20,,
60,17,NewMedia18,60,0.40137,12036238700006,0.49411,0.28073,0.33447,0.06689,4,1,0.49451,0.25608,1,1.36667,0.1537,0,,0.41364,0.58767,23.62917,1.0569,1,0.65606,0.6042,22.62345,1.06453,1,0,0.0,19,,
75,17,NewMedia18,75,0.5022,12036239706363,0.43791,0.57531,0.48193,0.02026,5,1,0.44518,0.58399,1,1.36667,0.1537,0,,0.41132,0.59357,20.90576,1.04928,1,0.65357,0.60931,19.66398,1.04928,1,0,0.0,19,,
90,17,NewMedia18,90,0.60254,12036240710514,0.42718,0.56981,0.48193,0.12061,5,1,0.31144,0.60394,1,1.36667,0.1537,0,,0.40619,0.59488,20.19194,1.04928,1,0.64806,0.61018,19.5961,1.04928,1,0,0.0,19,,
105,17,NewMedia18,105,0.70288,12036241714966,0.31152,0.59338,0.62256,0.08032,6,1,0.29498,0.62679,1,1.36667,0.1537,0,,0.40423,0.59453,20.03799,1.0569,1,0.64612,0.60972,19.48359,1.06453,1,0,0.0,19,,
120,17,NewMedia18,120,0.80347,12036242719415,0.31423,0.59577,0.62256,0.18091,6,1,0.37555,0.58809,1,1.36667,0.1537,0,,0.40563,0.59354,18.67018,1.09789,1,0.64798,0.60898,18.40803,1.08169,1,0,0.0,19,,
135,17,NewMedia18,135,0.90381,12036243723857,0.38558,0.58969,0.83691,0.06689,7,1,0.39588,0.59748,1,1.36667,0.1537,0,,0.40576,0.59356,18.63137,1.06462,1,0.64777,0.60863,17.2325,1.06462,1,0,0.0,19,,
