obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 1017678, 24339, 6385, 9911, 20425, 17176, 18705, 14248, NA, NA, NA, 1128867,  0*
2, 6.0, 14001, 16419, 30636, 17871, 9072, 21478, 8545, 5474, NA, NA, NA, 123496,  0*
3, 7.0, 2492, 3032, 8574, 10704, 6498, 4028, 3374, 1797, NA, NA, NA, 40499,  0*
4, 8.0, 3506, 4302, 2892, 2499, 4906, 2408, 2806, 1373, 38, 38, NA, 24692,  0*
5, 9.0, 4295, 3192, 1770, 1491, 1515, 5103, 1759, 1680, 61, 34, NA, 20805,  0*
6, 10.0, 450860, 43507, 25734, 45402, 16190, 15149, 13930, 11514, 44, 41, NA, 622286,  0*
7, 11.0, 6066, 5634, 524, 3407, 3003, 3482, 6262, 3581, 51, 37, NA, 31959,  0*
8, 12.0, 1007, 8001, 2799, 5161, 10419, 3857, 4102, 825, 51, 35, NA, 36171,  0*
9, 13.0, 3390, 4654, 3445, 12058, 3581, 4074, 3123, 1147, 21, 51, NA, 35472,  0*
10, 14.0, 415698, 48515, 21615, 18581, 18522, 21652, 10302, 4223, 37, 43, NA, 559108,  0*
11, 15.0, 7951, 5640, 2092, 5329, 2262, 3429, 1461, 1496, 29, 50, NA, 29660,  0*
12, 16.0, 697087, 45573, 15298, 9532, 31686, 10824, 8443, 2028, 17, 48, NA, 820471,  0*
13, 17.0, 19352, 4933, 1206, 2946, 2941, 2884, 1878, 993, 27, 35, NA, 37133,  0*
14, 18.0, 6352, 2107, 16220, 5014, 11640, 5620, 2457, 514, 26, 44, NA, 49924,  0*
15, 19.0, 4388, 2192, 14172, 5850, 3764, 3279, 4596, 1082, 11, 57, NA, 39323,  0*
16, 20.0, 2430, 9920, 4930, 3577, 4478, 4558, 2198, 1279, 24, 63, NA, 33370,  0*
17, 21.0, 1421, 9133, 822, 1450, 4227, 6417, 2361, 495, 37, 48, NA, 26326,  0*
18, 22.0, 229431, 482568, 48346, 50021, 54306, 21593, 34894, 8577, 21, 26, NA, 929736,  0*
19, 23.0, 6878, 2044, 4315, 4752, 3293, 4861, 2550, 3284, 53, 16, NA, 31977,  0*
20, 24.0, 547672, 36141, 31110, 13810, 25886, 7626, 7900, 5910, 50, 20, NA, 676055,  0*
21, 25.0, 9112, 6838, 491, 1104, 3722, 2666, 2776, 1071, 43, 21, NA, 27780,  0*
22, 26.0, 15372, 36540, 4221, 2694, 3564, 4039, 1818, 1066, 56, 20, NA, 69314,  0*
23, 27.0, 59207, 26521, 3662, 12707, 6292, 3893, 3489, 2329, 35, 11, NA, 118100,  0*
24, 28.0, 2269, 5659, 3945, 3044, 1941, 4573, 3307, 1795, 53, 11, NA, 26533,  0*
25, 29.0, 126292, 80414, 25011, 6365, 8728, 2925, 2495, 2726, 24, 23, NA, 254956,  0*
26, 30.0, 120740, 36784, 6770, 2559, 2898, 5631, 2325, 586, 29, 26, NA, 178293,  0*
27, 31.0, 1811, 6890, 6323, 1464, 2597, 3001, 2284, 1567, 41, 30, NA, 25937,  0*
28, 32.0, 2217, 2759, 9051, 5979, 9398, 5353, 2149, 1950, 40, 35, NA, 38856,  0*
29, 33.0, 7296, 7304, 3080, 535, 4235, 10544, 2208, 1311, 81, 26, NA, 36513,  0*
30, 34.0, 8417, 8147, 6693, 3590, 1793, 3275, 2574, 995, 84, 43, NA, 35484,  0*
31, 35.0, 251010, 36310, 10360, 18661, 19577, 17778, 26911, 7899, 87, 38, NA, 388506,  0*
32, 36.0, 5237, 14253, 10830, 2759, 3647, 3505, 4284, 859, 74, 35, NA, 45374,  0*
33, 37.0, 394624, 53394, 14305, 11429, 25740, 18567, 15581, 8763, 56, 40, NA, 542403,  0*
34, 38.0, 16635, 21621, 22047, 8777, 8331, 4591, 3479, 866, 50, 41, NA, 86347,  0*
35, 39.0, 20597, 17877, 9358, 4175, 4297, 3743, 1695, 1521, 40, 44, NA, 63263,  0*
36, 40.0, 2460, 7722, 4459, 5162, 4078, 4937, 5062, 2925, 48, 41, NA, 36805,  0*
37, 41.0, 4426, 8248, 1783, 6526, 3555, 3234, 3933, 3328, 44, 51, NA, 35033,  0*
