obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 30042, 25682, 32940, 18136, 9830, 1779, 1790, 4768, NA, NA, NA, 124967,  3*
2, 4.9, 5704, 6316, 4592, 2707, 3708, 2415, 576, 399, NA, NA, NA, 26417,  3*
3, 5.9, 61070, 20730, 7536, 9610, 5488, 760, 1478, 1316, NA, NA, NA, 107988,  3*
4, 6.9, 8191, 23798, 10407, 7771, 3995, 4592, 1100, 541, 47, 30, NA, 60395,  3*
5, 7.9, 401874, 125542, 14988, 8431, 12539, 7293, 4165, 3214, 48, 13, NA, 578046,  3*
6, 8.9, 78986, 27084, 4638, 8655, 7825, 5354, 2518, 418, 57, 7, NA, 135478,  3*
7, 10.0, 81873, 25972, 3660, 3006, 5008, 2251, 810, 849, 61, 1, NA, 123429,  3*
8, 10.9, 19431, 12924, 9269, 2029, 1423, 1553, 1009, 695, 57, 4, NA, 48333,  3*
9, 11.9, 66434, 3671, 403, 1176, 619, 438, 388, 61, 63, 16, NA, 73190,  3*
10, 13.0, 1047, 4374, 2634, 1761, 2024, 3989, 3172, 355, 74, 21, NA, 19356,  3*
11, 13.9, 63772, 12422, 3668, 4592, 2619, 1510, 1046, 388, 74, 38, NA, 90017,  3*
12, 14.9, 315052, 43447, 3589, 2436, 12664, 5905, 1554, 1173, 78, 13, NA, 385820,  3*
13, 15.9, 78090, 17992, 3456, 698, 1159, 922, 1066, 160, 74, 13, NA, 103543,  3*
14, 16.9, 26901, 16822, 6431, 3242, 1940, 1686, 1521, 603, 54, 20, NA, 59146,  3*
15, 17.9, 21294, 42998, 6831, 2322, 2730, 2043, 1068, 2585, 51, 11, NA, 81871,  3*
16, 18.9, 70238, 25138, 16225, 4993, 2655, 2528, 1268, 383, 43, 40, NA, 123428,  3*
17, 20.0, 1564, 4736, 1975, 3645, 1837, 1930, 1737, 568, 56, 51, NA, 17992,  3*
18, 20.9, 76620, 23915, 2318, 3094, 432, 2094, 1381, 813, 57, 40, NA, 110667,  3*
19, 22.0, 2594, 6700, 3684, 5867, 2823, 4375, 2230, 559, 75, 57, NA, 28832,  3*
20, 22.9, 34083, 11216, 6590, 5939, 2375, 2163, 1349, 357, 81, 57, NA, 64072,  3*
21, 23.9, 232549, 205041, 308629, 163528, 76785, 86877, 30357, 28726, 77, 69, NA, 1132492,  3*
22, 24.9, 768817, 78690, 6478, 6059, 11196, 12440, 3195, 1928, 83, 63, NA, 888803,  3*
23, 26.0, 15925, 5992, 9393, 2066, 1540, 714, 1243, 211, 64, 70, NA, 37084,  3*
24, 27.0, 1120, 14056, 7612, 6361, 2980, 2241, 1274, 1080, 63, 69, NA, 36724,  3*
25, 27.9, 102352, 34420, 5447, 25854, 4509, 10733, 3260, 4244, 64, 60, NA, 190819,  3*
26, 28.9, 46166, 27966, 8879, 2004, 855, 1894, 591, 582, 56, 74, NA, 88937,  3*
27, 29.9, 72689, 15756, 9295, 1279, 2700, 4234, 2426, 1066, 69, 60, NA, 109445,  3*
28, 31.0, 19232, 4601, 5392, 3609, 6946, 2547, 1779, 645, 77, 57, NA, 44751,  3*
29, 31.9, 69732, 40518, 17659, 1041, 799, 1387, 635, 1965, 60, 53, NA, 133736,  3*
30, 32.9, 8983, 5028, 1287, 3912, 1454, 1928, 565, 882, 74, 61, NA, 24039,  3*
31, 33.9, 80471, 4242, 1966, 1128, 1092, 254, 204, 163, 56, 64, NA, 89520,  3*
32, 34.9, 8134, 8816, 5914, 11097, 1461, 2419, 745, 331, 51, 75, NA, 38917,  3*
33, 35.9, 47908, 14102, 2807, 3308, 3152, 1850, 538, 504, 64, 69, NA, 74169,  3*
34, 36.9, 1926, 8335, 2802, 2932, 1307, 1327, 556, 358, 57, 67, NA, 19543,  3*
35, 38.0, 138655, 9342, 3285, 2948, 1121, 1415, 954, 402, 66, 66, NA, 158122,  3*
36, 38.9, 7346, 7039, 3856, 8148, 1382, 1953, 885, 1327, 67, 63, NA, 31936,  3*
37, 39.9, 74534, 10741, 6260, 1807, 725, 2000, 1466, 497, 67, 74, NA, 98030,  3*
38, 40.9, 73699, 28323, 7068, 2140, 1263, 2162, 1368, 317, 63, 63, NA, 116340,  3*
39, 42.0, 29361, 11425, 1946, 3375, 3449, 1512, 1028, 540, 63, 54, NA, 52636,  3*
40, 42.9, 1114453, 312174, 12830, 30185, 7233, 9326, 7214, 2689, 51, 26, NA, 1496104,  3*
41, 43.9, 145661, 9414, 1807, 2584, 2111, 1169, 1246, 629, 50, 20, NA, 164621,  3*
42, 45.0, 81453, 48738, 574, 5286, 4026, 2832, 987, 845, 48, 7, NA, 144741,  3*
43, 45.9, 910681, 79797, 20974, 9485, 6065, 6850, 4813, 1987, 47, 8, NA, 1040652,  3*
44, 46.9, 1269507, 103760, 59713, 7801, 24882, 11392, 14970, 8691, 53, 26, NA, 1500716,  3*
45, 47.9, 1645381, 93551, 26185, 21406, 9545, 7572, 10534, 3354, 50, 27, NA, 1817528,  3*
46, 48.9, 3031692, 165421, 15075, 112773, 31012, 20672, 23148, 12787, 51, 51, NA, 3412580,  3*
47, 49.9, 26303, 8030, 1361, 4612, 3124, 3977, 3676, 2647, 66, 54, NA, 53730,  3*
48, 50.9, 265955, 6357, 3848, 3623, 5861, 3221, 2782, 2054, 78, 53, NA, 293701,  3*
49, 51.9, 16890, 23929, 3363, 4914, 4313, 2000, 2350, 2837, 80, 48, NA, 60596,  3*
50, 52.9, 5458, 18566, 8312, 5225, 4490, 5588, 960, 288, 87, 47, NA, 48887,  3*
51, 54.0, 283501, 37933, 2531, 5036, 3885, 1584, 1867, 575, 66, 35, NA, 336912,  3*
52, 54.9, 110561, 47328, 5841, 6609, 5215, 1299, 1794, 1674, 44, 26, NA, 180321,  3*
53, 56.0, 164447, 190709, 27429, 14270, 2976, 7657, 2331, 1388, 38, 21, NA, 411207,  3*
54, 56.9, 106492, 38497, 12638, 2721, 3316, 3434, 2445, 510, 29, 16, NA, 170053,  3*
55, 58.0, 67549, 27868, 6458, 1372, 3216, 2213, 812, 1136, 35, 20, NA, 110624,  3*
56, 58.9, 24895, 72440, 22294, 14361, 18943, 2930, 1532, 861, 37, 26, NA, 158256,  3*
57, 59.9, 3109158, 37535, 18910, 13461, 21998, 6570, 3851, 2639, 47, 37, NA, 3214122,  3*
58, 60.9, 289889, 31953, 7311, 2047, 3478, 1586, 1505, 682, 41, 34, NA, 338451,  3*
59, 61.9, 357860, 166956, 23828, 34381, 13348, 25656, 9200, 5534, 48, 37, NA, 636763,  3*
60, 63.0, 142536, 10620, 1521, 333, 377, 669, 262, 389, 54, 24, NA, 156707,  3*
61, 63.9, 21902, 27700, 1830, 16660, 9708, 5650, 2465, 2419, 57, 24, NA, 88334,  3*
62, 64.9, 74911, 26433, 4471, 15589, 2933, 4158, 1456, 411, 66, 35, NA, 130362,  3*
63, 65.9, 3664, 3365, 630, 2139, 2034, 2323, 298, 343, 78, 37, NA, 14796,  3*
64, 66.9, 1541, 3704, 1141, 641, 1418, 2446, 1143, 527, 97, 41, NA, 12561,  3*
65, 67.9, 36682, 9288, 5068, 1584, 2519, 1605, 1384, 485, 96, 41, NA, 58615,  3*
66, 68.9, 56593, 7863, 8122, 2106, 3835, 3157, 994, 582, 100, 44, NA, 83252,  3*
67, 69.9, 3850, 4783, 1100, 618, 1188, 3640, 1170, 482, 100, 38, NA, 16831,  3*
68, 70.9, 51802, 33403, 4555, 6625, 8482, 2840, 2105, 816, 87, 40, NA, 110628,  3*
69, 71.9, 238858, 22421, 1216, 1376, 2778, 1345, 601, 472, 81, 20, NA, 269067,  3*
70, 72.9, 60620, 89148, 19876, 3562, 1748, 2460, 1576, 731, 61, 7, NA, 179721,  3*
71, 74.0, 5786, 4124, 1520, 6933, 6886, 2064, 1492, 1428, 51, 26, NA, 30233,  3*
72, 74.9, 6275, 969, 589, 4337, 2419, 3335, 600, 1153, 69, 41, NA, 19677,  3*
73, 75.9, 5481, 1812, 957, 2642, 3310, 2727, 854, 640, 91, 61, NA, 18423,  3*
74, 76.9, 92642, 18728, 2451, 1131, 1592, 3055, 820, 1372, 100, 54, NA, 121791,  3*
75, 77.9, 1023, 2485, 493, 879, 1596, 1489, 1522, 783, 100, 40, NA, 10270,  3*
76, 78.9, 31452, 12758, 3475, 1668, 6293, 2749, 1215, 732, 100, 24, NA, 60342,  3*
77, 79.9, 4701, 14804, 1343, 1576, 1444, 1364, 1054, 626, 84, 10, NA, 26912,  3*
78, 81.0, 12257, 6088, 3714, 1499, 5016, 2544, 1761, 755, 88, 24, NA, 33634,  3*
79, 81.9, 88254, 28121, 7925, 1992, 16042, 5349, 5881, 3158, 80, 20, NA, 156722,  3*
80, 82.9, 117964, 4517, 5026, 2422, 1264, 2320, 1401, 583, 83, 38, NA, 135497,  3*
81, 83.9, 50769, 23604, 10118, 847, 4020, 2656, 1140, 370, 83, 50, NA, 93524,  3*
82, 84.9, 34476, 2206, 1589, 1606, 2451, 2868, 3245, 2502, 91, 51, NA, 50943,  3*
83, 85.9, 4085, 7486, 1417, 1757, 2517, 1439, 996, 547, 91, 56, NA, 20244,  3*
84, 86.9, 2557, 1508, 60, 1845, 1454, 3602, 1956, 689, 100, 40, NA, 13671,  3*
85, 88.0, 64795, 18734, 8592, 1911, 901, 3331, 1815, 465, 100, 43, NA, 100544,  3*
86, 88.9, 3339, 2436, 3070, 4333, 1847, 1482, 1865, 500, 84, 60, NA, 18872,  3*
87, 90.0, 90377, 26850, 7701, 1234, 1048, 1082, 1370, 755, 69, 61, NA, 130417,  3*
88, 90.9, 18846, 17879, 12337, 4058, 2885, 2672, 1424, 1039, 48, 75, NA, 61140,  3*
89, 92.0, 41437, 16603, 1054, 3888, 1434, 2300, 2093, 554, 47, 66, NA, 69363,  3*
90, 92.9, 61495, 19135, 6531, 1308, 2772, 3757, 1923, 767, 47, 47, NA, 97688,  3*
91, 93.9, 145336, 8629, 868, 1295, 1168, 884, 302, 214, 54, 41, NA, 158696,  3*
92, 94.9, 10259, 1694, 4451, 2110, 5804, 9089, 1423, 1328, 75, 29, NA, 36158,  3*
93, 95.9, 75876, 34109, 2759, 2791, 1242, 2243, 1747, 670, 69, 21, NA, 121437,  3*
94, 96.9, 620740, 50696, 48488, 11864, 17744, 15859, 3546, 2704, 70, 34, NA, 771641,  3*
95, 97.9, 206476, 19494, 3117, 1849, 4658, 4819, 2446, 734, 78, 27, NA, 243593,  3*
96, 99.0, 8076, 6670, 4837, 5477, 1441, 1477, 1343, 557, 57, 44, NA, 29878,  3*
97, 99.9, 106886, 39899, 4318, 1356, 936, 1300, 962, 1398, 53, 44, NA, 157055,  3*
98, 100.9, 2000, 1573, 1629, 74, 3142, 2157, 1174, 431, 64, 29, NA, 12180,  3*
99, 101.9, 14093, 4964, 7811, 3486, 2954, 3158, 2253, 413, 64, 56, NA, 39132,  3*
100, 102.9, 2178, 3661, 2074, 5144, 1536, 1878, 451, 1812, 70, 56, NA, 18734,  3*
101, 103.9, 28776, 26380, 5414, 3730, 1500, 3115, 1182, 582, 80, 66, NA, 70679,  3*
102, 104.9, 151708, 64117, 8118, 10388, 3588, 3190, 1559, 874, 56, 67, NA, 243542,  3*
