obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 7803, 18799, 11977, 5768, 2072, 2181, 1506, 1923, NA, NA, NA, 52029,  X*
2, 5.9, 33699, 24141, 7795, 9680, 2391, 1987, 1399, 1169, NA, NA, NA, 82261,  X*
3, 6.9, 89276, 104923, 7191, 19357, 14017, 4874, 2126, 1786, NA, NA, NA, 243550,  X*
4, 7.9, 478142, 234361, 19249, 57631, 49599, 14788, 8677, 2350, 44, 35, NA, 864797,  X*
5, 8.9, 34919, 6626, 4621, 4167, 3771, 2615, 1982, 438, 67, 47, NA, 59139,  X*
6, 9.9, 9527, 2573, 5457, 5787, 1707, 3081, 2105, 727, 91, 67, NA, 30964,  X*
7, 10.9, 16373, 6075, 2292, 11720, 3215, 3085, 1135, 820, 100, 87, NA, 44715,  X*
8, 11.9, 129142, 24028, 31660, 21745, 6607, 17277, 4554, 3837, 100, 100, NA, 238850,  X*
9, 12.9, 13285, 31711, 5316, 8364, 2822, 2383, 2611, 398, 100, 97, NA, 66890,  X*
10, 13.9, 26202, 2641, 3323, 4190, 2438, 1756, 1158, 693, 94, 94, NA, 42401,  X*
11, 14.9, 14725, 6509, 1225, 4487, 4788, 4798, 1315, 1999, 100, 78, NA, 39846,  X*
12, 15.9, 19676, 21192, 2645, 5384, 3875, 3316, 1918, 2498, 80, 56, NA, 60504,  X*
13, 16.9, 11357, 6664, 6598, 3928, 4994, 4075, 1263, 1028, 97, 66, NA, 39907,  X*
14, 17.9, 22218, 21530, 1717, 5595, 1400, 4200, 2974, 1008, 87, 44, NA, 60642,  X*
15, 18.9, 144241, 13377, 1724, 3073, 1648, 2289, 1366, 496, 67, 41, NA, 168214,  X*
16, 19.9, 5791, 3112, 1799, 5529, 2458, 2612, 1596, 427, 81, 57, NA, 23324,  X*
17, 20.9, 9207, 6811, 7653, 6710, 3431, 2015, 1858, 495, 67, 69, NA, 38180,  X*
18, 21.9, 13481, 3589, 9714, 6811, 827, 1118, 1646, 412, 53, 94, NA, 37598,  X*
