obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 88503, 93502, 13744, 24080, 7903, 4605, 4354, 4427, NA, NA, NA, 241118,  X*
2, 4.9, 15880, 28524, 7763, 2945, 3247, 3330, 4397, 1855, NA, NA, NA, 67941,  X*
3, 5.9, 115257, 14593, 1643, 1638, 2013, 508, 357, 267, NA, NA, NA, 136276,  X*
4, 6.9, 18912, 4077, 4008, 2832, 2709, 3314, 1057, 1197, 53, 51, NA, 38106,  X*
5, 7.9, 734799, 59883, 33685, 12786, 15400, 21604, 6437, 9113, 63, 60, NA, 893707,  X*
6, 8.9, 49464, 53759, 4950, 10813, 5401, 3730, 1688, 1211, 60, 56, NA, 131016,  X*
7, 9.9, 39364, 5591, 8979, 5726, 2962, 1673, 2751, 1079, 63, 80, NA, 68125,  X*
8, 10.9, 30881, 14845, 6895, 3690, 3978, 2283, 2417, 598, 51, 75, NA, 65587,  X*
9, 11.9, 6271, 14674, 7985, 3660, 6280, 2112, 2800, 1664, 44, 75, NA, 45446,  X*
10, 12.9, 100376, 43579, 5893, 2801, 2409, 4987, 1515, 1088, 50, 69, NA, 162648,  X*
11, 13.9, 316044, 200013, 44591, 10225, 29557, 10291, 5778, 7472, 41, 41, NA, 623971,  X*
12, 14.9, 51889, 50030, 5051, 5230, 1737, 1861, 706, 266, 30, 27, NA, 116770,  X*
13, 15.9, 331068, 165935, 85217, 56281, 75190, 12349, 8032, 13173, 24, 29, NA, 747245,  X*
14, 16.9, 703582, 28299, 2303, 2707, 3684, 2729, 3137, 2175, 23, 24, NA, 748616,  X*
15, 17.9, 13937, 13026, 2553, 2260, 4907, 3706, 2626, 4019, 38, 24, NA, 47034,  X*
16, 18.9, 1303425, 89036, 12011, 16100, 4100, 8763, 1529, 1813, 47, 29, NA, 1436777,  X*
17, 19.9, 53277, 14084, 11369, 4266, 9530, 4796, 2241, 1428, 60, 30, NA, 100991,  X*
18, 20.9, 9325, 24261, 4216, 4405, 5644, 4048, 2185, 2026, 63, 40, NA, 56110,  X*
19, 21.9, 412586, 173541, 6130, 39236, 10952, 14246, 11807, 2559, 51, 40, NA, 671057,  X*
20, 22.9, 646916, 33796, 2492, 27929, 1777, 3777, 9576, 1799, 50, 56, NA, 728062,  X*
