obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 78408, 12960, 6867, 2388, 1794, 1144, 567, 1207, NA, NA, NA, 105335,  X*
2, 4.9, 6910, 5162, 14508, 5075, 2608, 7318, 3474, 714, NA, NA, NA, 45769,  X*
3, 5.9, 6133, 29783, 4482, 4693, 15006, 12414, 9080, 4267, NA, NA, NA, 85858,  X*
4, 6.9, 21719, 23215, 30649, 8029, 30714, 10619, 11016, 8221, 44, 44, NA, 144182,  X*
5, 7.9, 1569161, 232482, 19496, 19271, 9516, 16699, 9175, 3769, 38, 35, NA, 1879569,  X*
6, 9.0, 18797, 3053, 12188, 4322, 3319, 4738, 4108, 1069, 50, 50, NA, 51594,  X*
7, 9.9, 3817, 4559, 5075, 2134, 1652, 4683, 1764, 669, 66, 56, NA, 24353,  X*
8, 10.9, 5063, 3551, 3580, 8294, 2802, 4597, 2036, 1669, 74, 63, NA, 31592,  X*
9, 11.9, 2826, 5001, 3201, 3597, 2043, 2512, 3009, 2439, 88, 78, NA, 24628,  X*
10, 12.9, 5338, 6147, 4522, 4873, 9167, 2819, 3217, 1037, 83, 67, NA, 37120,  X*
11, 13.9, 2752, 9430, 4132, 8407, 2792, 2804, 1413, 882, 67, 69, NA, 32612,  X*
12, 14.9, 3048, 4449, 9979, 7246, 1362, 3510, 1503, 1740, 63, 75, NA, 32837,  X*
13, 15.9, 43495, 37902, 6962, 1980, 2963, 4210, 1250, 1915, 53, 61, NA, 100677,  X*
14, 16.9, 6152, 12262, 2175, 5458, 5486, 4701, 2964, 1587, 56, 56, NA, 40785,  X*
15, 17.9, 102326, 23556, 9350, 8722, 3070, 3934, 1057, 1225, 53, 53, NA, 153240,  X*
16, 18.9, 6915, 16121, 5511, 3704, 5577, 3318, 1374, 664, 51, 37, NA, 43184,  X*
17, 19.9, 541074, 90041, 32642, 24871, 35924, 38863, 4931, 3771, 63, 43, NA, 772117,  X*
18, 20.9, 3891, 7508, 757, 3995, 1271, 2684, 2970, 1478, 61, 44, NA, 24554,  X*
19, 21.9, 10456, 15933, 9306, 8111, 3182, 2751, 2713, 1987, 57, 48, NA, 54439,  X*
20, 22.9, 138827, 37565, 5251, 5494, 2875, 5281, 1310, 715, 56, 43, NA, 197318,  X*
21, 23.9, 130935, 15535, 14419, 1924, 3773, 3526, 2671, 1234, 47, 51, NA, 174017,  X*
22, 24.9, 77362, 19779, 6699, 10537, 6398, 3624, 1250, 671, 37, 54, NA, 126320,  X*
23, 25.9, 39859, 30858, 25412, 5563, 3536, 2808, 2679, 3902, 27, 54, NA, 114617,  X*
24, 27.0, 104235, 18476, 2363, 3006, 4981, 3215, 3735, 1034, 30, 53, NA, 141045,  X*
25, 27.9, 4088, 2634, 15954, 3625, 3617, 3969, 2136, 2964, 38, 63, NA, 38987,  X*
26, 28.9, 5693, 6835, 11316, 7214, 3424, 1874, 2231, 1840, 35, 74, NA, 40427,  X*
27, 29.9, 231700, 43164, 14766, 32032, 20568, 19257, 9940, 6431, 56, 69, NA, 377858,  X*
28, 30.9, 7483, 19124, 598, 5529, 8144, 4338, 2424, 496, 60, 67, NA, 48136,  X*
29, 31.9, 1907, 15396, 24149, 3302, 2669, 6432, 2022, 679, 56, 63, NA, 56556,  X*
30, 32.9, 20391, 12549, 35551, 6086, 1278, 3159, 2084, 1142, 53, 66, NA, 82240,  X*
31, 33.9, 3489, 12001, 9427, 7415, 2009, 2740, 3624, 817, 41, 74, NA, 41522,  X*
32, 34.9, 5987, 10499, 23551, 5450, 3223, 1397, 5891, 1197, 21, 96, NA, 57195,  X*
33, 35.9, 5411, 4000, 10663, 9937, 4038, 4657, 2454, 565, 24, 100, NA, 41725,  X*
34, 36.9, 9905, 20303, 6699, 2792, 2159, 4461, 1674, 1481, 37, 81, NA, 49474,  X*
35, 37.9, 211715, 99340, 36910, 22167, 8713, 13394, 8951, 6736, 37, 75, NA, 407926,  X*
36, 38.9, 3470, 17723, 5898, 10540, 4025, 3575, 1969, 1851, 48, 64, NA, 49051,  X*
37, 39.9, 12674, 9657, 2296, 3032, 3218, 2080, 989, 760, 47, 48, NA, 34706,  X*
38, 40.9, 12645, 8638, 2917, 4070, 5163, 3337, 1983, 1563, 50, 50, NA, 40316,  X*
39, 41.9, 3289, 3236, 4632, 7606, 1273, 4735, 1622, 1263, 64, 57, NA, 27656,  X*
40, 42.9, 21409, 5778, 1869, 1869, 5217, 5593, 2999, 1401, 84, 44, NA, 46135,  X*
41, 43.9, 6766, 8310, 15771, 3853, 1762, 4788, 1049, 2325, 88, 57, NA, 44624,  X*
42, 44.9, 15937, 11371, 10385, 5992, 3470, 1458, 895, 1297, 70, 67, NA, 50805,  X*
43, 45.9, 1118609, 74411, 14491, 16518, 17420, 20798, 19649, 9990, 66, 54, NA, 1291886,  X*
44, 46.9, 1467, 36977, 15473, 5557, 3774, 3575, 2570, 1299, 40, 63, NA, 70692,  X*
45, 47.9, 4868, 9054, 6589, 2024, 2710, 3127, 3166, 2288, 40, 54, NA, 33826,  X*
46, 48.9, 24890, 12829, 9632, 359, 2335, 1107, 1377, 145, 38, 50, NA, 52674,  X*
47, 49.9, 575877, 104209, 12068, 12005, 13707, 13018, 4478, 1976, 27, 44, NA, 737338,  X*
48, 50.9, 1844311, 39647, 37499, 25131, 18420, 7448, 4786, 4539, 30, 51, NA, 1981781,  X*
49, 52.0, 1390330, 552690, 60311, 12819, 18183, 14384, 15156, 6470, 8, 37, NA, 2070343,  X*
50, 52.9, 719257, 52424, 7275, 16499, 38213, 29104, 13687, 13963, 34, 24, NA, 890422,  X*
51, 53.9, 1095713, 169443, 140562, 65760, 40649, 38525, 7897, 8302, 35, 40, NA, 1566851,  X*
52, 54.9, 260684, 6205, 4192, 8715, 1389, 2168, 1522, 1168, 40, 43, NA, 286043,  X*
53, 55.9, 8967, 14033, 3292, 3951, 3630, 3019, 5432, 1095, 60, 53, NA, 43419,  X*
54, 56.9, 489538, 75948, 27783, 24481, 4354, 10415, 20329, 5050, 41, 63, NA, 657898,  X*
55, 57.9, 133571, 110625, 30494, 17836, 8640, 11907, 28597, 3930, 37, 54, NA, 345600,  X*
56, 59.0, 190065, 159752, 49383, 23910, 19310, 9913, 14296, 7230, 24, 41, NA, 473859,  X*
57, 59.9, 1995, 5417, 3605, 10341, 3147, 1796, 3217, 1164, 20, 54, NA, 30682,  X*
58, 60.9, 194829, 91739, 2974, 9297, 21303, 13903, 6653, 13384, 26, 37, NA, 354082,  X*
59, 61.9, 926826, 272170, 34915, 29473, 38402, 17390, 5961, 2749, 23, 30, NA, 1327886,  X*
60, 62.9, 121587, 9344, 3855, 2998, 5701, 1937, 1453, 3240, 37, 30, NA, 150115,  X*
61, 63.9, 1371061, 106021, 38181, 36635, 37802, 16756, 16544, 4160, 37, 23, NA, 1627160,  X*
62, 64.9, 4005, 13131, 1961, 3175, 3078, 3855, 712, 759, 43, 34, NA, 30676,  X*
63, 66.0, 2393080, 131071, 12510, 32540, 36771, 12218, 15339, 10885, 44, 37, NA, 2644414,  X*
64, 66.9, 234184, 59781, 9291, 17244, 17763, 30951, 8171, 1480, 57, 30, NA, 378865,  X*
65, 67.9, 29887, 16261, 7005, 11782, 15398, 2918, 1750, 941, 56, 30, NA, 85942,  X*
66, 68.9, 50844, 41392, 67915, 16846, 43714, 14259, 9156, 5831, 48, 43, NA, 249957,  X*
67, 69.9, 1493201, 140492, 81834, 37255, 20932, 28399, 9204, 13383, 53, 53, NA, 1824700,  X*
68, 70.9, 1475289, 428858, 56125, 157122, 97139, 62144, 40858, 32202, 38, 57, NA, 2349737,  X*
69, 71.9, 3226314, 732636, 240338, 178251, 88212, 46795, 25221, 11791, 29, 56, NA, 4549558,  X*
