obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.9, 117114, 32477, 2266, 2046, 1677, 2585, 1041, 799, NA, NA, NA, 160005,  X*
2, 5.9, 20422, 7980, 4876, 272, 1497, 692, 859, 153, NA, NA, NA, 36751,  X*
3, 7.0, 46095, 8272, 10035, 2626, 2678, 1946, 1176, 677, NA, NA, NA, 73505,  X*
4, 7.9, 553004, 25647, 26724, 5959, 15040, 11303, 2490, 1919, 53, 48, NA, 642086,  X*
5, 8.9, 603243, 376759, 110047, 40349, 51929, 13560, 4520, 4740, 35, 50, NA, 1205147,  X*
6, 9.9, 143490, 41750, 9927, 6083, 14026, 2130, 743, 708, 23, 50, NA, 218857,  X*
7, 11.0, 656079, 64647, 26189, 10805, 7722, 3094, 1111, 781, 10, 54, NA, 770428,  X*
8, 11.9, 132699, 31700, 6188, 5937, 1537, 2457, 738, 1068, 1, 48, NA, 182324,  X*
9, 12.9, 25344, 37955, 10236, 3045, 2972, 2661, 1032, 1286, 3, 47, NA, 84531,  X*
10, 13.9, 629038, 52126, 14294, 5701, 26422, 11742, 2973, 1588, 26, 43, NA, 743884,  X*
11, 15.0, 822676, 264757, 20037, 52754, 13195, 4765, 6860, 2311, 23, 37, NA, 1187355,  X*
12, 15.9, 1103243, 61197, 16166, 2684, 4654, 3064, 1717, 303, 21, 35, NA, 1193028,  X*
13, 16.9, 387059, 16526, 1926, 1651, 1082, 805, 219, 124, 23, 30, NA, 409392,  X*
14, 18.0, 2394289, 117893, 14223, 11133, 4501, 2671, 1317, 768, 1, 29, NA, 2546795,  X*
15, 18.9, 968020, 88320, 14307, 18964, 21441, 4826, 3866, 3791, 10, 34, NA, 1123535,  X*
16, 19.9, 984605, 89580, 2597, 7688, 1555, 1124, 1032, 365, 1, 23, NA, 1088546,  X*
17, 20.9, 428421, 210486, 24560, 32638, 13290, 10118, 3490, 1107, 1, 24, NA, 724110,  X*
18, 22.0, 365833, 19988, 6282, 3135, 2498, 3583, 1155, 1269, 21, 34, NA, 403743,  X*
19, 22.9, 127453, 35062, 11719, 6260, 3719, 4396, 841, 265, 30, 35, NA, 189715,  X*
20, 23.9, 116163, 11385, 4749, 8104, 2700, 1093, 895, 701, 50, 54, NA, 145790,  X*
21, 25.0, 52544, 12977, 3779, 9272, 1446, 3747, 1227, 321, 67, 66, NA, 85313,  X*
22, 25.9, 23096, 14323, 1185, 4683, 3631, 3600, 965, 315, 74, 63, NA, 51798,  X*
23, 26.9, 35517, 13390, 12742, 9052, 2346, 7598, 985, 712, 84, 69, NA, 82342,  X*
24, 27.9, 818879, 105279, 2189, 12138, 7783, 2136, 2507, 229, 74, 50, NA, 951140,  X*
25, 28.9, 239386, 79186, 11472, 2700, 3860, 2402, 870, 392, 51, 37, NA, 340268,  X*
26, 29.9, 1154297, 98301, 18757, 37029, 22264, 5983, 2500, 1231, 34, 40, NA, 1340362,  X*
27, 31.0, 79129, 7387, 2638, 2248, 162, 782, 116, 168, 17, 35, NA, 92630,  X*
28, 31.9, 1775796, 449389, 49041, 9982, 18331, 5085, 7252, 2743, 13, 37, NA, 2317619,  X*
