obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.9, 2945, 7215, 1853, 3356, 3542, 1351, 927, 692, NA, NA, NA, 21881,  X*
2, 5.9, 7943, 9330, 4982, 6132, 1364, 868, 594, 1249, NA, NA, NA, 32462,  X*
3, 6.9, 10535, 10922, 7248, 7716, 2190, 971, 670, 320, NA, NA, NA, 40572,  X*
4, 7.9, 8752, 918, 1361, 1261, 1501, 1585, 555, 836, 51, 40, NA, 16769,  X*
5, 8.9, 5072, 4390, 1273, 845, 1648, 1226, 782, 1140, 57, 21, NA, 16376,  X*
6, 9.9, 2271, 1260, 2815, 2737, 1601, 2486, 532, 632, 67, 30, NA, 14334,  X*
7, 11.0, 1284, 1563, 1321, 2692, 1945, 1251, 768, 435, 75, 38, NA, 11259,  X*
8, 11.9, 2368, 3697, 2450, 1105, 1619, 1148, 1430, 277, 64, 35, NA, 14094,  X*
9, 12.9, 2481, 4100, 775, 1333, 2312, 1318, 1655, 400, 64, 35, NA, 14374,  X*
10, 13.9, 17658, 3338, 5532, 3240, 3037, 1066, 576, 755, 53, 41, NA, 35202,  X*
11, 14.9, 7473, 1870, 2025, 759, 3225, 2849, 864, 340, 61, 20, NA, 19405,  X*
12, 15.9, 9953, 6948, 1282, 3551, 1476, 892, 684, 340, 56, 20, NA, 25126,  X*
13, 16.9, 5471, 10702, 2450, 993, 897, 1295, 1309, 228, 50, 20, NA, 23345,  X*
14, 17.9, 9650, 4226, 3259, 1701, 1141, 1643, 335, 307, 54, 8, NA, 22262,  X*
15, 18.9, 8820, 10423, 1004, 5822, 3560, 1151, 524, 846, 35, 16, NA, 32150,  X*
16, 20.0, 5333, 4501, 1527, 1667, 748, 1064, 302, 1001, 41, 16, NA, 16143,  X*
17, 20.9, 4561, 10027, 1549, 1138, 3904, 760, 553, 485, 37, 16, NA, 22977,  X*
18, 21.9, 9911, 6494, 612, 5698, 2072, 1078, 890, 330, 30, 16, NA, 27085,  X*
19, 22.9, 2736, 5900, 1641, 1489, 661, 1300, 769, 453, 38, 17, NA, 14949,  X*
20, 23.9, 8820, 2795, 3362, 2140, 1268, 2660, 534, 345, 44, 30, NA, 21924,  X*
21, 25.0, 2123, 924, 2293, 3362, 2180, 1072, 744, 217, 54, 67, NA, 12915,  X*
22, 25.9, 6566, 11215, 2785, 1611, 905, 1970, 356, 260, 57, 54, NA, 25668,  X*
23, 26.9, 4150, 5585, 3747, 1645, 831, 1075, 1176, 569, 54, 66, NA, 18778,  X*
24, 27.9, 4549, 5843, 613, 5323, 3981, 3437, 1850, 1079, 54, 56, NA, 26675,  X*
25, 29.0, 9104, 3783, 5784, 740, 1776, 635, 799, 836, 44, 51, NA, 23457,  X*
26, 29.9, 7952, 5949, 2818, 717, 2016, 1741, 1103, 885, 48, 53, NA, 23181,  X*
27, 30.9, 1239, 900, 2706, 2191, 2608, 1573, 503, 383, 56, 60, NA, 12103,  X*
28, 31.9, 1230, 2877, 2289, 2398, 1519, 969, 545, 325, 50, 70, NA, 12152,  X*
29, 32.9, 1258, 2025, 1265, 3195, 4087, 1166, 1848, 591, 60, 63, NA, 15435,  X*
30, 33.9, 2307, 3716, 1165, 917, 1146, 1554, 1140, 1254, 63, 63, NA, 13199,  X*
31, 34.9, 1980, 5109, 3629, 5510, 2844, 1973, 674, 728, 57, 61, NA, 22447,  X*
32, 36.0, 863, 912, 2337, 923, 506, 1595, 891, 255, 66, 64, NA, 8282,  X*
33, 36.9, 11460, 3394, 3691, 2120, 481, 1479, 1557, 692, 64, 75, NA, 24874,  X*
34, 37.9, 11165, 3597, 4767, 1483, 1702, 1738, 388, 391, 61, 93, NA, 25231,  X*
35, 38.9, 8131, 9809, 3527, 3953, 3976, 1403, 545, 347, 54, 81, NA, 31691,  X*
36, 39.9, 107405, 9666, 5350, 10922, 3618, 1630, 1478, 362, 40, 81, NA, 140431,  X*
37, 40.9, 15883, 7644, 1670, 2846, 521, 1078, 739, 896, 35, 66, NA, 31277,  X*
38, 41.9, 12725, 5195, 1536, 2147, 2072, 824, 1123, 349, 29, 53, NA, 25971,  X*
39, 43.0, 9057, 6223, 2266, 3977, 1218, 1492, 823, 1019, 34, 60, NA, 26075,  X*
40, 43.9, 5809, 4275, 1727, 443, 666, 1130, 751, 393, 41, 40, NA, 15194,  X*
41, 44.9, 8893, 3985, 516, 446, 3884, 1946, 930, 525, 54, 23, NA, 21125,  X*
42, 45.9, 6393, 7026, 1443, 1449, 963, 851, 481, 661, 54, 21, NA, 19267,  X*
43, 46.9, 11517, 2362, 12025, 1307, 1948, 1091, 359, 424, 51, 38, NA, 31033,  X*
44, 47.9, 12416, 4406, 9775, 2909, 3292, 1520, 492, 228, 43, 57, NA, 35038,  X*
45, 48.9, 5940, 6374, 6125, 1222, 1813, 2115, 622, 571, 35, 83, NA, 24782,  X*
46, 49.9, 23700, 5596, 749, 3576, 898, 1150, 607, 1007, 38, 90, NA, 37283,  X*
47, 50.9, 6132, 10276, 841, 1306, 1870, 1483, 528, 448, 41, 53, NA, 22884,  X*
48, 51.9, 6229, 2774, 4748, 1091, 511, 1134, 1799, 212, 47, 53, NA, 18498,  X*
49, 52.9, 15389, 7227, 3144, 1962, 899, 1588, 802, 282, 44, 48, NA, 31293,  X*
50, 54.0, 13444, 5781, 3065, 933, 1184, 1239, 727, 421, 44, 44, NA, 26794,  X*
51, 54.9, 17808, 10156, 5988, 3991, 2832, 1512, 593, 373, 41, 63, NA, 43253,  X*
52, 55.9, 409813, 32069, 2672, 22509, 5188, 5171, 3913, 565, 38, 53, NA, 481900,  X*
53, 56.9, 34478, 12846, 8386, 4434, 2813, 2792, 598, 760, 37, 56, NA, 67107,  X*
54, 57.9, 9426, 5311, 4138, 3653, 2579, 1472, 490, 334, 37, 64, NA, 27403,  X*
55, 58.9, 365719, 47188, 4754, 1828, 5885, 9792, 3989, 2042, 43, 40, NA, 441197,  X*
56, 59.9, 5754, 16425, 8065, 5977, 7066, 2123, 1034, 670, 41, 40, NA, 47114,  X*
57, 61.0, 10429, 6348, 3559, 1387, 2253, 3084, 2103, 932, 50, 34, NA, 30095,  X*
58, 61.9, 4374, 5053, 629, 1119, 2362, 1005, 790, 518, 51, 14, NA, 15850,  X*
59, 62.9, 5018, 11146, 1643, 3786, 3828, 1228, 680, 461, 43, 29, NA, 27790,  X*
60, 63.9, 6650, 16344, 4523, 11581, 3194, 3051, 1695, 550, 44, 34, NA, 47588,  X*
61, 64.9, 27700, 7082, 1013, 3222, 1564, 5105, 996, 420, 50, 29, NA, 47102,  X*
62, 65.9, 3490, 4875, 7475, 2833, 4203, 4019, 1210, 747, 54, 48, NA, 28852,  X*
63, 66.9, 100275, 13656, 301, 3589, 1362, 1895, 893, 482, 57, 43, NA, 122453,  X*
64, 68.0, 12110, 13199, 3411, 1659, 1145, 1826, 1651, 373, 60, 34, NA, 35374,  X*
65, 68.9, 11505, 10539, 1635, 4987, 3113, 1166, 974, 573, 43, 37, NA, 34492,  X*
66, 69.9, 7467, 10621, 1548, 690, 4420, 2403, 609, 360, 41, 11, NA, 28118,  X*
67, 70.9, 8355, 16993, 6198, 4047, 6251, 1549, 528, 879, 35, 20, NA, 44800,  X*
68, 72.0, 521266, 53575, 10531, 4170, 13654, 4885, 2296, 3413, 30, 14, NA, 613790,  X*
69, 72.9, 2850, 2136, 685, 273, 495, 2090, 519, 430, 53, 4, NA, 9478,  X*
70, 73.9, 9908, 8739, 1349, 3021, 2370, 882, 1301, 1383, 43, 20, NA, 28953,  X*
71, 74.9, 5467, 14385, 11908, 1187, 2465, 750, 810, 295, 37, 26, NA, 37267,  X*
72, 75.9, 6779, 13061, 2297, 1345, 2883, 2304, 650, 336, 43, 26, NA, 29655,  X*
73, 76.9, 12991, 10509, 1724, 1417, 2824, 1724, 1125, 634, 26, 27, NA, 32948,  X*
74, 77.9, 25824, 10778, 8907, 1492, 2404, 1777, 723, 476, 27, 35, NA, 52381,  X*
75, 79.0, 771456, 69676, 5719, 3995, 2623, 3221, 2600, 5822, 34, 13, NA, 865112,  X*
76, 79.9, 3101, 7392, 2642, 2895, 2323, 1566, 601, 307, 30, 23, NA, 20827,  X*
77, 80.9, 14731, 12181, 11931, 1831, 2215, 1347, 1857, 789, 23, 40, NA, 46882,  X*
78, 81.9, 2450, 2307, 3334, 1552, 1208, 3635, 683, 198, 40, 40, NA, 15367,  X*
79, 82.9, 1848, 11122, 1175, 3188, 516, 3433, 570, 331, 54, 51, NA, 22183,  X*
80, 83.9, 4807, 7468, 3040, 2418, 904, 1553, 463, 446, 54, 53, NA, 21099,  X*
81, 84.9, 7752, 7203, 4335, 1931, 5970, 1817, 1520, 493, 63, 44, NA, 31021,  X*
82, 86.0, 466556, 15511, 10557, 9573, 10761, 8882, 5861, 2534, 56, 41, NA, 530235,  X*
83, 86.9, 17002, 21833, 4346, 2530, 354, 1205, 1210, 488, 43, 41, NA, 48968,  X*
84, 87.9, 12205, 8177, 2852, 3489, 1268, 4169, 883, 488, 50, 40, NA, 33531,  X*
85, 88.9, 3521, 15883, 742, 3870, 3702, 2020, 906, 537, 47, 30, NA, 31181,  X*
86, 89.9, 5681, 2363, 420, 3852, 7241, 1061, 1124, 554, 43, 27, NA, 22296,  X*
87, 90.9, 62618, 71970, 2009, 1962, 2717, 1844, 1185, 615, 38, 14, NA, 144920,  X*
88, 91.9, 2098, 11599, 1429, 1771, 6268, 1114, 791, 295, 26, 7, NA, 25365,  X*
89, 92.9, 16160, 1957, 1839, 2856, 1347, 1314, 1139, 870, 34, 27, NA, 27482,  X*
90, 93.9, 2988, 1816, 5123, 1508, 685, 2321, 744, 547, 38, 44, NA, 15732,  X*
91, 94.9, 475545, 73796, 14420, 6046, 9623, 7349, 5233, 1387, 48, 60, NA, 593399,  X*
92, 95.9, 7554, 5517, 1176, 998, 676, 1052, 1032, 358, 53, 66, NA, 18363,  X*
93, 97.0, 31929, 6748, 1913, 2334, 4357, 566, 992, 579, 41, 56, NA, 49418,  X*
94, 97.9, 3029, 1839, 5049, 2708, 1267, 1006, 888, 290, 34, 60, NA, 16076,  X*
95, 98.9, 295420, 63964, 7245, 22141, 18137, 3554, 3550, 2230, 26, 66, NA, 416241,  X*
96, 99.9, 2569, 1874, 5074, 1744, 3536, 1572, 850, 477, 27, 80, NA, 17696,  X*
97, 100.9, 33775, 6828, 5773, 5642, 3022, 752, 395, 466, 26, 90, NA, 56653,  X*
98, 101.9, 1692, 4381, 1082, 3834, 4161, 773, 1077, 463, 23, 77, NA, 17463,  X*
99, 102.9, 6801, 2739, 6566, 3738, 2436, 1445, 944, 907, 34, 93, NA, 25576,  X*
100, 103.9, 157434, 24103, 1266, 1067, 1750, 1608, 531, 311, 24, 66, NA, 188070,  X*
101, 104.9, 4638, 6959, 18933, 2386, 1636, 1812, 929, 530, 29, 74, NA, 37823,  X*
102, 105.9, 275426, 16338, 5938, 6524, 4069, 754, 552, 734, 17, 75, NA, 310335,  X*
103, 106.9, 685315, 18692, 7384, 2830, 7175, 5044, 4336, 897, 21, 56, NA, 731673,  X*
104, 107.9, 100444, 66688, 8636, 4726, 2777, 5845, 1457, 528, 23, 63, NA, 191101,  X*
105, 108.9, 24701, 2445, 1445, 3262, 2698, 1505, 696, 642, 34, 53, NA, 37394,  X*
106, 109.9, 172312, 42903, 16221, 7313, 4143, 2635, 889, 1006, 37, 50, NA, 247422,  X*
107, 110.9, 45313, 83090, 13225, 3844, 2435, 1174, 1298, 967, 14, 47, NA, 151346,  X*
108, 111.9, 474170, 227879, 18526, 18582, 31764, 26900, 3569, 3233, 17, 43, NA, 804623,  X*
109, 112.9, 114843, 21728, 10820, 9943, 4704, 4489, 2732, 2793, 13, 41, NA, 172052,  X*
110, 113.9, 8653, 3350, 901, 2721, 2351, 1750, 624, 336, 29, 43, NA, 20686,  X*
111, 115.0, 16558, 16997, 1678, 8575, 2516, 5711, 399, 336, 54, 50, NA, 52770,  X*
112, 115.9, 187870, 81258, 20033, 6091, 7235, 11124, 6603, 2004, 54, 56, NA, 322218,  X*
113, 116.9, 749520, 64963, 54779, 8201, 13526, 17016, 4450, 1227, 57, 57, NA, 913682,  X*
114, 117.9, 475034, 34497, 6976, 7103, 3504, 2591, 685, 898, 44, 54, NA, 531288,  X*
115, 118.9, 2106525, 97650, 50659, 24695, 4795, 18461, 4353, 3002, 40, 57, NA, 2310140,  X*
116, 119.9, 101690, 16773, 1778, 1833, 1122, 694, 991, 139, 29, 56, NA, 125020,  X*
117, 120.9, 138884, 25205, 2961, 1881, 664, 1569, 730, 771, 21, 41, NA, 172665,  X*
118, 122.0, 63489, 5097, 523, 448, 848, 425, 1045, 448, 23, 30, NA, 72323,  X*
119, 122.9, 180842, 51644, 13115, 16249, 10810, 10797, 5224, 1817, 24, 27, NA, 290498,  X*
120, 123.9, 66888, 112004, 18125, 17587, 6010, 17373, 4616, 2135, 37, 29, NA, 244738,  X*
121, 124.9, 10136, 19659, 9307, 1431, 3947, 4240, 985, 353, 44, 38, NA, 50058,  X*
122, 125.9, 5522, 36092, 13257, 4856, 4513, 3622, 826, 479, 44, 50, NA, 69167,  X*
123, 126.9, 43120, 13570, 1082, 3631, 1564, 993, 1424, 438, 37, 44, NA, 65822,  X*
124, 127.9, 17878, 21450, 4670, 9730, 2486, 1667, 948, 450, 29, 54, NA, 59279,  X*
125, 128.9, 662671, 37423, 5025, 10604, 8586, 8041, 3150, 1745, 29, 51, NA, 737245,  X*
126, 129.9, 28699, 17045, 9583, 2300, 3192, 2510, 1200, 736, 30, 54, NA, 65265,  X*
127, 130.9, 16806, 13845, 722, 3213, 2345, 1586, 953, 231, 35, 51, NA, 39701,  X*
128, 131.9, 5703, 6427, 2836, 4455, 2903, 1585, 692, 377, 43, 53, NA, 24978,  X*
129, 133.0, 13079, 2368, 2862, 2588, 1596, 2280, 799, 325, 48, 64, NA, 25897,  X*
130, 133.9, 11504, 7754, 1013, 3578, 492, 1188, 893, 236, 50, 63, NA, 26658,  X*
131, 134.9, 10390, 4898, 2928, 4995, 1403, 1983, 1329, 400, 54, 78, NA, 28326,  X*
132, 135.9, 9987, 8229, 1747, 3785, 1453, 2439, 705, 361, 57, 74, NA, 28706,  X*
133, 136.9, 5951, 4838, 2717, 2610, 4976, 1635, 924, 359, 53, 66, NA, 24010,  X*
134, 137.9, 9972, 5715, 790, 1798, 2040, 1628, 339, 619, 60, 61, NA, 22901,  X*
135, 138.9, 17333, 5291, 3436, 3027, 1529, 843, 886, 445, 51, 60, NA, 32790,  X*
136, 140.0, 66297, 22938, 13387, 32367, 15604, 12063, 3831, 2000, 51, 67, NA, 168487,  X*
137, 140.9, 583248, 93126, 10302, 13539, 14977, 3957, 3687, 1452, 38, 60, NA, 724288,  X*
138, 141.9, 25211, 9312, 3283, 1897, 4172, 821, 1128, 486, 26, 63, NA, 46310,  X*
139, 142.9, 7619, 2554, 2137, 1185, 3938, 2118, 936, 691, 41, 54, NA, 21178,  X*
140, 143.9, 8664, 8524, 822, 2736, 572, 1887, 433, 276, 41, 43, NA, 23914,  X*
141, 144.9, 16199, 9236, 3008, 1992, 1417, 2771, 851, 678, 56, 48, NA, 36152,  X*
142, 145.9, 152037, 26027, 3957, 4744, 3388, 2862, 258, 512, 61, 44, NA, 193785,  X*
143, 146.9, 14490, 7283, 2665, 2998, 2730, 1488, 665, 1152, 50, 48, NA, 33471,  X*
144, 147.9, 7030, 3778, 5627, 3770, 1343, 1317, 1086, 314, 47, 66, NA, 24265,  X*
145, 148.9, 14384, 7394, 3060, 1742, 1501, 2718, 859, 311, 48, 67, NA, 31969,  X*
146, 150.0, 105991, 33927, 6382, 5539, 3415, 1827, 1343, 323, 41, 67, NA, 158747,  X*
147, 150.9, 21825, 10047, 4391, 3372, 1372, 1106, 714, 450, 37, 70, NA, 43277,  X*
148, 151.9, 566543, 150444, 29428, 42086, 30939, 5822, 2195, 1905, 23, 56, NA, 829362,  X*
149, 152.9, 3616, 26517, 3793, 3090, 6398, 2153, 1405, 308, 11, 48, NA, 47280,  X*
150, 153.9, 399464, 31991, 73258, 19969, 15683, 15574, 3787, 6369, 23, 64, NA, 566095,  X*
151, 154.9, 2406248, 177818, 67248, 43014, 10996, 7662, 7316, 2495, 14, 63, NA, 2722797,  X*
152, 155.9, 1172036, 273323, 28442, 45262, 28000, 24814, 8584, 15060, 23, 57, NA, 1595521,  X*
153, 156.9, 581097, 33640, 9419, 4284, 1274, 2449, 3276, 503, 21, 64, NA, 635942,  X*
154, 158.0, 1057729, 143293, 17784, 18806, 6594, 10565, 20089, 3961, 16, 44, NA, 1278821,  X*
155, 158.9, 699236, 13767, 11559, 28626, 12075, 10624, 12707, 8913, 34, 51, NA, 797507,  X*
156, 159.9, 644029, 139471, 24326, 16085, 30656, 15513, 9116, 9660, 37, 50, NA, 888856,  X*
157, 160.9, 96937, 19647, 2874, 22020, 5840, 8907, 4925, 1464, 48, 57, NA, 162614,  X*
158, 161.9, 42828, 48391, 19300, 16230, 2633, 2823, 2398, 643, 43, 69, NA, 135246,  X*
159, 162.9, 205299, 21105, 28376, 1101, 839, 5593, 961, 450, 38, 69, NA, 263724,  X*
160, 163.9, 208396, 7982, 4802, 2072, 1227, 1723, 281, 152, 40, 81, NA, 226635,  X*
161, 165.0, 117510, 24549, 4539, 3907, 1573, 932, 717, 181, 21, 74, NA, 153908,  X*
162, 165.9, 1106939, 414539, 131556, 122444, 14734, 25268, 23963, 16070, 21, 70, NA, 1855513,  X*
163, 166.9, 248210, 69369, 6068, 12625, 3239, 12347, 12136, 2010, 24, 54, NA, 366004,  X*
164, 167.9, 360781, 84738, 6790, 2843, 1398, 8339, 4215, 5947, 23, 35, NA, 475051,  X*
165, 168.9, 89379, 5353, 4365, 3205, 1285, 3810, 2512, 1513, 44, 43, NA, 111422,  X*
166, 169.9, 60095, 62652, 20472, 18001, 9399, 14718, 5712, 3518, 56, 41, NA, 194567,  X*
167, 170.9, 51406, 13225, 1557, 3739, 902, 2679, 1316, 1240, 56, 43, NA, 76064,  X*
168, 171.9, 12911, 5254, 3864, 2195, 1469, 1594, 761, 405, 57, 63, NA, 28453,  X*
169, 172.9, 16274, 10461, 3279, 1833, 1517, 1831, 1112, 517, 50, 56, NA, 36824,  X*
170, 173.9, 35345, 11255, 2015, 3035, 1633, 793, 807, 260, 40, 53, NA, 55143,  X*
171, 174.9, 17064, 24842, 4684, 1593, 3201, 4500, 756, 996, 40, 48, NA, 57636,  X*
172, 176.0, 49115, 64580, 8409, 3382, 6660, 8446, 5620, 1852, 40, 34, NA, 148064,  X*
173, 176.9, 32327, 16281, 926, 594, 509, 2454, 1202, 444, 40, 16, NA, 54737,  X*
174, 177.9, 72485, 37602, 2094, 3653, 1175, 1906, 1345, 874, 40, 7, NA, 121134,  X*
175, 178.9, 26147, 13128, 409, 3161, 1050, 718, 751, 753, 27, 8, NA, 46117,  X*
176, 179.9, 11734, 5728, 4119, 572, 1627, 2270, 1172, 631, 35, 21, NA, 27853,  X*
177, 180.9, 434081, 41458, 38784, 35669, 14574, 5067, 2700, 1534, 23, 53, NA, 573867,  X
178, 181.9, 445126, 59577, 28358, 20581, 7842, 9353, 2383, 1617, 29, 67, NA, 574837,  X
179, 183.0, 778344, 60276, 18766, 14659, 11417, 8028, 1710, 1372, 37, 75, NA, 894572,  X
180, 183.9, 5043, 5325, 2861, 5113, 2477, 2468, 1166, 481, 37, 80, NA, 24934,  X
181, 184.9, 7614, 2244, 4740, 3403, 1394, 1114, 1117, 633, 44, 81, NA, 22259,  X
182, 185.9, 5629, 7172, 3195, 2317, 1140, 1391, 1011, 312, 47, 81, NA, 22167,  X
183, 186.9, 81241, 9251, 7115, 1577, 1207, 2350, 1615, 710, 50, 87, NA, 105066,  X
184, 187.9, 22428, 3672, 1686, 1496, 980, 2811, 872, 407, 56, 80, NA, 34352,  X
185, 188.9, 8850, 11767, 2259, 1564, 5292, 1359, 1296, 1027, 53, 56, NA, 33414,  X
186, 190.0, 14736, 16440, 3294, 5157, 652, 3653, 679, 284, 56, 54, NA, 44895,  X
187, 190.9, 103177, 18187, 1439, 4059, 3148, 1696, 1295, 869, 51, 41, NA, 133870,  X
188, 191.9, 39008, 32990, 7019, 3447, 4105, 1243, 951, 1161, 27, 37, NA, 89924,  X
189, 192.9, 4625, 3667, 1707, 1899, 1489, 3382, 909, 549, 43, 44, NA, 18227,  X
190, 193.9, 7101, 4605, 9661, 2565, 2315, 2182, 795, 119, 41, 56, NA, 29343,  X
191, 194.9, 427434, 65733, 8831, 16223, 20713, 9145, 5286, 4276, 44, 60, NA, 557641,  X
192, 195.9, 30837, 17847, 3045, 817, 2858, 2881, 849, 358, 57, 54, NA, 59492,  X
193, 196.9, 66721, 9310, 4879, 1524, 887, 3308, 1137, 426, 51, 54, NA, 88192,  X
194, 197.9, 3775, 2207, 3146, 960, 1561, 1519, 2675, 544, 56, 50, NA, 16387,  X
195, 198.9, 3952, 6110, 4199, 7560, 2344, 1749, 567, 459, 56, 66, NA, 26940,  X
196, 199.9, 4208, 2680, 1666, 5263, 3016, 1322, 1166, 369, 56, 84, NA, 19690,  X
197, 201.0, 1486, 6331, 855, 1726, 449, 1335, 1170, 1157, 53, 81, NA, 14509,  X
198, 201.9, 4801, 13037, 1922, 2527, 2836, 2286, 855, 536, 48, 67, NA, 28800,  X
199, 202.9, 189555, 38171, 23937, 31288, 16226, 5980, 1988, 1925, 44, 64, NA, 309070,  X
200, 203.9, 61772, 41455, 4233, 2590, 2720, 3022, 1148, 365, 38, 44, NA, 117305,  X
201, 204.9, 20054, 22925, 927, 1304, 1687, 845, 940, 698, 24, 29, NA, 49380,  X
202, 205.9, 659987, 63290, 31184, 6330, 6174, 6348, 6753, 3186, 17, 38, NA, 783252,  X
203, 206.9, 18099, 3812, 1496, 2517, 2818, 818, 1200, 792, 23, 34, NA, 31552,  X
204, 208.0, 8092, 12396, 2853, 4604, 876, 3141, 1155, 459, 30, 43, NA, 33576,  X
