obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 7797, 5855, 7017, 2082, 1296, 2529, 1856, 849, NA, NA, NA, 29281,  X*
2, 6.0, 114680, 78205, 29487, 19954, 8402, 9418, 4666, 1705, NA, NA, NA, 266517,  X*
3, 7.0, 1986149, 55595, 34279, 15098, 18787, 10727, 5773, 3465, NA, NA, NA, 2129873,  X*
4, 8.0, 56080, 7117, 7610, 4101, 1956, 3268, 510, 377, 54, 51, NA, 81019,  X*
5, 9.0, 238499, 69628, 27304, 22276, 25513, 14839, 3913, 5043, 61, 37, NA, 407015,  X*
6, 10.0, 67185, 12198, 1795, 14991, 5508, 3958, 747, 693, 70, 47, NA, 107075,  X*
7, 11.0, 1024140, 364493, 136154, 68836, 27830, 30073, 20819, 6186, 53, 35, NA, 1678531,  X*
8, 12.0, 20870, 12848, 3618, 884, 6904, 2287, 1262, 1979, 47, 3, NA, 50652,  X*
9, 13.0, 73017, 8727, 5058, 2772, 936, 3271, 1726, 523, 56, 26, NA, 96030,  X*
10, 14.0, 70481, 8961, 14756, 4001, 3480, 2106, 2160, 878, 41, 41, NA, 106823,  X*
11, 15.0, 776359, 140003, 44033, 6168, 9433, 9844, 3145, 1265, 41, 44, NA, 990250,  X*
12, 16.0, 11348, 3491, 3486, 2365, 3171, 1849, 1638, 1204, 53, 70, NA, 28552,  X*
13, 17.0, 2667, 4808, 5840, 1060, 2748, 765, 510, 466, 23, 77, NA, 18864,  X*
14, 18.0, 20360, 15655, 7184, 6199, 2051, 1573, 604, 888, 10, 63, NA, 54514,  X*
15, 19.0, 2883, 8232, 313, 7966, 1930, 2283, 2207, 747, 35, 83, NA, 26561,  X*
16, 20.0, 958, 7652, 4569, 1869, 3146, 1186, 1417, 450, 11, 78, NA, 21247,  X*
17, 21.0, 30524, 22234, 3048, 10464, 5315, 1940, 909, 319, 10, 66, NA, 74753,  X*
18, 22.0, 7203, 4527, 1375, 2473, 4125, 2494, 519, 478, 51, 51, NA, 23194,  X*
19, 23.0, 26953, 8441, 1477, 4586, 2029, 2134, 1068, 487, 53, 41, NA, 47175,  X*
20, 24.0, 4243, 2687, 5495, 1240, 2343, 3975, 952, 571, 80, 50, NA, 21506,  X*
21, 25.0, 1244, 879, 1753, 2615, 1246, 1374, 2116, 1472, 100, 70, NA, 12699,  X*
