obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
57, 61.0, 840076, 134317, 20869, 15120, 7868, 12233, 27771, 9068, 29, 74, NA, 1067322,  1*
58, 62.0, 9788, 14192, 5895, 1260, 453, 4733, 4057, 623, 29, 56, NA, 41001,  1*
59, 63.0, 7463, 5372, 4597, 12965, 3508, 6751, 887, 3681, 37, 63, NA, 45224,  1*
60, 64.0, 9026, 6784, 5857, 9155, 4653, 4647, 1740, 836, 40, 78, NA, 42698,  1*
61, 65.0, 52807, 5941, 3827, 2212, 2757, 4089, 4296, 820, 54, 87, NA, 76749,  1*
62, 66.0, 9822, 7628, 1559, 1382, 8032, 4857, 4161, 1090, 61, 75, NA, 38531,  1*
63, 67.0, 35706, 32982, 14916, 11781, 7213, 7192, 4506, 4537, 53, 67, NA, 118833,  1*
64, 68.0, 9998, 3833, 1300, 1975, 2062, 6173, 1654, 800, 66, 51, NA, 27795,  1*
65, 69.0, 131173, 17731, 3567, 3657, 906, 1135, 922, 93, 47, 50, NA, 159184,  1*
66, 70.0, 86613, 6778, 6920, 2408, 2107, 452, 210, 110, 21, 75, NA, 105598,  1*
67, 71.0, 13801, 12955, 6706, 3080, 2787, 2055, 926, 991, 17, 74, NA, 43301,  1*
68, 72.0, 203348, 39650, 5231, 3440, 1440, 1781, 3692, 4039, 1, 69, NA, 262621,  1*
69, 73.0, 9552, 7760, 749, 5186, 4413, 4279, 2482, 1045, 7, 67, NA, 35466,  1*
70, 74.0, 1119260, 52266, 11863, 5959, 7581, 17679, 13953, 3627, 26, 50, NA, 1232188,  1*
71, 75.0, 10347, 21262, 1078, 6589, 6843, 3573, 2728, 1329, 27, 38, NA, 53749,  1*
72, 76.0, 17136, 7305, 3821, 11603, 2268, 2868, 1599, 1677, 40, 61, NA, 48277,  1*
73, 77.0, 280754, 14167, 1023, 3040, 7269, 4257, 3425, 623, 38, 53, NA, 314558,  1*
74, 78.0, 6440, 5747, 6998, 4936, 1716, 2696, 3156, 1393, 34, 74, NA, 33082,  1*
75, 79.0, 18193, 13023, 730, 3235, 4648, 3107, 1310, 1482, 37, 70, NA, 45728,  1*
76, 80.0, 16904, 10814, 8620, 14276, 2733, 3144, 3183, 1266, 34, 70, NA, 60940,  1*
77, 81.0, 5253, 11044, 6983, 805, 1163, 3133, 1201, 1348, 29, 87, NA, 30930,  1*
78, 82.0, 79180, 112680, 17298, 21062, 16836, 9345, 8402, 2997, 21, 67, NA, 267800,  1*
79, 83.0, 96024, 14566, 7784, 1802, 6291, 6031, 5375, 2528, 24, 77, NA, 140401,  1*
80, 84.0, 155673, 71733, 12170, 27849, 9120, 26549, 15194, 5582, 35, 60, NA, 323870,  1*
81, 85.0, 365044, 10404, 17280, 3465, 1564, 4341, 3757, 942, 34, 69, NA, 406797,  1*
82, 86.0, 172932, 20598, 4632, 4325, 8199, 10644, 3352, 3805, 48, 67, NA, 228487,  1*
83, 87.0, 94126, 54661, 7570, 7503, 3396, 4862, 2819, 655, 37, 63, NA, 175592,  1*
84, 88.0, 44433, 19116, 6547, 1259, 3347, 5837, 5117, 1001, 37, 61, NA, 86657,  1*
85, 89.0, 154725, 66883, 2566, 7160, 6562, 2557, 4209, 1031, 21, 30, NA, 245693,  1*
86, 90.0, 84258, 73226, 4613, 2803, 1697, 3984, 3380, 1324, 4, 20, NA, 175285,  1*
87, 91.0, 34787, 3723, 6386, 7334, 1354, 2447, 1934, 695, 11, 44, NA, 58660,  1*
88, 92.0, 403057, 57482, 7995, 2316, 2888, 2761, 1658, 2591, 1, 37, NA, 480748,  1*
89, 93.0, 92430, 7395, 388, 693, 1409, 1849, 491, 119, 13, 34, NA, 104774,  1*
90, 94.0, 154314, 36540, 14496, 7935, 9493, 7104, 4875, 893, 20, 51, NA, 235650,  1*
