ID,MEDIA_NAME,USER_ANSWER,CORRECT_ANSWER
1,NewMedia4,a,a
2,NewMedia20,c,c
3,NewMedia19,b,b
4,NewMedia3,a,a
5,NewMedia15,c,c
6,NewMedia18,a,a
7,NewMedia24,b,b
8,NewMedia16,b,b
9,NewMedia9,d,b
10,NewMedia5,b,b
11,NewMedia14,a,a
12,NewMedia13,d,d
13,NewMedia11,b,b
14,NewMedia23,d,d
15,NewMedia2,a,a
16,NewMedia17,b,b
17,NewMedia10,b,d
18,NewMedia12,d,d
19,NewMedia21,c,b
20,NewMedia8,b,c
21,NewMedia7,b,b
22,NewMedia6,a,a
23,NewMedia1,b,b
24,NewMedia22,d,d
