ID,MEDIA_NAME,USER_ANSWER,CORRECT_ANSWER
1,NewMedia23,d,d
2,NewMedia22,a,d
3,NewMedia20,c,c
4,NewMedia15,c,c
5,NewMedia17,b,b
6,NewMedia21,b,b
7,NewMedia13,d,d
8,NewMedia2,a,a
9,NewMedia10,a,d
10,NewMedia4,a,a
11,NewMedia19,b,b
12,NewMedia11,b,b
13,NewMedia8,b,c
14,NewMedia14,a,a
15,NewMedia16,b,b
16,NewMedia3,a,a
17,NewMedia9,b,b
18,NewMedia7,a,b
19,NewMedia6,a,a
20,NewMedia24,b,b
21,NewMedia12,d,d
22,NewMedia18,a,a
23,NewMedia1,a,b
24,NewMedia5,b,b
