time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
4.9,USER_4,NewMedia19,83002,9738,3193,798,3887,1880,803,10762,114063,0.6393353020134227
5.9,USER_4,NewMedia19,58914,45955,11955,11389,10927,10965,5636,48869,204610,0.4869081333333333
6.9,USER_4,NewMedia19,417000,16290,39619,28043,6062,6613,4604,77549,595780,0.3173659060402685
7.9,USER_4,NewMedia19,4227,1880,7004,6733,8979,3555,1460,24938,58776,0.35188785234899334
8.9,USER_4,NewMedia19,62753,4952,12171,5505,9606,10208,697,41491,147383,0.3424150666666667
9.9,USER_4,NewMedia19,1176449,51969,111870,45786,26400,11014,4701,312119,1740308,0.4413806040268457
11.0,USER_4,NewMedia19,113199,63677,15460,7839,7375,5602,9330,36986,259468,0.4331263758389262
11.9,USER_4,NewMedia19,762945,35216,47919,14523,34730,16336,3824,274295,1189788,0.4331263758389262
12.9,USER_4,NewMedia19,146844,17589,4739,12448,5198,2192,1610,76593,267213,0.4219156666666667
13.9,USER_4,NewMedia19,166054,7393,1921,6067,9051,4122,1103,119903,315614,0.4614226845637583
14.9,USER_4,NewMedia19,86909,4455,1538,7269,3830,3004,631,22673,130309,0.5713989864864866
15.9,USER_4,NewMedia19,114849,5032,44181,5825,20587,18340,3460,42360,254634,0.40973526666666665
16.9,USER_4,NewMedia19,115113,8492,8486,5960,4255,4863,866,17528,165563,0.5655457718120805
17.9,USER_4,NewMedia19,570371,7194,25231,24460,22921,13839,3717,75301,743034,0.4583930201342281
18.9,USER_4,NewMedia19,48903,14800,4354,1396,3533,2093,651,12536,88266,0.712246577181208
19.9,USER_4,NewMedia19,126916,9650,8642,63238,17109,13771,1584,60201,301111,0.6749181879194632
20.9,USER_4,NewMedia19,403058,8909,9252,14568,11675,3144,1345,70562,522513,0.6485728859060402
22.0,USER_4,NewMedia19,23240,2781,11998,2323,4002,1880,1067,20471,67762,0.8154997333333334
22.9,USER_4,NewMedia19,183458,9214,9601,6456,7559,2687,1216,83530,303721,0.8154997333333334
23.9,USER_4,NewMedia19,155110,11033,3567,8466,5984,1351,446,30109,216066,0.594643355704698
24.9,USER_4,NewMedia19,60471,2291,2235,1256,1976,947,349,15154,84679,0.3157777852348993
25.9,USER_4,NewMedia19,1059578,101122,13227,9092,23134,15415,3218,36007,1260793,0.27445226666666667
26.9,USER_4,NewMedia19,144706,17389,15422,4598,7477,3079,1141,38681,232493,0.35281610738255037
27.9,USER_4,NewMedia19,116077,29676,22299,32546,34361,25581,9538,16002,286080,0.4703830201342283
29.0,USER_4,NewMedia19,781894,20843,33030,14827,39415,27809,3713,118677,1040208,0.6511106000000001
29.9,USER_4,NewMedia19,22757,16612,4078,4807,7101,2276,1477,10306,69414,0.6511106000000001
30.9,USER_4,NewMedia19,186564,3727,1017,2190,2422,477,454,12406,209257,0.5226302013422819
31.9,USER_4,NewMedia19,35431,8745,10268,8778,8527,3986,2211,24554,102500,0.5370827702702702
32.9,USER_4,NewMedia19,708599,117197,32724,29920,18626,19588,3433,144392,1074479,0.5531252348993289
33.9,USER_4,NewMedia19,378186,2656,3755,2114,7603,3701,2196,12024,412235,0.3773303333333334
34.9,USER_4,NewMedia19,45137,6240,8335,9720,8219,3459,1383,26725,109218,0.4236657823129252
36.0,USER_4,NewMedia19,538858,7858,52622,15609,16363,12139,4456,103754,751659,0.45140806666666683
36.9,USER_4,NewMedia19,292666,37840,3003,6937,9949,5690,3015,49400,408500,0.45140806666666683
37.9,USER_4,NewMedia19,1157856,68502,18153,12291,10968,5645,1641,34710,1309766,0.411081677852349
38.9,USER_4,NewMedia19,1000186,1564,10495,13862,8704,5077,1263,25609,1066760,0.5058432214765102
39.9,USER_4,NewMedia19,105984,10162,823,5082,2776,3511,700,25723,154761,0.36289
40.9,USER_4,NewMedia19,5530,4319,5571,2137,5803,2090,893,21715,48058,0.39528993243243243
41.9,USER_4,NewMedia19,60352,10978,8839,10701,5409,5123,1370,48930,151702,0.43533107382550335
42.9,USER_4,NewMedia10,261386,4132,5926,5991,4661,3531,1209,20000,306836,0.39819868421052634
43.9,USER_4,NewMedia10,73395,14946,10364,8524,2915,2947,2637,36659,152387,0.5578176510067114
44.9,USER_4,NewMedia10,75057,8143,4429,2393,4328,6378,909,12707,114344,0.5843491275167785
45.9,USER_4,NewMedia10,726125,15202,5169,9536,7022,5689,591,15729,785063,0.19041433333333335
47.0,USER_4,NewMedia10,22360,4515,5846,5395,4771,3698,1090,6962,54637,0.3815338926174497
47.9,USER_4,NewMedia10,24129,2120,5103,2383,4031,3275,782,21344,63167,0.3815338926174497
48.9,USER_4,NewMedia10,93603,7664,1359,5856,5607,3850,3110,18558,139607,0.27098140939597315
49.9,USER_4,NewMedia10,588815,40187,13276,5359,25015,28560,2768,65890,769870,0.49789526666666667
50.9,USER_4,NewMedia10,12533,1314,2357,3974,7712,2963,1025,15301,47179,0.45564026845637584
51.9,USER_4,NewMedia10,35108,10860,29338,29121,59156,12225,3118,41814,220740,0.3106423648648649
52.9,USER_4,NewMedia10,519809,14145,5163,23205,11696,15284,2423,38143,629868,0.6265993959731544
