time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
3.9,USER_49,NewMedia4,574519,32212,8700,8673,8503,2870,4112,72927,712516,0.4023501333333333
5.0,USER_49,NewMedia4,94005,38322,12562,9987,7548,1547,1447,149978,315396,0.23560344594594593
5.9,USER_49,NewMedia4,56163,9083,5043,10756,7226,2950,1035,28811,121067,0.48293632653061225
6.9,USER_49,NewMedia4,41390,3514,7929,4305,780,275,207,9320,67720,0.3171248666666666
7.9,USER_49,NewMedia4,308088,21271,6704,12739,2781,2911,1869,57023,413386,0.2685814765100671
9.0,USER_49,NewMedia4,25017,1519,6079,1459,1108,415,448,24058,60103,0.2928556081081081
9.9,USER_49,NewMedia4,120640,4044,1758,9609,5968,785,1212,48719,192735,0.49277885906040264
10.9,USER_49,NewMedia4,66369,16178,423,2590,2710,1491,1311,7354,98426,0.3662061744966443
11.9,USER_49,NewMedia4,211159,10040,16506,24332,14070,9484,2868,55341,343800,0.3003856756756757
12.9,USER_49,NewMedia4,11602,8789,1152,2251,4682,1540,627,13948,44591,0.36020221476510067
13.9,USER_49,NewMedia4,9001,5421,1273,2547,2210,916,1541,13165,36074,0.3082318120805369
14.9,USER_49,NewMedia4,13437,6112,2026,3063,1453,1168,639,7480,35378,0.47287885906040267
16.0,USER_49,NewMedia4,717208,34594,27685,10617,8531,5062,3617,52619,859933,0.3045717449664429
16.9,USER_49,NewMedia4,368590,31602,13209,21135,9231,4049,5216,45338,498370,0.4990918918918919
17.9,USER_49,NewMedia4,45681,38431,14435,9688,1887,1724,1140,17909,130895,0.5788420805369127
18.9,USER_49,NewMedia4,20450,2322,2241,4781,4217,1552,630,8468,44661,0.36528006711409394
19.9,USER_49,NewMedia4,543873,7646,4234,13386,7437,5391,3118,73905,658990,0.36027154362416103
20.9,USER_49,NewMedia4,13903,2603,1753,1706,2105,2198,555,4457,29280,0.5598895302013422
21.9,USER_49,NewMedia4,116176,9029,5260,3824,2695,1861,674,30380,169899,0.31057687074829937
23.0,USER_49,NewMedia4,7420,3278,2422,1187,1173,2119,1473,5722,24794,0.36343858108108107
23.9,USER_49,NewMedia4,20635,5608,6448,3243,4091,498,805,19763,61091,0.42873244897959184
25.0,USER_49,NewMedia4,13066,2493,8040,8479,1942,1355,490,7519,43384,0.2898774496644295
25.9,USER_49,NewMedia4,509745,37422,20221,9921,9476,2920,768,122001,712474,0.5075697972972973
27.0,USER_49,NewMedia4,149429,2100,4151,2985,1642,1352,349,7769,169777,0.3770624999999999
27.9,USER_49,NewMedia4,9466,942,5514,7472,3922,1385,609,7778,37088,0.2867327333333333
29.0,USER_49,NewMedia4,35926,3244,6206,550,678,454,225,15347,62630,0.32464013422818794
30.0,USER_49,NewMedia4,465857,13247,20970,10372,4123,1650,1130,44065,561414,0.5090825503355704
30.9,USER_49,NewMedia4,9155,1973,5550,1942,991,1321,361,17509,38802,0.34956926174496644
31.9,USER_49,NewMedia4,11451,16623,2457,3387,2846,1839,541,7189,46333,0.49119876712328775
32.9,USER_49,NewMedia4,368823,11210,24226,13216,7960,2747,2383,87064,517629,0.5852452702702703
34.0,USER_49,NewMedia4,8966,6233,5401,2246,1889,732,575,18304,44346,0.2992678231292517
34.9,USER_49,NewMedia4,5911,7142,3276,574,1033,1110,917,3147,23110,0.3131908
35.9,USER_49,NewMedia4,163960,8359,6359,4035,1928,954,545,11006,197146,0.48227067114093963
36.9,USER_49,NewMedia4,59205,3395,5778,2742,3846,2022,795,34501,112284,0.6442816216216216
37.9,USER_49,NewMedia4,22906,14247,628,1807,3105,3536,447,8492,55168,0.6343724324324325
38.9,USER_49,NewMedia4,35074,2656,382,1561,1626,456,484,16894,59133,0.5976172972972973
39.9,USER_49,NewMedia4,3692,903,1515,1363,1616,1437,625,5506,16657,0.4467425503355705
41.0,USER_49,NewMedia4,3842,839,1540,2382,1724,1012,860,7624,19823,0.5467112751677853
41.9,USER_49,NewMedia4,75130,815,1125,1468,303,267,259,4027,83394,0.40616435374149656
42.9,USER_49,NewMedia4,2464,2793,3779,2853,4422,473,850,2059,19693,0.5324439597315436
43.9,USER_49,NewMedia4,7212,4120,2359,815,724,789,490,8350,24859,0.31665523489932884
