time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
3.9,USER_39,NewMedia18,81600,5487,3158,1521,1162,725,1501,9311,104465,0.4311082,0.4258529333333333,20.52582653333333,21.697053733333334
5.0,USER_39,NewMedia18,72635,1902,8740,4599,4116,4537,790,44592,141911,0.4726194594594594,0.48752756756756754,19.422911283783783,20.204900405405407
5.9,USER_39,NewMedia18,63658,38418,12808,20014,26590,11909,4519,64228,242144,0.45334087837837833,0.2685166216216216,22.458750405405404,22.994789797297297
7.0,USER_39,NewMedia18,84800,8731,4729,6155,5028,2501,1227,36363,149534,0.45655114093959737,0.2720997986577181,22.828580738255035,23.645459060402683
7.9,USER_39,NewMedia18,17673,7353,3003,2811,13210,2178,1381,11085,58694,0.35217248322147654,0.6282527516778523,22.288247785234898,22.548470939597316
9.0,USER_39,NewMedia18,8466,3241,6742,4443,4396,1574,2253,9409,40524,0.39320758389261745,0.36347174496644297,21.871106711409396,22.590942684563753
9.9,USER_39,NewMedia18,124209,25182,7072,8312,4816,1696,702,64135,236124,0.3866695333333333,0.2572908666666667,20.020898866666666,21.49423426666667
10.9,USER_39,NewMedia18,13850,10229,6135,5121,4481,2894,485,13688,56883,0.43137771812080533,0.28583677852348993,21.51213322147651,22.075191610738255
11.9,USER_39,NewMedia18,6841,2452,5976,5427,7530,1504,1585,5717,37032,0.46013557046979864,0.1861620134228188,23.106483624161076,23.22667496644295
12.9,USER_39,NewMedia18,7050,23903,4764,3609,4340,3721,736,22160,70283,0.4372545637583893,0.28134241610738253,22.294076375838927,23.11323087248322
13.9,USER_39,NewMedia18,11887,5920,2876,2474,4583,4542,2880,13252,48414,0.5362581333333333,0.3048994,21.889838866666665,22.397806733333333
14.9,USER_39,NewMedia18,244270,41447,48278,6525,15405,6265,5253,126072,493515,0.5578955102040816,0.23880231292517007,22.50553530612245,22.787105714285715
16.0,USER_39,NewMedia18,70138,13889,7674,8100,5922,4449,985,22960,134117,0.4831063087248323,0.1900959731543624,22.493501476510065,22.79776214765101
16.9,USER_39,NewMedia18,208679,14599,7354,22415,10192,6407,999,59401,330046,0.3704138,0.16982546666666667,21.393314466666663,21.943890933333332
17.9,USER_39,NewMedia18,697069,34134,35884,13490,10068,7906,2670,55168,856389,0.5050572108843537,0.20112333333333332,21.890841700680273,22.169381360544218
18.9,USER_39,NewMedia18,210471,15381,22967,24174,23275,6335,2132,111554,416289,0.46946783783783785,0.16013283783783785,22.84755412162162,23.119057297297296
19.9,USER_39,NewMedia18,828133,11742,2628,3767,2067,1597,961,14249,865144,0.39862523489932883,0.13790838926174495,23.44949919463087,23.64003946308725
20.9,USER_39,NewMedia18,431786,21668,59722,23136,12813,11138,7566,112279,680108,0.3658232666666667,0.16690246666666667,23.25007726666667,23.385658333333335
22.0,USER_39,NewMedia18,258986,2175,6480,2160,7716,5532,2338,15521,300908,0.3923867785234899,0.287346644295302,20.952902281879194,22.930169261744968
23.0,USER_39,NewMedia18,50189,7952,11105,6023,5047,1773,677,29930,112696,0.37307155405405407,0.5410064189189189,14.164374594594594,20.952572837837838
23.9,USER_39,NewMedia18,63235,2019,2019,455,1198,1344,484,7533,78287,0.28449593333333334,0.27749913333333337,19.684793999999997,20.9700192
24.9,USER_39,NewMedia18,365449,9932,5849,17900,11568,3461,1924,39476,455559,0.3692474496644295,0.16125147651006713,23.07728174496644,23.72386241610738
25.9,USER_39,NewMedia22,6510,12662,19308,1866,4133,2137,1106,22776,70498,0.3292125874125874,0.12853073426573425,23.222524055944056,23.659024545454542
27.0,USER_39,NewMedia22,105147,5539,4955,5423,3640,6579,1053,10383,142719,0.3769243537414965,0.02063687074829932,21.238759387755103,22.41784850340136
27.9,USER_39,NewMedia22,408116,5202,5294,2253,4590,2145,1279,3501,432380,0.6642040136054422,0.04473489795918367,20.084513877551018,22.243753129251697
28.9,USER_39,NewMedia22,485992,11737,9469,7758,4328,2491,2968,146379,671122,0.7717875999999999,0.09068646666666669,19.591601733333338,22.386198066666665
29.9,USER_39,NewMedia22,1326182,6785,94634,8663,39007,36009,22579,464716,1998575,0.18734731543624158,0.11092946308724833,22.036338120805368,22.615684295302014
30.9,USER_39,NewMedia22,1904560,30435,12069,27450,8617,12411,7492,114567,2117601,0.515849932885906,0.09511570469798658,21.68449966442953,22.504410939597317
31.9,USER_39,NewMedia22,959677,10082,1417,6253,14437,3530,2715,19387,1017498,0.7225058108108108,0.11968277027027024,20.28064682432432,22.383613918918922
32.9,USER_39,NewMedia22,6585,6617,2274,2275,6484,3322,2020,6053,35630,0.3748401342281879,0.12614416107382548,20.502959731543623,21.83667187919463
34.0,USER_39,NewMedia22,106042,5567,1482,3430,6331,2226,2222,76092,203392,0.4094866891891892,0.13090364864864865,21.40186,22.1936
34.9,USER_39,NewMedia22,121394,17927,1958,8383,3892,3307,1332,45402,203595,0.7090859060402683,0.15229476510067114,21.174145704697985,22.697988590604023
