time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
5.0,USER_18,NewMedia23,5335,6956,1193,2746,6990,2024,2178,1420,28842,0.17703067114093962,0.08813161073825503,18.67018255033557,14.895315637583893
6.0,USER_18,NewMedia23,2348,2404,2332,1773,3879,1961,1123,5206,21026,0.26677369127516776,0.0894279865771812,18.409852080536915,16.100160671140937
7.0,USER_18,NewMedia23,9471,918,4207,2835,4448,1714,747,4612,28952,0.39563133333333333,0.07226686666666665,18.295695199999997,16.000833866666667
8.0,USER_18,NewMedia23,2705,3671,6041,2988,2893,1317,630,5454,25699,0.5090489864864866,0.06395743243243243,17.545883851351356,15.610868581081082
9.0,USER_18,NewMedia23,1697,812,2165,2024,2608,3841,1062,9555,23764,0.7283597315436241,0.09762697986577182,16.99523147651007,15.856388657718123
10.0,USER_18,NewMedia23,4120,1877,10100,1727,2303,1675,669,4876,27347,0.383238389261745,0.15525369127516775,18.966074429530202,16.537257449664427
11.0,USER_18,NewMedia23,24133,6552,8624,9797,1799,1989,691,10943,64528,0.2246904,0.13915740000000001,19.995378399999996,17.014747133333334
12.0,USER_18,NewMedia23,449,2731,808,4674,2958,1830,938,6801,21189,0.32291655405405406,0.1365785810810811,20.54992222972973,17.56374581081081
13.0,USER_18,NewMedia23,3748,1129,6873,4235,2296,1522,1634,4457,25894,0.44424268456375837,0.15414771812080538,20.82973718120805,17.82985053691275
14.0,USER_18,NewMedia23,9733,5680,3371,2655,1808,1640,359,4838,30084,0.6263881756756757,0.13156533783783783,19.955381013513513,17.73450222972973
15.0,USER_18,NewMedia23,4077,7805,820,2746,1829,1803,1152,6488,26720,0.7569049333333333,0.1749186,17.6891314,16.405406199999998
16.0,USER_18,NewMedia23,1173,2660,6239,4954,2576,2250,1118,4230,25200,0.24124832214765105,0.18391020134228186,18.964081275167786,16.30392134228188
17.0,USER_18,NewMedia23,363,3675,3009,4732,2985,702,1303,4983,21752,0.4512578523489934,0.17074,18.426344295302012,15.98998033557047
18.0,USER_18,NewMedia23,2947,813,2537,4741,3588,1353,447,3591,20017,0.5795296666666667,0.1870332666666667,19.400171999999998,17.313697599999998
19.0,USER_18,NewMedia23,4821,8505,5210,8436,3208,1354,1117,16233,48884,0.7672622147651007,0.21486134228187917,19.067258859060402,16.80433496644295
20.0,USER_18,NewMedia23,11109,3328,1152,2153,4074,2410,1887,17009,43122,0.8281164429530201,0.22678033557046984,17.748987248322152,16.813966308724837
21.0,USER_18,NewMedia23,4605,3311,4158,3307,3281,581,473,3747,23463,0.27432953020134226,0.2468375167785235,16.667834026845636,15.59448288590604
22.0,USER_18,NewMedia23,5362,5648,2661,5258,2100,2309,742,6794,30874,0.2335474666666667,0.22733493333333332,18.358665999999996,15.956383266666665
23.0,USER_18,NewMedia23,1730,5090,1320,5384,2182,920,394,2722,19742,0.28188570469798657,0.2539071140939597,19.29618791946309,16.925609261744967
24.0,USER_18,NewMedia23,2149,1131,1840,4897,4037,1303,604,3340,19301,0.3776357046979866,0.24203308724832215,18.809113691275172,16.427727919463088
25.0,USER_18,NewMedia23,92205,5892,4811,7300,5633,2700,869,19657,139067,0.5348946,0.24595286666666666,19.189837066666666,16.822126400000002
26.0,USER_18,NewMedia23,4799,425,1614,3201,3701,933,532,3999,19204,0.644784966442953,0.2424567785234899,18.60634234899329,16.72452040268456
27.0,USER_18,NewMedia23,219174,24909,14840,36491,34166,6793,4887,92340,433600,0.7926812751677852,0.2555786577181208,18.328932885906042,16.713027046979867
28.0,USER_18,NewMedia23,27247,4641,2973,2317,2833,2206,1182,8901,52300,0.2641949333333333,0.29907233333333333,18.984877666666666,16.720304133333332
29.0,USER_18,NewMedia23,2372,2174,1185,7323,1522,2361,512,4111,21560,0.26737395973154365,0.30253221476510067,19.40127201342282,17.25680268456376
30.0,USER_18,NewMedia23,4575,2898,1945,1074,4072,1865,809,11191,28429,0.4239396621621623,0.282285945945946,18.29811905405405,17.04614662162162
31.0,USER_18,NewMedia23,12755,1144,3057,1135,6148,1083,245,7437,33004,0.6392493288590604,0.3054236912751677,18.484508590604026,16.57362020134228
32.0,USER_18,NewMedia23,5218,2159,372,2125,1606,940,1234,5618,19272,0.6920028,0.2818905333333333,18.951316666666663,16.798337666666665
33.0,USER_18,NewMedia23,84132,21813,4492,7974,4556,1234,825,21813,146839,0.6171306711409396,0.3012381879194631,20.14084711409396,18.03468046979866
34.0,USER_18,NewMedia23,366058,4500,3555,4693,3069,788,291,28021,410975,0.7361232214765101,0.31833758389261746,20.030219328859065,17.701754496644295
35.0,USER_18,NewMedia23,60919,2022,2178,5317,3537,1165,783,24817,100738,0.4432834228187919,0.3475536912751678,20.045433624161074,17.824957785234897
36.0,USER_18,NewMedia23,2930,1005,1311,4037,1865,1616,681,2375,15820,0.1792781879194631,0.32042214765100674,19.196014630872483,17.110771140939598
37.0,USER_18,NewMedia23,907,2782,1619,1993,1405,1833,738,7055,18332,0.42360100671140943,0.3479657046979866,19.786913288590604,17.350298993288593
38.0,USER_18,NewMedia23,8284,2148,2456,2995,3028,1172,1260,24222,45565,0.5716224161073825,0.34646308724832214,19.420783892617447,17.422207718120806
39.0,USER_18,NewMedia23,65372,1375,4124,6614,2321,616,832,16231,97485,0.6763188666666667,0.3597750666666667,18.307284333333335,16.315731733333337
40.0,USER_18,NewMedia23,197266,7768,14726,13789,6124,1880,306,34674,276533,0.5339408724832214,0.37268053691275166,17.49936187919463,15.165417986577182
41.0,USER_18,NewMedia23,2975,1432,1962,1512,3251,1241,711,5204,18288,0.17492046979865772,0.3825220805369127,18.41406154362416,15.550674161073823
42.0,USER_18,NewMedia23,4052,1037,1673,2148,3485,1209,1080,2422,17106,0.16586640000000002,0.39753026666666663,19.32724833333333,16.633405999999997
43.0,USER_18,NewMedia23,14318,3889,4416,5080,1486,1390,479,5041,36099,0.3696320134228188,0.3969912080536913,18.607545033557045,16.02778798657718
44.0,USER_18,NewMedia23,58371,831,768,206,943,476,474,2512,64581,0.5662007432432433,0.3859479054054054,17.318592972972972,15.321247567567568
45.0,USER_18,NewMedia23,3891,3001,3121,2785,1733,1613,1025,5165,22334,0.6644197972972972,0.4013516891891891,17.890651554054056,15.722784729729728
46.0,USER_18,NewMedia23,12787,1518,2055,1454,3638,998,752,19965,43167,0.15344513333333334,0.4511336,17.12820353333333,15.053613066666667
47.0,USER_18,NewMedia23,22325,15174,8282,5661,3677,2089,766,5370,63344,0.373346418918919,0.4017490540540541,15.998598175675676,14.087579662162165
48.0,USER_18,NewMedia23,2384,4015,4491,3907,1575,1916,405,8562,27255,0.6573122147651006,0.436448322147651,17.282439798657716,15.494144765100671
49.0,USER_18,NewMedia23,10350,1188,1447,2278,5922,2198,550,3420,27353,0.4965253333333334,0.40619900000000003,16.764091333333333,15.131150866666667
50.0,USER_18,NewMedia23,52131,1255,4725,2148,738,156,274,19928,81355,0.7703219463087249,0.4504635570469798,18.185624026845638,16.322098859060404
51.0,USER_18,NewMedia23,11195,5659,2323,2297,1400,1103,283,2732,26992,0.14961617449664427,0.49417449664429536,19.128089731543625,17.476635369127514
52.0,USER_18,NewMedia23,10177,6180,3442,2553,1452,1113,699,4481,30097,0.4222839333333333,0.4831834,18.406946,16.729986933333336
53.0,USER_18,NewMedia23,48522,10771,9848,8515,3325,709,884,27039,109613,0.6278395302013422,0.4841485906040268,17.4860566442953,15.414860067114095
54.0,USER_18,NewMedia23,11288,3193,1278,847,3111,1448,662,7174,29001,0.7170586577181208,0.47902550335570465,17.157150671140943,15.103542953020135
55.0,USER_18,NewMedia23,5338,1022,1862,2045,3351,2109,423,6226,22376,0.7933530872483221,0.48817644295302015,17.842717852348997,16.22006489932886
