time,MEDIA_ID,delta,FPOGX
5.0,,0.00516,0.0
6.0,,0.07392,0.0
7.0,,0.00747,0.22465
8.0,,0.06321,0.26166
9.0,,0.04536,0.35048
10.0,,0.02904,0.18084
11.0,,0.02261,0.24047
12.0,,0.006,0.24495
13.0,,0.00082,0.61714
14.0,,0.02479,0.0
15.0,,0.00357,0.54727
16.0,,0.02752,0.5858
17.0,,0.11779,0.0
18.0,,0.03552,0.57285
19.0,,0.02403,0.84108
20.0,,0.00337,0.56402
21.0,,0.03286,0.47569
22.0,,0.00238,0.33091
23.0,,0.05483,0.28684
24.0,,0.04076,0.85247
25.0,,0.01272,0.78666
26.0,,0.04171,0.72005
27.0,,0.01969,0.72336
28.0,,0.05775,0.85843
29.0,,0.0218,0.51167
30.0,,0.00328,0.38035
31.0,,0.23643,0.87767
32.0,,0.27343,0.60356
33.0,,0.03161,0.55736
34.0,,0.06569,0.76081
35.0,,0.00267,0.66125
36.0,,0.04591,0.67381
37.0,,0.00369,0.33739
38.0,,0.03213,0.58376
39.0,,0.02591,0.27164
40.0,,0.01025,0.35216
41.0,,0.04228,0.35973
42.0,,0.00034,0.70014
43.0,,0.01894,0.69578
44.0,,0.00295,0.38206
45.0,,0.02952,0.64577
46.0,,0.0723,0.35885
47.0,,0.01753,0.33801
48.0,,0.04066,0.57079
49.0,,0.05561,0.49901
50.0,,0.01634,0.31045
51.0,,0.033,0.29888
52.0,,0.04558,0.63661
53.0,,0.04888,0.64762
54.0,,0.02564,0.28373
55.0,,0.00781,0.24224
56.0,,0.14708,0.68371
57.0,,0.56409,0.67216
58.0,,0.05029,0.6279
60.0,,0.02149,0.33496
61.0,,0.04818,0.46645
62.0,,0.08747,0.60776
63.0,,0.06784,0.53991
64.0,,0.00215,0.39466
65.0,,0.10222,0.6757
66.0,,0.77421,0.28766
67.0,,0.021,0.63943
68.0,,0.01234,0.4218
69.0,,0.02819,0.61627
70.0,,0.01978,0.3773
71.0,,0.38326,0.26752
72.0,,0.27131,0.40979
73.0,,0.24605,0.18903
74.0,,0.05245,0.20397
75.0,,0.03117,0.38914
76.0,,0.00999,0.20801
77.0,,0.00053,0.61062
78.0,,0.02055,0.19397
79.0,,0.03294,0.48511
80.0,,0.07649,0.74068
81.0,,0.00334,0.32926
82.0,,0.01194,0.53121
83.0,,0.271,0.20362
84.0,,0.36903,0.47828
85.0,,0.00187,0.19092
86.0,,0.08582,0.20113
87.0,,0.04784,0.54814
88.0,,0.17315,0.79123
89.0,,0.03784,0.17459
90.0,,0.00037,0.0
91.0,,0.02712,0.711
92.0,,0.01061,0.8255
93.0,,0.06377,0.32524
94.0,,0.0006,0.51186
95.0,,0.0014,0.64603
96.0,,0.0098,0.14821
97.0,,0.0004,0.55714
98.0,,0.02584,0.58846
99.0,,0.00262,0.41205
100.0,,0.00153,0.8598
101.0,,0.02713,0.68455
102.0,,0.03139,0.0
103.0,,0.00237,0.27743
105.0,,0.00246,0.0
106.0,,0.00204,0.26066
108.0,,0.00746,0.66857
109.0,,0.00129,0.32401
110.0,,0.03903,0.38198
111.0,,0.01581,0.18993
112.0,,0.01937,0.39261
113.0,,0.54457,0.50434
114.0,,0.04295,0.33907
115.0,,0.00082,0.60117
116.0,,0.00109,0.27051
117.0,,0.01877,0.63667
118.0,,0.00317,0.24252
119.0,,0.01982,0.22175
120.0,,0.0022,0.65071
121.0,,0.01197,0.39516
122.0,,0.00049,0.42209
123.0,,0.00672,0.52706
124.0,,0.02712,0.77506
125.0,,0.03044,0.47867
126.0,,0.0017,0.85328
127.0,,0.04056,0.45309
128.0,,0.01915,0.76409
129.0,,0.00238,0.59156
130.0,,0.00124,0.48384
131.0,,0.03468,0.68471
132.0,,0.01762,0.71952
133.0,,0.00299,0.34014
134.0,,0.00553,0.79094
135.0,,0.00178,0.52467
136.0,,0.0031,0.1974
137.0,,0.01201,0.39132
138.0,,0.00178,0.6464
139.0,,0.00076,0.64108
140.0,,0.00251,0.80479
141.0,,0.00082,0.26175
142.0,,0.00171,0.25099
143.0,,0.01109,0.25828
144.0,,0.51911,0.2385
145.0,,0.02503,0.47618
146.0,,0.01799,0.59751
147.0,,0.25053,0.36301
148.0,,0.01589,0.37884
149.0,,0.02283,0.2243
150.0,,0.00108,0.0
151.0,,0.00083,0.62421
152.0,,0.00048,0.26278
153.0,,0.03595,0.48828
154.0,,0.0373,0.22627
155.0,,0.0313,0.41385
156.0,,0.00183,0.23906
157.0,,0.02529,0.6067
158.0,,0.01183,0.64732
159.0,,0.07107,0.48688
160.0,,0.01982,0.21647
161.0,,0.03275,0.24961
162.0,,0.10529,0.37281
163.0,,0.48372,0.23011
164.0,,0.02631,0.36842
165.0,,0.25103,0.39231
166.0,,0.01165,0.1842
167.0,,0.00135,0.24623
168.0,,0.03954,0.46812
169.0,,9e-05,0.23961
170.0,,0.00279,0.22236
171.0,,0.03939,0.38567
172.0,,0.00034,0.22606
173.0,,0.00291,0.48767
174.0,,0.08425,0.62833
175.0,,0.00236,0.1839
176.0,,0.01498,0.33314
177.0,,0.04601,0.35487
178.0,,0.01422,0.20762
179.0,,0.5658,0.3685
180.0,,0.00042,0.37612
181.0,,0.12769,0.21133
182.0,,0.02039,0.51653
183.0,,0.00402,0.0
184.0,,0.00054,0.63395
185.0,,0.00359,0.63622
186.0,,0.04019,0.624
187.0,,0.00167,0.40917
188.0,,0.00213,0.48581
189.0,,0.39804,0.76943
190.0,,0.016,0.32624
191.0,,0.00115,0.48006
192.0,,0.01745,0.37537
193.0,,0.08495,0.25202
194.0,,0.00552,0.22459
195.0,,0.00139,0.27665
196.0,,0.06785,0.21747
197.0,,0.00075,0.23855
198.0,,0.00286,0.21805
199.0,,0.00062,0.21162
200.0,,0.03201,0.34335
201.0,,0.267,0.36283
202.0,,0.00065,0.0
203.0,,0.09605,0.19236
204.0,,0.22537,0.20606
205.0,,0.02471,0.22719
206.0,,0.02459,0.31825
207.0,,0.00256,0.39664
208.0,,0.00041,0.36607
209.0,,0.01707,0.29612
210.0,,0.00918,0.21334
211.0,,0.00041,0.0
212.0,,0.02074,0.22217
213.0,,0.00223,0.24274
214.0,,0.03255,0.19401
215.0,,0.01726,0.16295
216.0,,0.0012,0.3484
217.0,,0.15999,0.36412
218.0,,0.01854,0.3608
219.0,,0.00427,0.39998
220.0,,0.00049,0.46873
221.0,,0.01777,0.54945
222.0,,0.03302,0.0
223.0,,0.28276,0.63705
224.0,,0.01846,0.62037
225.0,,0.52591,0.63598
226.0,,0.02083,0.34743
227.0,,0.26042,0.2114
228.0,,0.00055,0.19241
229.0,,0.0455,0.0
230.0,,0.01373,0.25894
231.0,,0.15526,0.62652
232.0,,0.02394,0.65089
233.0,,0.0157,0.62635
234.0,,0.03662,0.81023
235.0,,0.00041,0.88413
236.0,,0.02565,0.62756
237.0,,0.00554,0.84494
238.0,,0.03576,0.59202
239.0,,0.17492,0.53437
240.0,,0.03739,0.64172
241.0,,0.01647,0.2682
242.0,,0.04826,0.17712
243.0,,0.01505,0.42174
244.0,,0.1658,0.19094
245.0,,0.03268,0.20288
246.0,,0.0166,0.35214
247.0,,0.00415,0.23157
248.0,,0.00113,0.27262
249.0,,0.00495,0.63652
250.0,,0.02309,0.62807
251.0,,0.07587,0.0
