time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,totalPower,attention,meditation,FPOGX
3.0,USER_43,NewMedia9,150536,523,339,501,582,175305, NA, NA,0.33886
4.0,USER_43,NewMedia9,5679,272,859,1563,514,12166, NA, NA,0.44944
5.0,USER_43,NewMedia9,2208,2845,4028,2680,1249,25865, NA, NA,0.45643
6.0,USER_43,NewMedia9,30662,23426,1404,3652,2674,83794, 41, 51,0.23497
7.0,USER_43,NewMedia9,257336,2738,3557,1985,2556,292499, 48, 56,0.41281
8.0,USER_43,NewMedia9,25127,2721,2816,2014,2170,53373, 56, 60,0.24242
10.0,USER_43,NewMedia9,24757,10135,11372,9979,7176,72043, 78, 74,0.28724
11.0,USER_43,NewMedia9,462917,11285,12195,15255,9848,568071, 88, 66,0.57101
12.0,USER_43,NewMedia9,41358,2556,26943,11535,6568,122777, 91, 74,0.56223
13.0,USER_43,NewMedia9,22428,1608,3346,4478,6352,97348, 93, 64,0.68605
14.0,USER_43,NewMedia9,126415,16376,8387,7182,1917,246799, 60, 57,0.34508
15.0,USER_43,NewMedia9,237252,22729,3291,8218,4310,316135, 51, 61,0.61824
16.0,USER_43,NewMedia9,163225,10192,4018,5035,2565,220054, 43, 56,0.24289
17.0,USER_43,NewMedia9,45290,3112,1491,2254,1810,77236, 38, 61,0.55638
18.0,USER_43,NewMedia9,66864,18839,16491,11702,6833,175749, 56, 64,0.74545
19.0,USER_43,NewMedia9,343449,38037,1193,4592,9723,595103, 51, 57,0.3488
20.0,USER_43,NewMedia9,1212965,10080,17996,6706,5268,1343892, 47, 56,0.29327
21.0,USER_43,NewMedia9,742571,8911,11032,3844,3649,830726, 40, 60,0.65441
22.0,USER_43,NewMedia9,140923,4780,3559,13423,3498,184750, 47, 54,0.2791
23.0,USER_43,NewMedia9,84549,20397,12411,3807,5476,210093, 48, 60,0.34655
24.0,USER_43,NewMedia9,44482,6543,20263,3353,10343,138012, 61, 63,0.40545
25.0,USER_43,NewMedia9,28731,13065,3392,2725,6460,84146, 78, 67,0.55273
26.0,USER_43,NewMedia9,263224,46988,5559,7167,9338,413453, 69, 74,0.57282
27.0,USER_43,NewMedia9,9656,5252,7965,3849,1735,40991, 75, 78,0.56837
28.0,USER_43,NewMedia9,10626,439,1515,779,2351,22546, 84, 74,0.77005
29.0,USER_43,NewMedia9,66066,1182,5234,2988,1834,108578, 70, 64,0.56336
30.0,USER_43,NewMedia9,2339950,29665,37902,8557,20158,2673021, 69, 60,0.56663
32.0,USER_43,NewMedia9,215747,388,417,2218,3014,232429, 84, 43,0.67044
33.0,USER_43,NewMedia9,390966,1528,1472,1803,292,396617, 69, 53,0.53508
34.0,USER_43,NewMedia9,42787,30277,7349,12864,13726,185270, 81, 57,0.61419
35.0,USER_43,NewMedia9,409788,19324,10127,11417,7457,488602, 90, 64,0.51331
36.0,USER_43,NewMedia9,16431,1225,4006,2184,1896,38112, 81, 78,0.66973
37.0,USER_43,NewMedia9,17079,4346,2526,3403,3071,35141, 94, 75,0.76166
38.0,USER_43,NewMedia9,129383,1612,2935,2799,2775,154851, 96, 70,0.45376
39.0,USER_43,NewMedia9,3457,3476,1763,4059,1038,21940, 91, 67,0.74824
40.0,USER_43,NewMedia9,136929,7344,4770,5661,2643,186497, 84, 66,0.74723
41.0,USER_43,NewMedia9,11779,5362,7387,3796,2165,48410, 67, 66,0.74726
42.0,USER_43,NewMedia9,10660,3310,555,3595,1622,30160, 64, 66,0.6263
43.0,USER_43,NewMedia9,7249,13735,3878,3267,2725,42834, 64, 70,0.34887
44.0,USER_43,NewMedia9,22177,1256,1685,1543,1680,45156, 69, 67,0.75365
45.0,USER_43,NewMedia9,6189,1113,2674,2820,1794,19955, 83, 64,0.44008
46.0,USER_43,NewMedia9,15886,7160,5613,2404,1897,46337, 78, 70,0.0
47.0,USER_43,NewMedia9,63160,3431,2289,1675,3587,97104, 81, 61,0.56277
48.0,USER_43,NewMedia9,3880,731,1224,2439,2144,19251, 93, 63,0.58947
