time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
3.9,USER_34,NewMedia8,246589,104398,44230,38549,14735,11302,17520,191476,668799,0.65021
5.0,USER_34,NewMedia8,30068,6988,1697,2401,1881,2422,267,5976,51700,0.34313
5.9,USER_34,NewMedia8,3245,110,2687,1191,3078,725,726,9690,21452,0.2459
6.9,USER_34,NewMedia8,78769,4247,5982,3092,1998,1352,417,29807,125664,0.39084
7.9,USER_34,NewMedia8,4203,3445,2879,2173,3780,1204,283,1905,19872,0.43004
8.9,USER_34,NewMedia8,13356,9803,3559,2261,1942,938,276,4839,36974,0.48175
9.9,USER_34,NewMedia8,13765,3213,4219,2498,2778,745,515,4845,32578,0.2695
10.9,USER_34,NewMedia8,2570,809,923,2705,1396,1626,626,8668,19323,0.74517
12.0,USER_34,NewMedia8,28730,3463,2948,976,2212,703,178,3510,42720,0.66343
12.9,USER_34,NewMedia8,9269,1489,1228,1715,1665,1597,1013,8905,26881,0.73627
13.9,USER_34,NewMedia8,5876,5895,2661,1587,2064,1074,648,10644,30449,0.68457
14.9,USER_34,NewMedia8,15655,2634,518,1813,2643,685,444,8892,33284,0.30864
15.9,USER_34,NewMedia8,4677,5521,2465,697,1991,1221,598,19876,37046,0.37177
16.9,USER_34,NewMedia8,15089,4513,1127,2032,2205,1419,565,10130,37080,0.42919
17.9,USER_34,NewMedia8,4019,2917,2034,2225,4382,1389,2054,7676,26696,0.34017
18.9,USER_34,NewMedia8,29250,10528,5137,1370,1319,894,382,2326,51206,0.52768
19.9,USER_34,NewMedia8,5802,3751,5286,1079,1126,1428,231,4205,22908,0.74887
20.9,USER_34,NewMedia8,8125,1284,3484,1081,2920,939,593,5701,24127,0.31999
21.9,USER_34,NewMedia8,27698,6323,3072,1864,2561,1095,561,5304,48478,0.43506
22.9,USER_34,NewMedia8,16759,9756,2452,2312,1241,1222,345,29739,63826,0.69959
23.9,USER_34,NewMedia8,14005,8829,1632,2254,2304,1439,585,8438,39486,0.6921
24.9,USER_34,NewMedia8,24428,10298,2363,1939,1112,1097,449,7637,49323,0.7054
25.9,USER_34,NewMedia8,75954,3874,490,5365,1268,2087,952,50769,140759,0.0
26.9,USER_34,NewMedia8,17486,8106,7088,3399,2818,5482,780,6764,51923,0.66739
27.9,USER_34,NewMedia8,23223,9450,11008,6163,8792,6805,1892,30473,97806,0.2763
