time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
4.9,USER_44,NewMedia1,369554,209647,93430,42206,18446,9990,5500,404488,1153261,0.3316725333333333
6.0,USER_44,NewMedia1,2836984,74777,34628,19482,14022,8053,5546,277167,3270659,0.2479923489932886
6.9,USER_44,NewMedia1,507051,11772,17093,13367,7501,3738,463,93160,654145,0.3929044897959183
7.9,USER_44,NewMedia1,3283,1552,2161,1173,732,476,219,3757,13353,0.6373790604026845
8.9,USER_44,NewMedia1,942,4141,4011,5046,1757,396,297,3630,20220,0.4133530201342282
9.9,USER_44,NewMedia1,2604,5534,1916,1191,954,283,317,1895,14694,0.3112713422818792
11.0,USER_44,NewMedia1,170705,15864,10527,11395,2753,675,775,105042,317736,0.29463170068027217
11.9,USER_44,NewMedia1,3571,2004,4397,2466,1400,623,284,6373,21118,0.299169932885906
13.0,USER_44,NewMedia1,1673,4243,1448,1124,1961,633,464,5056,16602,0.3043553020134228
13.9,USER_44,NewMedia1,67023,1658,1138,3704,1767,1256,708,8495,85749,0.2656807382550335
14.9,USER_44,NewMedia1,3649,2460,880,573,1230,560,285,5476,15113,0.3256542666666667
15.9,USER_44,NewMedia1,1624,1537,1566,2040,531,739,256,8356,16649,0.2653925503355705
16.9,USER_44,NewMedia1,180231,28152,9304,13076,3662,1080,722,55550,291777,0.2858051677852349
17.9,USER_44,NewMedia1,26581,183,211,953,655,218,177,2811,31789,0.41406240000000005
18.9,USER_44,NewMedia1,3594,5975,3271,1081,1932,927,336,1636,18752,0.3374727027027027
20.0,USER_44,NewMedia1,9977,1164,2836,5564,2597,1650,1231,5139,30158,0.3469124832214765
20.9,USER_44,NewMedia1,160716,4017,2673,1682,1635,198,75,9781,180777,0.3911764189189189
22.0,USER_44,NewMedia1,11264,590,480,1547,3286,833,251,2162,20413,0.31879633333333335
22.9,USER_44,NewMedia1,3860,2538,1327,838,1294,558,424,5087,15926,0.3417496644295302
24.0,USER_44,NewMedia1,202459,17472,10032,11659,6567,592,1518,66445,316744,0.3212063087248322
24.9,USER_44,NewMedia1,13140,3127,1551,4408,1433,878,502,6196,31235,0.36526677852348993
25.9,USER_44,NewMedia1,1565,2241,1223,1010,1875,583,400,4528,13425,0.31574469798657717
27.0,USER_44,NewMedia1,4085,2484,963,2055,1207,882,420,6021,18117,0.3173753378378378
27.9,USER_44,NewMedia1,19770,9499,1229,7489,4283,2494,819,4461,50044,0.37423100671140935
28.9,USER_44,NewMedia1,122292,8927,1294,1546,1503,685,187,33940,170374,0.46133826666666666
29.9,USER_44,NewMedia1,59192,6978,4286,2288,2277,584,462,5050,81117,0.46242449664429525
