time,user_id,media_name,delta,beta1,beta2,totalPower,attention,meditation,FPOGX
621.9,USER_20,NewMedia11,259970,11291,8895,386200, 27, 48,0.43152
622.9,USER_20,NewMedia11,125558,1983,877,154137, 24, 41,0.23163
624.0,USER_20,NewMedia11,6669,1181,2103,26735, 41, 66,0.28989
624.9,USER_20,NewMedia11,22112,8591,1439,132387, 16, 63,0.23985
625.9,USER_20,NewMedia11,25137,10336,12358,120244, 23, 67,0.38324
626.9,USER_20,NewMedia11,1612555,59821,36563,1922340, 40, 51,0.587
627.9,USER_20,NewMedia11,1278,399,1638,11940, 47, 34,0.42098
628.9,USER_20,NewMedia11,4373,1233,1919,15839, 75, 40,0.61936
629.9,USER_20,NewMedia11,15652,575,1640,26859, 77, 53,0.6312
631.0,USER_20,NewMedia11,5863,2166,1637,51060, 60, 67,0.42293
631.9,USER_20,NewMedia11,6768,1629,1167,40097, 41, 74,0.64103
632.9,USER_20,NewMedia11,8898,1862,951,35207, 23, 60,0.31967
633.9,USER_20,NewMedia11,529280,15167,4801,611298, 16, 43,0.62228
634.9,USER_20,NewMedia11,61650,9323,2473,144044, 14, 54,0.61619
636.0,USER_20,NewMedia11,161818,18879,14364,517714, 16, 50,0.51905
636.9,USER_20,NewMedia11,77025,9826,6449,185559, 21, 54,0.62903
638.0,USER_20,NewMedia11,11736,678,1227,20760, 30, 67,0.3936
638.9,USER_20,NewMedia11,14190,1293,2370,40559, 43, 67,0.63646
639.9,USER_20,NewMedia11,341127,22550,28023,794238, 48, 75,0.39972
640.9,USER_20,NewMedia11,101312,5191,1551,147327, 41, 64,0.49658
642.0,USER_20,NewMedia11,1009723,29102,8233,1237693, 24, 61,0.61894
642.9,USER_20,NewMedia11,24495,2221,1144,66024, 11, 60,0.82975
643.9,USER_20,NewMedia11,177342,5877,6461,320401, 8, 57,0.42115
645.0,USER_20,NewMedia11,1934060,17230,6141,2477858, 1, 57,0.5706
645.9,USER_20,NewMedia11,143414,14652,3937,241808, 1, 44,0.61112
646.9,USER_20,NewMedia11,13891,1767,2128,58630, 8, 29,0.25371
647.9,USER_20,NewMedia11,44181,3459,5860,100037, 21, 40,0.27599
649.0,USER_20,NewMedia11,17983,4778,2485,65506, 38, 47,0.44293
649.9,USER_20,NewMedia11,195818,4498,3922,250358, 43, 47,0.38296
650.9,USER_20,NewMedia11,27691,1565,2335,44461, 57, 57,0.25287
652.0,USER_20,NewMedia11,9461,1331,625,33329, 43, 47,0.38324
654.9,USER_20,NewMedia11,1470866,5724,4712,1575995, 41, 47,0.6498
656.0,USER_20,NewMedia11,370451,22608,13660,662182, 37, 60,0.66873
656.9,USER_20,NewMedia11,50414,1953,2209,73401, 29, 60,0.64457
657.9,USER_20,NewMedia11,739385,8573,7777,827905, 43, 74,0.80062
658.9,USER_20,NewMedia11,33426,2835,1541,55747, 48, 77,0.63896
659.9,USER_20,NewMedia11,1972961,45857,25312,2711400, 43, 78,0.22047
660.9,USER_20,NewMedia11,183101,1989,1742,229673, 34, 69,0.26147
661.9,USER_20,NewMedia11,78997,27987,9971,215067, 34, 54,0.21195
662.9,USER_20,NewMedia11,89401,3030,3298,135384, 34, 47,0.26903
664.9,USER_20,NewMedia11,1013548,17800,5194,1303254, 26, 43,0.64295
667.0,USER_20,NewMedia11,1099430,10538,4139,1216301, 27, 41,0.47539
667.9,USER_20,NewMedia11,568856,4099,3590,626603, 24, 47,0.48209
668.9,USER_20,NewMedia11,605937,5854,10564,777549, 21, 53,0.37141
669.9,USER_20,NewMedia11,240144,474,406,252772, 27, 50,0.64121
670.9,USER_20,NewMedia11,1294924,8481,25433,1936347, 26, 51,0.66271
671.9,USER_20,NewMedia11,210510,3887,2552,290881, 17, 60,0.0
672.9,USER_20,NewMedia11,520459,12698,9423,597496, 27, 69,0.38669
674.0,USER_20,NewMedia11,199178,5994,9178,279219, 41, 74,0.2585
674.9,USER_20,NewMedia11,198295,5567,3251,326085, 38, 69,0.39404
675.9,USER_20,NewMedia11,1940545,38546,26392,2180952, 51, 70,0.62995
677.9,USER_20,NewMedia11,1411555,35857,29390,1706260, 48, 67,0.36295
678.9,USER_20,NewMedia11,131084,11819,4080,219888, 40, 61,0.25815
679.9,USER_20,NewMedia11,13168,3344,1872,35781, 53, 69,0.59629
681.0,USER_20,NewMedia11,6130,1412,1281,15764, 57, 74,0.79182
681.9,USER_20,NewMedia11,3923,2342,1612,23954, 54, 60,0.45159
682.9,USER_20,NewMedia11,1208706,19874,39746,1862088, 56, 69,0.38543
684.0,USER_20,NewMedia11,35663,9467,6430,103035, 60, 74,0.41245
685.0,USER_20,NewMedia11,22749,11456,13295,169292, 53, 61,0.39128
685.9,USER_20,NewMedia11,517215,5266,8103,669347, 48, 57,0.6265
686.9,USER_20,NewMedia11,282736,11405,8403,337552, 61, 57,0.53313
687.9,USER_20,NewMedia11,453614,5540,4294,536629, 51, 61,0.84534
688.9,USER_20,NewMedia11,170505,1626,928,218448, 37, 61,0.63085
689.9,USER_20,NewMedia11,11564,4083,2140,67434, 34, 77,0.5342
690.9,USER_20,NewMedia11,11536,3092,1661,48530, 17, 80,0.38216
692.0,USER_20,NewMedia11,4457,2755,2068,22798, 27, 67,0.47265
692.9,USER_20,NewMedia11,50729,1082,2121,65098, 50, 60,0.62619
693.9,USER_20,NewMedia11,32640,5736,1759,61441, 56, 48,0.63026
694.9,USER_20,NewMedia11,433599,11172,12342,514231, 74, 37,0.64201
695.9,USER_20,NewMedia11,40574,1054,2437,54519, 77, 37,0.24073
696.9,USER_20,NewMedia11,90693,27888,11644,322123, 64, 38,0.37658
697.9,USER_20,NewMedia11,11455,5605,4634,89458, 64, 51,0.61471
699.0,USER_20,NewMedia11,386034,2684,6502,454438, 56, 67,0.24153
700.0,USER_20,NewMedia11,57424,5609,3082,107931, 44, 70,0.24746
700.9,USER_20,NewMedia11,226446,29498,29987,485708, 53, 80,0.62203
701.9,USER_20,NewMedia11,11320,700,1896,30298, 57, 67,0.25267
703.0,USER_20,NewMedia11,12245,2703,1895,46317, 53, 64,0.42557
703.9,USER_20,NewMedia11,32308,1301,2758,47559, 64, 64,0.65732
704.9,USER_20,NewMedia11,111594,2205,2019,140872, 60, 50,0.41948
705.9,USER_20,NewMedia11,13925,2649,3127,49843, 57, 63,0.24816
706.9,USER_20,NewMedia11,4710,1807,1528,23534, 63, 57,0.61893
707.9,USER_20,NewMedia11,13344,5237,3344,72832, 48, 57,0.6808
708.9,USER_20,NewMedia11,731060,12662,11833,821275, 56, 74,0.61946
710.0,USER_20,NewMedia11,471630,5004,4907,601792, 47, 57,0.57688
710.9,USER_20,NewMedia11,19668,11278,4138,62724, 50, 56,0.25409
711.9,USER_20,NewMedia11,677253,64055,28092,1097921, 53, 56,0.24318
712.9,USER_20,NewMedia11,21235,5332,1588,64760, 38, 50,0.23764
717.9,USER_20,NewMedia11,698577,54281,20810,1379776, 37, 53,0.62768
718.9,USER_20,NewMedia11,361071,20987,10486,613531, 24, 56,0.78011
719.9,USER_20,NewMedia11,603778,21594,20627,995695, 23, 56,0.52836
720.9,USER_20,NewMedia11,1236442,3126,3843,1259075, 40, 61,0.6028
724.0,USER_20,NewMedia14,225495,7417,7514,403948, 43, 70,0.538
725.9,USER_20,NewMedia14,706324,2358,8063,830219, 47, 63,0.424
728.0,USER_20,NewMedia14,292460,58630,40409,1121620, 44, 60,0.41238
728.9,USER_20,NewMedia14,1036562,22298,10303,1214855, 34, 61,0.49077
729.9,USER_20,NewMedia14,207720,5632,2158,314891, 26, 53,0.40944
730.9,USER_20,NewMedia14,707530,5646,5544,910255, 16, 41,0.46761
732.0,USER_20,NewMedia14,717066,1146,9527,759914, 34, 54,0.42015
732.9,USER_20,NewMedia14,1219745,10069,13455,1593373, 27, 37,0.50123
733.9,USER_20,NewMedia14,37996,1054,2155,119411, 29, 26,0.50375
735.0,USER_20,NewMedia14,535157,18550,15360,1113764, 29, 29,0.58946
735.9,USER_20,NewMedia14,1545124,83339,43191,2060648, 20, 17,0.40474
736.9,USER_20,NewMedia14,97765,6943,4180,144564, 29, 34,0.43678
737.9,USER_20,NewMedia14,15073,1900,820,30364, 40, 50,0.44944
738.9,USER_20,NewMedia14,6658,1354,1673,14849, 64, 60,0.41155
739.9,USER_20,NewMedia14,34064,1768,1258,48118, 66, 56,0.50001
740.9,USER_20,NewMedia14,656713,9339,5216,806381, 54, 43,0.50344
742.0,USER_20,NewMedia14,81089,4539,13067,151340, 69, 51,0.4337
742.9,USER_20,NewMedia14,83047,15877,16945,293742, 56, 60,0.58791
743.9,USER_20,NewMedia14,1435529,18250,4378,1612035, 43, 60,0.41928
744.9,USER_20,NewMedia14,10479,219,763,19520, 53, 70,0.41832
745.9,USER_20,NewMedia14,1752,846,883,13087, 41, 60,0.40904
746.9,USER_20,NewMedia14,148772,12230,11988,247017, 44, 57,0.49176
748.0,USER_20,NewMedia14,4041,1513,817,16169, 56, 67,0.45434
748.9,USER_20,NewMedia14,19427,1228,1054,39055, 53, 70,0.4268
749.9,USER_20,NewMedia14,7101,1910,2166,24814, 60, 66,0.47934
750.9,USER_20,NewMedia14,9041,1138,1121,22087, 56, 63,0.57669
751.9,USER_20,NewMedia14,3988,1524,717,12578, 61, 60,0.56009
753.0,USER_20,NewMedia14,16587,1077,1390,26992, 70, 54,0.50215
753.9,USER_20,NewMedia14,13821,2636,1079,30134, 64, 61,0.4316
754.9,USER_20,NewMedia14,16330,1482,1145,35042, 60, 74,0.46839
755.9,USER_20,NewMedia14,51245,6382,2249,173650, 40, 70,0.4203
756.9,USER_20,NewMedia14,2273,1108,1809,16016, 40, 69,0.41072
757.9,USER_20,NewMedia14,4032,636,2412,19868, 48, 70,0.0
758.9,USER_20,NewMedia14,1677,1383,1888,15962, 56, 56,0.20517
760.0,USER_20,NewMedia14,4870,1034,1309,14233, 80, 51,0.22154
760.9,USER_20,NewMedia14,1244,1501,2024,8240, 93, 53,0.50545
761.9,USER_20,NewMedia14,6366,1192,1526,17851, 91, 53,0.57908
762.9,USER_20,NewMedia14,18114,2178,3675,36000, 97, 56,0.50439
764.0,USER_20,NewMedia14,13256,1106,1487,33032, 90, 63,0.45081
764.9,USER_20,NewMedia14,43166,4615,2295,117612, 60, 67,0.42805
765.9,USER_20,NewMedia14,38072,14465,5542,108902, 54, 66,0.57893
766.9,USER_20,NewMedia14,460502,9605,7956,512719, 51, 66,0.43905
767.9,USER_20,NewMedia14,3700,2324,1067,16506, 53, 60,0.51337
768.9,USER_20,NewMedia14,7131,560,1652,14204, 78, 54,0.36742
769.9,USER_20,NewMedia14,2810862,62018,29988,3407103, 74, 54,0.393
771.0,USER_20,NewMedia14,184258,8693,4597,231387, 66, 57,0.40854
771.9,USER_20,NewMedia14,196624,9038,5777,505797, 48, 56,0.43155
772.9,USER_20,NewMedia14,220502,3242,3557,251258, 37, 60,0.50758
773.9,USER_20,NewMedia14,28545,2037,1637,52586, 40, 53,0.50546
774.9,USER_20,NewMedia14,13220,2923,1191,40513, 34, 50,0.50351
775.9,USER_20,NewMedia14,21236,5949,3934,120705, 41, 63,0.55387
776.9,USER_20,NewMedia14,3488,770,1443,11328, 50, 56,0.42162
778.0,USER_20,NewMedia14,1328,629,1538,16847, 53, 53,0.20679
778.9,USER_20,NewMedia14,3280,735,1857,9302, 77, 38,0.49569
780.0,USER_20,NewMedia14,152405,8921,1999,206034, 78, 23,0.45141
780.9,USER_20,NewMedia14,583800,22166,44966,1108347, 66, 20,0.48788
781.9,USER_20,NewMedia14,27785,9235,5136,100871, 63, 27,0.56627
782.9,USER_20,NewMedia14,17138,4323,1423,59962, 37, 40,0.44549
783.9,USER_20,NewMedia14,59056,30360,17107,383313, 38, 48,0.51859
785.0,USER_20,NewMedia14,157220,17955,4119,297629, 27, 54,0.50758
785.9,USER_20,NewMedia14,32490,14617,5291,129863, 24, 50,0.43146
786.9,USER_20,NewMedia14,9813,867,1296,23460, 37, 54,0.50287
787.9,USER_20,NewMedia14,2595,605,2104,13999, 53, 60,0.38725
789.0,USER_20,NewMedia14,12368,1541,1879,28859, 67, 66,0.23645
789.9,USER_20,NewMedia14,6791,1356,1320,25793, 69, 66,0.74465
790.9,USER_20,NewMedia14,9104,2549,1955,33306, 67, 75,0.18274
791.9,USER_20,NewMedia14,7615,1474,3105,22361, 67, 78,0.20221
792.9,USER_20,NewMedia14,10764,1144,1155,40528, 56, 83,0.19367
793.9,USER_20,NewMedia14,14748,2419,1218,36760, 54, 84,0.15372
794.9,USER_20,NewMedia2,1400093,16871,13778,1787496, 44, 64,0.23265
796.0,USER_20,NewMedia2,130061,4174,5324,175545, 37, 56,0.35754
796.9,USER_20,NewMedia2,661742,12266,15104,905570, 40, 51,0.6359
797.9,USER_20,NewMedia2,221721,100692,4497,751109, 21, 66,0.62856
798.9,USER_20,NewMedia2,800487,4105,1796,829514, 29, 78,0.60435
803.0,USER_20,NewMedia2,454843,10487,2254,519083, 17, 91,0.79953
803.9,USER_20,NewMedia2,509034,10334,4178,659699, 10, 67,0.44566
804.9,USER_20,NewMedia2,928002,7089,12642,1105622, 27, 57,0.72458
805.9,USER_20,NewMedia2,479125,2745,9167,783097, 17, 47,0.34761
806.9,USER_20,NewMedia2,159202,28444,14889,571321, 17, 37,0.64374
807.9,USER_20,NewMedia2,28318,1261,2393,42554, 40, 61,0.33816
808.9,USER_20,NewMedia2,5563,1382,2919,30965, 44, 64,0.5051
810.0,USER_20,NewMedia2,3308,906,1123,17421, 56, 80,0.50906
810.9,USER_20,NewMedia2,634942,10872,9773,783902, 63, 78,0.28588
812.0,USER_20,NewMedia2,30337,1939,1550,60151, 50, 84,0.64334
812.9,USER_20,NewMedia2,29108,2787,1832,52361, 47, 81,0.22941
814.0,USER_20,NewMedia2,8720,1467,2386,16700, 66, 78,0.26041
814.9,USER_20,NewMedia2,5018,620,3073,16147, 87, 78,0.3725
815.9,USER_20,NewMedia2,25084,1970,1181,44493, 88, 63,0.38916
816.9,USER_20,NewMedia2,5866,1410,1247,22127, 88, 70,0.48925
817.9,USER_20,NewMedia2,100649,15105,9372,233713, 66, 70,0.78342
818.9,USER_20,NewMedia2,667139,75193,40188,862890, 66, 67,0.36755
819.9,USER_20,NewMedia2,94711,8408,4413,230303, 57, 57,0.58425
821.0,USER_20,NewMedia2,20515,3001,5053,80542, 57, 51,0.36907
821.9,USER_20,NewMedia2,34316,1050,1836,52247, 61, 54,0.35489
822.9,USER_20,NewMedia2,5484,1022,1376,17867, 50, 63,0.3707
823.9,USER_20,NewMedia2,24227,3714,1000,48255, 53, 63,0.29464
824.9,USER_20,NewMedia2,7487,877,892,18757, 54, 60,0.55081
825.9,USER_20,NewMedia2,5364,3701,1914,79279, 38, 43,0.77216
826.9,USER_20,NewMedia2,923678,10189,9457,975167, 48, 30,0.72304
828.0,USER_20,NewMedia2,14684,1775,2247,53588, 50, 50,0.31007
828.9,USER_20,NewMedia2,25879,12059,5736,103012, 50, 51,0.58684
829.9,USER_20,NewMedia2,12410,2291,1437,29547, 64, 60,0.2197
830.9,USER_20,NewMedia2,15770,2512,2898,45159, 53, 77,0.60357
832.0,USER_20,NewMedia2,618434,17327,11819,744148, 61, 74,0.35975
832.9,USER_20,NewMedia2,42657,2217,2236,75417, 57, 74,0.59343
833.9,USER_20,NewMedia2,10307,2406,1123,32390, 51, 77,0.40854
834.9,USER_20,NewMedia2,31298,1085,2443,54290, 51, 64,0.58408
835.9,USER_20,NewMedia2,3685,1745,2253,19663, 56, 75,0.36314
836.9,USER_20,NewMedia2,2889,3200,1696,27078, 57, 78,0.59416
837.9,USER_20,NewMedia7,12592,2367,3511,39358, 66, 67,0.35546
839.0,USER_20,NewMedia7,32715,1891,879,56044, 56, 78,0.40909
839.9,USER_20,NewMedia7,150874,6527,1414,187561, 41, 67,0.0
840.9,USER_20,NewMedia7,227318,11365,5173,366056, 35, 75,0.33204
841.9,USER_20,NewMedia7,421032,2869,3036,487662, 23, 70,0.31488
842.9,USER_20,NewMedia7,85649,15464,17563,248779, 34, 75,0.39753
844.0,USER_20,NewMedia7,822280,20453,10489,1222273, 27, 57,0.35791
844.9,USER_20,NewMedia7,1607105,48901,30211,2371189, 27, 34,0.52319
846.0,USER_20,NewMedia7,322885,49355,27775,538661, 41, 44,0.38629
846.9,USER_20,NewMedia7,1995811,13960,4995,2169016, 27, 35,0.37436
847.9,USER_20,NewMedia7,23375,20673,2465,120738, 29, 48,0.42702
848.9,USER_20,NewMedia7,1992392,57288,44338,2640317, 34, 67,0.64684
849.9,USER_20,NewMedia7,763638,14008,11771,963239, 23, 60,0.37239
850.9,USER_20,NewMedia7,415136,5688,5978,588468, 24, 66,0.71004
851.9,USER_20,NewMedia7,62602,2381,2162,109037, 29, 69,0.63131
853.0,USER_20,NewMedia7,577842,61277,29639,894395, 37, 60,0.34145
853.9,USER_20,NewMedia7,49691,1256,1032,63730, 40, 60,0.69077
854.9,USER_20,NewMedia7,77272,8335,6183,255867, 40, 44,0.35572
855.9,USER_20,NewMedia7,18561,1378,2234,34247, 53, 43,0.54586
857.0,USER_20,NewMedia7,1035936,4225,1512,1104536, 37, 47,0.36507
857.9,USER_20,NewMedia7,7628,1546,1196,30396, 34, 50,0.32513
858.9,USER_20,NewMedia7,6184,9277,2451,41802, 44, 64,0.52533
860.0,USER_20,NewMedia7,33365,32466,5214,215104, 26, 63,0.46947
860.9,USER_20,NewMedia7,386347,42476,20896,783443, 37, 64,0.35028
861.9,USER_20,NewMedia7,50168,4549,1647,64869, 47, 63,0.49207
862.9,USER_20,NewMedia7,110709,16857,6208,408463, 29, 57,0.60434
864.0,USER_20,NewMedia7,12023,1628,1691,25473, 48, 50,0.44422
864.9,USER_20,NewMedia7,111810,3998,1206,140187, 47, 27,0.31234
865.9,USER_20,NewMedia7,1335267,34805,20893,1951344, 29, 26,0.637
866.9,USER_20,NewMedia7,36825,1692,2632,79699, 41, 16,0.65544
867.9,USER_20,NewMedia7,13367,2520,657,34637, 24, 24,0.36259
868.9,USER_20,NewMedia7,477414,50291,19501,704626, 30, 43,0.3307
869.9,USER_20,NewMedia7,85871,1615,623,115191, 27, 47,0.54405
871.0,USER_20,NewMedia7,12860,3926,1830,30868, 37, 61,0.31296
871.9,USER_20,NewMedia7,279537,24442,21630,472959, 50, 64,0.37782
872.9,USER_20,NewMedia7,14215,1485,2859,33871, 54, 69,0.31125
873.9,USER_20,NewMedia7,1277840,15944,6014,1486223, 57, 81,0.3414
875.0,USER_20,NewMedia7,116843,12043,4914,243253, 43, 74,0.52653
876.0,USER_20,NewMedia7,10404,967,1418,43833, 34, 69,0.37951
876.9,USER_20,NewMedia7,15297,4990,1949,58888, 21, 64,0.45171
877.9,USER_20,NewMedia7,16260,2574,1202,52347, 21, 50,0.48268
878.9,USER_20,NewMedia7,16190,2576,978,33056, 27, 67,0.44292
879.9,USER_20,NewMedia7,3106,2774,1329,19865, 37, 66,0.65352
880.9,USER_20,NewMedia7,104497,11480,913,211643, 20, 74,0.35906
882.0,USER_20,NewMedia7,1267639,57092,16102,1986831, 16, 75,0.37073
882.9,USER_20,NewMedia7,8148,3757,2787,30307, 24, 60,0.75995
883.9,USER_20,NewMedia7,27230,602,1807,52312, 23, 56,0.44819
885.0,USER_20,NewMedia7,758039,9820,37526,956407, 53, 43,0.65299
885.9,USER_20,NewMedia7,96572,15608,11950,176702, 74, 53,0.63899
886.9,USER_20,NewMedia7,6262,2152,1727,17993, 77, 56,0.2493
887.9,USER_20,NewMedia7,22730,4240,4962,78833, 78, 66,0.25981
889.0,USER_20,NewMedia12,38686,16610,8258,104973, 77, 77,0.60291
889.9,USER_20,NewMedia12,12931,3114,4736,42845, 77, 66,0.0
890.9,USER_20,NewMedia12,1552268,27183,14072,2276158, 51, 57,0.24961
892.0,USER_20,NewMedia12,293096,24238,5830,508450, 41, 53,0.64952
892.9,USER_20,NewMedia12,722940,37599,12760,1225009, 21, 43,0.62481
893.9,USER_20,NewMedia12,513255,5400,3417,591529, 7, 29,0.62944
894.9,USER_20,NewMedia12,2515147,7004,18959,2646169, 27, 37,0.20927
895.9,USER_20,NewMedia12,110099,17926,7617,199192, 41, 41,0.63561
896.9,USER_20,NewMedia12,412809,19712,61858,1102010, 53, 60,0.58617
898.9,USER_20,NewMedia12,140384,1931,3122,184498, 56, 70,0.52951
900.0,USER_20,NewMedia12,107335,4123,2144,137271, 51, 61,0.62172
900.9,USER_20,NewMedia12,21826,7336,2772,81126, 44, 61,0.77875
901.9,USER_20,NewMedia12,65231,3555,1983,136314, 34, 43,0.60551
902.9,USER_20,NewMedia12,711996,19363,19276,777934, 54, 48,0.83657
903.9,USER_20,NewMedia12,38999,4585,2405,78987, 51, 41,0.51696
904.9,USER_20,NewMedia3,351205,26507,9295,472819, 57, 37,0.37618
905.9,USER_20,NewMedia3,76386,13592,8208,181449, 69, 43,0.59245
907.0,USER_20,NewMedia3,54240,2955,2137,79948, 51, 34,0.25008
908.0,USER_20,NewMedia3,73862,2042,1068,97904, 48, 47,0.48145
908.9,USER_20,NewMedia3,256593,9835,7676,344952, 48, 40,0.71958
909.9,USER_20,NewMedia3,54893,3267,1993,110959, 40, 29,0.31945
910.9,USER_20,NewMedia3,2135911,42746,23548,2724919, 29, 34,0.65655
911.9,USER_20,NewMedia3,376122,1536,4687,454707, 35, 50,0.71889
913.9,USER_20,NewMedia3,195867,6790,10912,581171, 23, 44,0.27155
914.9,USER_20,NewMedia3,210250,13087,5966,338033, 24, 37,0.62633
915.9,USER_20,NewMedia3,2090340,29328,11684,2295497, 29, 44,0.25327
916.9,USER_20,NewMedia3,749801,12861,27060,1225081, 26, 34,0.48074
917.9,USER_20,NewMedia3,634056,33146,6661,896763, 27, 50,0.47608
918.9,USER_20,NewMedia3,142156,5607,6938,223048, 35, 70,0.55898
919.9,USER_20,NewMedia3,191188,7237,10132,288600, 40, 67,0.31238
920.9,USER_20,NewMedia3,6695,1485,1014,22560, 43, 77,0.53185
921.9,USER_20,NewMedia3,882168,105768,61919,1411795, 60, 67,0.29575
922.9,USER_20,NewMedia3,307776,20742,9465,568743, 51, 51,0.58966
923.9,USER_20,NewMedia3,14826,1216,801,39001, 38, 51,0.7721
925.0,USER_20,NewMedia3,20537,1928,2895,43773, 43, 43,0.25016
925.9,USER_20,NewMedia3,687665,11798,9733,835177, 35, 43,0.31942
926.9,USER_20,NewMedia3,608026,33515,9547,720860, 48, 60,0.59269
927.9,USER_20,NewMedia3,973939,10234,4819,1143831, 47, 63,0.39866
928.9,USER_20,NewMedia3,157180,35567,30218,374966, 48, 61,0.47149
929.9,USER_20,NewMedia3,1261831,47514,34306,1912650, 47, 64,0.7289
930.9,USER_20,NewMedia3,55975,3934,2338,97854, 38, 66,0.81756
932.0,USER_20,NewMedia3,413533,7324,5067,566829, 40, 60,0.4146
932.9,USER_20,NewMedia3,43867,2060,2698,65411, 38, 60,0.24764
933.9,USER_20,NewMedia3,2491,2415,3462,27394, 50, 54,0.32054
934.9,USER_20,NewMedia3,7713,2015,1495,25446, 54, 57,0.75874
935.9,USER_20,NewMedia3,6219,1952,1549,42668, 56, 57,0.61505
936.9,USER_20,NewMedia3,10698,2499,1735,24417, 57, 54,0.24298
937.9,USER_20,NewMedia3,9753,1691,2508,24527, 63, 63,0.6377
938.9,USER_20,NewMedia3,43042,1234,1861,68145, 61, 48,0.43892
940.0,USER_20,NewMedia3,10861,1451,1149,23508, 69, 56,0.51443
940.9,USER_20,NewMedia3,7052,2250,3942,49813, 63, 57,0.74508
941.9,USER_20,NewMedia3,13604,2341,2748,51022, 53, 54,0.2882
943.0,USER_20,NewMedia3,7464,3236,1864,25039, 57, 61,0.51592
943.9,USER_20,NewMedia3,11954,889,3396,33097, 63, 56,0.60983
944.9,USER_20,NewMedia3,1661,2584,1030,25149, 57, 75,0.5389
945.9,USER_20,NewMedia3,235166,10681,8758,315132, 64, 81,0.29739
946.9,USER_20,NewMedia3,627761,9152,12000,695837, 67, 77,0.66056
947.9,USER_20,NewMedia3,8100,796,1176,21198, 63, 84,0.5814
948.9,USER_20,NewMedia3,16833,2166,880,29908, 67, 69,0.5947
950.0,USER_20,NewMedia3,64849,4139,2371,88018, 67, 64,0.33455
950.9,USER_20,NewMedia3,902,2512,907,18340, 56, 74,0.48936
951.9,USER_20,NewMedia3,3567,826,2661,19246, 63, 63,0.39343
952.9,USER_20,NewMedia19,22967,1972,1593,48820, 60, 63,0.2658
953.9,USER_20,NewMedia19,6408,721,1528,20859, 56, 63,0.25066
954.9,USER_20,NewMedia19,22102,3094,1985,64541, 53, 53,0.4721
956.0,USER_20,NewMedia19,120399,441,1466,132754, 48, 57,0.57631
956.9,USER_20,NewMedia19,1189520,46592,14297,1938434, 37, 54,0.45344
957.9,USER_20,NewMedia19,40280,6752,4355,110233, 30, 56,0.70694
958.9,USER_20,NewMedia19,441568,46802,34537,1352045, 29, 44,0.35108
959.9,USER_20,NewMedia19,1707908,13334,5103,1894171, 13, 38,0.47434
960.9,USER_20,NewMedia19,1496979,11398,34963,1728063, 37, 47,0.48696
961.9,USER_20,NewMedia19,39476,8674,4969,166876, 30, 40,0.39872
962.9,USER_20,NewMedia19,24944,4325,5108,111513, 35, 54,0.46528
963.9,USER_20,NewMedia19,78721,4311,2449,106755, 50, 67,0.46219
964.9,USER_20,NewMedia19,13082,1606,2131,27154, 51, 63,0.37995
965.9,USER_20,NewMedia19,25648,1882,933,52269, 51, 69,0.46497
966.9,USER_20,NewMedia19,64560,3323,1206,97827, 47, 75,0.25184
968.0,USER_20,NewMedia19,72579,46884,13965,433315, 37, 69,0.43711
968.9,USER_20,NewMedia19,129851,12405,9470,245996, 27, 67,0.52271
969.9,USER_20,NewMedia19,35664,2669,2409,71835, 35, 63,0.51391
970.9,USER_20,NewMedia19,95456,16592,3515,282705, 26, 53,0.36668
972.0,USER_20,NewMedia19,37818,5679,3895,122604, 27, 48,0.4859
972.9,USER_20,NewMedia19,1641793,26889,23010,2733256, 13, 40,0.63409
973.9,USER_20,NewMedia19,893312,1694,5290,925224, 23, 40,0.48926
975.0,USER_20,NewMedia19,282824,8759,9347,421040, 37, 43,0.40916
975.9,USER_20,NewMedia19,67293,2207,1632,98134, 38, 34,0.5055
976.9,USER_20,NewMedia19,66188,2059,4188,89286, 63, 38,0.45586
977.9,USER_20,NewMedia19,171026,7254,3776,220299, 54, 37,0.83436
978.9,USER_20,NewMedia19,1550922,23371,7896,1831519, 44, 37,0.84325
979.9,USER_20,NewMedia19,543687,23133,7378,682598, 48, 53,0.42643
980.9,USER_20,NewMedia19,384602,33916,15591,650052, 35, 51,0.8606
981.9,USER_20,NewMedia19,49568,11492,4572,96033, 40, 54,0.46705
982.9,USER_20,NewMedia19,204579,16357,14182,377171, 50, 53,0.46514
983.9,USER_20,NewMedia19,25627,13305,1606,91681, 41, 51,0.42535
984.9,USER_20,NewMedia19,346931,6550,7866,471889, 41, 54,0.89263
986.0,USER_20,NewMedia19,240355,22209,6404,408446, 30, 64,0.4615
986.9,USER_20,NewMedia19,443095,14149,7719,564023, 30, 66,0.43131
988.0,USER_20,NewMedia19,9672,515,1240,22082, 44, 64,0.36465
988.9,USER_20,NewMedia19,20111,3595,3793,54014, 51, 63,0.46361
989.9,USER_20,NewMedia19,83335,9930,6223,175404, 57, 54,0.36074
990.9,USER_20,NewMedia19,702080,7122,7053,777052, 61, 64,0.45382
991.9,USER_20,NewMedia19,253087,2431,1272,285710, 51, 69,0.3609
993.0,USER_20,NewMedia19,7914,1817,852,20431, 47, 81,0.36835
993.9,USER_20,NewMedia19,5162,1095,2274,45052, 43, 91,0.4398
994.9,USER_20,NewMedia19,109924,2361,1516,127807, 41, 91,0.3745
995.9,USER_20,NewMedia19,6864,838,877,19713, 48, 88,0.52356
