time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
4.9,USER_38,NewMedia6,6669,4918,3062,1263,3003,724,791,5598,26028,0.40870114093959725
6.0,USER_38,NewMedia6,3610,331,1019,4986,3679,1391,459,10025,25500,0.40870114093959725
6.9,USER_38,NewMedia6,1888,6322,3493,1929,8032,423,404,9466,31957,0.23810523489932886
7.9,USER_38,NewMedia6,37765,2160,3861,2073,2455,2424,661,7148,58547,0.265428
9.0,USER_38,NewMedia6,10791,1974,887,1343,2313,1260,1152,5324,25044,0.2817164429530202
10.0,USER_38,NewMedia6,3050,3795,2850,2790,2106,1362,355,9370,25678,0.2817164429530202
10.9,USER_38,NewMedia6,2595,2494,3052,859,2856,1066,555,5812,19289,0.42134369127516774
11.9,USER_38,NewMedia6,3529,2499,1271,2513,1114,1366,359,1640,14291,0.2004064864864865
13.0,USER_38,NewMedia6,7911,1074,2675,827,1337,879,698,5596,20997,0.2004064864864865
13.9,USER_38,NewMedia6,3155,2909,3417,1613,1598,418,450,3533,17093,0.26631825503355705
14.9,USER_38,NewMedia6,75274,16097,23095,11276,24654,9611,3956,75868,239831,0.4461709395973154
15.9,USER_38,NewMedia6,81367,6792,1451,280,1371,1001,379,13916,106557,0.2317616891891892
17.0,USER_38,NewMedia6,7666,8161,4667,984,1990,702,321,6457,30948,0.2317616891891892
17.9,USER_38,NewMedia6,6910,505,1141,4750,2387,788,258,5882,22621,0.4121099319727891
18.9,USER_38,NewMedia6,13453,583,2065,3021,3331,1131,1124,6451,31159,0.5231665771812081
19.9,USER_38,NewMedia6,14484,5021,6179,2450,1560,397,512,1426,32029,0.5454772483221477
20.9,USER_38,NewMedia6,6190,1274,268,2066,844,932,439,3724,15737,0.1892745945945946
22.0,USER_38,NewMedia6,4478,1471,476,858,1792,698,408,11834,22015,0.1892745945945946
22.9,USER_38,NewMedia6,13216,5960,1829,1615,6473,562,519,7674,37848,0.4008977181208054
24.0,USER_38,NewMedia6,12960,3749,969,706,2544,549,854,5200,27531,0.5118021476510065
