time,MEDIA_ID,delta,beta1,beta2,totalPower,attention,meditation,FPOGX
1046.9,NewMedia11,3162,10315,3363,50364, 41, 75,0.61207
1047.9,NewMedia11,12959,2613,2896,32117, 50, 78,0.37959
1048.9,NewMedia11,30044,568,587,46258, 30, 77,0.22859
1049.9,NewMedia11,56383,4316,3013,89677, 38, 77,0.0
1050.9,NewMedia11,76257,2564,2065,114711, 35, 57,0.21552
1051.9,NewMedia11,12419,2555,2980,36431, 30, 63,0.46306
1052.9,NewMedia11,5584,1487,869,15045, 44, 61,0.59981
1054.0,NewMedia11,209171,1626,640,240958, 29, 56,0.61874
1054.9,NewMedia11,148990,4041,2746,194467, 29, 66,0.43415
1055.9,NewMedia11,40075,5603,4115,75480, 30, 54,0.37701
1056.9,NewMedia11,161946,2827,2022,207494, 20, 54,0.43851
1057.9,NewMedia11,2540,1571,2434,13924, 43, 74,0.50492
1058.9,NewMedia11,19329,5025,1310,62319, 38, 74,0.41684
1059.9,NewMedia11,54590,20623,9071,187565, 34, 74,0.22769
1061.0,NewMedia11,4961,1877,854,24827, 34, 83,0.50556
1061.9,NewMedia11,42294,10949,16877,145011, 29, 77,0.40165
1062.9,NewMedia11,11201,840,1470,34055, 37, 84,0.23776
1063.9,NewMedia11,34837,771,4538,82951, 38, 88,0.22247
1064.9,NewMedia11,71535,4784,1207,108145, 37, 83,0.59448
1065.9,NewMedia11,5909,1558,4634,27292, 38, 74,0.38487
1066.9,NewMedia11,205508,3025,1388,245440, 30, 56,0.59322
1067.9,NewMedia11,767,1445,1680,11422, 41, 60,0.38104
1068.9,NewMedia11,28598,5537,4032,58340, 54, 61,0.36802
1069.9,NewMedia11,70354,3116,3390,142694, 38, 67,0.57794
1070.9,NewMedia11,448776,14894,8042,667275, 40, 50,0.67678
1071.9,NewMedia11,122245,2655,1064,147051, 24, 41,0.77272
1072.9,NewMedia11,777452,19050,25449,910311, 29, 38,0.6308
1073.9,NewMedia11,763740,25876,10949,887666, 37, 40,0.46851
1074.9,NewMedia11,133422,4560,1635,203323, 34, 48,0.57363
1075.9,NewMedia11,2247566,38574,20915,2440542, 44, 51,0.59124
1076.9,NewMedia11,5841,2201,4025,22368, 50, 29,0.5845
1077.9,NewMedia11,724425,9811,6797,772117, 56, 26,0.3902
1079.0,NewMedia11,223377,16819,5277,318032, 66, 30,0.43057
1079.9,NewMedia11,23556,2905,2804,48314, 63, 34,0.24646
1080.9,NewMedia11,62998,1948,1267,114369, 37, 54,0.25263
1081.9,NewMedia11,21457,2960,2339,43570, 29, 57,0.28564
1082.9,NewMedia11,124984,3073,3159,165859, 29, 80,0.61422
1083.9,NewMedia11,19930,2914,3155,37765, 37, 66,0.4857
1084.9,NewMedia11,10108,1622,1764,21218, 56, 64,0.3903
1086.0,NewMedia11,3407,3202,1029,18894, 53, 64,0.79013
1086.9,NewMedia11,32784,5099,3069,65047, 56, 60,0.0
1087.9,NewMedia11,23050,2290,2054,44888, 50, 69,0.59453
1088.9,NewMedia11,26633,2254,1168,51671, 38, 74,0.59531
1091.9,NewMedia11,1101144,34326,24722,1416329, 37, 70,0.4198
1092.9,NewMedia11,858114,8671,4253,946890, 29, 54,0.58804
1093.9,NewMedia11,1223649,3704,3186,1267709, 26, 69,0.46935
1094.9,NewMedia11,55979,8125,6785,135034, 30, 57,0.61554
1095.9,NewMedia11,245952,963,1619,270836, 27, 64,0.63646
1097.0,NewMedia11,257934,1160,502,273362, 24, 87,0.61034
1097.9,NewMedia11,137428,5862,2323,180450, 24, 66,0.64232
1098.9,NewMedia11,73094,2259,693,93176, 16, 66,0.63761
1099.9,NewMedia11,97151,1631,2143,110403, 29, 51,0.62772
1100.9,NewMedia11,5176,1162,1486,20488, 40, 37,0.37946
1102.0,NewMedia11,55791,1586,1161,109770, 29, 44,0.39668
1102.9,NewMedia11,3808,1885,1979,15464, 47, 40,0.24335
1104.0,NewMedia11,32154,7116,8541,90752, 43, 53,0.38312
1104.9,NewMedia11,28918,6731,1914,102869, 29, 63,0.58476
1105.9,NewMedia11,719,1296,1101,6920, 56, 60,0.3792
1106.9,NewMedia11,29298,2757,4892,66331, 51, 74,0.47424
1107.9,NewMedia11,11506,3317,3916,31027, 56, 74,0.38724
1108.9,NewMedia11,118219,8191,2177,178858, 60, 61,0.34335
1109.9,NewMedia11,1887,320,1953,11389, 56, 60,0.0
1111.0,NewMedia11,4399,1116,2017,16374, 61, 57,0.38301
1111.9,NewMedia11,89540,5756,2220,150156, 43, 51,0.37824
1112.9,NewMedia11,63470,523,614,88154, 38, 57,0.58543
1113.9,NewMedia11,502371,2937,1663,524979, 26, 64,0.62552
1114.9,NewMedia11,35235,3640,3736,89292, 14, 60,0.46223
1115.9,NewMedia11,22499,3160,2733,42960, 27, 63,0.55216
1116.9,NewMedia11,2745,1604,1053,11327, 47, 63,0.35084
1118.0,NewMedia11,110725,2448,1706,171456, 38, 47,0.60658
1118.9,NewMedia11,25179,2425,2061,66396, 35, 50,0.60893
1119.9,NewMedia11,1099,608,674,6167, 40, 51,0.66053
1120.9,NewMedia11,16140,1218,2387,33471, 38, 56,0.19738
1122.0,NewMedia11,146481,16321,3164,218117, 47, 69,0.47481
1122.9,NewMedia11,21123,804,1230,36503, 51, 75,0.40054
1123.9,NewMedia11,1048827,10336,8419,1138493, 43, 75,0.73439
1124.9,NewMedia11,358115,29799,8055,548839, 30, 64,0.50106
1125.9,NewMedia11,100621,2159,1894,138751, 29, 54,0.40051
1126.9,NewMedia11,5343,1870,2042,14667, 41, 54,0.5981
1127.9,NewMedia11,387,3556,1460,13260, 47, 57,0.6103
1129.0,NewMedia11,31293,5271,2223,47514, 61, 60,0.47453
1129.9,NewMedia11,62981,1174,1500,82341, 64, 51,0.23922
1130.9,NewMedia11,119027,4176,1220,156054, 44, 40,0.0
1131.9,NewMedia11,39901,3150,2178,96998, 30, 27,0.42569
1132.9,NewMedia11,24473,2138,1416,43479, 21, 40,0.44331
1133.9,NewMedia11,51321,2968,1204,85688, 14, 51,0.59698
1134.9,NewMedia11,13007,5638,717,35044, 16, 66,0.27198
1135.9,NewMedia11,154269,19807,4578,218695, 24, 77,0.59119
1136.9,NewMedia11,698571,6888,7695,787214, 24, 77,0.80501
1137.9,NewMedia11,7340,1222,2183,22605, 40, 67,0.25272
1138.9,NewMedia11,313059,8390,6727,420451, 43, 63,0.8322
1140.0,NewMedia11,4612,1497,1706,12389, 54, 64,0.37419
1140.9,NewMedia11,32887,4893,1022,91592, 40, 60,0.39588
1141.9,NewMedia11,39016,2183,1281,59829, 30, 75,0.22062
1143.0,NewMedia11,34259,2218,1454,65370, 29, 67,0.21986
1143.9,NewMedia11,33474,1004,3306,65622, 17, 60,0.78976
1144.9,NewMedia11,117045,4927,4295,162148, 34, 51,0.49492
1145.9,NewMedia11,4603,1159,1557,16916, 40, 56,0.40499
1147.0,NewMedia11,23697,6895,2895,74054, 41, 67,0.24152
1147.9,NewMedia11,3082,1431,1076,17302, 41, 74,0.56921
1148.9,NewMedia11,2103,1944,1997,14904, 48, 83,0.61626
1149.9,NewMedia11,24577,3499,1109,45451, 40, 77,0.56576
1151.0,NewMedia11,23496,2525,1831,38129, 48, 63,0.35857
1151.9,NewMedia11,195282,28137,21980,295081, 61, 67,0.0
1152.9,NewMedia11,185645,10687,9743,333226, 51, 67,0.58366
1153.9,NewMedia11,123061,9846,1923,200906, 43, 60,0.34862
1154.9,NewMedia11,1506,3536,1473,18141, 41, 63,0.60684
1155.9,NewMedia11,362,633,1294,6534, 38, 63,0.42812
1156.9,NewMedia11,117600,4596,3657,151996, 44, 41,0.59452
1157.9,NewMedia11,1700,3232,1917,18325, 60, 51,0.35814
1158.9,NewMedia11,5616,2268,899,22645, 54, 63,0.0
1159.9,NewMedia11,50725,3957,2697,102112, 38, 53,0.4028
1160.9,NewMedia11,85396,2667,4238,119700, 40, 64,0.55314
1161.9,NewMedia11,141735,10730,6362,234890, 34, 66,0.51427
1162.9,NewMedia11,10495,2053,1440,31748, 35, 60,0.5795
1163.9,NewMedia11,43472,2551,2527,81540, 37, 67,0.60478
1165.0,NewMedia11,151982,2554,1672,180142, 29, 56,0.60199
1166.0,NewMedia11,1916,2591,2482,11928, 47, 50,0.37257
1166.9,NewMedia11,75804,1601,1382,110206, 40, 35,0.67092
1167.9,NewMedia11,23797,2267,4333,55453, 48, 37,0.0
1168.9,NewMedia13,15514,1214,1590,34103, 51, 48,0.38183
1169.9,NewMedia13,85340,1976,3534,108344, 43, 61,0.63566
1170.9,NewMedia13,958326,7229,20276,1052589, 60, 69,0.54865
1172.0,NewMedia13,1172088,72991,59635,1892335, 54, 61,0.29101
1172.9,NewMedia13,1301570,12544,33384,1875085, 50, 50,0.6295
1173.9,NewMedia13,773168,25458,9314,1072374, 35, 34,0.51943
1174.9,NewMedia13,834063,6813,7482,964693, 21, 29,0.40316
1175.9,NewMedia13,3456038,80612,57369,4512390, 17, 24,0.42402
1176.9,NewMedia13,703655,4032,7599,750316, 29, 35,0.51295
1177.9,NewMedia13,530166,13288,5709,599396, 40, 40,0.50238
1178.9,NewMedia13,691648,6060,9631,1160864, 29, 50,0.0
1179.9,NewMedia13,148118,2730,2894,173608, 37, 51,0.54183
1180.9,NewMedia13,6592,721,1043,23528, 26, 56,0.46439
1182.0,NewMedia13,9572,1305,1325,21354, 29, 60,0.58069
1183.0,NewMedia13,3888,2262,1413,18332, 44, 60,0.55173
1183.9,NewMedia13,18009,1737,4388,60212, 43, 66,0.48175
1184.9,NewMedia13,397856,1329,3337,420035, 51, 75,0.42965
1185.9,NewMedia13,1358,666,1097,13901, 50, 63,0.50563
1186.9,NewMedia13,18013,2923,2250,52954, 43, 60,0.52378
1187.9,NewMedia13,25708,2882,2593,79092, 38, 56,0.56296
1188.9,NewMedia13,879,1692,2138,14310, 40, 51,0.47727
1190.0,NewMedia13,60774,1172,762,87767, 27, 51,0.42238
1190.9,NewMedia13,12407,1481,1704,27006, 35, 48,0.50233
1191.9,NewMedia13,287736,19073,8407,410699, 40, 56,0.52339
1192.9,NewMedia13,7791,3146,1391,32574, 27, 53,0.50458
1193.9,NewMedia13,85688,9261,5416,121951, 47, 63,0.51576
1194.9,NewMedia13,5998,964,1940,15129, 54, 69,0.53458
1195.9,NewMedia13,187019,19181,4765,263038, 54, 67,0.3953
1197.0,NewMedia13,2296,2131,2924,16944, 66, 66,0.3953
1198.0,NewMedia13,62063,4686,1239,83219, 56, 61,0.39554
1198.9,NewMedia13,8492,1346,2343,20157, 54, 63,0.39512
1199.9,NewMedia13,5753,1037,616,11419, 61, 69,0.47838
1201.0,NewMedia13,9501,2493,2017,44076, 50, 69,0.53573
1201.9,NewMedia13,3470,1009,1038,14933, 54, 74,0.48871
1202.9,NewMedia13,67216,281,436,79949, 35, 60,0.7282
1203.9,NewMedia13,11256,3313,1179,33179, 26, 64,0.73752
1204.9,NewMedia13,36822,3076,2858,62906, 34, 67,0.7766
1205.9,NewMedia13,2863,3737,2413,21537, 35, 67,0.75814
1206.9,NewMedia13,41314,3750,2796,65034, 50, 77,0.50182
1208.0,NewMedia13,1365166,27692,30623,1637370, 54, 69,0.42039
1208.9,NewMedia13,612532,20227,11354,775093, 51, 74,0.40615
1209.9,NewMedia13,79155,4287,2133,114486, 43, 70,0.55953
1210.9,NewMedia13,13515,2597,1486,48569, 30, 78,0.51167
1211.9,NewMedia13,142462,7026,2578,195670, 23, 78,0.54875
1212.9,NewMedia13,16916,7560,3137,65432, 21, 78,0.0
1213.9,NewMedia13,6579,4707,1798,30117, 24, 69,0.51269
1215.0,NewMedia13,10559,1732,2109,32494, 34, 75,0.19625
1215.9,NewMedia13,11614,2685,2050,50057, 35, 81,0.49012
1216.9,NewMedia13,2642,2145,2274,17867, 43, 66,0.42488
1217.9,NewMedia13,4463,1816,1669,32304, 40, 81,0.56483
1219.0,NewMedia13,144769,8281,14686,291020, 40, 69,0.55365
1219.9,NewMedia13,59092,2201,4438,84959, 53, 56,0.45405
1220.9,NewMedia13,1184944,106535,14002,1778677, 35, 63,0.50473
1221.9,NewMedia13,1186655,13074,8118,1517984, 26, 51,0.4203
1222.9,NewMedia13,20967,8220,2325,69748, 20, 47,0.57339
1223.9,NewMedia13,236988,1491,663,252727, 7, 47,0.42368
1224.9,NewMedia13,80051,3122,3140,108798, 20, 48,0.56067
1226.0,NewMedia13,10293,5391,5260,41933, 40, 30,0.45734
1226.9,NewMedia13,182480,1945,3270,253227, 37, 41,0.49804
1227.9,NewMedia13,8186,1824,2975,32303, 47, 38,0.51542
1228.9,NewMedia13,5791,2060,2909,20579, 51, 30,0.56357
1230.0,NewMedia13,4661,1736,1617,20513, 47, 63,0.61104
1230.9,NewMedia13,53089,3825,1502,72603, 53, 51,0.44509
1231.9,NewMedia13,588,1333,2323,11107, 63, 64,0.77709
1233.0,NewMedia13,11416,2118,2309,30127, 60, 57,0.51609
1233.9,NewMedia13,2978,1026,1088,11087, 63, 47,0.64575
1234.9,NewMedia13,39538,5484,3027,88758, 60, 54,0.0
1235.9,NewMedia13,15887,1918,2175,31332, 53, 60,0.51275
1236.9,NewMedia13,24194,1567,2179,54532, 47, 75,0.49968
1237.9,NewMedia13,54097,4805,4361,118048, 37, 77,0.52283
1238.9,NewMedia13,3855,1734,858,18366, 37, 63,0.52399
1239.9,NewMedia13,96916,18150,6031,199129, 27, 57,0.56868
1240.9,NewMedia13,8660,3198,2049,20217, 41, 54,0.82153
1241.9,NewMedia13,5803,2543,1277,27796, 41, 69,0.8224
1242.9,NewMedia13,39288,1150,1280,69867, 37, 77,0.40126
1244.0,NewMedia13,2313,918,1471,9793, 48, 84,0.56851
1244.9,NewMedia13,122183,4609,4788,173294, 38, 90,0.51033
1246.0,NewMedia13,14294,1105,2834,30232, 50, 74,0.809
1246.9,NewMedia13,64229,2323,1394,76984, 61, 88,0.56832
1247.9,NewMedia13,40269,6859,3317,90088, 51, 81,0.57683
1248.9,NewMedia13,52717,4711,2575,100147, 47, 69,0.59676
1249.9,NewMedia20,13575,3968,4291,43683, 44, 57,0.41638
1251.0,NewMedia20,177696,5419,7897,241346, 43, 54,0.47231
1251.9,NewMedia20,345599,64172,18995,964791, 37, 56,0.56819
1253.9,NewMedia20,49928,980,613,69961, 29, 61,0.53177
1254.9,NewMedia20,807867,12319,3966,955788, 13, 74,0.15246
1255.9,NewMedia20,1244998,7874,4979,1346356, 3, 57,0.47538
1256.9,NewMedia20,79310,10031,9929,140763, 20, 48,0.10787
1257.9,NewMedia20,755698,6085,8593,856950, 29, 47,0.43822
1258.9,NewMedia20,366511,10043,9417,528682, 37, 44,0.10406
1259.9,NewMedia20,53117,1990,3026,76459, 44, 51,0.48949
1260.9,NewMedia20,558032,29141,6729,677942, 35, 67,0.33084
1262.0,NewMedia20,71014,1819,1245,89156, 34, 54,0.38346
1262.9,NewMedia20,35742,5491,2877,75629, 37, 47,0.52524
1263.9,NewMedia20,69731,4123,2153,105556, 30, 47,0.57718
1264.9,NewMedia20,250615,6963,1729,319243, 21, 26,0.6242
1265.9,NewMedia20,26617,2067,1887,42717, 26, 41,0.47528
1266.9,NewMedia20,642963,22684,7884,756646, 27, 56,0.47964
1267.9,NewMedia20,440003,14373,10975,541194, 34, 63,0.48013
1269.0,NewMedia20,24720,4930,1688,49533, 43, 74,0.65578
1269.9,NewMedia20,4480,1178,1976,12320, 54, 70,0.6497
1270.9,NewMedia20,18822,5910,2379,52807, 54, 78,0.64078
1271.9,NewMedia20,2582,2152,1475,14446, 57, 74,0.52473
1272.9,NewMedia20,219234,3933,1815,259674, 51, 84,0.85427
1273.9,NewMedia20,6763,344,1161,31099, 34, 83,0.5986
1274.9,NewMedia20,1441543,19595,20955,1678503, 34, 77,0.84341
1276.0,NewMedia20,851536,28260,6302,973145, 24, 74,0.62463
1276.9,NewMedia20,12616,1265,943,30122, 26, 48,0.47853
1278.0,NewMedia20,34964,4483,12004,136931, 35, 41,0.63887
1278.9,NewMedia20,3542,1322,688,11311, 37, 40,0.86736
1279.9,NewMedia20,461512,19646,19669,591185, 47, 44,0.84277
1280.9,NewMedia20,12702,1866,2195,28491, 56, 54,0.37732
1281.9,NewMedia20,3955,4042,740,16743, 54, 66,0.0
1282.9,NewMedia20,143747,4255,2968,183878, 50, 74,0.35677
1283.9,NewMedia20,3016,2701,2021,20245, 48, 66,0.46778
1284.9,NewMedia20,1888,555,1276,13033, 43, 70,0.6577
1285.9,NewMedia20,1788,3559,2125,17749, 50, 67,0.63477
1287.0,NewMedia20,8673,3315,1511,35752, 48, 57,0.50695
1287.9,NewMedia20,15602,7755,4089,68060, 44, 64,0.50865
1288.9,NewMedia20,13794,6167,3204,35356, 51, 57,0.64515
1289.9,NewMedia20,66953,3321,1281,127430, 30, 61,0.50154
1290.9,NewMedia20,22044,2261,2756,43166, 38, 53,0.62693
1291.9,NewMedia20,887421,10462,12432,952861, 48, 53,0.50254
1292.9,NewMedia20,28562,2979,1314,46022, 40, 61,0.47708
1294.0,NewMedia20,700986,4045,6627,835341, 47, 54,0.55641
1294.9,NewMedia20,389118,13760,17899,470742, 53, 67,0.49393
1295.9,NewMedia20,83202,1585,1438,113939, 38, 74,0.62648
1296.9,NewMedia20,1378,1774,843,23246, 30, 80,0.5263
1297.9,NewMedia20,4159,1569,2642,26491, 40, 78,0.53191
1298.9,NewMedia20,93226,4072,2076,115586, 30, 70,0.847
1299.9,NewMedia20,8477,1298,1328,26478, 37, 64,0.68437
1300.9,NewMedia20,1302463,9133,8462,1543059, 35, 70,0.87524
1301.9,NewMedia20,695902,9514,7708,756208, 38, 80,0.61486
1302.9,NewMedia20,17648,1038,1215,31014, 37, 80,0.33571
1303.9,NewMedia20,90344,19274,7331,215684, 35, 84,0.30706
1304.9,NewMedia20,2955,1969,1370,14427, 48, 69,0.10834
1305.9,NewMedia20,20607,5263,2694,52474, 43, 69,0.11489
1306.9,NewMedia20,777,1661,1462,12908, 48, 67,0.46836
1307.9,NewMedia20,13505,690,1090,22063, 54, 53,0.37088
1308.9,NewMedia20,118992,5929,2606,167650, 44, 64,0.61392
1310.0,NewMedia20,483,1291,1621,10392, 53, 57,0.52975
1310.9,NewMedia20,90008,4366,1667,115706, 47, 60,0.52373
1312.0,NewMedia20,480657,9028,6085,618863, 34, 67,0.61739
1312.9,NewMedia20,10523,1375,2452,40412, 37, 60,0.53425
1313.9,NewMedia20,50879,3174,2470,91191, 24, 66,0.50654
1314.9,NewMedia20,185830,17295,8590,253241, 35, 64,0.62761
1315.9,NewMedia20,6601,1049,2066,27689, 44, 61,0.43569
1316.9,NewMedia20,112115,878,394,129721, 34, 54,0.44314
1317.9,NewMedia20,622642,14553,5797,752465, 30, 54,0.61452
1319.0,NewMedia20,56486,3800,1624,70134, 30, 66,0.61361
1319.9,NewMedia4,18943,3703,1408,53844, 21, 64,0.25695
1320.9,NewMedia4,711690,8964,10385,828269, 35, 75,0.38716
1321.9,NewMedia4,6228,526,2002,14459, 51, 74,0.61082
1322.9,NewMedia4,113208,12136,1490,178139, 35, 67,0.2354
1323.9,NewMedia4,99253,5526,3942,140674, 43, 64,0.37435
1324.9,NewMedia4,110094,6737,4302,156531, 43, 51,0.45712
1326.0,NewMedia4,43521,3340,4854,71114, 40, 43,0.58164
1326.9,NewMedia4,1035224,20124,15320,1207787, 50, 48,0.24222
1327.9,NewMedia4,343489,15941,4631,535982, 38, 47,0.42217
1328.9,NewMedia4,165612,17614,9825,281053, 38, 64,0.0
1330.0,NewMedia4,15496,1170,2227,26804, 40, 69,0.59032
1330.9,NewMedia4,1591,532,1243,9338, 47, 64,0.56631
1331.9,NewMedia4,1436,1035,1039,9400, 63, 75,0.32249
1332.9,NewMedia4,62212,2332,1336,99249, 54, 64,0.0
1333.9,NewMedia4,2345,1329,831,12134, 44, 56,0.33316
1334.9,NewMedia4,26430,16342,14559,127992, 44, 64,0.52855
1335.9,NewMedia4,39627,2312,2413,80547, 34, 63,0.24095
1337.0,NewMedia4,23474,970,655,61103, 26, 67,0.42396
1337.9,NewMedia4,8683,2410,1007,17109, 34, 70,0.0
1338.9,NewMedia4,13959,1792,2567,32424, 34, 63,0.35653
1339.9,NewMedia4,35855,2072,2462,62613, 37, 63,0.60577
1340.9,NewMedia4,3213,537,1331,12881, 56, 61,0.25208
1341.9,NewMedia4,107811,2043,1111,136698, 41, 69,0.47227
1342.9,NewMedia4,4981,1590,1574,15135, 43, 54,0.71225
1343.9,NewMedia4,2385,5114,1324,24892, 43, 54,0.30955
1344.9,NewMedia4,2005870,29781,29007,2206717, 43, 60,0.29029
1345.9,NewMedia4,1479,1053,561,8396, 56, 54,0.30511
1346.9,NewMedia4,4167,694,1839,12026, 61, 66,0.54886
1347.9,NewMedia4,71288,5418,589,99044, 51, 67,0.29199
1348.9,NewMedia4,5048,3325,1726,16172, 54, 57,0.34896
1349.9,NewMedia4,2025,1982,3203,15004, 63, 60,0.41939
1351.0,NewMedia4,5667,1519,1321,15801, 56, 60,0.61394
1351.9,NewMedia4,84068,4694,2426,128580, 64, 56,0.64651
1352.9,NewMedia4,12797,405,1460,21508, 61, 69,0.6182
1353.9,NewMedia4,113186,2237,1205,146807, 40, 77,0.32092
1355.0,NewMedia4,18365,4237,1885,37367, 37, 80,0.38047
1355.9,NewMedia4,29987,1652,2346,49325, 44, 90,0.39522
1356.9,NewMedia4,8459,1629,2155,25306, 41, 83,0.21963
1358.0,NewMedia4,41717,2077,1835,80399, 44, 78,0.19755
1358.9,NewMedia4,22465,1144,1363,44177, 38, 75,0.58475
1359.9,NewMedia4,10442,2709,2087,24806, 41, 75,0.23605
1360.9,NewMedia4,2210,3324,2079,21715, 41, 60,0.46639
1361.9,NewMedia4,85207,3168,1505,169092, 30, 54,0.34721
1362.9,NewMedia4,69526,6839,8131,482844, 21, 35,0.38304
1363.9,NewMedia4,629176,17979,8087,798894, 10, 30,0.60188
1364.9,NewMedia4,59642,1759,2538,92427, 3, 51,0.59613
1365.9,NewMedia4,109418,1702,1693,134829, 14, 53,0.25569
1366.9,NewMedia4,10975,1890,1024,19741, 35, 83,0.35382
1367.9,NewMedia4,87125,1164,2313,122278, 38, 78,0.23717
1368.9,NewMedia4,1910,293,659,10815, 38, 75,0.34565
1369.9,NewMedia4,4480,1192,987,13887, 43, 78,0.37946
1370.9,NewMedia4,52086,2270,1296,94060, 27, 67,0.54981
1371.9,NewMedia4,45007,1103,2088,78320, 27, 63,0.27145
1373.0,NewMedia4,10969,532,1333,21522, 34, 60,0.44023
1374.0,NewMedia4,30824,4985,979,68843, 21, 66,0.2705
1374.9,NewMedia4,3503,1177,1087,10960, 38, 54,0.37438
1375.9,NewMedia4,34586,3549,2001,80392, 35, 66,0.60438
1376.9,NewMedia4,142577,4156,2802,170916, 34, 64,0.54618
1377.9,NewMedia4,59239,1686,1522,90685, 37, 57,0.59013
1378.9,NewMedia4,87220,3472,2964,116830, 30, 56,0.63225
1380.0,NewMedia4,36538,960,757,67229, 24, 40,0.24883
1380.9,NewMedia4,3350,2208,1086,13674, 26, 41,0.27674
1381.9,NewMedia4,45099,1546,1911,87378, 24, 44,0.4259
1382.9,NewMedia4,35934,2721,2952,56032, 29, 64,0.64431
1383.9,NewMedia4,75177,4168,1370,104676, 37, 80,0.27632
1384.9,NewMedia4,5218,2683,1852,20209, 38, 67,0.26121
1385.9,NewMedia4,59536,1212,1673,115171, 35, 64,0.44241
1386.9,NewMedia4,2326,2662,1548,15828, 34, 51,0.63453
1387.9,NewMedia4,115368,8567,5792,173148, 41, 53,0.25582
1388.9,NewMedia4,1550,2482,1527,13526, 41, 64,0.45423
1390.0,NewMedia4,53571,449,364,69410, 38, 66,0.39153
1391.0,NewMedia4,3499,798,1318,12356, 40, 67,0.0
1391.9,NewMedia4,101754,2841,2337,130716, 37, 64,0.5008
1392.9,NewMedia4,290216,7711,4376,450078, 21, 51,0.39936
1393.9,NewMedia4,36697,1490,487,44048, 34, 37,0.49013
1394.9,NewMedia4,11490,357,1048,20069, 34, 44,0.32328
1395.9,NewMedia4,3070,2058,1488,12249, 40, 43,0.29865
1396.9,NewMedia4,46392,2476,2372,74987, 51, 56,0.36153
1398.0,NewMedia4,21315,3591,2526,49102, 53, 77,0.511
1398.9,NewMedia4,11477,1499,924,30273, 43, 70,0.23228
1399.9,NewMedia4,128026,4165,863,143060, 35, 69,0.45606
1401.9,NewMedia4,76284,5922,1575,113419, 29, 56,0.53843
1402.9,NewMedia4,644883,3495,4454,758560, 20, 47,0.32199
1403.9,NewMedia4,1047311,45124,31519,1559925, 21, 47,0.42858
1404.9,NewMedia4,68607,3529,5326,115937, 24, 41,0.26185
1405.9,NewMedia4,374799,3692,3270,463066, 23, 54,0.36476
1406.9,NewMedia4,103896,1810,2688,125055, 35, 66,0.24221
1407.9,NewMedia4,5012,2081,1105,16528, 41, 70,0.40164
1408.9,NewMedia4,97214,2593,1807,118869, 40, 84,0.6402
1409.9,NewMedia4,274316,3967,2085,325467, 41, 88,0.42819
1410.9,NewMedia4,76217,12405,7813,181492, 37, 83,0.72263
1411.9,NewMedia4,5010,1051,1624,16817, 37, 81,0.65278
1412.9,NewMedia4,45787,7182,2640,67937, 43, 75,0.41681
1413.9,NewMedia4,7083,1328,1866,25012, 51, 67,0.43282
1414.9,NewMedia4,9154,1560,2480,33757, 53, 75,0.24494
1416.0,NewMedia4,72193,858,698,102624, 35, 75,0.39578
1416.9,NewMedia4,8216,1061,1602,21027, 35, 70,0.65961
1417.9,NewMedia4,86285,17624,12195,211532, 34, 77,0.31397
1418.9,NewMedia4,465480,11429,6591,581448, 29, 67,0.22712
1419.9,NewMedia4,3847,1353,1609,10759, 56, 61,0.2934
1420.9,NewMedia4,26988,2567,1825,50344, 51, 70,0.226
1422.0,NewMedia4,7317,1584,970,16365, 54, 69,0.43613
1423.0,NewMedia5,342,1485,1611,12986, 61, 69,0.35529
1423.9,NewMedia5,77189,30514,9141,285926, 43, 67,0.63516
1424.9,NewMedia5,11590,2244,3215,49189, 43, 66,0.26581
1425.9,NewMedia5,3754,3354,1869,39229, 34, 64,0.3104
1426.9,NewMedia5,22671,3374,2083,49156, 29, 69,0.28118
1427.9,NewMedia5,832550,49925,27174,1218059, 34, 75,0.24457
1428.9,NewMedia5,419110,23986,10779,559452, 34, 69,0.25814
1429.9,NewMedia5,95843,8319,2862,192441, 27, 80,0.0
1430.9,NewMedia5,40363,1640,2530,64998, 27, 70,0.48428
1431.9,NewMedia5,856919,26792,7147,1008716, 26, 70,0.33942
1432.9,NewMedia5,143010,17972,10717,343707, 21, 57,0.38871
1433.9,NewMedia5,59420,1660,1966,135448, 20, 56,0.25647
1434.9,NewMedia5,22095,3982,1441,43869, 17, 63,0.24745
1435.9,NewMedia5,21599,917,1483,43066, 20, 77,0.0
1436.9,NewMedia5,79876,2100,2613,112680, 23, 97,0.46836
1438.0,NewMedia5,51167,4549,800,78921, 24, 91,0.54005
1438.9,NewMedia5,6157,1342,2660,15113, 41, 75,0.2376
1439.9,NewMedia5,65023,5269,11607,152185, 48, 66,0.48562
1441.0,NewMedia5,231055,15947,12118,495533, 41, 51,0.23566
1441.9,NewMedia5,7413,1607,1317,18857, 54, 56,0.2603
1442.9,NewMedia5,54890,1022,610,74013, 29, 47,0.26816
1443.9,NewMedia5,5574,1172,1301,16335, 30, 41,0.30795
1444.9,NewMedia5,39524,2725,3170,94055, 35, 44,0.41032
1445.9,NewMedia5,4032,2669,2745,26412, 34, 48,0.27221
1446.9,NewMedia5,52438,3525,2230,73011, 48, 53,0.337
1447.9,NewMedia5,44623,2610,1868,65976, 43, 53,0.55472
1448.9,NewMedia5,12175,1412,2894,31907, 51, 48,0.57885
1449.9,NewMedia5,4285,6472,2805,45702, 47, 47,0.24334
