time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
4.9,USER_15,NewMedia10,12045,1091,4415,1194,1937,1740,917,6299,29638,0.4874954421768708,0.19756891156462583,19.132828911564626,21.330600340136055
5.9,USER_15,NewMedia10,891569,173669,8986,44122,8360,6002,3573,120813,1257094,0.7160432413793103,0.2731930344827586,18.339575999999997,20.819206
6.9,USER_15,NewMedia10,27255,6962,1352,3925,1356,917,859,24708,67334,0.6251595918367346,0.7040425850340136,19.559663401360545,21.94185170068027
7.9,USER_15,NewMedia10,207136,17737,5759,15996,3895,887,2571,42194,296175,0.31655378378378374,0.6535264189189188,20.929626283783783,23.23419141891892
8.9,USER_15,NewMedia10,1377461,33386,28825,17022,14201,15887,3146,109031,1598959,0.6110926351351351,0.39913662162162167,19.045311554054056,21.87529777027027
9.9,USER_15,NewMedia10,6625,7843,3150,10537,2968,3447,2005,16421,52996,0.3659078,0.6009096,19.147723000000003,20.822933933333335
11.0,USER_15,NewMedia10,20147,3460,10737,9457,3113,2161,795,8974,58844,0.35844825503355704,0.6714777852348994,19.728678187919463,21.33211147651007
11.9,USER_15,NewMedia10,104263,8254,5357,2717,7307,3094,1498,66392,198882,0.27684499999999995,0.9942522972972972,21.51385756756757,23.356956283783784
12.9,USER_15,NewMedia21,240365,5443,5721,2398,1566,1685,320,19944,277442,0.46806207547169815,0.4406390094339623,19.214983160377358,20.623621745283018
13.9,USER_15,NewMedia21,200095,27452,17101,27667,10638,7190,11843,150293,452279,0.5846868918918918,0.419833445945946,18.930642364864863,20.744172905405403
14.9,USER_15,NewMedia21,52343,2927,3904,2902,2090,1309,628,14441,80544,0.5256563758389262,0.24182651006711411,19.20757530201342,21.41234409395973
15.9,USER_15,NewMedia21,71599,5688,2639,5831,4914,538,871,30832,122912,0.30130660000000004,0.6234692666666666,19.2245694,21.632085933333336
16.9,USER_15,NewMedia21,80968,17794,10255,9832,5725,1423,652,28420,155069,0.5097703401360544,0.6213957142857143,18.584754965986395,21.880082653061226
17.9,USER_15,NewMedia21,193339,7362,4097,10041,5341,1417,851,35632,258080,0.5357500671140939,0.4749107382550335,19.178562885906043,21.523780939597316
18.9,USER_15,NewMedia21,107568,3044,3348,3311,2005,163,186,17293,136918,0.6216095238095238,0.5909478231292518,19.56855925170068,22.054849523809523
19.9,USER_15,NewMedia21,11454,7674,19098,7034,1933,1169,871,8606,57839,0.629675,0.5487746575342465,19.082671438356165,22.03875198630137
20.9,USER_15,NewMedia21,124041,11749,16226,5681,2801,838,995,82270,244601,0.8666895172413793,0.7583547586206897,20.43731131034483,22.256692551724136
21.9,USER_15,NewMedia24,90568,523,812,2328,911,842,498,26270,122752,0.422421330472103,0.3470839055793991,19.491631287553652,21.365457854077253
22.9,USER_15,NewMedia24,820811,40389,13062,14369,25838,20650,8646,112676,1056441,0.28039729729729734,0.08333033783783783,17.350792837837837,20.422358108108106
23.9,USER_15,NewMedia24,20604,11022,2869,891,2198,492,465,12266,50807,0.3681432432432432,0.07083993243243243,18.972136756756754,21.60242689189189
24.9,USER_15,NewMedia24,27561,1316,1688,4765,1709,1781,443,4651,43914,0.5159259731543624,0.07971651006711408,17.284568053691277,20.457465503355706
25.9,USER_15,NewMedia24,34253,8065,4132,2266,3789,1069,1025,13391,67990,0.2605393197278911,0.1152047619047619,17.98435081632653,20.125654285714287
26.9,USER_15,NewMedia24,70755,731,3033,3577,1144,824,321,20072,100457,0.6275444295302014,0.08896093959731545,17.89195899328859,20.401735167785237
27.9,USER_15,NewMedia24,18164,13141,14754,6052,5034,962,973,14500,73580,0.3508414666666667,0.15728673333333332,17.600183466666664,20.519755266666664
29.0,USER_15,NewMedia24,50274,7770,3005,1175,4131,986,735,30838,98914,0.5583012925170068,0.12720680272108845,17.48585591836735,20.176982653061224
29.9,USER_15,NewMedia24,30272,8534,4170,3795,3250,2168,743,14985,67917,0.5539031250000002,0.19678638888888889,17.21805173611111,19.69096229166667
30.9,USER_15,NewMedia24,155800,7908,8085,5705,5019,1157,478,22350,206502,0.2858682191780822,0.22245739726027397,18.180191506849315,20.761915000000002
31.9,USER_15,NewMedia24,14193,21385,1901,4059,2706,1791,748,24627,71410,0.5432592617449664,0.20825322147651007,17.950815570469796,20.630453624161074
32.9,USER_15,NewMedia24,30055,4955,9777,1351,1536,2517,1177,7020,58388,0.8253621917808218,0.17974609589041096,16.807913698630138,20.601898287671233
33.9,USER_15,NewMedia24,6487,5585,3785,2850,805,450,302,6920,27184,0.6873953020134228,0.19057610738255035,17.413357181208053,20.424885234899328
34.9,USER_15,NewMedia24,116976,873,1203,2256,525,220,90,2225,124368,0.24494020000000002,0.25185666666666673,18.739834199999997,20.5653888
36.0,USER_15,NewMedia24,29398,3281,3165,2726,1274,1630,303,22566,64343,0.4435014965986394,0.27942727891156466,18.568229523809524,21.206517551020408
36.9,USER_15,NewMedia24,8334,7178,5241,1745,1212,1182,980,18375,44247,0.7789889864864865,0.22758047297297299,17.09268837837838,20.391600135135135
37.9,USER_15,NewMedia24,44801,3869,14322,3233,1433,922,659,27864,97103,0.3777909395973154,0.30460416107382554,17.932531342281877,20.48213181208054
38.9,USER_15,NewMedia24,9304,3868,11816,3925,1871,530,1681,18301,51296,0.616228,0.3193592,18.116296199999997,20.683341733333332
39.9,USER_15,NewMedia24,347704,19597,22213,10621,20695,12093,6273,54269,493465,0.4543821232876712,0.35704883561643835,18.70174897260274,20.857767534246577
40.9,USER_15,NewMedia24,9704,5633,4927,1195,2518,783,1275,5079,31114,0.4537964137931034,0.38292413793103447,18.16617096551724,20.00598324137931
41.9,USER_15,NewMedia24,29853,4888,1768,2424,1917,827,1218,11230,54125,0.7782197297297297,0.28619195945945947,17.36440108108108,20.173963445945947
43.0,USER_15,NewMedia24,96651,7704,4524,8487,5424,3055,497,15050,141392,0.316722027027027,0.42503493243243246,18.654525,20.185662635135134
43.9,USER_15,NewMedia24,98269,30763,28591,33672,28116,5394,3472,52237,280514,0.6608657432432432,0.41869675675675677,17.882934797297295,20.015508108108108
44.9,USER_15,NewMedia24,9524,3509,2523,2597,2805,1983,605,7154,30700,0.3382697333333333,0.47831799999999997,18.593406533333333,19.9464244
45.9,USER_15,NewMedia24,84318,28840,6374,10224,2071,542,286,27953,160608,0.5854077852348993,0.5168272483221477,18.83208832214765,20.85514798657718
47.0,USER_15,NewMedia24,62576,4550,1012,2234,2596,937,574,18378,92857,0.5674254054054054,0.511499054054054,19.06071033783784,21.581918918918916
47.9,USER_15,NewMedia24,24821,7776,4855,4460,2388,1348,353,23034,69035,0.6477376712328767,0.29869910958904117,20.03690506849315,22.130373698630137
48.9,USER_15,NewMedia24,177690,13637,4462,5015,2205,6288,1530,28177,239004,0.37771815068493153,0.25315815068493147,20.46666712328767,22.257048698630136
49.9,USER_15,NewMedia24,129207,5020,2492,3811,1337,1305,818,8412,152402,0.5108845578231291,0.30682653061224485,19.79588482993197,21.597104965986393
50.9,USER_15,NewMedia24,377625,39096,37562,12214,11878,8239,4849,55504,546967,0.4991474496644295,0.32619107382550333,19.562631409395973,21.869292751677854
51.9,USER_15,NewMedia24,31069,2580,2559,3440,1923,1499,397,15780,59247,0.3298436241610738,0.46893234899328856,20.137785369127513,21.8811866442953
52.9,USER_15,NewMedia24,121360,9787,1826,9174,3956,1449,224,14738,162514,0.6581352027027028,0.7494981756756758,19.73049364864865,22.42378959459459
54.0,USER_15,NewMedia24,34241,12145,11180,2323,1402,2704,797,5982,70774,0.4769094405594405,0.8023899300699301,20.63954258741259,22.69221041958042
54.9,USER_15,NewMedia24,935593,53619,37898,37227,26345,5668,649,142897,1239896,0.35113283783783783,0.3532755405405405,20.653121216216217,22.094246554054052
55.9,USER_15,NewMedia24,10474,6361,2644,3040,1817,1087,1001,13005,39429,0.5880475167785235,0.3134726174496644,19.8623910738255,21.318550939597316
56.9,USER_15,NewMedia24,30785,3617,11223,1056,1872,1147,438,10072,60210,0.8293091216216216,0.15505168918918918,19.055039189189184,21.298560270270272
57.9,USER_15,NewMedia24,6566,10219,4341,1584,1175,890,592,9516,34883,0.5039863758389262,0.27077953020134227,19.424901610738257,21.127035369127512
58.9,USER_15,NewMedia24,413486,36702,17818,14663,6400,7698,2023,42284,541074,0.3083458666666667,0.6403768666666667,18.621981333333334,20.59726993333333
59.9,USER_15,NewMedia24,24815,2125,2929,1880,550,774,342,10596,44011,0.5390816891891891,0.7413109459459459,19.519447770270272,22.096040000000002
61.0,USER_15,NewMedia24,22013,15897,11004,11536,3693,1026,602,42899,108670,0.6972366896551725,0.5379964137931035,19.892245586206897,21.549047931034483
61.9,USER_15,NewMedia24,115256,2146,3814,4945,7919,2008,782,28039,164909,0.7907661486486486,0.41294412162162164,19.179630472972974,21.613777635135136
62.9,USER_15,NewMedia24,78347,3358,4618,5141,2712,1408,769,30849,127202,0.730111946308725,0.8228740939597315,20.102461140939596,22.047093288590606
63.9,USER_15,NewMedia24,19260,3112,8891,2814,3959,1797,1850,5819,47502,0.5554695270270269,0.8155781756756758,21.55846932432432,23.057261756756755
64.9,USER_15,NewMedia24,408948,7419,8943,19060,12803,3521,3113,68900,532707,0.3303940136054422,0.6614244217687075,22.06809619047619,23.82054163265306
65.9,USER_15,NewMedia24,829591,15084,53262,17825,38476,30677,9159,271085,1265159,0.2889077931034483,0.621963448275862,21.01032606896552,23.236689586206897
66.9,USER_15,NewMedia9,1011608,59692,28121,14984,18258,3609,2246,80339,1218857,0.32396752988047806,0.5235986454183267,19.469744860557768,21.542986972111557
68.0,USER_15,NewMedia9,547967,27412,19979,16731,12700,6072,8620,66355,705836,0.3486065100671141,0.1277541610738255,19.260267181208054,21.917326040268453
68.9,USER_15,NewMedia9,389186,8730,13958,22265,22573,13857,4306,98880,573755,0.3812178378378378,0.10280574324324325,20.21438533783784,22.01507425675676
69.9,USER_15,NewMedia9,33524,4809,5713,2028,2437,873,916,31820,82120,0.3245529999999999,0.11173853333333333,19.6414152,21.808804600000002
70.9,USER_15,NewMedia9,1088945,17313,60415,31783,16103,11834,8206,79920,1314519,0.26736778523489935,0.11846624161073825,18.505238389261745,21.68704302013423
72.0,USER_15,NewMedia9,422632,9732,11722,9300,14148,6203,6086,98889,578712,0.4194982432432433,0.08984533783783784,18.747968243243246,21.552063986486484
72.9,USER_15,NewMedia9,292250,3842,1819,1955,2419,461,296,17769,320811,0.4329537414965986,0.10353231292517007,18.772641292517008,21.73212795918367
73.9,USER_15,NewMedia9,21707,10043,7482,1739,1762,765,587,14439,58524,0.3632745333333333,0.04108146666666666,19.402850333333337,21.6307632
74.9,USER_15,NewMedia9,24345,13047,1758,2532,2018,577,822,3463,48562,0.583280067114094,0.2181562416107383,19.755047181208052,21.688908187919463
75.9,USER_15,NewMedia9,10861,2585,6024,1596,1863,1147,734,16749,41559,0.3620228187919463,0.09730919463087248,18.74804879194631,20.70607610738255
76.9,USER_15,NewMedia9,77158,3569,3640,6955,2600,1708,451,35924,132005,0.5036841610738254,0.07044771812080537,19.834753221476507,22.088584899328854
77.9,USER_15,NewMedia9,19007,3059,3719,1910,2254,811,694,4502,35956,0.30515979310344826,0.15942275862068964,19.780601862068966,22.199381103448275
78.9,USER_15,NewMedia9,12826,2873,2203,4150,4135,966,608,4316,32077,0.3495089726027398,0.1997769863013699,19.23790787671233,21.196815136986302
79.9,USER_15,NewMedia9,201754,9708,1200,2601,6448,1478,469,47186,270844,0.46500631944444454,0.2176515277777778,19.815350416666668,22.413686527777777
80.9,USER_15,NewMedia9,122136,8442,8219,8068,3092,1306,614,39927,191804,0.7747635616438355,0.1276017123287671,19.3138602739726,21.61057390410959
81.9,USER_15,NewMedia9,34534,1631,1244,1121,1465,2287,379,7656,50317,0.4669808108108109,0.40515155405405406,19.25397972972973,20.71431581081081
82.9,USER_15,NewMedia9,23919,8945,9032,1322,2089,4000,917,13501,63725,0.48282114093959727,0.5495981879194631,18.521646912751674,21.487682684563758
83.9,USER_15,NewMedia9,39736,7515,2693,3028,1765,1353,846,8993,65929,0.6322362666666667,0.3811118666666667,19.984492066666668,21.654827133333335
84.9,USER_15,NewMedia9,106342,27569,20571,20146,6663,9259,2045,44654,237249,0.5206129729729729,0.3739914864864865,19.36032432432432,20.941739459459463
85.9,USER_15,NewMedia9,8088,6062,2971,713,2233,713,641,10823,32244,0.4023942281879195,0.20135107382550332,19.382988926174495,22.251059597315436
86.9,USER_15,NewMedia9,108217,8275,3658,4498,8254,972,750,8141,142765,0.3271981081081081,0.1398622972972973,18.94097945945946,22.06194945945946
87.9,USER_15,NewMedia9,4014,1997,3472,1738,2538,1154,259,11846,27018,0.4774148666666667,0.2908015333333333,19.7364808,21.626144866666667
88.9,USER_15,NewMedia9,526079,45145,63864,11954,11808,5153,5972,40785,710760,0.6665568456375839,0.20895201342281877,20.054050805369126,22.004434899328857
90.0,USER_15,NewMedia9,17060,4466,3503,818,1592,1009,784,8171,37403,0.7930514093959732,0.24986832214765103,19.7012733557047,22.792455570469798
90.9,USER_15,NewMedia9,8611,6513,6376,1894,944,883,442,16505,42168,0.7257418791946308,0.33562134228187923,19.32311087248322,21.587685973154365
91.9,USER_15,NewMedia9,20102,4824,3435,570,1280,1192,349,34261,66013,0.7499042281879194,0.3703513422818792,20.01348489932886,21.56959046979866
92.9,USER_15,NewMedia9,12507,4894,6167,1353,969,1128,346,13312,40676,0.4077552348993289,0.709785033557047,18.415956912751675,20.36342879194631
93.9,USER_15,NewMedia9,42257,4408,7293,1562,1233,764,388,14503,72408,0.6226512666666667,0.44294573333333326,19.769639799999997,21.4356702
94.9,USER_15,NewMedia9,868905,79437,53527,47758,28405,9392,8152,169005,1264581,0.7073835570469799,0.4077185906040269,19.297502617449666,21.744932751677855
95.9,USER_15,NewMedia9,4531,2068,9510,3939,4460,468,391,21521,46888,0.7172628187919463,0.4998559060402684,19.26698577181208,21.880664026845636
97.0,USER_15,NewMedia9,7320,2899,4001,2959,1440,739,242,21863,41463,0.46223547297297296,0.6865557432432433,20.83589114864865,22.572319459459464
97.9,USER_15,NewMedia9,703801,35954,22891,23175,9595,3395,3209,70612,872632,0.5626653333333334,0.8246783999999999,20.999841466666666,24.01813
98.9,USER_15,NewMedia9,73194,4456,7032,3630,2252,744,310,8754,100372,0.6650926845637584,0.6037420134228187,20.612507315436243,22.48397711409396
99.9,USER_15,NewMedia9,1846200,46613,37681,12377,7759,2466,2650,42227,1997973,0.48777020547945205,0.45425643835616436,19.349450205479453,20.59970006849315
