time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
3.9,USER_13,NewMedia15,30042,32940,18136,9830,1779,1790,4768,25682,124967,0.52959
4.9,USER_13,NewMedia15,5704,4592,2707,3708,2415,576,399,6316,26417,0.59418
5.9,USER_13,NewMedia15,61070,7536,9610,5488,760,1478,1316,20730,107988,0.39234
6.9,USER_13,NewMedia15,8191,10407,7771,3995,4592,1100,541,23798,60395,0.74384
7.9,USER_13,NewMedia15,401874,14988,8431,12539,7293,4165,3214,125542,578046,0.24198
8.9,USER_13,NewMedia15,78986,4638,8655,7825,5354,2518,418,27084,135478,0.65922
10.0,USER_13,NewMedia15,81873,3660,3006,5008,2251,810,849,25972,123429,0.50663
10.9,USER_13,NewMedia15,19431,9269,2029,1423,1553,1009,695,12924,48333,0.45491
11.9,USER_13,NewMedia15,66434,403,1176,619,438,388,61,3671,73190,0.54422
13.0,USER_13,NewMedia15,1047,2634,1761,2024,3989,3172,355,4374,19356,0.54117
13.9,USER_13,NewMedia15,63772,3668,4592,2619,1510,1046,388,12422,90017,0.64767
14.9,USER_13,NewMedia15,315052,3589,2436,12664,5905,1554,1173,43447,385820,0.65551
15.9,USER_13,NewMedia15,78090,3456,698,1159,922,1066,160,17992,103543,0.60142
16.9,USER_13,NewMedia15,26901,6431,3242,1940,1686,1521,603,16822,59146,0.60933
17.9,USER_13,NewMedia15,21294,6831,2322,2730,2043,1068,2585,42998,81871,0.54991
18.9,USER_13,NewMedia15,70238,16225,4993,2655,2528,1268,383,25138,123428,0.42501
20.0,USER_13,NewMedia15,1564,1975,3645,1837,1930,1737,568,4736,17992,0.45934
20.9,USER_13,NewMedia15,76620,2318,3094,432,2094,1381,813,23915,110667,0.0
22.0,USER_13,NewMedia15,2594,3684,5867,2823,4375,2230,559,6700,28832,0.44359
22.9,USER_13,NewMedia15,34083,6590,5939,2375,2163,1349,357,11216,64072,0.59865
23.9,USER_13,NewMedia15,232549,308629,163528,76785,86877,30357,28726,205041,1132492,0.55813
24.9,USER_13,NewMedia15,768817,6478,6059,11196,12440,3195,1928,78690,888803,0.60474
26.0,USER_13,NewMedia15,15925,9393,2066,1540,714,1243,211,5992,37084,0.60406
27.0,USER_13,NewMedia15,1120,7612,6361,2980,2241,1274,1080,14056,36724,0.6356
27.9,USER_13,NewMedia15,102352,5447,25854,4509,10733,3260,4244,34420,190819,0.59879
