time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
4.0,USER_36,NewMedia23,256133,54428,42345,38722,30021,28802,20961,172141,643553,0.2795270945945946
5.0,USER_36,NewMedia23,129898,7156,9957,24483,50393,24936,10864,12356,270043,0.25976897959183676
6.0,USER_36,NewMedia23,623378,10711,46709,20605,36382,16764,11517,26489,792555,0.48844857142857145
7.0,USER_36,NewMedia23,149405,4677,811,3740,14573,8495,13390,21362,216453,0.6478465333333333
8.0,USER_36,NewMedia23,1208265,54722,17704,90236,74504,134090,29279,265756,1874556,0.5471755033557048
9.0,USER_36,NewMedia23,2000964,21820,29069,30985,69152,64426,15326,165913,2397655,0.13192575342465754
10.0,USER_36,NewMedia23,35046,7148,4921,2305,35482,8593,2002,25447,120944,0.3735360135135135
11.0,USER_36,NewMedia23,7987,529,2524,4012,8835,7930,2691,5454,39962,0.5438552054794521
12.0,USER_36,NewMedia23,1034450,23244,4202,12090,63170,35306,13450,225672,1411584,0.7053097315436242
13.0,USER_36,NewMedia23,7713,7050,1116,2024,11684,5646,2839,4259,42331,0.826796644295302
14.0,USER_36,NewMedia23,148874,695,4768,2584,5352,4709,5514,19069,191565,0.29941399999999996
15.0,USER_36,NewMedia23,7838,1901,2980,4408,8572,11375,2739,3560,43373,0.24735850340136054
16.0,USER_36,NewMedia23,88880,2064,7560,5081,3744,9875,2520,18196,137920,0.3669721476510067
17.0,USER_36,NewMedia23,89303,1739,1602,1795,7768,5472,1633,34165,143477,0.5903430666666667
18.0,USER_36,NewMedia23,8526,1675,6692,2121,9585,2093,2137,9750,42579,0.7271487074829932
19.0,USER_36,NewMedia23,19272,4146,3642,7773,3388,10514,2132,2322,53189,0.1331278620689655
20.0,USER_36,NewMedia23,22155,9721,1286,2398,7096,8977,3083,10727,65443,0.45706653061224495
21.0,USER_36,NewMedia23,8331,1604,2044,1847,8228,5144,2386,8246,37830,0.5950643999999999
22.0,USER_36,NewMedia23,75932,982,4866,6550,4382,5954,2736,8668,110070,0.7368189932885905
23.0,USER_36,NewMedia23,110675,6418,57021,48936,29251,13486,5741,74657,346185,0.5054472972972972
24.0,USER_36,NewMedia23,7407,1265,2735,1085,6099,2435,1571,4946,27543,0.6465570629370629
25.0,USER_36,NewMedia23,435414,5149,19939,6807,25803,16581,6605,47167,563465,0.20892953333333333
26.0,USER_36,NewMedia23,9863,6563,1697,3388,2108,9343,866,2989,36817,0.1697325850340136
