time,MEDIA_ID,delta,FPOGX
4.9,NewMedia8,0.00364,0.30008
5.9,NewMedia8,0.00111,0.58305
6.9,NewMedia8,0.00085,0.55305
7.9,NewMedia8,0.00388,0.62229
8.9,NewMedia8,0.00448,0.36578
9.9,NewMedia8,0.00147,0.69649
10.9,NewMedia8,0.00331,0.30761
12.0,NewMedia8,0.00728,0.35286
12.9,NewMedia8,0.14491,0.3618
13.9,NewMedia8,0.00429,0.0
14.9,NewMedia8,0.40055,0.60384
15.9,NewMedia8,0.00721,0.31368
16.9,NewMedia8,0.00517,0.64638
17.9,NewMedia8,0.00347,0.5456
19.0,NewMedia8,0.00358,0.74807
19.9,NewMedia8,0.00078,0.34402
20.9,NewMedia8,0.00248,0.57947
21.9,NewMedia8,0.13705,0.72987
22.9,NewMedia8,0.00114,0.54339
23.9,NewMedia8,0.00968,0.42189
24.9,NewMedia8,0.11213,0.0
25.9,NewMedia8,0.03137,0.33294
26.9,NewMedia8,0.00547,0.56292
27.9,NewMedia8,0.02117,0.69208
28.9,NewMedia8,0.00503,0.28213
30.0,NewMedia8,0.00175,0.64502
30.9,NewMedia8,0.03191,0.34948
31.9,NewMedia8,0.00204,0.24647
32.9,NewMedia8,0.07019,0.37549
33.9,NewMedia8,0.01746,0.33728
34.9,NewMedia8,0.23761,0.30688
35.9,NewMedia8,0.0419,0.33996
37.0,NewMedia8,0.00135,0.31975
37.9,NewMedia8,0.00025,0.31424
38.9,NewMedia8,8e-05,0.36917
39.9,NewMedia8,0.00082,0.22621
40.9,NewMedia8,0.00016,0.2084
41.9,NewMedia8,0.00021,0.40801
42.9,NewMedia8,0.0006,0.7037
44.0,NewMedia8,0.00057,0.56169
44.9,NewMedia8,0.00023,0.3237
45.9,NewMedia8,0.01687,0.30691
46.9,NewMedia8,0.00141,0.22228
47.9,NewMedia8,0.00035,0.68186
48.9,NewMedia8,0.14741,0.61027
49.9,NewMedia8,0.00051,0.71284
50.9,NewMedia8,0.00639,0.67685
51.9,NewMedia8,0.00226,0.42635
52.9,NewMedia8,0.034,0.33879
53.9,NewMedia8,0.20038,0.37989
55.0,NewMedia8,0.00083,0.63417
55.9,NewMedia8,0.00554,0.74977
56.9,NewMedia8,0.00036,0.35418
57.9,NewMedia8,0.00124,0.64194
58.9,NewMedia8,0.00421,0.34051
59.9,NewMedia8,0.10688,0.32438
60.9,NewMedia8,0.16084,0.62861
61.9,NewMedia8,0.00643,0.65773
62.9,NewMedia8,0.00433,0.67197
63.9,NewMedia8,0.00101,0.3811
64.9,NewMedia8,0.10857,0.23856
65.9,NewMedia8,0.02824,0.65455
66.9,NewMedia8,0.11141,0.38298
67.9,NewMedia8,0.00285,0.35763
68.9,NewMedia18,0.00348,0.26183
69.9,NewMedia18,0.00462,0.67058
70.9,NewMedia18,0.00174,0.39652
71.9,NewMedia18,0.00266,0.39276
73.0,NewMedia18,0.00193,0.40006
73.9,NewMedia18,0.00108,0.40366
74.9,NewMedia18,0.00104,0.38865
75.9,NewMedia18,0.00091,0.4195
76.9,NewMedia18,0.00094,0.49827
77.9,NewMedia18,0.00316,0.48351
78.9,NewMedia18,0.00059,0.60341
79.9,NewMedia18,0.00138,0.55906
80.9,NewMedia18,0.00089,0.55999
81.9,NewMedia18,0.00114,0.39214
82.9,NewMedia18,0.00084,0.54872
83.9,NewMedia18,0.00048,0.55313
84.9,NewMedia18,0.0046,0.51399
85.9,NewMedia18,0.00231,0.40661
86.9,NewMedia18,0.00293,0.22508
87.9,NewMedia18,0.00011,0.2073
88.9,NewMedia18,0.21706,0.8106
89.9,NewMedia18,0.0336,0.40732
90.9,NewMedia18,0.03101,0.36158
91.9,NewMedia18,0.00447,0.36421
92.9,NewMedia18,0.21587,0.39086
93.9,NewMedia18,0.00163,0.36112
94.9,NewMedia18,0.00044,0.36221
95.9,NewMedia18,0.00059,0.39879
96.9,NewMedia18,0.00063,0.37355
98.0,NewMedia18,0.27165,0.19703
98.9,NewMedia18,0.2293,0.36372
99.9,NewMedia18,0.13459,0.46346
100.9,NewMedia18,0.00724,0.40154
101.9,NewMedia20,0.00111,0.39927
102.9,NewMedia20,0.11435,0.47183
103.9,NewMedia20,0.00215,0.39
104.9,NewMedia20,0.00295,0.54793
105.9,NewMedia20,0.12916,0.56092
106.9,NewMedia20,0.09311,0.28651
107.9,NewMedia20,0.00482,0.54443
108.9,NewMedia20,0.0234,0.47026
109.9,NewMedia20,0.01356,0.46473
110.9,NewMedia20,0.00295,0.11963
