time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
5.0,USER_3,NewMedia10,7797,7017,2082,1296,2529,1856,849,5855,29281,0.6917381879194632
6.0,USER_3,NewMedia10,114680,29487,19954,8402,9418,4666,1705,78205,266517,0.417977
7.0,USER_3,NewMedia10,1986149,34279,15098,18787,10727,5773,3465,55595,2129873,0.5235945637583893
8.0,USER_3,NewMedia10,56080,7610,4101,1956,3268,510,377,7117,81019,0.5663989932885907
9.0,USER_3,NewMedia10,238499,27304,22276,25513,14839,3913,5043,69628,407015,0.6016751677852349
10.0,USER_3,NewMedia10,67185,1795,14991,5508,3958,747,693,12198,107075,0.4707233333333334
11.0,USER_3,NewMedia10,1024140,136154,68836,27830,30073,20819,6186,364493,1678531,0.13963718120805368
12.0,USER_3,NewMedia10,20870,3618,884,6904,2287,1262,1979,12848,50652,0.346008389261745
13.0,USER_3,NewMedia10,73017,5058,2772,936,3271,1726,523,8727,96030,0.47636246666666676
14.0,USER_3,NewMedia10,70481,14756,4001,3480,2106,2160,878,8961,106823,0.22988918367346942
15.0,USER_3,NewMedia16,776359,44033,6168,9433,9844,3145,1265,140003,990250,0.4553667045454546
16.0,USER_3,NewMedia16,11348,3486,2365,3171,1849,1638,1204,3491,28552,0.4855565771812081
17.0,USER_3,NewMedia16,2667,5840,1060,2748,765,510,466,4808,18864,0.4719712751677853
18.0,USER_3,NewMedia16,20360,7184,6199,2051,1573,604,888,15655,54514,0.3526033333333333
19.0,USER_3,NewMedia16,2883,313,7966,1930,2283,2207,747,8232,26561,0.4087543918918919
20.0,USER_3,NewMedia16,958,4569,1869,3146,1186,1417,450,7652,21247,0.40396181208053694
21.0,USER_3,NewMedia16,30524,3048,10464,5315,1940,909,319,22234,74753,0.5802664000000001
22.0,USER_3,NewMedia16,7203,1375,2473,4125,2494,519,478,4527,23194,0.4497577852348994
23.0,USER_3,NewMedia16,26953,1477,4586,2029,2134,1068,487,8441,47175,0.3974840268456376
24.0,USER_3,NewMedia16,4243,5495,1240,2343,3975,952,571,2687,21506,0.5144473825503355
25.0,USER_3,NewMedia16,1244,1753,2615,1246,1374,2116,1472,879,12699,0.5138564429530201
26.0,USER_3,NewMedia16,156069,99196,28907,22833,4014,9233,6547,299112,625911,0.6265328859060404
27.0,USER_3,NewMedia16,3250,2526,9146,4803,3666,938,1565,10224,36118,0.3974728859060403
28.0,USER_3,NewMedia16,439477,72338,53589,20272,14626,7519,3734,393014,1004569,0.39702140939597313
29.0,USER_3,NewMedia23,46102,17501,6231,6850,3334,3180,468,61494,145160,0.32037875000000005
30.0,USER_3,NewMedia23,2317,6993,1915,6268,1755,2144,239,2899,24530,0.26503986577181204
31.0,USER_3,NewMedia23,207777,914,2235,4890,2872,1797,602,17856,238943,0.18855530201342283
32.0,USER_3,NewMedia23,188626,9136,3933,5652,3548,3703,3330,63570,281498,0.2156541333333333
33.0,USER_3,NewMedia23,739051,33388,32174,24880,19912,22660,13557,194325,1079947,0.3912504026845638
34.0,USER_3,NewMedia23,456128,20231,7813,6985,6082,19987,11267,57769,586262,0.585798456375839
35.0,USER_3,NewMedia23,1447,3402,2043,1469,2125,1433,1035,2512,15466,0.6862597999999999
37.0,USER_3,NewMedia23,56000,11552,3582,3917,5553,1788,462,48817,131671,0.3830742953020134
38.0,USER_3,NewMedia23,2410974,29801,30888,23154,24355,10005,5429,209264,2743870,0.47025463087248315
39.0,USER_3,NewMedia23,4654,2564,2616,2976,1760,1587,536,7040,23733,0.3104936
40.0,USER_3,NewMedia23,1216,3613,312,180,3968,1372,923,801,12385,0.4877570469798658
41.0,USER_3,NewMedia23,2181,2245,3459,1980,4303,1030,795,3554,19547,0.6847769798657719
42.0,USER_3,NewMedia23,3484,3543,2238,1739,2316,2937,180,12410,28847,0.2761406711409396
43.0,USER_3,NewMedia23,8814,4685,1701,2750,5105,1750,255,6279,31339,0.36948657718120803
44.0,USER_3,NewMedia23,2807,818,5068,1345,3682,947,1029,9470,25166,0.6721161073825502
