time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
4.9,USER_42,NewMedia24,139755,3465,2879,6313,5979,2793,822,42144,204150,0.39771134228187915
6.0,USER_42,NewMedia24,177815,14395,4948,4755,4189,4621,1465,71359,283547,0.2199225503355705
6.9,USER_42,NewMedia24,20559,2331,1415,1518,1324,520,780,19408,47855,0.24494653061224483
7.9,USER_42,NewMedia24,38917,22515,1847,7398,3809,1800,1594,40989,118869,0.28242613333333333
8.9,USER_42,NewMedia24,59764,8256,5706,22921,4992,5401,2361,40168,149569,0.4406022972972972
10.0,USER_42,NewMedia24,2547346,34556,24611,38305,17067,14153,10745,80830,2767613,0.6001763087248322
10.9,USER_42,NewMedia24,100049,15966,3998,4185,5307,5357,929,20350,156141,0.3857576666666666
11.9,USER_42,NewMedia24,125496,5785,7815,5520,14063,26645,15562,14889,215775,0.32498543624161075
13.0,USER_42,NewMedia24,112011,1306,796,1096,1465,1655,337,4398,123064,0.47731369127516776
13.9,USER_42,NewMedia24,110377,18683,9847,5652,5726,3207,1790,14897,170179,0.36371711409395974
14.9,USER_42,NewMedia24,723257,66140,9385,17481,13537,18180,5499,36345,889824,0.4122192617449664
15.9,USER_42,NewMedia24,134058,4241,924,938,591,1352,374,11746,154224,0.3412044295302013
16.9,USER_42,NewMedia24,95924,14742,3092,3893,12041,15164,2293,76807,223956,0.586443355704698
17.9,USER_42,NewMedia24,320906,39335,6381,9688,1476,2315,1420,67763,449284,0.5224655405405405
18.9,USER_42,NewMedia24,33512,1436,2072,2953,3358,2699,708,39324,86062,0.21988825503355708
19.9,USER_42,NewMedia24,584831,8517,77581,17640,13190,8893,9532,132487,852671,0.29902107382550336
20.9,USER_42,NewMedia24,12895,1775,3427,2453,3424,2995,1085,10680,38734,0.5963351351351351
21.9,USER_42,NewMedia24,76588,3977,5129,2940,858,919,127,14450,104988,0.6215904794520547
22.9,USER_42,NewMedia24,154797,1345,2765,1552,5194,2637,1220,13611,183121,0.579641812080537
23.9,USER_42,NewMedia24,119753,12889,9113,7282,4243,2731,1569,73338,230918,0.23420128378378377
24.9,USER_42,NewMedia24,295612,13872,27012,33055,29593,12543,5106,15813,432606,0.5141730405405406
25.9,USER_42,NewMedia24,22153,3555,846,2818,3024,2191,4081,18317,56985,0.5910116216216216
26.9,USER_42,NewMedia24,532291,45587,48471,19022,21560,9393,5819,105981,788124,0.2655906756756757
28.0,USER_42,NewMedia24,143104,13029,3895,5463,2540,6351,1386,23618,199386,0.42823255033557034
28.9,USER_42,NewMedia24,271772,16072,6464,6850,6329,2424,677,43211,353799,0.6859997999999999
29.9,USER_42,NewMedia24,41979,741,6632,3305,1847,1545,875,14603,71527,0.2388530872483222
30.9,USER_42,NewMedia24,40147,7376,9327,5183,3313,2538,733,22873,91490,0.4329208053691274
31.9,USER_42,NewMedia24,41997,6577,999,4731,2207,970,3635,13175,74291,0.6080626174496645
32.9,USER_42,NewMedia24,906798,15023,6335,6091,13589,6152,3902,54545,1012435,0.4443107382550336
33.9,USER_42,NewMedia24,43192,13374,1258,3094,2170,2331,770,20819,87008,0.26821879194630877
35.0,USER_42,NewMedia24,184181,9642,4760,6586,2272,2131,648,29007,239227,0.44088463087248325
35.9,USER_42,NewMedia24,6670,10125,13905,5924,1842,2206,2034,40753,83459,0.7145018000000001
36.9,USER_42,NewMedia24,1070124,10871,14423,19738,14052,4496,3770,284021,1421495,0.2503330201342282
37.9,USER_42,NewMedia24,27254,5899,3193,5322,1624,1701,626,16156,61775,0.3172610135135135
38.9,USER_42,NewMedia24,29230,6746,3011,5964,5680,833,558,8292,60314,0.2015726
39.9,USER_42,NewMedia24,36983,1591,1322,1877,2155,1477,1078,2463,48946,0.41523543624161074
40.9,USER_42,NewMedia24,92803,10199,3384,3388,2672,4333,984,8123,125886,0.5427669798657717
41.9,USER_42,NewMedia24,37031,2170,7750,8242,3672,2351,594,11462,73272,0.5280620805369128
42.9,USER_42,NewMedia24,25965,350,11908,6384,5554,2557,654,15159,68531,0.3761944295302014
43.9,USER_42,NewMedia24,40257,7400,4131,1712,2171,1317,1407,12190,70585,0.4262042281879195
44.9,USER_42,NewMedia24,1302108,9876,17629,40291,12629,5598,2490,82059,1472680,0.4954450675675676
46.0,USER_42,NewMedia24,19643,3432,1919,2051,2226,1352,921,31287,62831,0.23925086666666667
46.9,USER_42,NewMedia24,26596,2722,9585,1692,3109,1355,978,10823,56860,0.44055261744966434
47.9,USER_42,NewMedia24,12994,26704,1280,2321,3800,1422,1357,17929,67807,0.7096628187919463
48.9,USER_42,NewMedia24,21071,3444,1172,1921,2859,1201,676,10509,42853,0.33130793333333336
49.9,USER_42,NewMedia24,118736,23267,7704,3847,3503,1857,291,49088,208293,0.5156045578231292
50.9,USER_42,NewMedia24,80825,13791,13962,3240,4632,1648,2523,52173,172794,0.2065281081081081
51.9,USER_42,NewMedia24,1909710,22781,24216,21391,36888,7805,11126,228353,2262270,0.24644516778523487
53.0,USER_42,NewMedia24,21004,2966,812,2663,3431,2065,796,15876,49613,0.5869781208053692
53.9,USER_42,NewMedia24,149140,19000,12329,5220,4514,1176,2314,75003,268696,0.31971993288590606
54.9,USER_42,NewMedia24,109328,8072,39816,3812,13712,12623,2784,24907,215054,0.5100247297297298
55.9,USER_42,NewMedia24,21547,10860,3943,2803,2646,2683,958,19673,65113,0.5185438255033558
56.9,USER_42,NewMedia24,97280,3343,1734,3501,1822,1049,261,8289,117279,0.2732034899328859
57.9,USER_42,NewMedia24,143152,14385,13123,7209,3511,1649,608,70308,253945,0.27711033557046977
58.9,USER_42,NewMedia24,21433,16241,1543,1587,3806,1436,845,34322,81213,0.43297513698630136
