time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
5.0,USER_10,NewMedia17,515158,4101,52413,16568,9754,3328,1640,121538,724500,0.3829529729729729,0.12101891891891893,21.739675608108108,22.03828777027027
6.0,USER_10,NewMedia17,423660,15234,18131,17040,14053,7262,3481,389482,888343,0.38382866666666665,0.11457739999999998,21.19356146666667,21.88964533333333
7.0,USER_10,NewMedia17,232527,5255,8807,2307,2535,1747,566,11236,264980,0.5313775838926174,0.24473053691275168,20.33508932885906,21.202384429530202
8.0,USER_10,NewMedia17,1160253,11992,4982,6180,7159,2950,1505,92029,1287050,0.6079906040268456,0.20356818791946307,20.235166577181207,21.16607879194631
10.0,USER_10,NewMedia17,1244780,37340,36974,28153,41902,8096,10944,514459,1922648,0.5218310738255034,0.15656275167785236,22.475937785234898,22.333452147651006
11.0,USER_10,NewMedia17,83694,11839,4597,3751,2739,342,237,7447,114646,0.4860535570469799,0.07627067114093959,21.06360818791946,20.948786845637585
12.0,USER_10,NewMedia17,132043,33668,10111,5193,3154,1860,1146,58336,245511,0.42094209459459453,0.15652905405405404,21.622933378378377,21.234949932432432
13.0,USER_10,NewMedia17,1021799,46862,9090,29892,21130,3759,1409,129476,1263417,0.44365113333333334,0.21742980000000003,21.36023026666667,21.67534213333333
14.0,USER_10,NewMedia17,3273563,17292,51463,59062,56250,14754,7090,185284,3664758,0.4430849664429529,0.12022859060402684,22.37395,22.716111275167783
15.0,USER_10,NewMedia17,115477,4631,17769,27040,3993,3567,497,163266,336240,0.41351060402684564,0.16206167785234898,21.671709731543626,22.16939812080537
17.0,USER_10,NewMedia17,1070459,4391,3394,2991,3684,590,192,14233,1099934,0.5370320805369126,0.15841624161073825,21.856767852348995,21.86979597315436
18.0,USER_10,NewMedia17,2609263,88381,83326,216404,33899,11290,4010,640384,3686957,0.5251869127516778,0.16372053691275168,22.188250536912754,22.11020375838926
19.0,USER_10,NewMedia17,623850,3963,40905,53813,12989,4981,950,25382,766833,0.5348094,0.19684900000000002,23.488398133333334,23.131437133333336
20.0,USER_10,NewMedia17,888995,1239,68119,7031,24288,2569,518,28072,1020831,0.682485302013423,0.7040152348993289,21.882515637583893,22.050160335570467
21.0,USER_10,NewMedia17,2269000,25558,18169,28874,20015,6410,2859,75130,2446015,0.39471395973154366,0.297883355704698,21.982184563758388,21.603967248322146
22.0,USER_10,NewMedia17,452249,20085,12003,8937,15053,7042,2518,91594,609481,0.422649932885906,0.2728963087248322,23.016882684563758,22.953323624161072
23.0,USER_10,NewMedia17,124696,5822,3516,10393,12644,7054,1911,28228,194264,0.40127953020134227,0.257543422818792,24.658451946308723,24.38688818791946
24.0,USER_10,NewMedia17,98206,1539,647,6629,2939,2388,794,15653,128795,0.4092590604026846,0.8110320805369128,23.305972013422817,23.738842348993284
26.0,USER_10,NewMedia17,1475919,5882,44092,59302,25921,7696,3541,169571,1791924,0.4380108053691275,0.7905504697986577,23.13311932885906,23.310469261744966
28.0,USER_10,NewMedia17,1053727,159385,157930,168417,34482,16197,3470,328236,1921844,0.4567612080536913,0.18298651006711408,23.203411275167785,22.95757637583893
29.0,USER_10,NewMedia17,2517263,52020,30898,12798,27662,4231,2283,343693,2990848,0.4080024832214765,0.0843428187919463,23.323920738255033,22.982830067114094
30.0,USER_10,NewMedia17,510669,1216,6130,8141,2948,1123,220,38083,568530,0.44986433333333337,0.07685366666666667,23.016994266666668,22.343045066666665
31.0,USER_10,NewMedia17,1372352,40778,27781,62188,13716,5466,1263,70306,1593850,0.4178304026845638,0.1332731543624161,24.680839530201343,24.37092765100671
32.0,USER_10,NewMedia17,1120300,76150,99084,57792,14559,2411,3270,102805,1476371,0.41418080536912755,0.11921536912751676,25.742682483221472,25.734094496644296
32.9,USER_10,NewMedia17,1137388,6715,7303,5871,3777,1144,670,25755,1188623,0.364768445945946,0.11997067567567567,24.64873527027027,24.413242972972974
34.0,USER_10,NewMedia17,164081,6714,19752,9733,21854,9841,2941,86461,321377,0.4059833333333333,0.13964220000000002,24.961796133333333,24.574113
35.0,USER_10,NewMedia17,321808,7140,9466,12835,8541,7968,6120,5068,378946,0.4176586577181208,0.11968322147651006,25.26045147651007,24.403391073825503
36.0,USER_10,NewMedia17,638792,70407,68471,60851,33843,7679,4801,149499,1034343,0.407104966442953,0.1465931543624161,25.786305167785237,24.427303489932882
37.0,USER_10,NewMedia17,448920,3742,2314,3412,2104,777,573,6555,468397,0.3649329333333334,0.2536082666666667,25.172126066666667,24.34621486666667
38.0,USER_10,NewMedia17,2214871,19167,15940,8954,9321,2368,1247,50048,2321916,0.36445577181208055,0.263664899328859,28.279081275167783,27.340330536912752
39.0,USER_10,NewMedia17,769752,9983,13998,9510,2196,477,223,31256,837395,0.45997614864864855,0.7779383108108109,28.23525087837838,28.020413648648653
42.0,USER_10,NewMedia17,2502671,64787,114709,84975,56814,4991,1583,206612,3037142,0.5760226845637584,0.5755906040268457,25.528460604026844,26.099864697986575
43.0,USER_10,NewMedia17,617380,48542,59277,2928,11159,2432,816,55801,798335,0.197365033557047,0.7103232214765101,24.5259399328859,23.497224228187918
44.0,USER_10,NewMedia17,182257,10751,15411,7266,5997,1816,812,96645,320955,0.6858640666666668,0.9889503333333333,17.936881000000003,20.419812066666665
45.0,USER_10,NewMedia17,209488,1228,4203,3955,2445,737,646,63541,286243,0.49033120805369124,1.5115475167785233,23.327855369127516,22.66573020134228
46.9,USER_10,NewMedia17,269613,11495,1781,3262,1950,993,431,13345,302870,0.9703721999999997,1.3300396,23.162818399999995,21.678361600000002
58.0,USER_10,NewMedia23,410161,17167,3078,7193,2381,1177,1017,53953,496127,-1.6706859060402683,2.7828946979865776,19.808800738255034,18.586994362416107
59.0,USER_10,NewMedia23,227538,2382,5191,3311,2861,1364,2764,39582,284993,0.15029606666666667,0.0771114,22.4623824,21.302262666666664
60.0,USER_10,NewMedia23,468588,28378,28862,8603,14227,7135,7206,46424,609423,0.25224442176870754,0.0032005442176870793,22.309338843537418,21.914465714285715
61.0,USER_10,NewMedia23,48300,50478,18454,38342,22316,1444,2309,49614,231257,0.5972795302013423,-0.038765906040268465,20.67113234899329,20.918426375838926
62.0,USER_10,NewMedia23,185036,980,2933,2613,1412,868,416,5272,199530,0.7260370666666667,-0.03989133333333334,21.11427,20.901651066666666
63.0,USER_10,NewMedia23,599865,21646,6727,18003,16754,5824,5581,39900,714300,0.40725436241610746,0.09490657718120804,21.05390046979866,19.944805906040273
63.9,USER_10,NewMedia23,147926,2660,3528,1890,3556,2702,1117,11436,174815,0.19190135135135136,0.042843513513513516,21.642393310810814,21.09769641891892
65.0,USER_10,NewMedia23,25488,1853,1452,2299,3411,1457,1713,2389,40062,0.30627466216216215,0.1760004054054054,21.063455810810808,20.347265675675676
66.0,USER_10,NewMedia23,1192399,3553,6435,33639,11800,9926,4337,115144,1377233,0.5172833999999998,0.32051306666666673,20.828673533333333,21.41554673333333
67.0,USER_10,NewMedia23,32540,7593,4351,3377,4400,3842,1299,5196,62598,0.5977595973154363,0.1118326845637584,21.177836577181207,21.217939798657717
69.0,USER_10,NewMedia23,26606,931,3684,925,7372,1705,1629,6070,48922,0.7471213333333333,0.11871606666666668,21.013447733333336,21.315661133333336
70.0,USER_10,NewMedia23,1213760,7245,7992,6845,3296,1143,610,75645,1316536,0.7842147651006711,0.17633979865771812,21.738762617449666,21.77347939597315
71.0,USER_10,NewMedia23,1606903,28321,26216,26743,5559,1696,459,32854,1728751,0.3021447651006711,0.042456644295302014,22.228346711409397,21.105334630872484
73.0,USER_10,NewMedia23,1177376,33241,238732,106773,117047,43948,14769,1229264,2961150,0.6424154666666666,0.011461200000000001,21.117907333333335,21.435502
73.9,USER_10,NewMedia23,218747,34996,19235,14938,11378,3228,4175,34210,340907,0.41894375838926173,0.12060348993288592,21.20569429530201,19.666464228187916
75.0,USER_10,NewMedia23,16190,6563,1057,3457,2534,2819,1922,9342,43884,0.2973959731543624,0.040893825503355706,21.66125624161074,20.693184697986577
75.9,USER_10,NewMedia23,6381,2044,2414,2403,3254,2215,501,22035,41247,0.4521452666666666,0.034779866666666666,21.523611333333335,21.07870906666667
77.0,USER_10,NewMedia23,1343787,24491,5900,12682,5367,3454,4339,67838,1467858,0.7144391275167786,0.043626845637583886,19.772607315436243,20.8118633557047
78.0,USER_10,NewMedia23,1750939,30729,13621,5817,6807,2706,2289,159245,1972153,0.6439581208053691,0.08079765100671141,20.11823308724832,19.74738154362416
79.0,USER_10,NewMedia23,331370,40427,8428,14422,14541,8606,3265,163976,585035,0.22108691275167786,0.11889644295302013,21.5267155704698,20.812505503355705
79.9,USER_10,NewMedia23,149177,14385,15818,15087,9813,7162,9359,13996,234797,0.5502220000000002,0.11478793333333333,21.533966933333332,21.836554666666668
80.9,USER_10,NewMedia23,1905582,191579,77688,33411,58049,14746,3835,536402,2821292,0.7565645637583892,0.1503826845637584,20.10093134228188,20.754320268456375
82.0,USER_10,NewMedia23,1023004,10813,5590,4102,4532,837,882,35787,1085547,0.8108394630872483,0.16478261744966444,19.28171644295302,20.21172939597315
83.0,USER_10,NewMedia23,169221,37139,8667,6447,9957,5368,3609,56889,297297,0.26651173333333333,0.1960124666666667,20.837591333333332,19.417295799999998
83.9,USER_10,NewMedia23,6848,7138,4092,1388,2403,2304,766,4626,29565,0.25239547297297293,0.22609993243243243,20.27844006756757,19.922483986486487
86.0,USER_10,NewMedia23,18438,685,3209,7215,4680,2931,1329,18636,57123,0.6757693288590604,0.2316757046979866,20.182824295302012,20.914912818791944
87.0,USER_10,NewMedia23,411030,10722,4278,6464,13729,11365,3578,88362,549528,0.46052026845637584,0.2922277852348993,21.775150469798657,20.121632818791948
88.0,USER_10,NewMedia23,458987,24175,20420,40820,24226,6701,4699,174712,754740,0.2227931543624161,0.26572026845637586,21.417316711409395,20.008051140939592
89.0,USER_10,NewMedia23,95872,2779,4254,7358,5693,1067,345,22777,140145,0.29187208053691277,0.27346590604026844,21.604693825503354,21.428493221476515
89.9,USER_10,NewMedia23,373125,33448,19475,11090,13615,3387,5810,37918,497868,0.3331592666666667,0.26230266666666663,21.7501654,21.378444066666667
91.0,USER_10,NewMedia23,60897,5886,12705,2857,9802,5215,4183,4140,105685,0.5219790604026845,0.23800523489932887,20.926176778523487,20.74819751677852
92.0,USER_10,NewMedia23,784933,2676,8505,9093,10130,7535,2776,58041,883689,0.6436566442953021,0.23526100671140943,20.28259469798658,20.039082483221478
93.0,USER_10,NewMedia23,105499,593,1114,1069,1011,779,510,4955,115530,0.7585144966442954,0.31887744966442955,19.814552617449664,20.447385838926177
95.0,USER_10,NewMedia23,1229435,165148,36750,111942,126142,45441,20026,514142,2249026,0.17275268456375842,0.3387109395973154,21.6073333557047,20.253359664429528
96.0,USER_10,NewMedia23,1051008,14517,34974,20891,21699,7667,2432,68954,1222142,0.3019288590604027,0.31276067114093964,23.691412214765098,22.85368308724832
97.0,USER_10,NewMedia23,277747,16364,34784,6502,12303,4883,2105,65106,419794,0.38132744966442955,0.3107509395973154,23.221791543624164,22.464997315436243
