time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
4.9,USER_12,NewMedia22,2945,1853,3356,3542,1351,927,692,7215,21881,0.4537799324324324
5.9,USER_12,NewMedia22,7943,4982,6132,1364,868,594,1249,9330,32462,0.742653422818792
6.9,USER_12,NewMedia22,10535,7248,7716,2190,971,670,320,10922,40572,0.8460235333333334
7.9,USER_12,NewMedia22,8752,1361,1261,1501,1585,555,836,918,16769,0.31716020270270273
8.9,USER_12,NewMedia22,5072,1273,845,1648,1226,782,1140,4390,16376,0.30868581081081087
9.9,USER_12,NewMedia22,2271,2815,2737,1601,2486,532,632,1260,14334,0.3685952
11.0,USER_12,NewMedia22,1284,1321,2692,1945,1251,768,435,1563,11259,0.4349628859060403
11.9,USER_12,NewMedia22,2368,2450,1105,1619,1148,1430,277,3697,14094,0.4795509395973155
12.9,USER_12,NewMedia22,2481,775,1333,2312,1318,1655,400,4100,14374,0.5507991275167785
13.9,USER_12,NewMedia22,17658,5532,3240,3037,1066,576,755,3338,35202,0.7154963333333334
14.9,USER_12,NewMedia22,7473,2025,759,3225,2849,864,340,1870,19405,0.5027151006711409
15.9,USER_12,NewMedia22,9953,1282,3551,1476,892,684,340,6948,25126,0.2997765306122449
16.9,USER_12,NewMedia22,5471,2450,993,897,1295,1309,228,10702,23345,0.570195744680851
17.9,USER_12,NewMedia22,9650,3259,1701,1141,1643,335,307,4226,22262,0.788556530612245
18.9,USER_12,NewMedia22,8820,1004,5822,3560,1151,524,846,10423,32150,0.27426355704697986
20.0,USER_12,NewMedia22,5333,1527,1667,748,1064,302,1001,4501,16143,0.40431571428571433
20.9,USER_12,NewMedia22,4561,1549,1138,3904,760,553,485,10027,22977,0.6902564189189189
21.9,USER_12,NewMedia22,9911,612,5698,2072,1078,890,330,6494,27085,0.7314543624161075
22.9,USER_12,NewMedia22,2736,1641,1489,661,1300,769,453,5900,14949,0.7161956375838927
23.9,USER_12,NewMedia22,8820,3362,2140,1268,2660,534,345,2795,21924,0.11825959731543624
25.0,USER_12,NewMedia22,2123,2293,3362,2180,1072,744,217,924,12915,0.3376155704697987
25.9,USER_12,NewMedia22,6566,2785,1611,905,1970,356,260,11215,25668,0.6335389932885906
26.9,USER_12,NewMedia22,4150,3747,1645,831,1075,1176,569,5585,18778,0.7666487248322148
27.9,USER_12,NewMedia22,4549,613,5323,3981,3437,1850,1079,5843,26675,0.26052810810810806
29.0,USER_12,NewMedia22,9104,5784,740,1776,635,799,836,3783,23457,0.344591610738255
29.9,USER_12,NewMedia22,7952,2818,717,2016,1741,1103,885,5949,23181,0.6353034013605442
