time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
5.0,USER_52,NewMedia23,33394,5814,4710,5653,1937,691,506,16473,69178,0.3330540268456376,0.339441610738255,19.314420402684565,16.437108456375842
6.0,USER_52,NewMedia23,66195,35072,21398,6558,3416,3445,2991,64440,203515,0.35357308724832215,-0.031361073825503356,15.032927046979868,13.278086375838926
7.0,USER_52,NewMedia23,30337,10523,5114,1777,2005,1799,625,44794,96974,0.567141744966443,-0.01871275167785235,14.40339691275168,13.49547879194631
8.0,USER_52,NewMedia23,8368,4852,8574,3959,2276,1052,923,9220,39224,0.17108806666666668,0.05271926666666667,15.291192466666665,12.673804599999997
9.0,USER_52,NewMedia23,36836,1366,256,522,201,108,54,4914,44257,0.5848614189189189,-5.310810810810758e-05,15.447211621621621,14.913564121621624
10.0,USER_52,NewMedia23,190492,14784,8666,13005,5878,1637,397,58392,293251,0.3606691946308725,0.04090906040268456,15.918777718120806,14.746863892617451
11.0,USER_52,NewMedia23,103367,11273,4230,2193,1668,1193,201,45034,169159,0.46232825503355707,0.41186436241610735,13.639231275167786,14.545431610738259
12.0,USER_52,NewMedia23,663133,14481,5405,28112,5400,3167,1344,67163,788205,0.3784807333333333,0.6516389333333334,10.52313973333333,14.14335
13.0,USER_52,NewMedia23,6811,6218,4253,7103,5170,1949,914,12661,45079,0.520366510067114,0.19166624161073825,15.560246510067113,15.55896067114094
14.0,USER_52,NewMedia23,3268,2165,3313,2828,1214,997,535,4509,18829,0.6263004026845638,0.11253711409395972,17.082877516778524,15.834215167785233
15.0,USER_52,NewMedia23,77914,16109,10073,12047,5682,1088,209,61222,184344,0.36266186666666667,0.13178913333333334,17.707372066666668,16.4781352
16.0,USER_52,NewMedia23,47704,6646,18183,19637,7043,3469,1218,30756,134656,0.5577657046979866,0.11125912751677852,17.207891342281883,16.30858248322148
17.0,USER_52,NewMedia23,1571,3247,4283,3497,6130,833,574,4743,24878,0.5275205369127516,0.17997677852348992,16.214037651006716,15.57230932885906
18.0,USER_52,NewMedia23,417539,29941,3339,8169,5175,6696,1715,83577,556151,0.4552085234899328,0.18249724832214764,16.564273758389263,15.856104093959733
19.0,USER_52,NewMedia23,6356,5874,1226,2277,1731,1294,575,3354,22687,0.6347059060402684,0.3847213422818792,13.294884429530201,14.279647382550333
20.0,USER_52,NewMedia23,981,2283,3191,3155,2344,758,214,4687,17613,1.0414514864864863,-0.11056898648648644,9.936783648648651,12.52836581081081
21.0,USER_52,NewMedia23,27990,1517,7124,3073,2898,1786,451,26548,71387,0.7232509395973153,0.503999932885906,12.568627583892619,11.652323087248323
22.0,USER_52,NewMedia23,8148,5282,8582,1521,2525,701,466,16676,43901,0.2907242666666666,0.3244878,16.46116566666667,15.705098733333331
23.0,USER_52,NewMedia23,1614,2740,3586,4023,5877,905,693,2315,21753,0.665211677852349,0.2871502013422819,14.886652080536912,14.505748590604028
24.0,USER_52,NewMedia23,5760,1755,661,2073,1934,432,333,6041,18989,0.3576528859060403,0.24910771812080537,14.883325973154362,13.855915906040268
25.0,USER_52,NewMedia23,1974,2749,980,2757,1502,744,304,7122,18132,0.6563580666666666,1.0130644666666668,11.26302,12.029134533333332
26.0,USER_52,NewMedia23,16823,5595,1951,2170,917,326,78,16661,44521,0.572084832214765,0.750875033557047,11.263019999999997,12.184718389261745
27.0,USER_52,NewMedia23,115317,36430,14066,16911,5981,717,504,44201,234127,0.5724872297297297,0.25885621621621624,14.582283648648648,13.860615337837835
28.0,USER_52,NewMedia23,22682,4321,6614,4368,2252,1442,661,9710,52050,0.4595506711409396,0.4196043624161073,16.061713959731545,15.404287718120804
29.0,USER_52,NewMedia23,7519,5685,2932,3545,1563,678,320,6502,28744,0.5172248666666667,0.41285473333333333,16.089591266666666,15.471282933333333
30.0,USER_52,NewMedia23,8340,3503,2702,2702,2328,789,690,8042,29096,0.43567414965986395,0.36060782312925166,15.07822945578231,13.550457687074829
31.0,USER_52,NewMedia23,115583,18242,7808,13422,5303,1275,807,69243,231683,0.3939895302013423,0.44987402684563754,15.842848791946308,15.166730939597317
32.0,USER_52,NewMedia23,9000,4577,1856,4483,2017,646,387,3588,26554,0.6418516891891891,0.4052047972972973,14.766032364864865,13.68389533783784
33.0,USER_52,NewMedia23,600973,1781,14416,13894,9307,10990,3490,54171,709022,0.790488322147651,0.4740049664429529,16.299808993288593,15.448751946308727
34.0,USER_52,NewMedia23,2435,252,3981,1408,1248,514,373,9611,19822,0.2006690604026846,0.515568322147651,16.735923288590605,15.459690604026843
35.0,USER_52,NewMedia23,90005,1194,1921,2128,1601,454,250,9832,107385,0.6490580952380952,0.18457469387755102,11.614397891156464,10.914007278911564
36.0,USER_52,NewMedia23,2620,4227,3921,5171,2958,756,253,11132,31038,0.4447870666666666,0.5884380666666668,16.039175733333334,15.226444666666666
37.0,USER_52,NewMedia23,122595,4218,2848,1853,4875,580,604,16560,154133,0.7016296644295302,0.6896112751677853,16.83693939597315,16.620925033557047
38.0,USER_52,NewMedia23,2316,3659,645,1929,2713,601,496,7525,19884,0.5345656375838926,0.7229294630872483,19.432333825503356,18.115686912751674
39.0,USER_52,NewMedia23,116890,18370,15595,11916,8889,1527,563,27832,201582,0.7171331333333334,0.7997239333333332,18.341704933333332,18.581131733333333
