time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
3.9,USER_2,NewMedia1,325469,29588,7394,7711,3960,3204,7132,48881,433339,0.29896771812080536
4.9,USER_2,NewMedia1,165104,9897,4051,2144,5932,2903,1137,42343,233511,0.2552030872483222
5.9,USER_2,NewMedia1,181356,12393,1895,5719,3122,1031,2646,50562,258724,0.19241819999999998
6.9,USER_2,NewMedia1,14788,1598,1057,3498,7213,2340,663,10660,41817,0.2710712751677853
7.9,USER_2,NewMedia1,2570,4008,2677,4153,4298,3307,1725,4421,27159,0.2952391275167785
9.0,USER_2,NewMedia1,286828,2450,3868,16702,7222,3645,1569,35184,357468,0.29918617449664425
9.9,USER_2,NewMedia1,163875,24014,11511,10706,7523,3096,2581,124395,347701,0.26376442176870746
10.9,USER_2,NewMedia1,2278584,64772,68930,40919,21795,24092,12410,859181,3370683,0.3737181208053691
11.9,USER_2,NewMedia1,208338,20392,53484,29705,65451,68089,10030,158180,613669,0.312689932885906
12.9,USER_2,NewMedia1,49742,5268,2218,4009,4183,2870,1014,8804,78108,0.36745633333333333
13.9,USER_2,NewMedia1,29382,1480,4338,3224,2520,2900,786,11048,55678,0.3271575167785235
14.9,USER_2,NewMedia1,3172,490,1350,1124,2900,1600,306,8211,19153,0.34719724832214766
16.0,USER_2,NewMedia1,2010,982,5227,2090,3022,1060,599,10484,25474,0.28892793333333333
16.9,USER_2,NewMedia1,176755,4136,3466,1982,739,381,120,31156,218735,0.3922152348993289
17.9,USER_2,NewMedia1,49382,25230,64991,18256,16603,11574,2813,36851,225700,0.2895806711409396
18.9,USER_2,NewMedia1,120799,2590,2449,4099,4066,2116,567,28926,165612,0.4878212
20.0,USER_2,NewMedia1,1778302,44792,84873,25447,13520,5376,2587,102548,2057445,0.42560617449664423
20.9,USER_2,NewMedia1,109397,1366,655,1193,422,317,145,4144,117639,0.23478416107382546
22.0,USER_2,NewMedia1,208231,2925,13032,12487,8420,2513,913,51731,300252,0.3532037583892618
22.9,USER_2,NewMedia1,129675,16501,24742,43629,9861,4589,3374,33029,265400,0.32312133333333337
23.9,USER_2,NewMedia1,104311,12617,6090,4289,5671,1361,1513,17013,152865,0.3010492617449665
25.0,USER_2,NewMedia1,2529,1332,2086,3387,2055,895,740,4949,17973,0.31468026845637587
25.9,USER_2,NewMedia1,275479,39675,5579,12155,2250,3470,1191,104446,444245,0.29662913333333335
27.0,USER_2,NewMedia1,39930,2821,3149,2552,1827,649,396,10649,61973,0.279936577181208
27.9,USER_2,NewMedia1,9935,3961,2754,1155,4359,1603,786,4710,29263,0.28748657718120807
28.9,USER_2,NewMedia1,75706,2703,5414,6178,1164,553,1672,11112,104502,0.24733684563758387
29.9,USER_2,NewMedia1,2879,1129,3382,3333,2456,2471,560,5318,21528,0.4120510666666667
