time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,totalPower,attention,meditation,FPOGX
73.9,USER_9,NewMedia6,1460,2295,1183,2616,3608,17566, 70, 47,0.6761
74.9,USER_9,NewMedia6,153367,1994,644,412,1725,169060, 74, 44,0.62758
75.9,USER_9,NewMedia6,13218,3066,3943,6338,4456,41956, 83, 56,0.64712
76.9,USER_9,NewMedia6,6221,2664,6362,4512,2524,28150, 84, 66,0.16967
77.9,USER_9,NewMedia6,2961,5114,1766,4162,4591,28054, 81, 69,0.7421
78.9,USER_9,NewMedia6,19404,3148,1257,2759,2129,39342, 84, 78,0.19751
79.9,USER_9,NewMedia6,5132,2462,4318,1988,6500,29474, 90, 81,0.4145
80.9,USER_9,NewMedia6,12553,2437,3945,4021,5969,41460, 93, 67,0.28812
81.9,USER_9,NewMedia6,254418,20491,10910,17324,14099,387815, 87, 64,0.56629
82.9,USER_9,NewMedia6,195088,4677,1681,9592,12654,348612, 80, 40,0.86009
83.9,USER_9,NewMedia6,89176,2109,1972,4280,1763,116851, 64, 30,0.34035
84.9,USER_9,NewMedia6,13425,8578,2849,4135,4291,48200, 61, 38,0.31397
85.9,USER_9,NewMedia6,33913,23779,37171,2257,6707,165143, 51, 48,0.55211
86.9,USER_9,NewMedia6,1960,1860,5448,1792,4182,20863, 66, 81,0.77914
87.9,USER_9,NewMedia6,1175,8094,2113,7620,2535,37008, 67, 90,0.35448
88.9,USER_9,NewMedia6,1902,2548,1286,2429,3462,18394, 74, 84,0.43068
89.9,USER_9,NewMedia6,5153,3445,2166,1507,4895,34845, 87, 69,0.5575
90.9,USER_9,NewMedia6,1179,2095,5292,3571,1816,21617, 75, 67,0.28726
91.9,USER_9,NewMedia6,839,4713,2376,2071,3425,22277, 83, 70,0.66216
92.9,USER_9,NewMedia6,208147,8392,6566,3914,5916,262000, 75, 70,0.7832
93.9,USER_9,NewMedia6,2359,4040,1096,4208,3832,21414, 80, 80,0.33376
94.9,USER_9,NewMedia6,3802,2594,2667,2255,2778,20486, 87, 78,0.56429
95.9,USER_9,NewMedia6,2847,3844,2936,3171,2453,20911, 87, 83,0.64671
96.9,USER_9,NewMedia6,3986,2452,5529,1746,3508,29136, 90, 88,0.81826
97.9,USER_9,NewMedia6,1332,2117,1859,2228,4027,18295, 91, 84,0.10104
98.9,USER_9,NewMedia6,4685,6412,4940,2055,1654,27850, 80, 93,0.51193
99.9,USER_9,NewMedia6,7556,2756,5238,3273,2338,32726, 75, 87,0.26845
100.9,USER_9,NewMedia6,118910,25993,6426,7371,5251,261315, 60, 80,0.15087
101.9,USER_9,NewMedia6,10890,2685,5793,1218,733,32379, 35, 88,0.564
102.9,USER_9,NewMedia6,59012,3480,3236,5381,4969,100936, 41, 67,0.55212
103.9,USER_9,NewMedia6,107707,11518,1709,2782,3556,192187, 29, 54,0.5263
104.9,USER_9,NewMedia6,2159,5359,3303,9031,8143,42592, 53, 54,0.183
105.9,USER_9,NewMedia6,31473,1322,4042,1953,4526,53445, 74, 47,0.20911
106.9,USER_9,NewMedia3,882599,25982,56524,19554,21869,1353080, 63, 48,0.31207
107.9,USER_9,NewMedia3,41258,37965,8805,4592,10208,241719, 64, 54,0.5392
108.9,USER_9,NewMedia3,702023,3805,8897,2798,2210,754261, 43, 54,0.67622
109.9,USER_9,NewMedia3,200540,19870,9138,18768,5159,271901, 34, 61,0.40769
110.9,USER_9,NewMedia3,37364,35808,10160,6415,5018,114946, 37, 83,0.41252
112.0,USER_9,NewMedia3,472619,32682,27619,16406,23676,906991, 38, 77,0.7712
112.9,USER_9,NewMedia3,73721,8822,5248,2228,4606,106201, 53, 90,0.7712
113.9,USER_9,NewMedia3,18350,631,7529,3040,1622,56842, 44, 80,0.36423
114.9,USER_9,NewMedia3,3172,13631,2528,1625,5024,41460, 53, 74,0.50034
115.9,USER_9,NewMedia3,13442,3143,884,1839,4602,36280, 69, 77,0.26819
116.9,USER_9,NewMedia3,28970,2008,4963,2322,3615,52838, 69, 67,0.37364
117.9,USER_9,NewMedia3,409411,1300,8920,3231,3979,452637, 78, 69,0.7164
118.9,USER_9,NewMedia3,13939,6685,2881,2586,4999,49670, 80, 61,0.29672
119.9,USER_9,NewMedia3,10885,7598,2279,5569,3926,37646, 78, 75,0.33774
120.9,USER_9,NewMedia3,14896,4565,1148,1851,3220,31769, 83, 80,0.48377
121.9,USER_9,NewMedia3,353083,48088,30672,11645,8208,485547, 80, 97,0.30272
122.9,USER_9,NewMedia3,11737,1009,4507,3913,2503,36944, 78, 96,0.25991
123.9,USER_9,NewMedia3,100189,3032,3970,3083,4919,148788, 70, 80,0.35886
124.9,USER_9,NewMedia3,200334,17016,1451,4050,5595,348748, 50, 61,0.45571
125.9,USER_9,NewMedia3,16780,3498,7672,9405,3156,54522, 54, 48,0.35195
126.9,USER_9,NewMedia3,86351,57607,5585,13835,17166,231314, 54, 57,0.20623
127.9,USER_9,NewMedia3,10122,1644,5273,6654,3386,51007, 54, 60,0.2396
128.9,USER_9,NewMedia3,29102,1691,2946,2752,2682,46412, 74, 74,0.64177
129.9,USER_9,NewMedia3,79789,8320,1204,2006,4772,110071, 78, 77,0.21306
130.9,USER_9,NewMedia19,16610,3482,3277,1558,2904,33523, 83, 74,0.19252
131.9,USER_9,NewMedia19,6977,2768,1141,4174,1282,34016, 78, 74,0.0
132.9,USER_9,NewMedia19,397620,9189,7806,7758,3048,562445, 51, 57,0.78822
133.9,USER_9,NewMedia19,21744,5381,13225,8318,6180,75642, 47, 56,0.25823
134.9,USER_9,NewMedia19,109890,47157,91246,9886,10986,489522, 24, 54,0.58868
135.9,USER_9,NewMedia19,324211,14486,19882,35574,21355,730396, 23, 44,0.80473
136.9,USER_9,NewMedia19,6939,2920,5651,2936,2561,36547, 41, 61,0.49235
137.9,USER_9,NewMedia19,57934,794,567,1989,1485,79422, 35, 37,0.51259
138.9,USER_9,NewMedia19,687171,13606,8673,13379,21491,838055, 53, 23,0.49958
139.9,USER_9,NewMedia19,17624,5803,2088,2678,10827,47438, 78, 40,0.48503
140.9,USER_9,NewMedia19,43382,8568,9783,6134,3428,112028, 70, 37,0.42314
141.9,USER_9,NewMedia19,26947,4649,10066,4431,3447,87392, 69, 56,0.42218
142.9,USER_9,NewMedia19,35585,4620,5593,3899,4239,71317, 67, 66,0.16322
143.9,USER_9,NewMedia19,44409,2259,7106,3329,3531,92478, 48, 61,0.47746
144.9,USER_9,NewMedia19,166567,8107,16307,16792,14147,274959, 60, 60,0.4695
145.9,USER_9,NewMedia19,55442,6925,3038,1503,2281,81513, 63, 66,0.55328
146.9,USER_9,NewMedia19,132654,18367,3192,2594,6133,216786, 56, 64,0.20513
147.9,USER_9,NewMedia19,3046580,113248,73201,12260,49761,3657614, 56, 70,0.45959
148.9,USER_9,NewMedia19,22137,7999,5843,3522,2910,94581, 41, 67,0.4065
149.9,USER_9,NewMedia19,5651,4595,1939,1315,1313,29694, 37, 63,0.54294
150.9,USER_9,NewMedia19,19373,5944,14547,3004,3736,57760, 43, 80,0.53753
151.9,USER_9,NewMedia19,25782,17542,8985,9913,5679,97063, 44, 83,0.56524
152.9,USER_9,NewMedia19,451985,12153,6165,6383,5024,529689, 51, 87,0.53651
153.9,USER_9,NewMedia19,74026,13843,23769,6928,2610,172197, 43, 91,0.66963
154.9,USER_9,NewMedia19,18351,1838,4526,5807,2471,47844, 43, 70,0.42498
155.9,USER_9,NewMedia19,282835,5009,5591,7516,2394,318035, 43, 69,0.60219
156.9,USER_9,NewMedia19,109337,9032,34310,6498,9749,325139, 38, 67,0.5026
157.9,USER_9,NewMedia19,26373,23558,5444,2026,5094,94220, 48, 69,0.8273
158.9,USER_9,NewMedia19,11018,5132,6262,2132,2689,52693, 43, 75,0.86985
159.9,USER_9,NewMedia19,168384,25405,20389,17692,10710,283516, 44, 80,0.7603
160.9,USER_9,NewMedia5,75801,2377,1633,5056,4463,201870, 43, 60,0.28771
161.9,USER_9,NewMedia5,16146,8353,2940,4679,2895,47587, 47, 56,0.32206
162.9,USER_9,NewMedia5,111929,19561,3576,7525,3594,206343, 41, 53,0.59351
163.9,USER_9,NewMedia5,3173740,85564,36610,45384,39108,3794959, 35, 40,0.32905
164.9,USER_9,NewMedia5,55578,4957,6191,4092,2879,122862, 38, 60,0.42607
165.9,USER_9,NewMedia5,11206,4881,1946,816,6701,35784, 50, 56,0.40546
166.9,USER_9,NewMedia5,2904,13296,9976,3742,5879,40210, 64, 75,0.64219
167.9,USER_9,NewMedia5,4821,4344,7405,3754,4000,39033, 75, 84,0.47433
168.9,USER_9,NewMedia5,7667,4493,4365,3841,3730,42611, 84, 91,0.56477
169.9,USER_9,NewMedia5,11581,2918,2492,2290,3333,32030, 80, 90,0.31661
170.9,USER_9,NewMedia5,4149,1240,6209,9324,1544,36420, 69, 74,0.57243
171.9,USER_9,NewMedia5,35175,2967,2492,8069,2120,57480, 70, 66,0.26494
172.9,USER_9,NewMedia5,110374,7443,12612,9276,4582,176216, 66, 69,0.37482
173.9,USER_9,NewMedia5,753244,13151,8672,2826,11807,859223, 60, 64,0.57372
174.9,USER_9,NewMedia5,593053,16256,4132,4103,10464,665730, 69, 67,0.34007
175.9,USER_9,NewMedia5,331857,8535,10956,5276,6184,532468, 51, 56,0.44601
176.9,USER_9,NewMedia5,5965,2161,1483,1681,7636,34937, 66, 44,0.30449
177.9,USER_9,NewMedia5,7440,6225,3528,2211,3000,28092, 70, 61,0.29175
178.9,USER_9,NewMedia5,115889,36054,1826,4207,6831,268822, 56, 57,0.44485
179.9,USER_9,NewMedia5,3998,1334,1814,831,2776,25458, 74, 64,0.62584
180.9,USER_9,NewMedia5,1907,893,2444,2214,5527,28901, 70, 64,0.25961
181.9,USER_9,NewMedia5,7391,3947,2471,3560,3332,28958, 74, 54,0.45809
182.9,USER_9,NewMedia5,15752,1615,1680,1964,3749,31937, 94, 53,0.4705
183.9,USER_9,NewMedia5,3570,657,2051,1644,2835,15967, 100, 56,0.39479
184.9,USER_9,NewMedia5,20061,8526,4198,2613,2702,54130, 91, 69,0.68029
185.9,USER_9,NewMedia5,3568,3934,4596,7113,6344,33264, 94, 69,0.74162
186.9,USER_9,NewMedia5,9367,5569,2931,2102,1918,37848, 81, 75,0.78938
187.9,USER_9,NewMedia5,430849,19816,44874,12112,10337,730294, 56, 75,0.51741
