time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,totalPower,attention,meditation,FPOGX
311.9,USER_9,NewMedia20,99521,6790,2444,2909,2216,124018, 81, 63,0.49086
312.9,USER_9,NewMedia20,8668,4760,7163,3631,4918,52546, 80, 67,0.0
313.9,USER_9,NewMedia20,5594,5141,2211,465,5139,30891, 78, 66,0.47778
314.9,USER_9,NewMedia20,2157,4680,6737,1058,3598,23203, 78, 80,0.48412
315.9,USER_9,NewMedia20,14509,12823,5255,4489,4486,68141, 77, 75,0.65662
316.9,USER_9,NewMedia20,240295,14971,8582,11391,11831,344947, 78, 75,0.51727
317.9,USER_9,NewMedia20,49331,19562,5698,2976,7055,142568, 66, 70,0.67228
318.9,USER_9,NewMedia20,249250,9699,17802,13213,13133,389938, 57, 53,0.66889
319.9,USER_9,NewMedia20,4754,945,1888,1121,1949,20592, 64, 48,0.9075
320.9,USER_9,NewMedia20,12436,1675,1337,2522,8836,50393, 74, 37,0.90345
321.9,USER_9,NewMedia20,120726,5050,2447,2025,7180,166082, 81, 29,0.83922
322.9,USER_9,NewMedia7,12548,4224,1722,636,3542,42589, 84, 30,0.28367
323.9,USER_9,NewMedia7,93488,8206,2595,2458,5403,158571, 78, 29,0.31805
324.9,USER_9,NewMedia7,188266,1876,906,3298,4552,235500, 64, 26,0.37982
325.9,USER_9,NewMedia7,53629,1893,8793,4134,6312,139138, 56, 23,0.64891
326.9,USER_9,NewMedia7,27233,7963,4555,21758,4173,107738, 50, 17,0.59348
327.9,USER_9,NewMedia7,84053,47402,17889,14687,12039,360416, 41, 23,0.40268
328.9,USER_9,NewMedia7,163313,44688,9612,12135,4867,312037, 29, 43,0.50403
329.9,USER_9,NewMedia7,104163,9060,22650,7521,12226,220343, 34, 53,0.33091
330.9,USER_9,NewMedia7,101650,5481,2078,3514,4156,131379, 43, 61,0.5637
331.9,USER_9,NewMedia7,6597,3667,1778,2806,3545,34544, 56, 60,0.26454
332.9,USER_9,NewMedia7,9374,1109,838,1790,2051,23869, 80, 51,0.42598
333.9,USER_9,NewMedia7,22207,1070,381,3774,2445,53563, 78, 34,0.33496
334.9,USER_9,NewMedia7,9092,5623,1666,1337,4680,45623, 75, 29,0.61941
335.9,USER_9,NewMedia7,12542,3666,5639,3998,4034,44763, 75, 35,0.35737
336.9,USER_9,NewMedia7,452368,23141,31313,12119,24952,794258, 57, 30,0.67183
337.9,USER_9,NewMedia7,145183,10045,2737,2832,4327,181689, 63, 54,0.3596
338.9,USER_9,NewMedia7,6981,4251,406,4620,2735,37446, 61, 51,0.67273
339.9,USER_9,NewMedia7,109162,31921,46265,12548,15499,250983, 60, 61,0.35054
340.9,USER_9,NewMedia7,47151,2938,6736,7906,4343,143958, 56, 57,0.65929
341.9,USER_9,NewMedia7,62976,9312,1642,6487,3608,97195, 56, 56,0.37197
342.9,USER_9,NewMedia7,73738,3993,6945,2764,3890,108594, 60, 64,0.39365
343.9,USER_9,NewMedia7,32359,3784,3989,2693,2607,57652, 57, 54,0.37058
344.9,USER_9,NewMedia7,65579,3353,4871,4469,3039,99786, 66, 66,0.76865
345.9,USER_9,NewMedia7,126718,7362,19653,21329,22829,263058, 69, 60,0.6745
346.9,USER_9,NewMedia7,157922,11509,21267,40624,19812,368790, 67, 53,0.67553
347.9,USER_9,NewMedia7,88421,4799,6432,16877,3990,142049, 67, 44,0.35548
348.9,USER_9,NewMedia7,115357,11493,21662,8889,24988,246452, 77, 47,0.76364
349.9,USER_9,NewMedia7,76053,1555,6152,2854,2554,126811, 61, 43,0.64373
350.9,USER_9,NewMedia7,21169,2414,2883,6961,3808,60379, 63, 41,0.66722
351.9,USER_9,NewMedia7,1022215,53850,9386,23940,20176,1458091, 53, 38,0.48998
352.9,USER_9,NewMedia7,225050,28482,13233,7408,15105,398587, 43, 35,0.4753
353.9,USER_9,NewMedia7,1632717,182169,56705,43312,95407,2387567, 51, 43,0.26305
354.9,USER_9,NewMedia14,96596,661,2101,1584,2101,113124, 54, 47,0.52233
355.9,USER_9,NewMedia14,31862,10345,15437,14708,5061,102643, 63, 57,0.43858
356.9,USER_9,NewMedia14,214092,47491,30778,30128,38615,665285, 61, 54,0.65078
357.9,USER_9,NewMedia14,446090,14307,16094,30408,12433,672717, 54, 44,0.46915
358.9,USER_9,NewMedia14,60936,663,897,793,1165,70807, 56, 47,0.57328
359.9,USER_9,NewMedia14,27147,6357,7427,12708,4692,107274, 53, 37,0.54429
360.9,USER_9,NewMedia14,140704,18213,22663,14297,26978,366567, 56, 37,0.57249
361.9,USER_9,NewMedia14,1322736,12584,12505,17344,8528,1405840, 64, 44,0.40305
362.9,USER_9,NewMedia14,20509,549,779,2508,1309,52923, 50, 26,0.46855
363.9,USER_9,NewMedia14,7517,3146,3691,830,3272,38477, 53, 29,0.57584
364.9,USER_9,NewMedia14,114576,13833,5504,3942,5329,154121, 54, 44,0.38087
365.9,USER_9,NewMedia14,101004,1750,10524,3124,6594,147096, 56, 43,0.60137
366.9,USER_9,NewMedia14,133151,9484,2005,2325,1569,178826, 54, 64,0.45581
367.9,USER_9,NewMedia14,57671,5931,8911,4129,3798,125460, 48, 64,0.19634
368.9,USER_9,NewMedia14,14207,2513,1497,2923,5258,43623, 54, 50,0.19248
369.9,USER_9,NewMedia14,111747,2046,2517,3108,6568,137859, 63, 44,0.50498
370.9,USER_9,NewMedia14,55503,3440,3836,3201,3452,110636, 69, 37,0.58315
371.9,USER_9,NewMedia14,8670,4192,3494,8096,2591,51097, 74, 35,0.47147
372.9,USER_9,NewMedia14,200858,41850,23069,30162,52793,484937, 70, 40,0.40458
373.9,USER_9,NewMedia14,14210,1143,1520,1088,4314,33491, 70, 40,0.55646
374.9,USER_9,NewMedia14,265919,13674,22502,10281,17645,381816, 81, 50,0.79244
375.9,USER_9,NewMedia14,470182,7389,5113,3094,11158,654544, 78, 38,0.63714
376.9,USER_9,NewMedia14,84946,26056,7183,17783,12169,292731, 63, 34,0.51728
377.9,USER_9,NewMedia14,411151,21137,19996,26133,10778,507422, 56, 47,0.8395
378.9,USER_9,NewMedia14,10992,1583,7146,8463,4253,52120, 54, 43,0.83647
379.9,USER_9,NewMedia14,229939,25108,14776,6005,1968,329113, 44, 63,0.38971
380.9,USER_9,NewMedia14,1822230,86865,18516,104121,53349,2329637, 54, 66,0.42725
381.9,USER_9,NewMedia14,394420,2269,2390,5341,1467,425320, 43, 51,0.21008
382.9,USER_9,NewMedia14,21228,4097,2006,1718,3396,41759, 47, 54,0.41581
383.9,USER_9,NewMedia14,881200,69132,32839,31343,14416,1352162, 50, 47,0.52632
384.9,USER_9,NewMedia14,62188,19406,6924,3773,3052,110725, 41, 61,0.53326
385.9,USER_9,NewMedia14,14153,3516,2364,3470,3985,38582, 56, 66,0.39394
386.9,USER_9,NewMedia14,131223,9690,7863,7927,5022,187350, 48, 66,0.36002
387.9,USER_9,NewMedia14,625450,32937,20001,51574,14639,818406, 61, 67,0.26606
388.9,USER_9,NewMedia14,47794,5709,4397,2840,6238,113778, 66, 50,0.36005
389.9,USER_9,NewMedia9,62793,4841,4880,1481,7310,122148, 60, 44,0.40562
390.9,USER_9,NewMedia9,30186,1995,9797,19544,3954,109476, 54, 35,0.65791
391.9,USER_9,NewMedia9,39094,8378,1456,1195,689,59420, 43, 44,0.3712
392.9,USER_9,NewMedia9,66228,19013,2387,2394,7430,135897, 43, 53,0.66913
393.9,USER_9,NewMedia9,2344236,22580,18368,19261,10171,2533314, 35, 56,0.32875
394.9,USER_9,NewMedia9,39349,4394,26138,34646,31702,188729, 51, 60,0.34787
395.9,USER_9,NewMedia9,440918,4624,38663,9840,9695,845188, 48, 40,0.31804
396.9,USER_9,NewMedia9,8875,5629,5050,6704,3585,37294, 54, 43,0.68028
397.9,USER_9,NewMedia9,12188,8820,4300,2367,1858,39118, 57, 56,0.45324
398.9,USER_9,NewMedia9,6881,5915,1333,3591,3013,31941, 48, 63,0.52554
399.9,USER_9,NewMedia9,121879,7265,4703,12717,3455,178649, 60, 69,0.29264
400.9,USER_9,NewMedia9,7751,7463,777,2125,3274,51696, 50, 61,0.3517
401.9,USER_9,NewMedia9,100328,6178,3684,3506,4333,147141, 53, 50,0.60509
402.9,USER_9,NewMedia9,4167,2104,2856,3514,3397,28725, 56, 44,0.69154
403.9,USER_9,NewMedia9,4996,5473,3696,3043,6620,38301, 69, 50,0.75908
404.9,USER_9,NewMedia9,3364,9720,6442,1366,2354,30079, 74, 69,0.6581
405.9,USER_9,NewMedia9,14677,4619,8112,13455,2542,56799, 70, 75,0.35073
406.9,USER_9,NewMedia9,4348,3297,4605,10800,3860,42659, 69, 75,0.44752
407.9,USER_9,NewMedia9,42132,5843,1523,959,919,66339, 50, 75,0.32436
408.9,USER_9,NewMedia9,1738,5782,822,1501,1196,27103, 47, 61,0.34117
409.9,USER_9,NewMedia9,123580,11258,1903,3315,7854,172263, 53, 57,0.32061
410.9,USER_9,NewMedia9,148258,11304,10766,10081,5756,255662, 41, 56,0.69071
411.9,USER_9,NewMedia9,200159,16107,56761,24860,22757,411049, 54, 57,0.48549
412.9,USER_9,NewMedia9,4144,3273,1895,2344,3603,24086, 69, 57,0.3402
413.9,USER_9,NewMedia9,32564,5728,3595,7116,6444,142410, 57, 47,0.71035
414.9,USER_9,NewMedia9,965984,8366,25875,9191,6763,1057125, 64, 60,0.74369
415.9,USER_9,NewMedia9,445435,8098,14392,4385,3141,561024, 50, 51,0.61345
416.9,USER_9,NewMedia9,280096,8135,8017,8915,5496,400064, 29, 41,0.74778
417.9,USER_9,NewMedia9,246884,1658,8101,2215,3317,341366, 24, 43,0.64325
418.9,USER_9,NewMedia9,43382,10460,7524,6045,4511,121156, 20, 34,0.34448
419.9,USER_9,NewMedia9,336467,18216,4146,4703,6824,538945, 21, 26,0.40675
420.9,USER_9,NewMedia9,7029,3214,3212,1294,1638,25112, 30, 41,0.6348
421.9,USER_9,NewMedia9,2948,4202,2301,4152,2000,28608, 43, 53,0.79169
422.9,USER_9,NewMedia9,101652,1399,1816,1928,6790,127650, 63, 47,0.78402
423.9,USER_9,NewMedia9,80167,19705,3067,8656,3342,180279, 63, 54,0.72667
424.9,USER_9,NewMedia9,4143,4952,4571,7080,2257,40082, 60, 48,0.68058
425.9,USER_9,NewMedia9,2473,1062,1779,2047,1086,21872, 56, 43,0.39779
426.9,USER_9,NewMedia9,9635,3454,2890,10114,2049,51633, 40, 44,0.57994
427.9,USER_9,NewMedia9,72476,1225,1310,2380,3233,90963, 61, 41,0.41567
428.9,USER_9,NewMedia9,7790,3033,3419,5252,1743,34317, 61, 40,0.4455
429.9,USER_9,NewMedia9,49788,6764,13276,2784,2998,100747, 57, 51,0.71022
430.9,USER_9,NewMedia9,29832,5289,5788,2378,3073,66439, 61, 60,0.70686
431.9,USER_9,NewMedia9,11171,7211,19745,5248,4796,85519, 47, 69,0.6537
432.9,USER_9,NewMedia9,26864,4719,6925,3145,5584,72568, 51, 69,0.32861
433.9,USER_9,NewMedia22,699683,87462,105867,11266,13254,1199360, 41, 67,0.22288
434.9,USER_9,NewMedia22,25429,1312,8332,1759,4041,53351, 47, 70,0.23158
435.9,USER_9,NewMedia22,6918,7232,12851,4380,5021,47242, 53, 77,0.25354
436.9,USER_9,NewMedia22,376381,7502,6740,1686,6125,419704, 54, 80,0.40768
437.9,USER_9,NewMedia22,48602,2859,1152,3262,615,71983, 56, 69,0.61904
438.9,USER_9,NewMedia22,108727,7541,5068,2564,1867,159407, 41, 64,0.84369
439.9,USER_9,NewMedia22,78070,2235,2124,2781,955,126617, 21, 41,0.11296
440.9,USER_9,NewMedia22,51874,10112,4849,4348,2556,212247, 1, 26,0.37225
441.9,USER_9,NewMedia22,2868,3105,1844,5574,7541,29578, 27, 27,0.58311
442.9,USER_9,NewMedia22,9685,9961,2832,6809,4218,43366, 43, 34,0.74083
443.9,USER_9,NewMedia22,1959,1253,1077,2036,3137,21810, 69, 40,0.82835
444.9,USER_9,NewMedia22,6271,4747,1961,5267,3152,27470, 100, 56,0.89173
445.9,USER_9,NewMedia22,94882,1281,2042,3412,5872,132337, 90, 48,0.09498
446.9,USER_9,NewMedia22,200388,7568,4086,6350,9032,242376, 96, 44,0.23044
447.9,USER_9,NewMedia22,99490,1496,7633,5931,5275,145139, 90, 48,0.3322
448.9,USER_9,NewMedia22,454255,14627,14457,22767,19156,630642, 87, 41,0.44196
449.9,USER_9,NewMedia22,8476,3994,2381,4229,5046,33648, 90, 54,0.70537
450.9,USER_9,NewMedia22,1745,2227,2904,1919,6337,26562, 91, 51,0.85707
451.9,USER_9,NewMedia22,15429,8203,2429,2289,5303,58596, 91, 53,0.83248
452.9,USER_9,NewMedia22,11513,2469,1942,1535,4776,29155, 100, 57,0.63646
453.9,USER_9,NewMedia22,2660,2092,3100,2748,5280,24614, 100, 54,0.20168
454.9,USER_9,NewMedia22,117723,5586,13747,8094,9504,235305, 87, 50,0.43401
455.9,USER_9,NewMedia22,11823,2688,4594,4119,1746,40582, 83, 53,0.63794
456.9,USER_9,NewMedia22,2648,3746,5751,3558,2177,34356, 64, 54,0.89369
457.9,USER_9,NewMedia22,13196,3374,3901,6336,4409,41465, 61, 54,0.09877
458.9,USER_9,NewMedia22,257142,5904,20196,16970,13986,412884, 63, 56,0.43521
459.9,USER_9,NewMedia22,10600,2673,1257,3671,2787,30039, 70, 53,0.26085
460.9,USER_9,NewMedia22,10114,7706,3541,4881,5810,37607, 83, 56,0.51209
461.9,USER_9,NewMedia22,3134,4397,2969,5776,5159,35500, 83, 56,0.73305
462.9,USER_9,NewMedia22,8853,480,1263,2705,1965,28008, 87, 50,0.9226
463.9,USER_9,NewMedia22,17143,2976,11358,4004,3443,59926, 78, 54,0.18164
464.9,USER_9,NewMedia22,11674,2556,3013,3099,4089,32396, 80, 50,0.48947
465.9,USER_9,NewMedia22,1447919,289323,143009,69695,48856,2144756, 67, 67,0.74932
466.9,USER_9,NewMedia22,1618337,31743,22266,27649,17949,1909372, 60, 77,0.47194
467.9,USER_9,NewMedia22,23290,1945,3759,1620,3124,43397, 67, 75,0.08417
468.9,USER_9,NewMedia22,8921,5286,2356,5167,4846,42874, 63, 70,0.30261
469.9,USER_9,NewMedia22,11803,6911,6183,3684,4213,60084, 64, 53,0.45658
470.9,USER_9,NewMedia22,6873,3258,3129,7762,4461,40057, 75, 53,0.60655
471.9,USER_9,NewMedia22,123659,5166,1650,3252,2640,150218, 69, 51,0.7419
472.9,USER_9,NewMedia22,66882,7928,10537,5906,9155,155343, 63, 50,0.82793
473.9,USER_9,NewMedia22,5960,5057,1441,4886,2200,44253, 60, 43,0.10919
474.9,USER_9,NewMedia22,7529,6729,2375,1357,1781,25397, 53, 57,0.13801
475.9,USER_9,NewMedia22,5142,5390,3615,3879,3720,29144, 60, 64,0.26399
476.9,USER_9,NewMedia22,3673,5765,4335,3378,3592,30541, 64, 74,0.55436
477.9,USER_9,NewMedia22,5608,3176,4826,2368,1806,34475, 66, 80,0.71564
478.9,USER_9,NewMedia22,1573,2776,2862,3274,2400,28670, 67, 67,0.88433
479.9,USER_9,NewMedia22,113092,4290,1848,717,2273,128572, 66, 70,0.13573
480.9,USER_9,NewMedia22,27843,2970,150,720,1119,43235, 57, 61,0.37492
481.9,USER_9,NewMedia22,2220,1926,1705,4286,2130,19686, 67, 60,0.69663
482.9,USER_9,NewMedia22,983,3771,1698,2744,2290,19611, 69, 61,0.86902
483.9,USER_9,NewMedia22,4086,2606,1893,1454,3068,20988, 70, 53,0.10755
484.9,USER_9,NewMedia22,6586,2467,1151,3703,4722,32465, 83, 50,0.25486
485.9,USER_9,NewMedia22,38734,2068,3553,6240,4374,70993, 81, 48,0.40265
486.9,USER_9,NewMedia22,3615,3988,3761,1349,2790,24086, 81, 53,0.57998
487.9,USER_9,NewMedia22,6405,2197,2858,3050,4311,28491, 83, 51,0.80457
488.9,USER_9,NewMedia22,2684,1063,984,3262,3927,18182, 91, 51,0.24139
489.9,USER_9,NewMedia22,1428682,10459,6147,4952,10999,1506441, 91, 54,0.29492
490.9,USER_9,NewMedia22,278,1704,848,2349,3130,14070, 100, 43,0.44407
491.9,USER_9,NewMedia22,7054,5218,2829,1786,2740,31434, 93, 50,0.72706
492.9,USER_9,NewMedia22,6413,4751,2690,3687,849,26580, 70, 63,0.91694
493.9,USER_9,NewMedia22,4191,1569,2255,4267,3305,26359, 74, 60,0.27194
494.9,USER_9,NewMedia22,43219,9584,3457,3180,1955,75372, 53, 67,0.27304
495.9,USER_9,NewMedia22,4985,2472,1298,2415,7537,28515, 67, 57,0.55769
496.9,USER_9,NewMedia22,8333,3100,3273,5572,6670,34510, 90, 51,0.78047
497.9,USER_9,NewMedia22,628633,30398,40704,35642,36843,893840, 88, 56,0.81417
498.9,USER_9,NewMedia22,18117,6686,1258,4767,3660,61369, 91, 47,0.31039
499.9,USER_9,NewMedia22,13752,1949,1767,2151,4389,37772, 81, 44,0.32389
500.9,USER_9,NewMedia22,1605,4548,3815,3786,2386,29515, 66, 48,0.7764
501.9,USER_9,NewMedia22,4807,5234,657,1669,2304,25537, 63, 50,0.59586
502.9,USER_9,NewMedia22,5661,790,6594,1265,2854,31595, 66, 57,0.74908
503.9,USER_9,NewMedia22,515342,8988,3583,4512,1503,553785, 48, 66,0.10402
504.9,USER_9,NewMedia22,87781,5384,1709,3564,2152,112582, 48, 64,0.5984
505.9,USER_9,NewMedia22,7188,4530,750,2442,3995,31633, 51, 60,0.8125
506.9,USER_9,NewMedia22,8344,4418,2145,6667,2893,38838, 53, 56,0.61358
507.9,USER_9,NewMedia22,33359,8328,6480,8970,6288,73110, 70, 57,0.09638
508.9,USER_9,NewMedia22,141599,50111,25875,11552,11908,305098, 67, 67,0.4403
509.9,USER_9,NewMedia22,73042,7797,2542,1424,3642,100934, 64, 77,0.78655
510.9,USER_9,NewMedia22,39972,6747,2490,3355,4920,71529, 67, 81,0.19276
511.9,USER_9,NewMedia22,5724,3154,1780,3333,2472,22567, 67, 78,0.62895
512.9,USER_9,NewMedia22,37509,8826,5662,2958,3013,70414, 69, 77,0.14271
513.9,USER_9,NewMedia22,143251,41217,4805,17862,18344,307788, 69, 70,0.28839
514.9,USER_9,NewMedia22,8788,4249,1313,3867,2873,42036, 64, 63,0.17743
515.9,USER_9,NewMedia22,6447,5714,2228,3064,3849,28893, 66, 66,0.20542
516.9,USER_9,NewMedia22,39530,6287,3705,3006,4636,74527, 70, 57,0.22111
517.9,USER_9,NewMedia22,8724,6923,1669,3244,2385,42091, 67, 57,0.59013
518.9,USER_9,NewMedia22,36158,6325,5488,7396,3199,95498, 61, 57,0.24848
519.9,USER_9,NewMedia22,3344,3463,866,4029,3101,21077, 64, 53,0.31748
520.9,USER_9,NewMedia22,14313,8212,1066,3222,4268,40988, 69, 61,0.64799
521.9,USER_9,NewMedia21,7195,2461,4504,1802,2444,26760, 75, 66,0.37003
522.9,USER_9,NewMedia21,2852,2293,1781,3937,8108,31523, 96, 63,0.3899
523.9,USER_9,NewMedia21,153285,9870,1921,11067,4432,225273, 81, 56,0.63455
524.9,USER_9,NewMedia21,556863,62519,57434,70099,26885,953800, 67, 48,0.77793
525.9,USER_9,NewMedia21,105262,363,3820,1152,3005,157015, 57, 27,0.31125
526.9,USER_9,NewMedia21,11322,11353,1886,4217,7447,55881, 48, 38,0.53236
527.9,USER_9,NewMedia21,448535,13420,57025,19192,10531,874130, 37, 37,0.60579
528.9,USER_9,NewMedia21,155597,1449,11936,7415,9915,262905, 38, 26,0.75141
529.9,USER_9,NewMedia21,14391,1970,2918,2469,4699,36345, 60, 41,0.46146
530.9,USER_9,NewMedia21,5936,1174,9306,2619,6477,38199, 61, 43,0.45818
531.9,USER_9,NewMedia21,900175,43304,28256,16819,18700,1072453, 78, 57,0.93309
532.9,USER_9,NewMedia21,3459,3666,4701,1122,2893,29707, 81, 70,0.50765
533.9,USER_9,NewMedia21,4307,4430,2303,3189,3489,27920, 74, 74,0.68792
534.9,USER_9,NewMedia21,8743,7528,7154,3997,4365,39500, 69, 80,0.55333
535.9,USER_9,NewMedia21,15098,8563,7337,2052,6281,60032, 70, 78,0.91368
536.9,USER_9,NewMedia21,67002,3711,2387,1816,3208,93250, 74, 70,0.13842
537.9,USER_9,NewMedia21,8898,5546,2105,3249,8396,50528, 77, 64,0.49288
538.9,USER_9,NewMedia21,102530,33795,48497,26992,31174,295637, 78, 61,0.13898
539.9,USER_9,NewMedia21,82795,12685,6563,10860,6160,147907, 77, 57,0.92972
540.9,USER_9,NewMedia21,16091,3346,11369,2454,7632,62160, 78, 63,0.34977
541.9,USER_9,NewMedia21,50325,1307,5653,1161,3456,97392, 64, 60,0.93195
542.9,USER_9,NewMedia21,49193,3316,541,621,2202,69788, 56, 47,0.90695
543.9,USER_9,NewMedia21,27529,13478,5160,4167,3827,78721, 51, 50,0.92406
544.9,USER_9,NewMedia21,12794,4170,1671,4517,7465,40618, 63, 43,0.12976
545.9,USER_9,NewMedia21,71503,1933,1969,787,683,78797, 67, 67,0.16945
546.9,USER_9,NewMedia21,25632,8453,6972,5586,3864,107057, 60, 67,0.68522
547.9,USER_9,NewMedia21,12728,2712,1534,3745,3355,50210, 63, 51,0.6708
548.9,USER_9,NewMedia21,14849,8812,1828,1358,3205,36490, 51, 66,0.45174
549.9,USER_9,NewMedia21,5996,5105,589,3469,4369,27132, 63, 53,0.46145
550.9,USER_9,NewMedia21,98711,2824,9357,1906,4432,136229, 74, 61,0.43329
551.9,USER_9,NewMedia21,30886,730,865,896,718,42120, 69, 63,0.43414
552.9,USER_9,NewMedia21,125979,309,843,7991,2375,158063, 64, 27,0.6748
553.9,USER_9,NewMedia21,22637,1578,5349,1058,4502,44150, 64, 34,0.42116
554.9,USER_9,NewMedia21,758187,19436,62492,42743,61262,1038712, 74, 30,0.96196
555.9,USER_9,NewMedia21,1284587,120775,12603,8077,20781,1564455, 75, 50,0.15544
556.9,USER_9,NewMedia21,7141,1062,3579,2646,1649,26278, 74, 70,0.42088
557.9,USER_9,NewMedia21,3415,3535,2155,623,6978,28647, 74, 63,0.41724
558.9,USER_9,NewMedia21,428371,9670,21715,5264,12902,540989, 64, 63,0.37127
559.9,USER_9,NewMedia21,1845,7114,3075,1857,2579,27807, 69, 61,0.4867
560.9,USER_9,NewMedia21,1753,2000,692,2524,6175,26386, 88, 53,0.50314
561.9,USER_9,NewMedia21,206462,2740,1073,1191,1777,237352, 67, 44,0.48898
562.9,USER_9,NewMedia21,1141,1629,3351,975,2985,23051, 69, 41,0.64535
563.9,USER_9,NewMedia21,5301,2054,1981,1536,3286,22439, 78, 35,0.39793
564.9,USER_9,NewMedia21,2213,2270,416,1089,5563,17957, 80, 38,0.14484
565.9,USER_9,NewMedia21,218279,43010,31529,24000,15116,397592, 84, 56,0.92457
566.9,USER_9,NewMedia21,7626,1475,1878,2720,2403,23915, 90, 56,0.38459
567.9,USER_9,NewMedia21,1303,663,1361,2023,1921,14763, 88, 50,0.65574
568.9,USER_9,NewMedia21,110619,7391,1616,2745,6466,148106, 77, 54,0.45043
569.9,USER_9,NewMedia10,3449,89,828,859,5784,19786, 97, 29,0.39054
570.9,USER_9,NewMedia10,5393,2707,2296,1174,4053,34994, 94, 26,0.61648
571.9,USER_9,NewMedia10,19018,4345,4688,2916,5210,54319, 90, 30,0.40676
572.9,USER_9,NewMedia10,6139,8940,2206,4357,3776,41973, 84, 35,0.58913
573.9,USER_9,NewMedia10,262834,3125,21047,12034,23182,384926, 75, 48,0.23832
574.9,USER_9,NewMedia10,249600,11069,32085,16088,30664,407401, 80, 53,0.47197
575.9,USER_9,NewMedia10,14955,3066,4183,2747,4990,51565, 80, 51,0.36504
576.9,USER_9,NewMedia10,149728,9035,21429,4992,11916,591026, 61, 30,0.20967
577.9,USER_9,NewMedia10,1174634,740,5060,2579,2738,1198806, 53, 30,0.21676
578.9,USER_9,NewMedia10,60589,7702,2438,921,5478,87120, 54, 38,0.33837
579.9,USER_9,NewMedia10,17490,966,2452,2523,5057,37782, 63, 37,0.5393
580.9,USER_9,NewMedia10,6776,2385,1876,3216,4401,22406, 96, 56,0.68369
581.9,USER_9,NewMedia10,1775,7384,879,6125,2389,28895, 96, 61,0.8457
582.9,USER_9,NewMedia10,13360,1920,1311,1795,2682,26898, 100, 56,0.17994
583.9,USER_9,NewMedia10,4018,1788,2622,659,1945,15971, 94, 67,0.69142
584.9,USER_9,NewMedia10,1494,1110,1901,758,7359,20164, 94, 60,0.39729
585.9,USER_9,NewMedia10,1626,2600,927,1611,3899,19647, 100, 56,0.67044
586.9,USER_9,NewMedia10,1457,1932,1429,2296,2657,14543, 100, 56,0.52241
587.9,USER_9,NewMedia10,83826,1567,4052,2386,3059,111174, 100, 44,0.2073
588.9,USER_9,NewMedia10,10397,3925,2076,3624,3125,37230, 87, 48,0.41878
589.9,USER_9,NewMedia10,14300,2183,2940,3023,3418,35196, 83, 51,0.28402
590.9,USER_9,NewMedia10,1126801,28053,29514,43960,29900,1461799, 67, 43,0.51155
591.9,USER_9,NewMedia4,4630,7488,6543,3911,3954,38699, 69, 54,0.24657
592.9,USER_9,NewMedia4,6712,1620,7252,1953,5920,34272, 77, 61,0.24948
593.9,USER_9,NewMedia4,7770,2309,2142,1702,3655,25762, 80, 61,0.35763
594.9,USER_9,NewMedia4,9247,3487,7462,2805,3833,37070, 84, 74,0.60311
595.9,USER_9,NewMedia4,69239,2651,2565,7131,5027,144677, 77, 50,0.24907
596.9,USER_9,NewMedia4,236026,10384,8043,5586,3100,317166, 56, 43,0.25665
597.9,USER_9,NewMedia4,3605,3225,1477,3576,2882,32799, 44, 37,0.5871
598.9,USER_9,NewMedia4,14721,998,5727,4089,2975,64227, 35, 21,0.36937
599.9,USER_9,NewMedia4,118496,22257,5632,4135,6644,251651, 30, 35,0.52143
600.9,USER_9,NewMedia4,178008,11862,13824,10676,28814,443343, 43, 24,0.27074
601.9,USER_9,NewMedia4,4851,3614,1840,5244,3191,28651, 50, 27,0.61653
602.9,USER_9,NewMedia4,3300,6117,3074,3113,3903,38829, 56, 37,0.71666
603.9,USER_9,NewMedia4,4330,1533,455,2663,8662,26408, 84, 26,0.61647
604.9,USER_9,NewMedia4,7969,12147,1769,4172,3805,46972, 83, 44,0.45652
605.9,USER_9,NewMedia4,3339,1734,1467,4236,2609,23055, 83, 41,0.25343
606.9,USER_9,NewMedia4,2593,2467,3447,4908,8217,32256, 97, 38,0.46378
607.9,USER_9,NewMedia4,60348,1640,4137,4417,10333,109411, 88, 41,0.25772
608.9,USER_9,NewMedia4,5155,4248,5570,1653,4811,42201, 93, 40,0.26802
609.9,USER_9,NewMedia4,7160,2577,8985,3513,8851,54420, 94, 47,0.58745
610.9,USER_9,NewMedia4,4142,5888,3221,10109,8505,54828, 87, 44,0.25662
611.9,USER_9,NewMedia4,94421,414,2114,782,1919,104518, 84, 54,0.61363
612.9,USER_9,NewMedia4,21797,12208,10625,14881,7842,111040, 77, 48,0.35342
613.9,USER_9,NewMedia4,47242,4655,3472,6707,9942,89613, 81, 43,0.59352
614.9,USER_9,NewMedia4,72436,5901,2469,3324,3416,95763, 80, 56,0.35627
615.9,USER_9,NewMedia4,7447,2217,3238,3707,6458,33720, 87, 56,0.4647
616.9,USER_9,NewMedia4,1906,1430,2178,3055,11912,30433, 100, 50,0.67986
617.9,USER_9,NewMedia4,3899,2743,3232,2862,7495,31706, 100, 51,0.2718
618.9,USER_9,NewMedia4,2404,2096,2495,4454,3045,25971, 100, 41,0.61087
619.9,USER_9,NewMedia4,14120,2815,4420,986,4243,43634, 88, 43,0.26976
620.9,USER_9,NewMedia4,6941,4696,3092,3122,4908,32935, 77, 54,0.56965
