time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
3.9,USER_47,NewMedia1,444700,90056,44035,28431,11488,7395,17876,130746,774727,0.3130611038961039
5.0,USER_47,NewMedia1,3442,754,921,803,1675,486,461,2184,10726,0.23165047297297298
5.9,USER_47,NewMedia1,190298,5976,3906,3445,1966,1164,610,41208,248573,0.4074634899328859
6.9,USER_47,NewMedia1,14347,774,652,1531,2417,552,353,3726,24352,0.5728308053691274
7.9,USER_47,NewMedia1,97388,3726,10052,3068,3070,1266,979,35544,155093,0.687471677852349
8.9,USER_47,NewMedia1,34456,9443,4170,8789,6476,9157,2715,14621,89827,0.24562422818791949
9.9,USER_47,NewMedia1,18556,352,8166,2759,2066,3705,3275,29629,68508,0.2922895333333333
10.9,USER_47,NewMedia1,5765,2800,814,1526,2304,1034,548,1392,16183,0.34006513698630136
11.9,USER_47,NewMedia1,12862,2411,7046,2026,5072,2194,1286,12969,45866,0.40380959731543625
12.9,USER_47,NewMedia1,14644,1331,3914,6093,2223,1057,860,20464,50586,0.5187269387755102
13.9,USER_47,NewMedia1,19904,87,1357,2101,3251,1167,953,8018,36838,0.36379516778523485
14.9,USER_47,NewMedia1,10072,5687,7366,3915,1754,2478,1264,3246,35782,0.4525529530201343
15.9,USER_47,NewMedia1,13430,2650,1045,3874,1340,2616,996,8431,34382,0.3028695270270271
16.9,USER_47,NewMedia1,23124,12425,5059,5965,3730,2035,2129,14301,68768,0.3229503355704698
17.9,USER_47,NewMedia1,1583625,75914,14961,38661,27447,5900,6622,49465,1802595,0.32735953020134234
18.9,USER_47,NewMedia1,32628,8370,4038,7365,1536,1883,1397,11990,69207,0.3136218791946309
19.9,USER_47,NewMedia1,270299,16701,3009,5192,3800,3014,1069,37640,340724,0.3046344594594595
20.9,USER_47,NewMedia1,110330,2614,4198,2007,1177,1017,868,55712,177923,0.3270834228187919
21.9,USER_47,NewMedia1,438448,51855,5615,23104,7786,5775,1414,93739,627736,0.27345466216216224
23.0,USER_47,NewMedia1,217031,7673,2347,3300,6653,7820,2209,30469,277502,0.3250720945945946
23.9,USER_47,NewMedia1,647931,47434,26832,18707,41278,20747,27653,114100,944682,0.4311939726027397
24.9,USER_47,NewMedia1,32158,4766,3807,4827,4440,3129,1366,50548,105041,0.2637327027027027
25.9,USER_47,NewMedia1,495127,13345,19849,38855,25963,15612,4712,78696,692159,0.3382646979865772
26.9,USER_47,NewMedia1,79096,1839,6020,1766,2564,5037,933,19235,116490,0.3178071333333333
27.9,USER_47,NewMedia1,19889,4546,1922,4517,2178,666,1348,29231,64297,0.3291436054421768
29.9,USER_47,NewMedia1,760450,21991,4421,7526,13306,15553,4133,59598,886978,0.42005506756756766
30.9,USER_47,NewMedia1,849330,20412,5111,22785,20402,11764,9466,754644,1693914,0.3774424666666666
31.9,USER_47,NewMedia1,48303,10080,7086,1624,9824,5185,2194,33027,117323,0.500254149659864
32.9,USER_47,NewMedia1,113862,13546,9303,13329,3344,3538,1007,32252,190181,0.2442140939597315
