time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
2.1,USER_1,NewMedia1,45826,114685,295164,1188,476629,52910,29446,908424,1924272,0.3706595999999999
3.1,USER_1,NewMedia1,46489,59358,1535950,2343734,281134,44552,290039,350699,4951955,0.29682993288590603
4.1,USER_1,NewMedia1,22154,94051,499900,48751,40645,62521,440766,247197,1455985,0.27662966442953024
5.1,USER_1,NewMedia1,18703,640929,715806,63595,80342,499072,192071,58973,2269491,0.33882053691275166
6.1,USER_1,NewMedia1,1535383,539233,105883,91665,142472,135754,202349,149,2752888,0.2692230201342281
7.1,USER_1,NewMedia1,54976,305504,75764,685360,127569,52890,124014,3566,1429643,0.2801905369127517
8.1,USER_1,NewMedia1,280305,33229,131125,14317,663636,863217,57640,72765,2116234,0.2949035570469799
9.2,USER_1,NewMedia1,221905,80064,278294,358293,35600,1900309,458716,130980,3464161,0.3661309333333333
10.2,USER_1,NewMedia1,1043031,186252,1834532,21571,36247,110653,82478,610648,3925412,0.30065234899328863
11.2,USER_1,NewMedia1,25552,2572545,85302,115555,129805,154226,260271,396144,3739400,0.37983375838926176
12.2,USER_1,NewMedia1,374434,62700,743431,559339,1722818,934431,138872,27724,4563749,0.28890275167785234
13.2,USER_1,NewMedia1,11654,91780,354071,26119,10983,14214,526317,241486,1276624,0.3571134899328859
14.2,USER_1,NewMedia1,903558,67824,601848,196170,146472,68989,1,469613,2454475,0.29823959731543626
15.3,USER_1,NewMedia1,690063,41299,211931,182988,33018,536471,106133,1201911,3003814,0.31488053691275164
16.3,USER_1,NewMedia1,108638,34155,68059,134867,196678,1267324,144839,24317,1978877,0.3634342567567567
17.3,USER_1,NewMedia1,1360,10,108016,1133,70185,1116959,309630,1329016,2936309,0.47538335570469803
18.3,USER_1,NewMedia1,267893,190896,2801969,163,148857,36335,6442,250814,3703369,0.3815773825503356
19.3,USER_1,NewMedia1,201000,163906,13067,28628,115118,110017,104241,23794,759771,0.47388653333333347
20.4,USER_1,NewMedia1,211129,125104,2311773,663982,94954,1086401,293239,334316,5120898,0.4800556375838926
21.4,USER_1,NewMedia1,59567,42356,2004,262104,176786,85065,59106,191261,878249,0.6190840939597316
22.4,USER_1,NewMedia1,95884,4741,12394,190284,86502,3741,5728,166791,566065,0.3714512080536912
23.4,USER_1,NewMedia1,7806,328918,596654,1028195,364,160165,78801,187364,2388267,0.46385646666666674
24.4,USER_1,NewMedia1,42171,554518,294891,474965,36463,288365,375835,239404,2306612,0.42882536912751673
25.4,USER_1,NewMedia1,75983,136278,37123,1618043,381846,104842,506,262939,2617560,0.31083060402684565
26.4,USER_1,NewMedia1,45521,49045,627036,19934,20071,362074,5157,21707,1150545,0.29179593333333337
27.5,USER_1,NewMedia1,74479,205258,8915,211183,50624,263435,754911,35243,1604048,0.24214829931972787
28.5,USER_1,NewMedia1,37144,1660933,642190,7768,45644,498694,1751082,31616,4675071,0.2865661904761905
29.5,USER_1,NewMedia1,432649,216873,37346,2695,238695,178163,124103,1654388,2884912,0.27884228187919463
30.5,USER_1,NewMedia1,211468,467248,510362,72041,63416,499816,14159,86015,1924525,0.42038946308724834
31.5,USER_1,NewMedia1,184774,38152,635005,76189,465,556078,157938,248177,1896778,0.2994411409395973
32.5,USER_1,NewMedia1,38,46473,21727,1407,310568,1315125,16725,5411,1717474,0.24496684563758384
33.6,USER_1,NewMedia1,99958,451726,62176,386510,160214,5191,705209,922198,2793182,0.38525126666666665
34.6,USER_1,NewMedia1,23957,531900,274440,277765,35182,101658,14139,96268,1355309,0.22526190476190472
35.6,USER_1,NewMedia1,163701,40331,363847,1289011,90380,27005,223290,1805055,4002620,0.22881939597315437
36.6,USER_1,NewMedia1,1009261,174923,264368,108386,56750,336539,28195,90353,2068775,0.3021219178082192
37.6,USER_1,NewMedia1,2593953,367058,86830,8374,270431,250176,29471,23955,3630248,0.2886014
38.6,USER_1,NewMedia1,257990,640846,3163,815450,70769,979142,80787,28703,2876850,0.2297734228187919
39.7,USER_1,NewMedia1,408382,254580,77396,249,126582,1012168,124540,417732,2421629,0.2653490604026846
40.7,USER_1,NewMedia1,506488,60323,50075,492301,153050,545342,131,2426,1810136,0.27152047297297294
41.7,USER_1,NewMedia1,23998,156661,163628,490279,2453473,16709,99185,304379,3708312,0.40735869863013696
42.7,USER_1,NewMedia1,192752,60107,42543,205425,347927,131887,176195,8507,1165343,0.4660012925170068
43.7,USER_1,NewMedia1,36270,635389,294104,288152,852555,1877887,433447,30040,4447844,0.4279724832214765
44.7,USER_1,NewMedia1,451721,1859,205789,276079,675303,62114,599,503703,2177167,0.37718286666666667
45.7,USER_1,NewMedia1,52901,26096,322893,425981,616141,239115,62048,3111,1748286,0.5417286577181207
46.8,USER_1,NewMedia1,144870,8633,898604,388591,730072,9957,144086,74329,2399142,0.3411628666666667
47.8,USER_1,NewMedia1,325430,25401,385058,489429,271,66763,63749,603170,1959271,0.355216644295302
48.8,USER_1,NewMedia1,118788,50273,177681,61292,447323,261078,198092,238473,1553000,0.34143302013422816
49.8,USER_1,NewMedia1,411729,2018040,109432,26664,208454,63839,26943,12188,2877289,0.295312972972973
50.8,USER_1,NewMedia1,42426,151412,257130,133719,31989,943612,103857,876386,2540531,0.4151575333333334
51.9,USER_1,NewMedia1,303153,469473,419063,196809,349676,1462188,514382,171975,3886719,0.47523033783783775
52.9,USER_1,NewMedia1,412518,1103418,1,261678,13101,453937,583345,288482,3116480,0.3943821476510067
53.9,USER_1,NewMedia1,177905,16577,6958,38958,658522,1232896,1553,516597,2649966,0.44233680000000003
54.9,USER_1,NewMedia1,1950,270580,97872,25574,733768,445759,35826,20572,1631901,0.3293173469387755
55.9,USER_1,NewMedia1,61456,1572047,48755,875567,711420,88815,642,110178,3468880,0.32163516778523493
56.9,USER_1,NewMedia11,81801,1501303,126099,157659,31995,5066,997727,3249,2904899,0.33197873949579826
57.9,USER_1,NewMedia11,41444,231831,39098,351560,326612,796943,188546,128263,2104297,0.46621107382550336
59.0,USER_1,NewMedia11,276743,127093,444485,1833539,57739,225980,20884,9607,2996070,0.5585757432432433
60.0,USER_1,NewMedia11,911,1985,160563,618447,10871,93207,296275,716400,1898659,0.2603108
61.0,USER_1,NewMedia11,259572,170752,160228,16899,459,5145,160571,41835,815461,0.3254539597315436
62.0,USER_1,NewMedia11,711110,137554,404582,44,2128165,331152,274499,17200,4004306,0.48830637583892617
63.1,USER_1,NewMedia11,143,243899,448530,158589,937,491656,3825,77581,1425160,0.32247479999999995
64.1,USER_1,NewMedia11,60018,189,261082,161027,184395,478338,18944,117248,1281241,0.39106691275167793
65.1,USER_1,NewMedia11,231525,99052,255,188042,477259,522,64624,17150,1078429,0.37452516778523487
66.1,USER_1,NewMedia11,91369,813573,128152,480318,88370,252405,1090210,431842,3376239,0.42131695945945946
67.1,USER_1,NewMedia11,473199,78562,97893,3109,5,672,299729,270159,1223328,0.5102309333333334
68.1,USER_1,NewMedia11,52190,1424,6733,276546,8747,1764,965224,1698847,3011475,0.38647798657718113
69.2,USER_1,NewMedia11,404862,247407,593887,1242053,68342,496306,30995,115037,3198889,0.33470127516778525
70.2,USER_1,NewMedia11,56746,109397,135595,44720,101639,88655,860349,51601,1448702,0.25310704697986575
71.2,USER_1,NewMedia11,147922,28018,536612,636121,156841,640854,77002,150536,2373906,0.29081422818791947
72.2,USER_1,NewMedia11,565334,1215159,977533,630089,570625,255782,226188,1780884,6221594,0.3230408724832215
73.2,USER_1,NewMedia11,538488,53823,228519,533929,13872,1041812,53520,4415,2468378,0.2697705369127517
74.2,USER_1,NewMedia11,2586,2230285,226732,22998,197728,196396,2454244,295010,5625979,0.31550806666666664
75.2,USER_1,NewMedia11,239392,803715,176173,333680,1279896,381199,468995,37057,3720107,0.4059065306122449
76.2,USER_1,NewMedia11,129370,48933,147069,383907,715239,23081,1065,471154,1919818,0.2887326845637584
77.3,USER_1,NewMedia11,131,24996,75045,974641,169055,54645,55925,19134,1373572,0.4246038666666667
78.3,USER_1,NewMedia11,1331552,163978,63634,408316,48357,168115,76313,509066,2769331,0.6555471140939598
79.3,USER_1,NewMedia11,514529,31975,4893,3486,486870,12572,374964,672716,2102005,0.5695609395973155
80.3,USER_1,NewMedia11,161243,2224300,2,328050,1272124,288981,1855119,9617,6139436,0.6983377027027028
81.3,USER_1,NewMedia11,372935,365224,493575,185075,12895,116736,343217,44297,1933954,0.5922884
82.3,USER_1,NewMedia11,816528,353802,5590,8858,804,845921,3044,8378,2042925,0.26843342281879196
83.3,USER_1,NewMedia11,83552,1845897,147984,31118,27792,81,710281,3258,2849963,0.34916946308724833
84.3,USER_1,NewMedia11,871732,123153,636411,397257,1846845,86941,65623,41249,4069211,0.39583499999999994
85.3,USER_1,NewMedia11,870890,50866,20328,418051,211620,600943,1039064,66490,3278252,0.3412537837837837
86.3,USER_1,NewMedia11,414590,175368,13076,2321538,145523,415,514580,66887,3651977,0.5078437583892618
87.4,USER_1,NewMedia11,272689,88233,87155,190573,12498,256593,350648,157263,1415652,0.47340120805369124
88.4,USER_1,NewMedia11,42590,94318,3904,855,467838,178964,75268,62132,925869,0.3039799328859061
89.4,USER_1,NewMedia11,186028,27577,1056954,12756,1101776,397653,125104,231762,3139610,0.5273044295302013
90.4,USER_1,NewMedia11,196618,9366,547475,39036,170659,550041,36738,4613,1554546,0.3585947651006712
91.4,USER_1,NewMedia11,1245,35935,134419,59012,1214260,2456,215823,83971,1747121,0.5268093333333334
92.4,USER_1,NewMedia11,123496,177736,298729,18398,329168,639060,5240,50846,1642673,0.5110711409395974
93.4,USER_1,NewMedia11,52604,182862,1614,949206,8048,380354,787471,346414,2708573,0.5069741610738254
94.4,USER_1,NewMedia12,74511,993574,214527,128026,156068,142363,1361,71740,1782170,0.4948799038461538
95.4,USER_1,NewMedia12,79277,451517,515124,1119826,363446,4149,13547,410290,2957176,0.32480885906040263
96.4,USER_1,NewMedia12,272628,87945,381169,1399694,21988,113408,70783,246510,2594125,0.4427352739726027
97.4,USER_1,NewMedia12,58781,6080,32233,1065100,99733,329628,482935,297,2074787,0.43113673333333336
98.5,USER_1,NewMedia12,64231,302509,87727,4020,1474487,427427,1012245,246925,3619571,0.27347231292517005
99.5,USER_1,NewMedia12,119134,299777,42429,309947,630142,21712,90057,166239,1679437,0.19971664429530203
100.5,USER_1,NewMedia12,924580,12599,50485,170978,321186,165204,2034,619328,2266394,0.21661439999999998
101.5,USER_1,NewMedia12,788112,419722,1349,70511,201892,343522,27456,222399,2074963,0.20314261744966444
102.5,USER_1,NewMedia12,34,582108,15009,2860599,99427,1243080,318216,984695,6103168,0.16147812080536914
103.5,USER_1,NewMedia12,477794,533728,141581,447108,357922,41784,96838,8628,2105383,0.17759751677852348
104.5,USER_1,NewMedia12,157914,11052,166480,1296066,10724,1235248,858482,331337,4067303,0.2147389932885906
105.5,USER_1,NewMedia12,181622,81489,439305,536839,10783,95535,46710,128697,1520980,0.20587718120805368
