time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
1427.9,USER_14,NewMedia18,1020752,34965,10146,36698,31491,10258,3191,115120,1262621,0.56193
1428.9,USER_14,NewMedia18,2997265,145920,99356,64911,38701,18252,5577,198388,3568370,0.42966
1429.9,USER_14,NewMedia18,523434,32633,83197,41877,17467,6039,4348,93491,802486,0.38438
1430.9,USER_14,NewMedia18,193523,45500,22352,21392,25077,3353,3094,183311,497602,0.74488
1431.9,USER_14,NewMedia18,990098,8102,4987,5835,2376,2205,2171,28357,1044131,0.22927
1432.9,USER_14,NewMedia18,119623,3084,11426,18679,11289,2258,2714,17309,186382,0.47239
1433.9,USER_14,NewMedia18,378233,54032,24243,52762,20728,3960,8304,337259,879521,0.57776
1434.9,USER_14,NewMedia18,256399,14262,15197,23138,13405,9627,5268,55460,392756,0.39677
1435.9,USER_14,NewMedia18,91230,14314,1024,9095,3970,2563,1087,6288,129571,0.35886
1436.9,USER_14,NewMedia18,84327,4479,5568,8590,6690,3270,1017,25661,139602,0.38141
1437.9,USER_14,NewMedia18,7535,15450,3342,3400,7019,3710,1362,11146,52964,0.31803
1439.0,USER_14,NewMedia18,11501,11983,1005,2832,6387,2364,1040,10980,48092,0.38469
1439.9,USER_14,NewMedia18,9548,9324,6897,8153,2816,3835,412,13352,54337,0.28781
1440.9,USER_14,NewMedia18,14694,8788,2656,1146,1818,1383,858,13580,44923,0.54102
1441.9,USER_14,NewMedia18,17129,778,1561,2488,1993,1750,345,6931,32975,0.57764
1442.9,USER_14,NewMedia18,39124,538,7342,1000,1599,1592,553,39467,91215,0.3621
1443.9,USER_14,NewMedia18,2796,3253,13292,3840,4017,1484,563,6864,36109,0.53487
1444.9,USER_14,NewMedia18,4472,3977,4095,3438,2946,2708,708,15087,37431,0.57453
1445.9,USER_14,NewMedia18,15491,7352,3520,1306,2242,1020,539,7380,38850,0.5314
1446.9,USER_14,NewMedia18,7797,6093,4064,6102,2897,2305,500,18458,48216,0.36167
1447.9,USER_14,NewMedia18,10956,5226,4068,5034,2150,1187,712,14255,43588,0.56037
1448.9,USER_14,NewMedia18,5620,8353,4087,3542,7940,2390,474,6860,39266,0.35707
1449.9,USER_14,NewMedia18,2555,3102,5170,2306,2635,2949,1047,6646,26410,0.3736
1450.9,USER_14,NewMedia18,2290,6530,2443,824,1858,399,622,3638,18604,0.39239
1451.9,USER_14,NewMedia18,55045,13915,1745,1836,2157,804,693,9120,85315,0.52066
1452.9,USER_14,NewMedia18,522527,18896,22567,20754,10663,27362,7835,45850,676454,0.39617
1453.9,USER_14,NewMedia18,181712,18800,3723,4523,5094,2236,627,98385,315100,0.5327
1454.9,USER_14,NewMedia18,56534,3042,411,2339,2269,533,96,7414,72638,0.36641
1455.9,USER_14,NewMedia18,24543,5316,899,4541,1545,1732,785,10588,49949,0.44832
1457.0,USER_14,NewMedia18,4185,10386,1348,3429,2112,1478,1017,5942,29897,0.37458
1457.9,USER_14,NewMedia18,31767,6826,6133,2690,1954,1419,225,10082,61096,0.523
1458.9,USER_14,NewMedia18,5454,9285,2586,842,1772,1186,505,8656,30286,0.45447
1459.9,USER_14,NewMedia18,11337,4594,4720,1699,2620,770,2729,14429,42898,0.74801
1460.9,USER_14,NewMedia18,7071,8828,2685,2835,2839,1450,300,3066,29074,0.41025
1461.9,USER_14,NewMedia18,6889,1928,822,2449,5661,1270,476,4277,23772,0.45637
1462.9,USER_14,NewMedia18,11156,7329,1397,1449,1498,544,655,6444,30472,0.42921
1464.0,USER_14,NewMedia18,12132,18820,4531,8031,5410,941,953,4530,55348,0.39887
