time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,RPD,LPD
5.0,USER_33,NewMedia4,125735,3481,1542,2061,2128,311,119,7063,142440,0.0,0.0,14.488849999999998,7.98897
11.0,USER_33,NewMedia4,17674,1397,1278,6896,4588,1976,390,34413,68612,0.0,0.0,22.914022013422823,34.22895
12.0,USER_33,NewMedia4,30231,1862,2580,1102,998,567,546,17289,55175,0.0,0.0,23.965290000000007,34.26653966216215
13.0,USER_33,NewMedia4,553227,23670,20490,6088,16466,6598,3676,39366,669581,0.37843711409395975,0.42906476510067115,19.067898523489934,17.00448751677852
14.0,USER_33,NewMedia4,75305,6452,2500,5950,3567,3444,1691,9481,108390,0.47844919463087243,0.5745673154362416,14.503367181208054,12.64943087248322
15.0,USER_33,NewMedia4,143808,17040,2756,4789,4093,1743,1325,60831,236385,0.6370327516778523,1.005646979865772,17.242706711409394,13.91882691275168
16.0,USER_33,NewMedia4,8357,3550,1570,7407,2566,2823,639,16360,43272,0.4301560402684564,0.49199744966442943,17.019211610738253,15.151372684563757
17.0,USER_33,NewMedia4,1669,6106,682,1344,1353,1933,491,6224,19802,0.3642517333333333,0.4424309333333333,18.501806,15.442136333333334
18.0,USER_33,NewMedia4,12653,13396,3261,4329,3474,662,454,3141,41370,0.26855228187919467,0.17357422818791948,18.011757718120805,14.40847979865772
19.0,USER_33,NewMedia4,46522,5542,17707,4089,5666,2162,687,14998,97373,0.5160277181208054,0.09499825503355705,16.70172476510067,15.075599127516782
20.0,USER_33,NewMedia4,771953,4767,32201,27067,43580,8703,3096,43700,935067,0.3440574,0.3431673333333333,17.692755733333332,14.526763066666666
21.0,USER_33,NewMedia4,1607243,24373,35849,34460,14228,5742,2786,607143,2331824,0.2647853020134228,0.252964966442953,18.867123422818793,15.566413959731547
22.0,USER_33,NewMedia4,606493,28594,19281,29001,46836,3168,1708,266993,1002074,0.38932648648648654,0.26403824324324326,17.549787432432435,14.81847858108108
23.0,USER_33,NewMedia4,587899,12271,39039,18179,11279,2352,2908,125968,799895,0.6165176510067113,0.5912299999999999,17.532761275167786,15.352646107382553
24.0,USER_33,NewMedia4,238139,12730,10769,14649,7955,4968,2918,54397,346525,0.23276819999999995,0.11866053333333333,18.9341288,15.338048800000003
25.0,USER_33,NewMedia4,754195,36105,34655,30787,24369,8621,7626,90760,987118,0.3428756756756757,0.382631554054054,19.526883108108105,17.61838722972973
26.0,USER_33,NewMedia4,1830859,18432,46012,52255,53506,35674,5531,139294,2181563,0.47173986486486486,0.5495898648648648,19.993489999999998,17.77399797297297
27.0,USER_33,NewMedia4,661280,11618,14175,13449,5986,3066,1485,25489,736548,0.6615427333333334,0.5551963333333333,21.998352266666664,18.569392866666668
27.9,USER_33,NewMedia4,78052,16825,6350,11935,3836,3834,866,19582,141280,0.2573453378378378,0.11899567567567566,21.40006858108108,17.62871527027027
29.0,USER_33,NewMedia4,63642,1365,11932,4232,3788,3567,914,30636,120076,0.48342342281879197,0.11943510067114095,20.880898590604026,18.33729986577181
29.9,USER_33,NewMedia4,111156,8826,19450,9539,13499,13525,3811,49383,229189,0.4231230872483221,0.15756315436241614,20.32268738255034,18.384152483221477
31.0,USER_33,NewMedia4,39506,4413,1984,2926,2095,2697,1481,4825,59927,0.4995348993288591,0.16713604026845638,19.656775503355707,17.65654637583893
31.9,USER_33,NewMedia4,9984,11407,2346,2286,2034,1101,794,7136,37088,0.46841297297297296,0.18422864864864863,19.44034236486486,17.17704972972973
32.9,USER_33,NewMedia4,9511,953,1557,1324,5630,1086,887,12821,33769,0.3115979865771812,0.2553358389261745,20.07534389261745,17.8849877852349
33.9,USER_33,NewMedia4,86414,5338,2051,1880,4585,2433,643,12220,115564,0.3740658666666667,0.22078286666666666,19.542207933333334,16.915141600000002
35.0,USER_33,NewMedia4,11470,11276,1558,4353,2269,1845,450,6303,39524,0.49223422818791956,0.21718812080536912,19.027825771812083,15.932951543624164
36.0,USER_33,NewMedia4,6298,5861,2455,1540,3358,1019,347,10298,31176,0.4351137837837838,0.1908387837837838,19.063739864864864,16.447233986486488
36.9,USER_33,NewMedia4,6959,5803,1691,3462,3265,2050,787,10410,34427,0.3716973154362416,0.2202775167785235,18.16335342281879,15.937452751677853
37.9,USER_33,NewMedia4,6418,6475,2365,3265,2271,2806,1535,6349,31484,0.4774701333333333,0.2609649333333333,18.864906533333333,16.929773466666667
39.0,USER_33,NewMedia4,3565,5472,4629,2369,4570,2070,658,4018,27351,0.438820067114094,0.30018161073825506,19.063277248322148,17.136060872483224
40.0,USER_33,NewMedia4,30555,4779,4982,5107,3061,6417,904,27589,83394,0.474189932885906,0.3141905369127517,18.611915167785234,16.65372630872483
41.0,USER_33,NewMedia4,44395,14864,4795,10302,3720,14151,1216,150737,244180,0.43451639999999997,0.3760368666666667,18.373876599999996,17.182562
42.0,USER_33,NewMedia4,708976,1215,3271,3672,2038,3917,1127,10910,735126,0.35581317567567566,0.44294256756756756,17.892664256756756,17.865944324324328
43.0,USER_33,NewMedia4,22822,536,4285,1653,1661,779,975,15124,47835,0.3693008783783784,0.4837014189189189,17.802421824324327,17.473122229729732
44.0,USER_33,NewMedia4,34121,15591,5433,21258,9400,12320,3022,48651,149796,0.31679019999999997,0.5755564000000001,18.2397538,18.1284418
44.9,USER_33,NewMedia4,7555,863,2254,4170,3556,807,685,19534,39424,0.5187989261744966,0.6973834899328858,17.964083959731543,15.764549530201341
46.0,USER_33,NewMedia4,34930,7820,1937,1804,4290,1933,1826,9848,64388,0.5227306711409396,0.5925081879194631,18.5642922147651,15.845845033557046
47.0,USER_33,NewMedia4,701289,8952,23288,5597,16307,13800,4629,43993,817855,0.29928389261744964,0.3255659731543624,18.565465369127516,16.179048255033553
48.0,USER_33,NewMedia4,11630,12343,5082,3266,1724,1295,909,4909,41158,0.3168798666666666,0.242665,19.9188344,16.942916800000003
48.9,USER_33,NewMedia4,6574,1318,3558,3041,1925,1108,1058,5533,24115,0.28120758389261746,0.27432228187919466,20.451930604026845,17.566959865771814
49.9,USER_33,NewMedia4,35718,8133,11031,2905,1918,1248,1171,24698,86822,0.41338087837837834,0.17990216216216215,20.3411102027027,17.456196621621622
51.0,USER_33,NewMedia4,168538,30557,15399,11111,11288,1667,2977,59796,301333,0.3768031333333334,0.1722766666666667,18.71692333333333,17.305797
52.0,USER_33,NewMedia4,11564,1435,3144,6668,2524,2736,717,3581,32369,0.4498524161073825,0.13769100671140938,21.1190255704698,18.441486510067115
52.9,USER_33,NewMedia4,9913,2108,2253,2740,2370,1712,1046,8622,30764,0.38386147651006713,0.14049617449664428,21.049358724832214,18.348197583892617
54.0,USER_33,NewMedia4,10725,5144,4349,4027,2443,704,1531,12406,41329,0.4187907382550335,0.16932221476510065,21.337799261744966,18.33887080536913
55.0,USER_33,NewMedia4,8652,6685,870,2395,1797,1583,1114,8846,31942,0.45005493333333335,0.16792706666666668,20.427967266666666,17.102807400000003
55.9,USER_33,NewMedia4,14090,6264,2952,1518,1792,1411,1061,13040,42128,0.4381022818791947,0.21641583892617453,19.147795167785237,16.13724932885906
57.0,USER_33,NewMedia4,3069,9773,882,2798,2649,1551,597,10916,32235,0.4295257046979865,0.19249604026845635,20.17011644295302,17.672171879194632
58.0,USER_33,NewMedia4,51814,843,8883,1152,2126,650,440,21589,87497,0.455631,0.21925326666666667,20.6084124,18.0890328
58.9,USER_33,NewMedia4,14321,2166,2661,2984,2475,1622,708,2986,29923,0.4583201342281879,0.33106053691275167,19.353487382550338,16.35830208053691
60.0,USER_33,NewMedia4,3580,1906,7364,1547,1984,2040,512,2274,21207,0.5013107382550336,0.3021653691275168,17.08938255033557,17.969278120805367
61.0,USER_33,NewMedia4,9379,3922,1323,1966,4267,3701,815,5735,31108,0.3889077181208053,0.35210744966442953,17.263038187919463,18.554255906040268
61.9,USER_33,NewMedia4,2498,257,5274,2803,3470,1906,594,10990,27792,0.33768139999999996,0.4586135999999999,18.459001733333334,18.388408799999997
63.0,USER_33,NewMedia4,17608,2196,5310,3401,1244,1131,1104,6539,38533,0.2874769798657718,0.34432268456375836,19.793687583892616,17.927294832214766
64.0,USER_33,NewMedia4,282175,18052,8598,15371,11230,7200,5203,28250,376079,0.38687093959731544,0.3706222818791946,20.095878859060402,17.940250000000002
64.9,USER_33,NewMedia4,6838,3026,5073,3539,2119,754,591,2862,24802,0.3747928666666666,0.42874233333333334,20.696464466666665,17.852081999999996
66.0,USER_33,NewMedia4,5881,1608,1758,1360,6784,3894,1944,4306,27535,0.4411442281879195,0.28961053691275174,20.938030805369127,18.81524214765101
66.9,USER_33,NewMedia4,4023,4225,1425,5142,1840,1138,923,7901,26617,0.5755073469387756,0.3138383673469388,20.640154353741494,18.96761925170068
68.0,USER_33,NewMedia4,16183,9985,1961,1697,2121,1823,621,2878,37269,0.3760423489932886,0.34873013422818794,21.135691342281877,18.51099422818792
68.9,USER_33,NewMedia4,15873,2492,2340,1595,5233,995,714,5326,34568,0.5770874666666667,0.34944613333333335,21.207657266666665,18.769496
70.0,USER_33,NewMedia4,6803,19274,2281,2746,1422,893,1451,8077,42947,0.2958602013422819,0.3609539597315436,21.74456214765101,18.90092731543624
70.9,USER_33,NewMedia4,16804,4764,2588,5744,2969,2604,745,12008,48226,0.5089390604026846,0.27840026845637583,21.22022563758389,18.692579194630873
72.0,USER_33,NewMedia4,10942,5544,5493,2979,2843,1066,1456,11561,41884,0.5715703999999999,0.3026472,21.707017866666664,18.784107600000002
72.9,USER_33,NewMedia4,7076,9880,6077,1903,1847,2211,829,9659,39482,0.3103046308724832,0.29608953020134227,22.51527,19.482277785234896
73.9,USER_33,NewMedia4,6609,9433,1873,6996,1929,1339,805,9075,38059,0.5628076351351351,0.2894986486486486,22.025016756756756,19.476734864864866
75.0,USER_33,NewMedia4,12786,5119,3310,591,2612,1712,367,11230,37727,0.542080201342282,0.34592724832214766,21.32207771812081,18.62083865771812
75.9,USER_33,NewMedia4,13285,4039,1226,2625,2797,1020,648,10445,36085,0.3499816666666667,0.4222939333333333,21.019199066666665,17.6678278
76.9,USER_33,NewMedia4,6659,5897,8042,1851,2658,964,998,13356,40425,0.41979466216216216,0.4543631081081081,19.756591013513514,17.281210405405403
77.9,USER_33,NewMedia4,11412,3546,6117,4742,2144,3085,1184,8217,40447,0.3705091275167785,0.6234097315436242,16.760508523489936,17.775389731543623
79.0,USER_33,NewMedia4,12414,4211,4138,2678,3321,1205,674,10656,39297,0.4863093333333333,0.7976814,16.38459406666667,16.839060133333337
79.9,USER_33,NewMedia4,77134,15232,12284,4804,3988,1157,1175,28731,144505,0.6286830201342282,0.8511671812080537,16.052619395973156,16.788280268456372
