time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX
3.0,USER_7,NewMedia1,51047,2183,11124,6167,12719,10622,8077,11085,113024,0.24261366666666664
4.0,USER_7,NewMedia1,16532,17596,14123,8827,5613,13607,5602,17742,99642,0.47036684563758396
5.0,USER_7,NewMedia1,111851,5519,2303,2881,2375,1920,1065,18011,145925,0.39537684563758385
6.0,USER_7,NewMedia1,2161489,28764,26243,31919,28250,20274,18001,166101,2481041,0.2824278523489933
7.0,USER_7,NewMedia1,10907,34284,15736,3475,10104,10159,8864,39102,132631,0.28704953333333333
8.0,USER_7,NewMedia1,127027,4848,4836,8803,3979,2915,489,16625,169522,0.28534912751677854
9.0,USER_7,NewMedia1,121663,2696,5684,1012,2952,2933,1222,24014,162176,0.30384610738255025
10.0,USER_7,NewMedia1,2681,4457,1628,978,2547,3686,768,4362,21107,0.3016352
11.0,USER_7,NewMedia1,13042,1639,2228,5139,3009,5173,2222,8997,41449,0.28013476510067115
12.0,USER_7,NewMedia1,217945,7869,5609,2909,2835,3443,2678,55911,299199,0.29535342281879196
13.0,USER_7,NewMedia1,60976,7421,6173,8732,10026,15152,6815,33952,149247,0.3206888590604027
14.0,USER_7,NewMedia1,580528,1903,2352,5108,12599,16378,9242,24475,652585,0.3293228
15.0,USER_7,NewMedia1,79582,4221,1311,1025,6371,9198,2468,11156,115332,0.37362402684563756
16.0,USER_7,NewMedia1,129600,10741,4730,4527,8904,4363,1175,43537,207577,0.39966234899328856
17.0,USER_7,NewMedia1,2010,1427,2123,3996,1306,2985,1377,1557,16781,0.2512831333333334
18.0,USER_7,NewMedia1,6434,1535,2587,3031,5018,3744,1268,1105,24722,0.37296308724832217
19.0,USER_7,NewMedia1,967882,12308,18274,15407,18984,8820,5339,147775,1194789,0.2537293243243243
20.0,USER_7,NewMedia1,847,715,1630,1221,2683,1766,2670,2683,14215,0.32711260000000003
21.0,USER_7,NewMedia1,232626,1937,639,583,1966,647,347,36038,274783,0.5210637162162162
22.0,USER_7,NewMedia1,2785,1537,894,896,2394,1657,1903,2159,14225,0.19483657718120806
23.0,USER_7,NewMedia1,2934,6530,564,1289,2963,1378,1731,3076,20465,0.2937218791946309
24.0,USER_7,NewMedia1,17805,3250,3964,3031,4289,2503,732,10991,46565,0.2656136912751677
25.0,USER_7,NewMedia1,191481,2435,10141,15616,3504,3015,861,69763,296816,0.33166114093959725
26.0,USER_7,NewMedia1,28795,8536,15341,1782,3681,3450,993,9717,72295,0.5351893288590605
27.0,USER_7,NewMedia1,421788,21460,14093,8647,11236,10733,2020,49705,539682,0.4553497315436242
28.0,USER_7,NewMedia1,366947,28873,29559,4721,10493,13336,7436,183999,645364,0.4453468
29.0,USER_7,NewMedia1,18401,1060,3621,2244,3996,4505,1104,7550,42481,0.36507993288590607
30.0,USER_7,NewMedia1,2712,1182,1293,852,3149,3798,2392,3071,18449,0.3347348322147651
31.0,USER_7,NewMedia1,3443,737,2459,2806,1987,1827,666,4811,18736,0.4861042666666666
32.0,USER_7,NewMedia1,37606,21838,17972,17054,10833,10451,3771,66697,186222,0.32218201342281877
33.0,USER_7,NewMedia1,9277,1650,3977,4514,1695,1063,1691,9403,33270,0.2749770945945946
34.0,USER_7,NewMedia1,8605,21879,6321,7036,3968,3604,2295,50535,104243,0.3260013422818792
35.0,USER_7,NewMedia1,204999,2899,1441,4305,4210,1303,1360,11127,231644,0.38642299999999996
36.0,USER_7,NewMedia1,3729,943,752,3651,1975,1187,1432,3954,17623,0.36522304054054056
37.0,USER_7,NewMedia1,87503,6973,1579,1688,1371,215,148,6846,106323,0.22880536912751678
38.0,USER_7,NewMedia1,3232,356,425,3419,3930,2447,2751,3513,20073,0.2422057090909091
39.0,USER_7,NewMedia9,37515,27378,6231,5377,16655,10734,4997,21322,130209,0.3486695973154363
40.0,USER_7,NewMedia9,8732,4062,963,5289,3432,3406,1770,4841,32495,0.3839625503355705
41.0,USER_7,NewMedia9,132453,9414,4228,1865,10500,2071,1760,14217,176508,0.047765066666666654
42.0,USER_7,NewMedia9,661735,755,1158,3295,1714,3216,555,60950,733378,0.4764776510067114
43.0,USER_7,NewMedia9,3023,1968,1043,3337,1508,3168,859,2160,17066,0.6626527516778524
44.0,USER_7,NewMedia9,90021,1630,576,1623,1358,598,112,10042,105960,0.38366240000000007
45.0,USER_7,NewMedia9,254554,14126,5694,3655,12122,7656,3791,50475,352073,0.39226026845637585
46.0,USER_7,NewMedia9,514583,19339,27654,18432,21969,11358,10245,27219,650799,0.3683400671140939
47.0,USER_7,NewMedia9,4544,851,4537,1849,3119,2513,2150,3585,23148,0.42424201342281886
48.0,USER_7,NewMedia9,29193,13183,6741,5366,6118,3604,996,39306,104507,0.30463446666666666
49.0,USER_7,NewMedia9,66533,3879,4421,781,4652,3121,507,15522,99416,0.39866691275167787
50.0,USER_7,NewMedia9,1148,1932,6515,2453,1925,3797,2061,6529,26360,0.3610576510067114
51.0,USER_7,NewMedia9,141256,4740,6594,2133,7111,1616,807,16145,180402,0.3582882666666667
52.0,USER_7,NewMedia9,134416,2642,2794,1709,3574,4329,1476,19189,170129,0.5069483221476511
53.0,USER_7,NewMedia9,39922,5308,6666,4201,2930,3047,1003,23474,86551,0.576466510067114
54.0,USER_7,NewMedia9,118198,5433,6093,4683,2913,2245,1462,39204,180231,0.569225
55.0,USER_7,NewMedia9,84409,23932,2839,7452,5950,1963,2447,53611,182603,0.5873519333333334
56.0,USER_7,NewMedia9,3008700,27332,21630,22300,23005,11913,17909,605620,3738409,0.6996561073825504
57.0,USER_7,NewMedia9,346100,36907,12495,19970,23079,8504,3457,70244,520756,0.5728197986577183
58.0,USER_7,NewMedia9,17489,16953,3427,8831,6295,2821,1028,7690,64534,0.6515630666666666
59.0,USER_7,NewMedia9,535139,30013,18140,15746,12598,6668,10633,87823,716760,0.5003328859060402
60.0,USER_7,NewMedia9,34625,2730,3266,1629,1161,1411,1873,78028,124723,0.6051772483221477
61.0,USER_7,NewMedia9,178807,15352,6007,3515,4083,1086,342,33635,242827,0.719831610738255
62.0,USER_7,NewMedia9,95045,660,1536,633,1382,1070,504,7541,108371,0.6920322
63.0,USER_7,NewMedia9,138521,25654,22155,23491,24408,12491,6466,117658,370844,0.5717079865771811
64.0,USER_7,NewMedia9,645535,20138,5311,11766,4646,6361,2377,41828,737962,0.564213154362416
65.0,USER_7,NewMedia9,410276,3180,32424,10560,29225,12102,21498,88281,607546,0.4619895333333333
66.0,USER_7,NewMedia9,313587,4990,4594,14604,14735,8151,7945,53263,421869,0.44844
67.0,USER_7,NewMedia9,1450302,70447,23825,62250,17816,21078,4601,99771,1750090,0.3751271812080537
68.0,USER_7,NewMedia9,42209,6140,1276,2896,3576,3010,776,43794,103677,0.37150134228187914
69.0,USER_7,NewMedia9,20206,6769,1226,4735,3768,3021,1270,8834,49829,0.3094501342281879
70.0,USER_7,NewMedia9,531009,23560,57548,26950,18818,7859,13472,403648,1082864,0.4583899328859061
71.0,USER_7,NewMedia9,1987058,37402,18513,29588,13938,14526,7666,333619,2442310,0.41277684563758393
72.0,USER_7,NewMedia9,4575,3190,1509,3071,4050,3429,1425,13227,34476,0.3899678666666667
73.0,USER_7,NewMedia9,299725,9230,13345,37277,15002,14456,4699,210423,604157,0.49156879194630865
74.0,USER_7,NewMedia9,68558,7166,4222,19687,6614,3111,2833,39186,151377,0.6840946308724832
75.0,USER_7,NewMedia9,16302,2879,539,2774,1666,2387,1393,7629,35569,0.5618225675675677
76.0,USER_7,NewMedia9,535080,5210,9108,7988,1781,2973,1822,60817,624779,0.38910766666666663
77.0,USER_7,NewMedia9,25490,7450,2072,5653,3601,2819,1991,7539,56615,0.48339248322147643
78.0,USER_7,NewMedia9,471533,17615,6144,4731,8119,11337,2578,370197,892254,0.6988749664429531
79.0,USER_7,NewMedia9,12783,2756,5690,6076,2733,4109,2343,13499,49989,0.49188919999999997
80.0,USER_7,NewMedia9,11385,4390,3844,1476,3195,1996,792,6885,33963,0.5918093288590603
81.0,USER_7,NewMedia9,7646,11188,3904,2076,4053,4271,770,11163,45071,0.6793104026845638
82.0,USER_7,NewMedia9,2339,10330,1910,1117,3603,1311,1465,6798,28873,0.63663644295302
83.0,USER_7,NewMedia9,23588,6169,2646,1215,1291,2211,426,7508,45054,0.6245194
84.0,USER_7,NewMedia9,55641,4677,1674,2829,1294,2554,1489,20629,90787,0.7406114093959731
85.0,USER_7,NewMedia9,10927,2031,2227,901,4058,1188,856,6582,28770,0.6148286577181207
86.0,USER_7,NewMedia9,698762,20550,40178,5952,23597,12795,11089,105346,918269,0.6279446666666666
87.0,USER_7,NewMedia9,889907,27822,18674,20914,13800,7559,12784,44783,1036243,0.5209641610738255
88.0,USER_7,NewMedia9,24488,10905,2350,2219,2985,1294,3443,8437,56121,0.41198724832214767
89.0,USER_7,NewMedia9,37304,1463,5809,4924,2735,5748,1930,60006,119919,0.4195129054054054
90.0,USER_7,NewMedia9,507451,6666,15678,32100,4406,2632,1135,17977,588045,0.5441151333333335
91.0,USER_7,NewMedia9,175009,54657,27603,10681,13910,11839,8960,24774,327433,0.5424176510067114
92.0,USER_7,NewMedia9,22551,5135,5320,4079,2273,1340,1115,8934,50747,0.7280120805369128
93.0,USER_7,NewMedia9,129118,4762,2828,5081,6228,3968,740,21122,173847,0.6165820666666667
94.0,USER_7,NewMedia9,526131,8613,14988,12040,12884,16324,8146,48422,647548,0.5999792465753424
95.0,USER_7,NewMedia9,750664,8761,13287,25135,16892,18951,9152,345975,1188817,0.5198069127516779
96.0,USER_7,NewMedia9,21060,6168,1493,3987,2397,1543,1257,8954,46859,0.5612601351351353
97.0,USER_7,NewMedia9,13233,3436,7869,5113,5471,4348,2257,19312,61039,0.5737246
98.0,USER_7,NewMedia9,100842,7395,10833,24493,25213,12019,3685,136383,320863,0.5704454362416106
99.0,USER_7,NewMedia9,32875,6323,3338,1299,2110,2299,870,13248,62362,0.39577763513513514
