,MEDIA_ID,MEDIA_NAME,CNT,TIME(2022/03/15 14:47:13.824),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,Unnamed: 32
0,20,NewMedia21,0,0.0,41376017847,0.47819,0.35258,0.0,0.0,1,1,0.47394,0.35818,1,1.38229,0.125,0,,0.40861,0.26742,32.30185,1.03619,1,0.66459,0.26863,28.96556,1.03619,1,0,0.0,17,,
15,20,NewMedia21,15,0.10034,41377021321,0.48274,0.3492,0.0,0.10034,1,1,0.47328,0.33444,1,1.38229,0.125,0,,0.40725,0.26944,32.43784,1.03619,1,0.66325,0.27076,28.71484,1.03619,1,0,0.0,17,,
30,20,NewMedia21,30,0.20093,41378026921,0.48283,0.34989,0.0,0.20093,1,1,0.4698,0.35441,1,1.38229,0.125,0,,0.40412,0.27043,32.13044,1.04305,1,0.6601,0.27062,28.38881,1.0357,1,0,0.0,17,,
45,20,NewMedia21,45,0.30127,41379030637,0.48493,0.3463,0.0,0.30127,1,1,0.47848,0.33695,1,1.38229,0.125,0,,0.40425,0.27084,31.77169,1.01364,1,0.66014,0.27102,27.36522,1.021,1,0,0.0,17,,
60,20,NewMedia21,60,0.40186,41380036576,0.35686,0.52522,0.0,0.375,1,0,0.35997,0.51831,1,1.38229,0.125,0,,0.40072,0.27479,30.34329,1.01364,1,0.65562,0.27501,27.99717,1.01364,1,0,0.0,16,,
75,20,NewMedia21,75,0.5022,41381040853,0.34094,0.54924,0.40186,0.10034,2,1,0.34019,0.51204,1,1.38229,0.125,0,,0.4015,0.27513,26.91542,1.04322,1,0.65659,0.27537,23.71156,1.05057,1,0,0.0,16,,
90,20,NewMedia21,90,0.60254,41382044655,0.262,0.53409,0.40186,0.18091,2,0,0.24392,0.52163,1,1.38229,0.125,0,,0.39965,0.27584,24.92937,1.06577,1,0.65437,0.2763,22.37021,1.06577,1,0,0.0,16,,
105,20,NewMedia21,105,0.70313,41383049542,0.25948,0.53486,0.58936,0.11377,3,1,0.26936,0.52731,1,1.38229,0.125,0,,0.40005,0.27486,23.577,0.98674,1,0.65464,0.27564,21.46505,0.98674,1,0,0.0,16,,
120,20,NewMedia21,120,0.80371,41384054750,0.25658,0.5339,0.58936,0.21436,3,1,0.2483,0.52519,1,1.38229,0.125,0,,0.39935,0.27421,22.1509,1.04355,1,0.6539,0.27563,20.90077,1.03619,1,0,0.0,16,,
135,20,NewMedia21,135,0.90454,41385063800,0.25245,0.52859,0.58936,0.31519,3,1,0.2339,0.55191,1,1.38229,0.125,0,,0.39872,0.2745,22.00909,1.01365,1,0.65352,0.27599,20.02578,1.01365,1,0,0.0,16,,
150,20,NewMedia21,150,1.00488,41386066812,0.24544,0.52353,0.58936,0.41553,3,1,0.25217,0.49753,1,1.38229,0.125,0,,0.39872,0.27503,21.51289,1.01365,1,0.65337,0.2765,19.26378,1.01365,1,0,0.0,16,,
165,20,NewMedia21,165,1.10498,41387068712,0.24517,0.51975,0.58936,0.51563,3,1,0.26161,0.63928,1,1.38229,0.125,0,,0.39885,0.27538,16.50949,1.00692,1,0.65338,0.27759,13.56219,1.00034,1,0,0.0,16,,
180,20,NewMedia21,180,1.20605,41388078252,0.0,0.0,0.58936,0.53589,3,0,0.26161,0.63928,0,1.38229,0.125,0,,0.39885,0.27538,16.50949,0.96043,0,0.65338,0.27759,13.56219,0.96043,0,515,0.0,16,,
195,20,NewMedia21,195,1.3064,41389082984,0.24652,0.49275,1.23242,0.07397,4,1,0.23921,0.48125,1,1.38229,0.125,0,,0.39896,0.27477,19.32421,1.021,1,0.65362,0.27626,18.19935,1.01365,1,0,0.0,17,,
210,20,NewMedia21,210,1.40649,41390083901,0.24824,0.48545,1.23242,0.17407,4,1,0.30485,0.46914,1,1.38229,0.125,0,,0.4008,0.2744,19.23339,1.021,1,0.65527,0.27614,18.1097,1.01365,1,0,0.0,17,,
225,20,NewMedia21,225,1.50708,41391087855,0.3076,0.4867,1.43311,0.07397,5,1,0.31407,0.50258,1,1.38229,0.125,0,,0.40075,0.27472,19.12013,1.01365,1,0.65524,0.27631,18.08388,1.01365,1,0,0.0,17,,
240,20,NewMedia21,240,1.60718,41392089408,0.31886,0.47814,1.43311,0.17407,5,1,0.36285,0.45291,1,1.38229,0.125,0,,0.40168,0.27444,19.29853,1.02852,1,0.65607,0.27621,18.266,1.02852,1,0,0.0,17,,
255,20,NewMedia21,255,1.70752,41393094148,0.353,0.47781,1.62793,0.07959,6,1,0.35108,0.4947,1,1.38229,0.125,0,,0.40166,0.27513,19.3204,1.01365,1,0.65626,0.277,17.977,1.021,1,0,0.0,17,,
270,20,NewMedia21,270,1.80859,41394103343,0.40413,0.46661,1.62793,0.16699,6,0,0.40754,0.45496,1,1.38229,0.125,0,,0.40391,0.27396,18.74177,1.04322,1,0.65827,0.27617,18.2787,1.04322,1,0,0.0,17,,
