obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 34437, 30151, 995, 6486, 400, 6120, 1163, 428, NA, NA, NA, 80180,  X*
2, 6.0, 46384, 12694, 1652, 1084, 3001, 4968, 1887, 454, NA, NA, NA, 72124,  X*
3, 7.0, 13467, 8698, 8270, 794, 1255, 1033, 767, 495, NA, NA, NA, 34779,  X*
4, 8.0, 51705, 10114, 2712, 2207, 1371, 2684, 1064, 300, 44, 43, NA, 72157,  X*
5, 9.0, 295519, 56411, 20012, 31427, 18564, 34729, 5951, 5159, 57, 48, NA, 467772,  X*
6, 10.0, 992448, 92114, 155815, 46434, 28795, 10696, 13022, 16008, 43, 66, NA, 1355332,  X*
7, 11.0, 22548, 22521, 1757, 2189, 1987, 2114, 1235, 441, 40, 61, NA, 54792,  X*
8, 12.0, 31839, 25732, 3455, 1744, 1913, 1723, 894, 498, 24, 54, NA, 67798,  X*
9, 13.0, 24139, 19354, 3010, 1253, 2203, 2286, 1288, 726, 8, 44, NA, 54259,  X*
10, 14.0, 9563, 18479, 3945, 10487, 5174, 1891, 930, 712, 13, 35, NA, 51181,  X*
11, 15.0, 62851, 19913, 3564, 2234, 3401, 6186, 2025, 3970, 26, 37, NA, 104144,  X*
12, 16.0, 91118, 29133, 847, 4753, 2534, 3519, 2035, 1876, 35, 35, NA, 135815,  X*
13, 17.0, 20608, 21894, 11979, 4597, 1964, 2724, 3285, 592, 29, 50, NA, 67643,  X*
14, 18.0, 1518873, 78591, 30412, 20402, 32771, 22695, 15871, 4419, 47, 43, NA, 1724034,  X*
15, 19.0, 14566, 10256, 2545, 2968, 1173, 2280, 1407, 840, 38, 51, NA, 36035,  X*
16, 20.0, 53834, 56889, 7431, 2686, 1815, 1855, 2354, 1915, 21, 51, NA, 128779,  X*
17, 21.0, 9375, 17002, 2008, 3213, 2605, 2940, 1125, 914, 34, 40, NA, 39182,  X*
18, 22.0, 16638, 9735, 13187, 5124, 3475, 1872, 1751, 395, 21, 53, NA, 52177,  X*
19, 23.0, 114807, 15382, 4674, 2976, 2072, 809, 379, 260, 3, 53, NA, 141359,  X*
20, 24.0, 11095, 11989, 6592, 1849, 3139, 2153, 503, 800, 23, 66, NA, 38120,  X*
21, 25.0, 18135, 19932, 5376, 592, 2680, 1164, 955, 422, 10, 67, NA, 49256,  X*
22, 26.0, 96358, 16338, 1880, 7417, 4196, 2694, 1567, 1365, 14, 56, NA, 131815,  X*
23, 27.0, 8970, 15077, 8576, 3202, 1290, 4286, 2375, 790, 37, 57, NA, 44566,  X*
24, 28.0, 23801, 17671, 8804, 2774, 1808, 1548, 1712, 548, 24, 60, NA, 58666,  X*
25, 29.0, 82159, 24680, 12019, 1520, 2089, 4133, 744, 588, 37, 64, NA, 127932,  X*
26, 30.0, 3753, 1102, 1811, 631, 2410, 2162, 890, 591, 60, 64, NA, 13350,  X*
27, 31.0, 31372, 10029, 4148, 4054, 1854, 2334, 1562, 491, 57, 66, NA, 55844,  X*
28, 32.0, 14946, 8342, 5896, 5562, 4883, 3855, 3890, 684, 77, 69, NA, 48058,  X*
29, 33.0, 180887, 43555, 11319, 6182, 9723, 8401, 2860, 855, 80, 64, NA, 263782,  X*
30, 34.0, 850819, 156607, 13403, 14727, 20366, 20218, 6402, 1096, 56, 53, NA, 1083638,  X*
31, 35.0, 555442, 205618, 4984, 25882, 6308, 11660, 6590, 11124, 43, 37, NA, 827608,  X*
32, 36.0, 14937, 10197, 14255, 1816, 2513, 3855, 805, 1056, 40, 40, NA, 49434,  X*
