obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 5233, 4367, 340, 505, 2856, 5352, 5163, 6511, NA, NA, NA, 30327,  8*
2, 6.0, 3482, 7842, 287, 2336, 1231, 11850, 9184, 2341, NA, NA, NA, 38553,  8*
3, 7.0, 239867, 52864, 1895, 12800, 5038, 11037, 3246, 7273, NA, NA, NA, 334020,  8*
4, 8.0, 10231, 17333, 5455, 1767, 3975, 4621, 4536, 1159, 35, 53, NA, 49077,  8*
5, 9.0, 3360, 2100, 1187, 2930, 1270, 8699, 7798, 1727, 51, 70, NA, 29071,  8*
6, 10.0, 147076, 64614, 10813, 6332, 4986, 18296, 5450, 5641, 48, 80, NA, 263208,  8*
7, 11.0, 19713, 16552, 4928, 2245, 6983, 6728, 17355, 4513, 48, 91, NA, 79017,  8*
8, 12.0, 99322, 23904, 15048, 6187, 8387, 5177, 3523, 2438, 41, 100, NA, 163986,  8*
9, 13.0, 1759692, 197009, 53359, 74955, 33985, 32871, 19233, 4587, 13, 100, NA, 2175691,  8*
10, 14.0, 136235, 5655, 300, 2220, 5044, 2148, 2364, 871, 14, 100, NA, 154837,  8*
11, 15.0, 401028, 28490, 5547, 1632, 12567, 7595, 8146, 2106, 11, 94, NA, 467111,  8*
12, 16.0, 746048, 35818, 12372, 14127, 37759, 24426, 17913, 7997, 23, 84, NA, 896460,  8*
13, 17.0, 578551, 75161, 21235, 58765, 31571, 32285, 54985, 6446, 29, 88, NA, 858999,  8*
14, 18.0, 103953, 41138, 5990, 6623, 32720, 45950, 26863, 22982, 43, 78, NA, 286219,  8*
15, 19.0, 562984, 75683, 12086, 28774, 30350, 18522, 16636, 18384, 40, 88, NA, 763419,  8*
16, 20.0, 286409, 17633, 2312, 4550, 4949, 12863, 2943, 3586, 44, 83, NA, 335245,  8*
17, 21.0, 79973, 18883, 1845, 3303, 7462, 9135, 5799, 2860, 51, 63, NA, 129260,  8*
18, 22.0, 578465, 29375, 2929, 21686, 31055, 35595, 22596, 5551, 48, 78, NA, 727252,  8*
19, 23.0, 7589, 11340, 1770, 5404, 5164, 6805, 7120, 2848, 56, 78, NA, 48040,  8*
20, 24.0, 6600, 5226, 3490, 7160, 6399, 7730, 4846, 3406, 56, 94, NA, 44857,  8*
21, 25.0, 185090, 79699, 4371, 5741, 3636, 10372, 6214, 2160, 43, 90, NA, 297283,  8*
22, 26.0, 207211, 33007, 7353, 3044, 1337, 3342, 6233, 6094, 21, 90, NA, 267621,  8*
23, 27.0, 305944, 238488, 22127, 36386, 12812, 17335, 9046, 10655, 1, 83, NA, 652793,  8*
24, 28.0, 68605, 33924, 1535, 4312, 3137, 6151, 9275, 8068, 1, 61, NA, 135007,  8*
25, 29.0, 49656, 24203, 3526, 2982, 11787, 10810, 5435, 1964, 1, 66, NA, 110363,  8*
26, 30.0, 253408, 24587, 4488, 5253, 5054, 5189, 2278, 1899, 7, 66, NA, 302156,  8*
27, 31.0, 13857, 11688, 3892, 1306, 12175, 4296, 4722, 1601, 23, 64, NA, 53537,  8*
28, 32.0, 317908, 226267, 19675, 46585, 41462, 50718, 16063, 4473, 23, 70, NA, 723151,  8*
29, 33.0, 259132, 30093, 9139, 28245, 21693, 28318, 22543, 18162, 24, 91, NA, 417325,  8*
30, 34.0, 629692, 136934, 50319, 9787, 11493, 34316, 55118, 8723, 26, 93, NA, 936382,  8*
31, 35.0, 2287114, 656606, 56471, 23076, 17299, 22430, 45399, 19016, 11, 87, NA, 3127411,  8*
32, 36.0, 2019, 7791, 3499, 5739, 4618, 16985, 4448, 3713, 30, 91, NA, 48812,  8*
33, 37.0, 77937, 20835, 5799, 9512, 7957, 19080, 4244, 5222, 38, 84, NA, 150586,  8*
34, 38.0, 509245, 211420, 63031, 16199, 32976, 37228, 27049, 11520, 40, 83, NA, 908668,  8*
35, 39.0, 259977, 49582, 8666, 24169, 9548, 15235, 8931, 4092, 56, 100, NA, 380200,  8*
36, 40.0, 328527, 40238, 17182, 38123, 22578, 29204, 34393, 14586, 47, 100, NA, 524831,  8*
37, 41.0, 748575, 114748, 27664, 68081, 9526, 37935, 25638, 19324, 37, 100, NA, 1051491,  8*
38, 42.0, 6601, 3236, 5672, 4995, 8849, 5659, 3165, 3169, 47, 100, NA, 41346,  8*
39, 43.0, 115603, 26101, 4418, 4458, 3508, 11383, 4952, 1729, 51, 100, NA, 172152,  8*
40, 44.0, 151119, 53174, 19771, 5058, 11612, 10292, 6647, 3474, 44, 100, NA, 261147,  8*
41, 45.0, 420820, 128725, 23375, 11033, 18070, 12193, 30501, 4828, 35, 96, NA, 649545,  8*
42, 46.0, 3446, 10425, 1116, 2820, 4638, 6804, 8374, 8358, 37, 81, NA, 45981,  8*
43, 47.0, 5873, 9437, 1320, 6038, 6297, 3415, 10316, 3566, 30, 90, NA, 46262,  8*
44, 48.0, 70107, 66192, 1134, 5877, 6755, 18867, 5773, 4249, 38, 67, NA, 178954,  8*
45, 49.0, 185327, 13807, 2415, 3273, 2889, 5323, 1055, 765, 50, 70, NA, 214854,  8*
46, 50.0, 7421, 4891, 800, 6051, 3074, 9877, 4497, 2322, 56, 81, NA, 38933,  8*
47, 51.0, 616037, 126197, 23457, 15306, 3723, 53758, 32295, 12463, 61, 70, NA, 883236,  8*
48, 52.0, 596040, 72064, 802, 18768, 12373, 25402, 41725, 8082, 61, 84, NA, 775256,  8*
49, 53.0, 178461, 24392, 2853, 3215, 3953, 2159, 1011, 473, 48, 80, NA, 216517,  8*
50, 54.0, 1440302, 27258, 18538, 10802, 9691, 65914, 23783, 6681, 53, 77, NA, 1602969,  8*
51, 55.0, 327700, 17818, 32547, 3396, 5261, 10365, 7991, 7830, 48, 90, NA, 412908,  8*
52, 56.0, 72642, 34106, 577, 3923, 2632, 5989, 5541, 3607, 41, 80, NA, 129017,  8*
