obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.9, 28261, 7406, 13289, 8666, 4778, 4270, 2305, 1110, NA, NA, NA, 70085,  X*
2, 3.9, 27581, 35663, 1912, 21541, 11127, 17726, 3861, 1100, NA, NA, NA, 120511,  X*
3, 4.9, 77624, 27249, 52598, 30499, 26240, 13382, 9175, 2724, NA, NA, NA, 239491,  X*
4, 5.9, 46350, 4248, 9549, 6252, 7912, 12447, 3868, 3335, 53, 41, NA, 93961,  X*
5, 6.9, 521910, 30115, 26172, 17589, 30107, 13177, 8167, 2886, 48, 43, NA, 650123,  X*
6, 7.9, 176938, 82561, 18886, 17228, 27421, 30170, 5734, 4637, 50, 27, NA, 363575,  X*
7, 8.9, 115763, 7295, 4566, 2513, 1895, 2789, 669, 512, 47, 29, NA, 136002,  X*
8, 9.9, 17503, 6549, 3741, 2265, 4817, 2715, 1110, 329, 30, 21, NA, 39029,  X*
9, 10.9, 9029, 5598, 12305, 101, 969, 2754, 1362, 478, 29, 35, NA, 32596,  X*
10, 11.9, 35489, 4163, 2012, 2516, 1370, 1109, 229, 197, 21, 53, NA, 47085,  X*
11, 12.9, 4848, 7335, 3830, 644, 2917, 2671, 1974, 924, 24, 44, NA, 25143,  X*
12, 13.9, 8747, 5480, 3724, 2815, 993, 2623, 1975, 801, 24, 53, NA, 27158,  X*
13, 14.9, 6596, 4715, 5342, 11217, 2241, 1991, 2173, 604, 20, 60, NA, 34879,  X*
14, 15.9, 3835, 6560, 5256, 1740, 2550, 4637, 2036, 790, 34, 54, NA, 27404,  X*
15, 16.9, 76329, 12278, 2380, 6905, 7967, 1883, 1970, 1330, 20, 57, NA, 111042,  X*
16, 17.9, 19331, 13693, 4636, 3128, 5732, 4395, 423, 1421, 20, 47, NA, 52759,  X*
17, 18.9, 43013, 20330, 18194, 12003, 5744, 2396, 1131, 460, 13, 37, NA, 103271,  X*
18, 19.9, 1026950, 19410, 2693, 23632, 10969, 7576, 1642, 1953, 3, 41, NA, 1094825,  X*
19, 20.9, 168332, 9681, 1758, 2474, 3135, 2599, 619, 347, 14, 34, NA, 188945,  X*
20, 21.9, 2371955, 162320, 182951, 69533, 41163, 30697, 12183, 3332, 3, 51, NA, 2874134,  X*
21, 22.9, 905471, 21188, 7595, 15930, 17574, 9969, 5709, 2120, 23, 38, NA, 985556,  X*
22, 23.9, 617173, 56592, 47373, 19519, 7840, 11738, 8092, 7253, 16, 44, NA, 775580,  X*
23, 24.9, 35402, 3140, 508, 950, 1115, 761, 589, 220, 13, 44, NA, 42685,  X*
24, 25.9, 79412, 7728, 5357, 11371, 1679, 4942, 2414, 803, 26, 47, NA, 113706,  X*
25, 26.9, 195044, 44898, 25418, 14787, 9478, 7026, 3437, 2478, 13, 51, NA, 302566,  X*
26, 27.9, 1632011, 26099, 13247, 3858, 17868, 2323, 1785, 237, 8, 37, NA, 1697428,  X*
27, 28.9, 302571, 16460, 20938, 28446, 9999, 17453, 6186, 6214, 13, 61, NA, 408267,  X*
28, 29.9, 211262, 68991, 6358, 31649, 8591, 7463, 9348, 1916, 1, 44, NA, 345578,  X*
29, 30.9, 166981, 87727, 11356, 11861, 25621, 12661, 9004, 4039, 3, 23, NA, 329250,  X*
30, 31.9, 31126, 2223, 7641, 2053, 753, 2949, 1598, 200, 23, 50, NA, 48543,  X*
31, 32.9, 12426, 4226, 11079, 5085, 2913, 3028, 957, 646, 16, 56, NA, 40360,  X*
32, 33.9, 3287, 5930, 3188, 3687, 3095, 4024, 914, 588, 35, 61, NA, 24713,  X*
33, 34.9, 10193, 6318, 2070, 2495, 1158, 1954, 1846, 714, 41, 78, NA, 26748,  X*
34, 35.9, 8367, 7325, 2441, 3581, 1721, 3188, 1090, 425, 41, 56, NA, 28138,  X*
35, 36.9, 9776, 2948, 929, 6993, 4388, 3339, 739, 629, 50, 43, NA, 29741,  X*
36, 37.9, 18738, 6295, 3785, 2225, 2302, 2690, 1149, 2178, 44, 41, NA, 39362,  X*
37, 38.9, 6929, 15193, 1265, 5484, 4224, 2128, 964, 963, 37, 37, NA, 37150,  X*
38, 39.9, 130463, 55625, 16597, 31307, 12952, 17014, 6015, 7666, 34, 38, NA, 277639,  X*
39, 40.9, 457403, 78746, 14381, 11176, 13256, 13560, 3000, 1733, 23, 17, NA, 593255,  X*
40, 41.9, 855582, 31247, 10784, 10722, 3101, 4852, 1340, 1677, 13, 20, NA, 919305,  X*
41, 42.9, 291821, 41862, 8996, 6290, 7450, 6271, 1990, 992, 14, 16, NA, 365672,  X*
42, 43.9, 172841, 20853, 2827, 7358, 2786, 2233, 2106, 737, 3, 11, NA, 211741,  X*
43, 44.9, 85401, 29142, 3546, 8513, 4915, 8408, 2006, 432, 8, 13, NA, 142363,  X*
44, 45.9, 22513, 23408, 6779, 10357, 7717, 8667, 1553, 1029, 17, 10, NA, 82023,  X*
45, 46.9, 871179, 30251, 19707, 14536, 7704, 5936, 2566, 1427, 14, 29, NA, 953306,  X*
46, 47.9, 28276, 5380, 187, 400, 539, 1061, 192, 126, 27, 16, NA, 36161,  X*
47, 48.9, 1022473, 97513, 6838, 17448, 11101, 13708, 10560, 2874, 21, 20, NA, 1182515,  X*
48, 49.9, 107928, 22728, 27292, 11556, 15594, 13457, 6222, 4931, 20, 30, NA, 209708,  X*
49, 50.9, 638345, 44278, 1799, 6961, 11652, 6932, 5347, 3190, 24, 10, NA, 718504,  X*
50, 51.9, 49977, 10475, 5135, 7413, 4902, 2266, 3194, 854, 16, 38, NA, 84216,  X*
51, 52.9, 8972, 2141, 1330, 8035, 2960, 4672, 1371, 905, 34, 60, NA, 30386,  X*
52, 53.9, 86206, 34292, 17950, 5825, 3845, 3869, 1416, 335, 17, 54, NA, 153738,  X*
53, 54.9, 458459, 41531, 2737, 36259, 12876, 7938, 4159, 6153, 14, 75, NA, 570112,  X*
54, 55.9, 61499, 19546, 12809, 39462, 6064, 3813, 3150, 5774, 8, 87, NA, 152117,  X*
55, 56.9, 12071, 12756, 1281, 2866, 2473, 4508, 1177, 1042, 1, 66, NA, 38174,  X*
56, 58.0, 3786, 18420, 2413, 2510, 2033, 1283, 948, 451, 1, 54, NA, 31844,  X*
57, 58.9, 9614, 8104, 1805, 9734, 2286, 3692, 724, 853, 7, 60, NA, 36812,  X*
58, 59.9, 4990, 12881, 1164, 2566, 4330, 2006, 1464, 1563, 16, 30, NA, 30964,  X*
59, 60.9, 30263, 10737, 3796, 6534, 1429, 4207, 1460, 990, 14, 44, NA, 59416,  X*
60, 61.9, 17704, 7921, 2304, 3621, 1535, 2922, 2407, 1749, 30, 54, NA, 40163,  X*
61, 62.9, 17642, 12063, 3435, 1141, 2221, 3491, 1389, 519, 30, 38, NA, 41901,  X*
62, 63.9, 92236, 8810, 6047, 2527, 2354, 3061, 1211, 1356, 35, 53, NA, 117602,  X*
63, 64.9, 656462, 38544, 7891, 7252, 6108, 1761, 853, 774, 16, 44, NA, 719645,  X*
64, 65.9, 613051, 10560, 2048, 2839, 1262, 1120, 224, 188, 7, 43, NA, 631292,  X*
65, 66.9, 126714, 21776, 5547, 3761, 4516, 3781, 573, 600, 3, 47, NA, 167268,  X*
66, 67.9, 1242072, 379576, 214226, 177188, 263617, 41410, 18116, 21259, 1, 43, NA, 2357464,  X*
67, 68.9, 668548, 103502, 567, 5801, 8534, 4480, 4518, 2426, 1, 26, NA, 798376,  X*
68, 69.9, 786417, 36259, 25760, 8615, 16384, 9324, 2137, 3792, 4, 34, NA, 888688,  X*
69, 70.9, 186623, 40960, 10337, 9959, 9375, 11009, 3429, 1106, 10, 38, NA, 272798,  X*
70, 71.9, 33905, 147849, 5362, 9289, 2364, 6922, 2536, 813, 7, 20, NA, 209040,  X*
71, 72.9, 1543465, 246221, 67247, 22392, 44072, 21916, 11204, 2611, 11, 38, NA, 1959128,  X*
72, 73.9, 256195, 251730, 28002, 36266, 30731, 17961, 7930, 5128, 1, 27, NA, 633943,  X*
73, 74.9, 327428, 158912, 20643, 35526, 23089, 5144, 3508, 6273, 1, 26, NA, 580523,  X*
