obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.9, 444700, 130746, 90056, 44035, 28431, 11488, 7395, 17876, NA, NA, NA, 774727,  7*
2, 5.0, 3442, 2184, 754, 921, 803, 1675, 486, 461, NA, NA, NA, 10726,  7*
3, 5.9, 190298, 41208, 5976, 3906, 3445, 1966, 1164, 610, NA, NA, NA, 248573,  7*
4, 6.9, 14347, 3726, 774, 652, 1531, 2417, 552, 353, 51, 30, NA, 24352,  7*
5, 7.9, 97388, 35544, 3726, 10052, 3068, 3070, 1266, 979, 47, 30, NA, 155093,  7*
6, 8.9, 34456, 14621, 9443, 4170, 8789, 6476, 9157, 2715, 53, 37, NA, 89827,  7*
7, 9.9, 18556, 29629, 352, 8166, 2759, 2066, 3705, 3275, 48, 30, NA, 68508,  7*
8, 10.9, 5765, 1392, 2800, 814, 1526, 2304, 1034, 548, 50, 51, NA, 16183,  7*
9, 11.9, 12862, 12969, 2411, 7046, 2026, 5072, 2194, 1286, 61, 57, NA, 45866,  7*
10, 12.9, 14644, 20464, 1331, 3914, 6093, 2223, 1057, 860, 53, 43, NA, 50586,  7*
11, 13.9, 19904, 8018, 87, 1357, 2101, 3251, 1167, 953, 67, 29, NA, 36838,  7*
12, 14.9, 10072, 3246, 5687, 7366, 3915, 1754, 2478, 1264, 54, 40, NA, 35782,  1*
13, 15.9, 13430, 8431, 2650, 1045, 3874, 1340, 2616, 996, 48, 30, NA, 34382,  0*
14, 16.9, 23124, 14301, 12425, 5059, 5965, 3730, 2035, 2129, 50, 53, NA, 68768,  0*
15, 17.9, 1583625, 49465, 75914, 14961, 38661, 27447, 5900, 6622, 47, 83, NA, 1802595,  0*
16, 18.9, 32628, 11990, 8370, 4038, 7365, 1536, 1883, 1397, 43, 70, NA, 69207,  0*
17, 19.9, 270299, 37640, 16701, 3009, 5192, 3800, 3014, 1069, 37, 78, NA, 340724,  0*
18, 20.9, 110330, 55712, 2614, 4198, 2007, 1177, 1017, 868, 21, 48, NA, 177923,  0*
19, 21.9, 438448, 93739, 51855, 5615, 23104, 7786, 5775, 1414, 10, 41, NA, 627736,  0*
20, 23.0, 217031, 30469, 7673, 2347, 3300, 6653, 7820, 2209, 17, 27, NA, 277502,  0*
21, 23.9, 647931, 114100, 47434, 26832, 18707, 41278, 20747, 27653, 27, 29, NA, 944682,  0*
22, 24.9, 32158, 50548, 4766, 3807, 4827, 4440, 3129, 1366, 41, 34, NA, 105041,  0*
23, 25.9, 495127, 78696, 13345, 19849, 38855, 25963, 15612, 4712, 53, 23, NA, 692159,  0*
24, 26.9, 79096, 19235, 1839, 6020, 1766, 2564, 5037, 933, 48, 27, NA, 116490,  0*
25, 27.9, 19889, 29231, 4546, 1922, 4517, 2178, 666, 1348, 38, 14, NA, 64297,  0*
26, 29.9, 760450, 59598, 21991, 4421, 7526, 13306, 15553, 4133, 43, 26, NA, 886978,  0*
27, 30.9, 849330, 754644, 20412, 5111, 22785, 20402, 11764, 9466, 24, 11, NA, 1693914,  0*
28, 31.9, 48303, 33027, 10080, 7086, 1624, 9824, 5185, 2194, 30, 20, NA, 117323,  0*
29, 32.9, 113862, 32252, 13546, 9303, 13329, 3344, 3538, 1007, 30, 40, NA, 190181,  0*
30, 33.9, 2266993, 317201, 77762, 134732, 85363, 63785, 33110, 4808, 29, 48, NA, 2983754,  0*
31, 34.9, 811430, 62281, 17514, 36459, 20182, 16200, 6747, 1715, 43, 78, NA, 972528,  0*
32, 35.9, 517629, 20909, 2613, 11911, 3111, 830, 2371, 392, 24, 81, NA, 559766,  0*
33, 36.9, 532885, 258656, 76671, 76469, 115717, 72894, 31430, 17012, 34, 78, NA, 1181734,  0*
34, 37.9, 51589, 4183, 7160, 21831, 5385, 21645, 8900, 4082, 48, 87, NA, 124775,  0*
35, 38.9, 10288, 6159, 1229, 4168, 1780, 4194, 2253, 2655, 56, 84, NA, 32726,  0*
36, 39.9, 5461, 5050, 2145, 702, 3946, 6215, 5128, 1644, 87, 74, NA, 30291,  0*
37, 40.9, 27483, 7867, 2497, 6023, 3003, 4813, 2437, 3792, 91, 77, NA, 57915,  0*
38, 41.9, 643, 6149, 1719, 807, 4109, 4356, 1932, 1970, 90, 60, NA, 21685,  0*
39, 42.9, 12711, 9034, 2226, 3272, 2146, 3250, 1576, 2833, 83, 56, NA, 37048,  0*
40, 43.9, 603078, 38928, 6240, 19161, 15501, 23037, 9045, 10943, 77, 61, NA, 725933,  0*
41, 44.9, 108020, 18519, 3828, 601, 1290, 5146, 2904, 983, 75, 50, NA, 141291,  0*
42, 45.9, 65962, 20342, 1006, 2991, 5670, 4802, 1749, 1660, 67, 47, NA, 104182,  0*
43, 46.9, 7328, 2939, 2039, 1837, 1413, 3391, 1655, 816, 75, 51, NA, 21418,  0*
44, 48.0, 2045, 2009, 1080, 1194, 4336, 2702, 2582, 1514, 80, 48, NA, 17462,  0*
45, 48.9, 1721, 1746, 2107, 2586, 3345, 5055, 4741, 1119, 90, 60, NA, 22420,  0*
46, 49.9, 8101, 4221, 2503, 1074, 940, 3204, 2155, 1315, 96, 70, NA, 23513,  0*
47, 50.9, 6914, 8284, 2981, 1617, 2553, 5865, 1815, 527, 94, 64, NA, 30556,  0*
48, 51.9, 7516, 5081, 1033, 2154, 8594, 5446, 1862, 4519, 94, 60, NA, 36205,  0*
49, 52.9, 6808, 15930, 2092, 1150, 1835, 5356, 2694, 1122, 87, 47, NA, 36987,  0*
50, 53.9, 14060, 1907, 1531, 763, 1812, 3859, 2463, 1364, 94, 43, NA, 27759,  0*
51, 55.0, 371, 2937, 664, 2254, 1880, 4336, 3225, 1810, 97, 44, NA, 17477,  0*
52, 55.9, 7277, 7433, 4019, 839, 2345, 5138, 2388, 1979, 94, 53, NA, 31418,  0*
53, 56.9, 10770, 3576, 4127, 4242, 1339, 6139, 3278, 1236, 100, 70, NA, 34707,  0*
54, 57.9, 2545, 3405, 1749, 2409, 3946, 2084, 2316, 1126, 91, 77, NA, 19580,  0*
55, 58.9, 101845, 11370, 7509, 7267, 924, 5828, 2611, 2493, 80, 87, NA, 139847,  0*
56, 59.9, 3330, 4894, 932, 950, 1969, 3281, 1342, 1714, 81, 81, NA, 18412,  0*
57, 60.9, 4676, 5148, 2201, 1424, 1389, 3235, 804, 2435, 78, 74, NA, 21312,  0*
58, 62.0, 6250, 5290, 77, 1377, 2819, 3333, 3394, 2102, 83, 60, NA, 24642,  0*
59, 62.9, 3610, 8963, 550, 3111, 2071, 4097, 2265, 2267, 87, 47, NA, 26934,  0*
60, 63.9, 5771, 2674, 2251, 3115, 1701, 2582, 3144, 2587, 83, 61, NA, 23825,  0*
61, 64.9, 7292, 5602, 3963, 1275, 497, 2207, 2486, 236, 80, 64, NA, 23558,  0*
62, 66.0, 3832, 9756, 1542, 1938, 2255, 3145, 1942, 1022, 74, 70, NA, 25432,  0*
63, 66.9, 103555, 14654, 4992, 591, 533, 3505, 2540, 737, 67, 74, NA, 131107,  0*
64, 67.9, 870804, 127922, 37031, 40372, 32150, 19133, 2949, 1476, 56, 67, NA, 1131837,  0*
65, 68.9, 287802, 129539, 21643, 15102, 21956, 20318, 11687, 8745, 51, 56, NA, 516792,  0*
66, 69.9, 111578, 7873, 2212, 3928, 1678, 4228, 4537, 1806, 53, 63, NA, 137840,  0*
67, 70.9, 14962, 3676, 1841, 2286, 1953, 4377, 1750, 2303, 63, 67, NA, 33148,  0*
68, 71.9, 68503, 19016, 754, 1344, 3028, 4939, 2445, 2806, 70, 50, NA, 102835,  0*
69, 73.0, 55630, 12762, 2026, 1811, 3403, 5816, 4610, 1037, 81, 48, NA, 87095,  0*
70, 73.9, 20835, 9410, 5448, 2240, 2555, 3323, 5180, 1501, 75, 51, NA, 50492,  0*
71, 74.9, 94737, 14681, 12741, 6612, 6245, 3238, 4249, 3511, 60, 56, NA, 146014,  0*
72, 75.9, 7386, 9258, 1964, 2045, 3044, 11729, 2678, 958, 70, 64, NA, 39062,  0*
73, 76.9, 5132, 9092, 1375, 904, 655, 11424, 1593, 1008, 81, 60, NA, 31183,  0*
74, 77.9, 16961, 15968, 3376, 1708, 3683, 2302, 2306, 1921, 77, 51, NA, 48225,  0*
75, 78.9, 7818, 3356, 2054, 888, 3225, 3808, 1781, 1015, 93, 40, NA, 23945,  0*
76, 79.9, 8249, 10435, 3875, 2785, 1780, 5425, 1702, 1896, 83, 48, NA, 36147,  0*
77, 80.9, 92416, 15766, 6088, 7117, 815, 4026, 1496, 2813, 66, 66, NA, 130537,  0*
78, 81.9, 2766, 3772, 1150, 1674, 5950, 3385, 2366, 497, 81, 66, NA, 21560,  0*
79, 82.9, 3245, 9952, 2096, 3553, 2868, 3845, 3698, 1886, 74, 67, NA, 31143,  0*
80, 84.0, 6066, 1595, 4432, 1478, 4126, 7296, 2437, 1300, 83, 69, NA, 28730,  0*
81, 84.9, 43818, 40318, 17911, 25919, 8216, 6566, 15790, 3467, 78, 70, NA, 162005,  0*
82, 85.9, 8104, 4681, 6060, 8847, 4078, 11353, 8620, 5509, 80, 84, NA, 57252,  0*
83, 86.9, 48197, 14324, 6342, 1719, 975, 7391, 12335, 1468, 83, 84, NA, 92751,  0*
84, 87.9, 531656, 69000, 21520, 22315, 1732, 7237, 10543, 3387, 57, 87, NA, 667390,  0*
85, 88.9, 792590, 369624, 47395, 17394, 39216, 31651, 24874, 24904, 57, 69, NA, 1347648,  0*
86, 89.9, 1422645, 240439, 36859, 32249, 26308, 33985, 35593, 13047, 44, 57, NA, 1841125,  0*
87, 91.0, 289899, 74050, 37915, 25256, 11779, 9884, 26639, 14668, 29, 64, NA, 490090,  0*
88, 91.9, 16742, 2613, 911, 2403, 2403, 6694, 1161, 1084, 54, 57, NA, 34011,  0*
89, 92.9, 18345, 7890, 1405, 4263, 2410, 3587, 1476, 1707, 66, 67, NA, 41083,  0*
90, 93.9, 11866, 4613, 3177, 2311, 2196, 1691, 3908, 1714, 69, 78, NA, 31476,  0*
91, 94.9, 94316, 33980, 1591, 3335, 968, 3127, 4427, 3950, 70, 60, NA, 145694,  0*
92, 95.9, 11772, 7875, 147, 1720, 1401, 5107, 3819, 1966, 63, 51, NA, 33807,  0*
93, 96.9, 9445, 3636, 1809, 3564, 1474, 8927, 1968, 851, 75, 51, NA, 31674,  0*
94, 97.9, 5323, 3802, 1696, 5565, 2073, 5669, 1707, 2247, 84, 51, NA, 28082,  0*
95, 98.9, 1265, 7367, 2667, 2561, 1594, 2265, 2742, 1095, 91, 66, NA, 21556,  0*
96, 99.9, 4299, 2796, 758, 1089, 3382, 4330, 2415, 1090, 97, 69, NA, 20159,  0*
97, 100.9, 13043, 2964, 4056, 4213, 1077, 6882, 2530, 1480, 93, 78, NA, 36245,  0*
98, 101.9, 3920, 3614, 2999, 3778, 2197, 3916, 1814, 1030, 91, 80, NA, 23268,  0*
99, 102.9, 1456987, 44349, 14614, 9634, 8740, 13883, 7950, 6351, 91, 75, NA, 1562508,  0*
100, 103.9, 1895, 1781, 840, 2036, 323, 3257, 2171, 726, 88, 87, NA, 13029,  0*
101, 104.9, 2582, 6760, 4236, 6210, 1609, 4550, 2150, 1386, 80, 87, NA, 29483,  0*
102, 105.9, 10753, 8203, 1777, 1605, 2054, 2224, 2259, 4434, 74, 77, NA, 33309,  0*
103, 106.9, 23216, 25210, 2801, 5246, 14739, 3915, 2585, 1007, 69, 70, NA, 78719,  0*
104, 107.9, 8928, 2711, 1782, 4789, 1742, 1398, 2882, 989, 54, 78, NA, 25221,  0*
105, 109.0, 1636, 4650, 996, 1304, 4051, 2762, 3028, 1864, 60, 63, NA, 20291,  0*
106, 109.9, 10464, 13099, 6009, 1612, 2798, 9155, 2270, 1634, 66, 63, NA, 47041,  0*
107, 110.9, 2047, 4677, 1336, 3279, 1869, 3871, 1670, 1585, 78, 74, NA, 20334,  0*
108, 111.9, 944, 4684, 1393, 1412, 1579, 4311, 1860, 612, 91, 57, NA, 16795,  0*
109, 112.9, 8359, 15405, 1519, 2559, 862, 5430, 3612, 2567, 88, 57, NA, 40313,  0*
110, 113.9, 791, 4006, 2165, 4315, 2035, 3822, 3408, 2268, 87, 66, NA, 22810,  0*
111, 114.9, 3787, 3041, 2681, 1649, 2581, 4880, 2201, 2474, 90, 64, NA, 23294,  0*
112, 116.0, 1481, 14627, 2184, 8099, 3916, 2706, 2027, 2750, 75, 70, NA, 37790,  0*
113, 116.9, 6753, 5019, 219, 1605, 1519, 5463, 3290, 1880, 84, 69, NA, 25748,  0*
114, 117.9, 4903, 1472, 962, 672, 1714, 2833, 3377, 1102, 93, 61, NA, 17035,  0*
115, 118.9, 15009, 7559, 4686, 7206, 2140, 4812, 2439, 2126, 83, 67, NA, 45977,  0*
116, 119.9, 10628, 6965, 1500, 2152, 3887, 3911, 1885, 2083, 94, 60, NA, 33011,  0*
117, 120.9, 75760, 17358, 13548, 2884, 1662, 3147, 2473, 1866, 77, 78, NA, 118698,  0*
118, 121.9, 137380, 8217, 679, 5132, 1791, 4860, 2025, 2632, 67, 81, NA, 162716,  0*
119, 122.9, 382388, 65547, 14314, 5721, 1981, 2531, 1375, 3389, 48, 69, NA, 477246,  0*
120, 123.9, 1903124, 215187, 42687, 22182, 59475, 48662, 14724, 9943, 40, 67, NA, 2315984,  0*
121, 124.9, 555795, 507306, 23610, 14297, 13717, 25877, 36912, 6689, 35, 41, NA, 1184203,  0*
122, 125.9, 214708, 15287, 7052, 6564, 7294, 19970, 19759, 9378, 40, 40, NA, 300012,  0*
123, 126.9, 701971, 45343, 15420, 14836, 12960, 11637, 12472, 4960, 54, 44, NA, 819599,  0*
124, 127.9, 681972, 60584, 19007, 3706, 10808, 12492, 10800, 4888, 53, 48, NA, 804257,  0*
