obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.9, 81559, 32405, 6252, 4720, 1767, 8951, 5029, 1777, NA, NA, NA, 142460,  8*
2, 5.9, 7557, 6781, 5664, 2407, 4998, 3441, 2008, 1616, NA, NA, NA, 34472,  8*
3, 7.0, 12526, 2131, 3799, 1294, 1803, 4616, 3149, 1409, NA, NA, NA, 30727,  8*
4, 7.9, 6843, 13602, 16226, 4884, 17646, 62008, 14041, 8186, 53, 30, NA, 143436,  8*
5, 8.9, 6403, 14122, 7652, 2378, 3837, 9098, 3771, 4990, 51, 34, NA, 52251,  8*
6, 9.9, 671413, 168602, 10633, 7048, 10569, 26652, 10456, 4765, 40, 14, NA, 910138,  8*
7, 11.0, 906390, 115332, 15296, 9781, 12514, 34453, 20714, 6812, 34, 8, NA, 1121292,  8*
8, 12.0, 187307, 54998, 16134, 5196, 1844, 3004, 2709, 1721, 1, 23, NA, 272913,  8*
9, 12.9, 37156, 2415, 2379, 7032, 4289, 7527, 2076, 1939, 8, 40, NA, 64813,  8*
10, 13.9, 12219, 4144, 6452, 2063, 1898, 6723, 6369, 4575, 24, 78, NA, 44443,  8*
11, 15.0, 97351, 13417, 9483, 9978, 9388, 25970, 32845, 14648, 38, 96, NA, 213080,  8*
12, 15.9, 5761, 3847, 6379, 1324, 7577, 3893, 5899, 5331, 56, 100, NA, 40011,  8*
13, 16.9, 3508, 4359, 2779, 3080, 1140, 3729, 2562, 1660, 53, 100, NA, 22817,  8*
14, 18.0, 1486, 10270, 5426, 10142, 3026, 6402, 6349, 1125, 47, 100, NA, 44226,  8*
15, 18.9, 328547, 31950, 10322, 4864, 1455, 4724, 8263, 6254, 29, 100, NA, 396379,  8*
16, 19.9, 26321, 20346, 2694, 4552, 4620, 7687, 5580, 3201, 27, 87, NA, 75001,  8*
17, 21.0, 232574, 10394, 1767, 6563, 4118, 5580, 3966, 9007, 24, 83, NA, 273969,  8*
18, 22.0, 1878, 4792, 143, 5530, 3823, 4983, 2591, 5342, 29, 69, NA, 29082,  8*
19, 22.9, 449739, 24552, 29785, 7129, 8367, 17376, 7729, 10945, 38, 83, NA, 555622,  8*
20, 23.9, 70047, 7624, 3253, 6929, 1568, 1633, 1845, 438, 27, 100, NA, 93337,  8*
21, 25.0, 45117, 11004, 2851, 2498, 2710, 676, 1732, 786, 11, 100, NA, 67374,  8*
22, 25.9, 7066, 7390, 427, 504, 2066, 5140, 4943, 985, 14, 74, NA, 28521,  8*
23, 26.9, 100335, 18104, 1825, 2233, 4836, 8518, 9566, 2688, 17, 43, NA, 148105,  8*
24, 28.0, 13224, 667, 2593, 4289, 2901, 6942, 3036, 1751, 38, 40, NA, 35403,  8*
25, 29.0, 774, 1126, 1193, 2473, 3517, 8846, 5310, 1539, 70, 38, NA, 24778,  8*
26, 29.9, 37455, 9495, 2907, 2790, 2025, 2048, 2252, 923, 60, 67, NA, 59895,  8*
27, 31.0, 2791, 8344, 3883, 10986, 6293, 4662, 8228, 2966, 53, 96, NA, 48153,  8*
28, 32.0, 879, 6344, 518, 3288, 2025, 2272, 6768, 790, 41, 87, NA, 22884,  8*
29, 32.9, 212498, 115582, 28121, 10876, 16823, 26062, 35023, 10191, 20, 87, NA, 455176,  8*
30, 33.9, 33324, 28463, 11880, 1870, 4531, 3848, 4571, 2152, 16, 84, NA, 90639,  8*
31, 34.9, 452918, 186078, 40882, 26612, 12858, 27393, 15407, 4031, 10, 70, NA, 766179,  8*
32, 36.0, 202460, 17304, 1960, 3879, 4315, 5576, 4714, 1694, 10, 63, NA, 241902,  8*
33, 36.9, 54163, 24846, 7739, 763, 4564, 4557, 3678, 2350, 8, 63, NA, 102660,  8*
34, 37.9, 207537, 22728, 9025, 3386, 1559, 7826, 11274, 2274, 16, 63, NA, 265609,  8*
35, 38.9, 497424, 51829, 12793, 23457, 3139, 29395, 44196, 14272, 26, 66, NA, 676505,  8*
36, 39.9, 2962, 5315, 9849, 1250, 3191, 4820, 4048, 2300, 27, 88, NA, 33735,  8*
37, 40.9, 7855, 3502, 9804, 1226, 2995, 3238, 4708, 822, 30, 100, NA, 34150,  8*
38, 42.0, 153218, 54921, 1686, 7209, 3093, 13736, 4101, 2436, 30, 88, NA, 240400,  8*
39, 43.0, 125392, 6434, 444, 6397, 3355, 3396, 7346, 2573, 29, 90, NA, 155337,  8*
40, 43.9, 244951, 99059, 7830, 9884, 14366, 8699, 8501, 2255, 17, 63, NA, 395545,  8*
41, 44.9, 540318, 37883, 10545, 10482, 16425, 24836, 45295, 10396, 24, 43, NA, 696180,  8*
42, 45.9, 1647, 1167, 5048, 5387, 653, 7697, 6831, 1646, 35, 75, NA, 30076,  8*
43, 47.0, 4419, 12132, 3273, 2092, 5448, 5882, 7034, 2241, 37, 61, NA, 42521,  8*
44, 47.9, 45270, 73526, 2085, 5988, 1483, 9590, 7147, 2368, 40, 54, NA, 147457,  8*
45, 48.9, 71641, 15266, 7013, 6709, 1263, 5304, 5892, 3924, 34, 67, NA, 117012,  8*
46, 49.9, 127600, 16620, 6463, 52180, 47460, 74409, 32155, 12015, 37, 54, NA, 368902,  8*
47, 50.9, 428798, 16300, 8596, 4960, 1694, 2998, 3546, 305, 24, 69, NA, 467197,  8*
48, 51.9, 3743, 3159, 2125, 1126, 3331, 11389, 5144, 926, 48, 80, NA, 30943,  8*
49, 52.9, 62092, 14830, 1564, 5642, 5085, 4187, 9865, 2794, 50, 69, NA, 106059,  8*
50, 54.0, 99038, 21928, 3675, 5475, 2551, 6028, 6752, 7183, 35, 64, NA, 152630,  8*
51, 54.9, 24825, 15935, 2661, 5445, 4244, 4589, 2045, 3130, 41, 53, NA, 62874,  8*
52, 55.9, 75527, 85285, 3450, 6994, 2052, 1526, 1965, 863, 8, 48, NA, 177662,  8*
53, 56.9, 574453, 83135, 12034, 6358, 11105, 6780, 6532, 2351, 3, 40, NA, 702748,  8*
54, 57.9, 1183938, 149313, 60998, 37654, 32074, 48057, 16252, 15540, 8, 44, NA, 1543826,  8*
55, 58.9, 1909656, 38985, 3533, 5484, 12434, 5856, 13426, 1723, 8, 35, NA, 1991097,  8*
56, 60.0, 560398, 25890, 11254, 20740, 11328, 23815, 9739, 3622, 30, 56, NA, 666786,  8*
57, 61.0, 354989, 341650, 125532, 51815, 25700, 29811, 45981, 17801, 30, 69, NA, 993279,  8*
58, 61.9, 637563, 81671, 17178, 3368, 7622, 15710, 20426, 1599, 29, 57, NA, 785137,  8*
59, 62.9, 2132252, 40265, 36333, 7945, 9136, 11053, 7220, 2867, 29, 81, NA, 2247071,  8*
60, 63.9, 218031, 53651, 7360, 6039, 7688, 6212, 3623, 3486, 20, 64, NA, 306090,  8*
61, 64.9, 76838, 11566, 62, 5025, 16202, 21926, 11289, 9712, 41, 43, NA, 152620,  8*
62, 65.9, 704947, 51802, 9824, 3985, 7195, 2906, 3122, 5221, 30, 43, NA, 789002,  8*
63, 66.9, 166955, 5345, 2808, 3650, 1660, 1325, 855, 901, 29, 43, NA, 183499,  8*
64, 68.0, 43186, 25831, 11971, 25500, 12835, 11741, 7149, 1310, 35, 63, NA, 139523,  8*
65, 68.9, 19419, 5326, 8277, 4370, 4879, 6098, 15407, 3253, 26, 94, NA, 67029,  8*
66, 69.9, 8477, 2371, 1524, 1314, 1576, 3781, 5259, 1293, 47, 100, NA, 25595,  8*
67, 70.9, 246227, 14343, 23453, 3096, 11495, 12758, 11669, 10937, 54, 100, NA, 333978,  8*
68, 72.0, 6674, 17338, 370, 6977, 4869, 2611, 4939, 1774, 51, 88, NA, 45552,  8*
69, 72.9, 611790, 134884, 28318, 56794, 12483, 31196, 11239, 2536, 44, 81, NA, 889240,  8*
70, 73.9, 2261997, 476667, 53152, 59740, 36758, 14730, 30824, 15898, 21, 70, NA, 2949766,  8*
71, 74.9, 34197, 31557, 6224, 1940, 3070, 4650, 4819, 4068, 14, 54, NA, 90525,  8*
